Date,Open,High,Low,Close,Volume
08-02-1994,2.05,2.10,1.97,2.01,10477713
08-03-1994,2.03,2.10,1.99,2.03,1509995
08-04-1994,2.10,2.19,2.05,2.14,1892816
08-05-1994,2.17,2.17,2.10,2.10,752752
08-08-1994,2.10,2.14,2.05,2.10,553507
08-09-1994,2.05,2.10,2.03,2.03,154454
08-10-1994,2.10,2.10,1.99,2.03,339150
08-11-1994,2.01,2.05,2.01,2.01,46440
08-12-1994,2.01,2.05,2.01,2.01,594361
08-15-1994,2.01,2.10,2.01,2.08,200910
08-16-1994,2.10,2.32,2.08,2.26,653689
08-17-1994,2.26,2.30,2.26,2.26,402952
08-18-1994,2.30,2.32,2.26,2.26,452205
08-19-1994,2.30,2.30,2.26,2.26,50920
08-22-1994,2.30,2.35,2.23,2.35,632424
08-23-1994,2.37,2.41,2.30,2.37,166209
08-24-1994,2.37,2.41,2.37,2.41,410229
08-25-1994,2.41,2.41,2.32,2.37,137105
08-26-1994,2.32,2.41,2.32,2.32,151097
08-29-1994,2.41,2.46,2.37,2.39,130388
08-30-1994,2.46,2.46,2.39,2.46,297732
08-31-1994,2.41,2.46,2.41,2.41,319559
09-01-1994,2.46,2.46,2.41,2.46,172926
09-02-1994,2.41,2.43,2.39,2.43,54271
09-06-1994,2.43,2.43,2.37,2.37,31327
09-07-1994,2.35,2.37,2.32,2.37,66025
09-08-1994,2.32,2.32,2.23,2.23,108002
09-09-1994,2.26,2.26,2.21,2.26,88971
09-12-1994,2.26,2.27,2.21,2.21,52033
09-13-1994,2.28,2.35,2.23,2.32,104645
09-14-1994,2.35,2.41,2.30,2.32,128152
09-15-1994,2.37,2.46,2.32,2.46,272550
09-16-1994,2.48,2.50,2.46,2.50,190834
09-19-1994,2.50,2.59,2.48,2.52,275348
09-20-1994,2.50,2.52,2.46,2.46,213778
09-21-1994,2.50,2.50,2.39,2.39,162289
09-22-1994,2.39,2.46,2.39,2.41,76101
09-23-1994,2.39,2.46,2.39,2.41,51475
09-26-1994,2.43,2.43,2.37,2.37,87854
09-27-1994,2.39,2.41,2.35,2.35,80019
09-28-1994,2.41,2.41,2.35,2.41,1094716
09-29-1994,2.41,2.41,2.35,2.41,102965
09-30-1994,2.35,2.41,2.32,2.32,92892
10-03-1994,2.32,2.39,2.32,2.39,32447
10-04-1994,2.39,2.39,2.30,2.30,53152
10-05-1994,2.30,2.30,2.19,2.26,141581
10-06-1994,2.28,2.28,2.19,2.23,10058
10-07-1994,2.28,2.28,2.23,2.26,30207
10-10-1994,2.23,2.41,2.23,2.41,186360
10-11-1994,2.46,2.46,2.37,2.37,189152
10-12-1994,2.39,2.48,2.37,2.48,756111
10-13-1994,2.41,2.52,2.41,2.46,195310
10-14-1994,2.52,2.52,2.46,2.46,52033
10-17-1994,2.46,2.59,2.46,2.52,114720
10-18-1994,2.59,2.66,2.59,2.66,589885
10-19-1994,2.59,2.68,2.59,2.68,460600
10-20-1994,2.59,2.68,2.59,2.59,141581
10-21-1994,2.68,2.68,2.59,2.59,139346
10-24-1994,2.68,2.68,2.59,2.59,65468
10-25-1994,2.59,2.68,2.46,2.55,189712
10-26-1994,2.50,2.50,2.43,2.50,176841
10-27-1994,2.46,2.55,2.46,2.55,36923
10-28-1994,2.55,2.64,2.50,2.62,111362
10-31-1994,2.59,2.68,2.59,2.68,118636
11-01-1994,2.64,2.64,2.55,2.55,93451
11-02-1994,2.59,2.64,2.55,2.64,90653
11-03-1994,2.59,2.64,2.57,2.64,545668
11-04-1994,2.64,2.66,2.59,2.66,216020
11-07-1994,2.68,2.72,2.61,2.72,42518
11-08-1994,2.72,2.86,2.72,2.86,441013
11-09-1994,2.86,2.90,2.79,2.90,386157
11-10-1994,2.90,2.93,2.84,2.93,368812
11-11-1994,2.93,2.99,2.81,2.81,372171
11-14-1994,2.86,2.90,2.81,2.90,14536
11-15-1994,2.90,2.90,2.77,2.81,138224
11-16-1994,2.77,2.81,2.72,2.81,577011
11-17-1994,2.81,2.81,2.72,2.72,24048
11-18-1994,2.81,2.81,2.72,2.72,35805
11-21-1994,2.72,2.72,2.72,2.72,16216
11-22-1994,2.72,2.72,2.50,2.55,484666
11-23-1994,2.50,2.55,2.41,2.55,582610
11-25-1994,2.57,2.68,2.57,2.64,49235
11-28-1994,2.68,2.72,2.64,2.64,53152
11-29-1994,2.59,2.59,2.50,2.52,334670
11-30-1994,2.55,2.59,2.50,2.59,292132
12-01-1994,2.59,2.64,2.59,2.59,116959
12-02-1994,2.59,2.59,2.50,2.55,343069
12-05-1994,2.55,2.59,2.51,2.59,290460
12-06-1994,2.59,2.59,2.55,2.55,81136
