Date,Open,High,Low,Close,Volume
11-13-1998,-2.75,-2.75,-2.80,-2.75,0
11-16-1998,-3.43,-3.40,-3.60,-3.47,0
11-17-1998,-2.63,-2.63,-2.87,-2.65,0
11-18-1998,-3.25,-3.15,-3.30,-3.30,0
11-19-1998,-3.37,-3.36,-3.42,-3.42,0
11-20-1998,-2.90,-2.85,-3.00,-2.85,0
11-23-1998,-2.87,-2.87,-2.87,-2.87,0
11-24-1998,-2.77,-2.75,-2.80,-2.75,0
11-25-1998,-2.75,-2.73,-2.80,-2.76,0
11-27-1998,-2.75,-2.75,-2.75,-2.75,0
11-30-1998,-2.77,-2.73,-2.77,-2.77,0
12-01-1998,-2.75,-2.75,-2.75,-2.75,0
12-02-1998,-2.75,-2.75,-2.77,-2.76,0
12-03-1998,-2.66,-2.66,-2.66,-2.66,0
12-04-1998,-2.67,-2.66,-2.70,-2.70,0
12-07-1998,-2.72,-2.72,-2.75,-2.75,0
12-08-1998,-2.67,-2.67,-2.70,-2.70,0
12-09-1998,-2.77,-2.75,-2.80,-2.77,0
12-10-1998,-2.85,-2.78,-2.87,-2.84,0
12-11-1998,-2.85,-2.85,-2.85,-2.85,0
12-14-1998,-2.82,-2.81,-2.85,-2.82,0
12-15-1998,-2.80,-2.80,-2.85,-2.82,0
12-16-1998,-2.77,-2.77,-2.82,-2.77,0
12-17-1998,-2.80,-2.75,-2.82,-2.77,0
12-18-1998,-2.90,-2.87,-2.90,-2.87,0
12-21-1998,-2.87,-2.85,-2.89,-2.85,0
12-22-1998,-2.67,-2.67,-2.70,-2.70,0
12-23-1998,-2.67,-2.67,-2.67,-2.67,0
12-24-1998,-2.70,-2.65,-2.70,-2.67,0
12-28-1998,-2.92,-2.92,-2.94,-2.92,0
12-29-1998,-2.95,-2.92,-2.95,-2.92,0
12-30-1998,-2.95,-2.92,-2.95,-2.92,0
12-31-1998,-2.85,-2.82,-2.85,-2.82,0
01-04-1999,-2.85,-2.82,-2.85,-2.82,0
01-05-1999,-2.92,-2.92,-2.95,-2.92,0
01-06-1999,-3.07,-3.06,-3.09,-3.06,0
01-07-1999,-3.10,-3.10,-3.14,-3.11,0
01-08-1999,-3.07,-3.05,-3.07,-3.05,0
01-11-1999,-3.10,-3.09,-3.14,-3.12,0
01-12-1999,-3.01,-3.01,-3.02,-3.02,0
01-13-1999,-2.94,-2.91,-2.94,-2.94,0
01-14-1999,-2.94,-2.92,-2.94,-2.94,0
01-15-1999,-2.95,-2.92,-2.96,-2.92,0
01-19-1999,-2.97,-2.96,-2.97,-2.97,0
01-20-1999,-2.90,-2.89,-2.92,-2.89,0
01-21-1999,-2.85,-2.82,-2.85,-2.82,0
01-22-1999,-2.82,-2.82,-2.85,-2.84,0
01-25-1999,-2.85,-2.82,-2.85,-2.85,0
01-26-1999,-2.85,-2.85,-2.85,-2.85,0
01-27-1999,-2.85,-2.85,-2.90,-2.90,0
01-28-1999,-2.92,-2.92,-2.97,-2.95,0
01-29-1999,-2.97,-2.95,-2.97,-2.95,0
02-01-1999,-2.85,-2.82,-2.86,-2.85,0
02-02-1999,-2.75,-2.75,-2.77,-2.75,0
02-03-1999,-2.77,-2.77,-2.82,-2.82,0
02-04-1999,-2.77,-2.77,-2.80,-2.80,0
02-05-1999,-2.87,-2.87,-2.91,-2.90,0
