Date,Open,High,Low,Close,Volume
10-25-2012,18.17,18.17,18.17,18.17,0
10-26-2012,21.06,22.86,20.94,22.47,17434672
10-31-2012,22.38,22.91,21.48,22.51,853621
11-01-2012,22.72,22.72,21.89,22.05,416071
11-02-2012,21.89,22.35,21.53,22.35,521357
11-05-2012,22.35,22.67,22.14,22.30,464667
11-06-2012,21.89,23.38,21.89,22.74,320371
11-07-2012,22.40,22.72,22.10,22.48,284733
11-08-2012,22.33,22.59,22.19,22.30,224305
11-09-2012,21.90,22.86,21.89,22.67,224916
11-12-2012,22.81,23.04,22.64,22.68,224158
11-13-2012,22.63,22.86,22.03,22.62,656470
11-14-2012,22.61,22.71,22.15,22.21,246347
11-15-2012,21.91,22.32,21.89,22.24,165080
11-16-2012,22.16,22.67,21.92,22.45,310760
11-19-2012,22.72,22.85,22.20,22.34,188263
11-20-2012,22.51,22.77,22.19,22.30,318574
11-21-2012,22.11,22.51,22.11,22.22,157374
11-23-2012,22.44,22.44,22.10,22.28,13290
11-26-2012,22.30,22.55,22.00,22.47,994748
11-27-2012,22.06,22.67,22.06,22.63,127786
11-28-2012,22.45,23.33,22.42,23.15,295104
11-29-2012,23.10,24.08,23.10,23.70,197383
11-30-2012,23.62,23.87,23.35,23.84,68518
12-03-2012,23.87,24.82,23.56,24.70,207880
12-04-2012,24.57,24.84,24.37,24.42,178375
12-05-2012,24.78,24.78,24.24,24.25,88383
12-06-2012,24.09,24.44,23.74,24.24,65821
12-07-2012,25.08,25.34,24.57,24.90,231164
12-10-2012,25.40,25.49,24.63,25.19,135913
12-11-2012,25.14,28.51,25.14,25.85,118591
12-12-2012,25.85,26.42,25.62,25.86,120096
12-13-2012,25.83,26.42,24.78,25.57,161070
12-14-2012,25.47,25.83,25.10,25.37,113504
12-17-2012,25.31,25.61,25.08,25.28,70818
12-18-2012,25.10,25.61,25.00,25.35,158338
12-19-2012,25.28,25.56,25.14,25.38,134164
12-20-2012,25.26,25.45,24.95,25.14,183808
12-21-2012,25.09,25.42,24.55,25.25,210001
12-24-2012,25.19,25.47,24.95,24.95,18787
12-26-2012,25.04,25.21,24.84,25.05,71685
12-27-2012,25.05,25.37,24.85,25.27,55171
12-28-2012,25.19,25.27,24.71,24.99,54457
12-31-2012,24.85,25.89,24.53,25.76,268604
01-02-2013,26.10,27.26,26.00,27.13,154148
01-03-2013,27.16,27.58,26.40,26.93,131689
01-04-2013,27.04,27.57,26.53,26.64,133110
01-07-2013,26.44,27.27,26.43,26.47,91059
01-08-2013,26.80,27.22,26.53,26.73,101245
01-09-2013,26.75,27.12,26.53,26.69,47298
01-10-2013,26.75,26.85,26.55,26.71,142777
01-11-2013,26.71,27.30,26.47,26.79,112651
01-14-2013,26.89,26.93,26.50,26.58,63993
01-15-2013,26.63,27.05,26.57,26.96,114166
01-16-2013,26.96,27.69,26.83,27.51,304946
01-17-2013,27.67,28.19,27.19,27.20,174189
01-18-2013,27.32,27.51,26.14,26.60,231432
01-22-2013,26.60,27.84,26.60,27.14,103269
01-23-2013,26.96,27.84,26.70,27.19,112104
01-24-2013,27.13,28.29,27.13,27.30,109568
01-25-2013,27.45,27.74,27.29,27.34,100577
01-28-2013,27.42,28.08,27.28,27.99,114694
01-29-2013,27.99,28.00,27.48,27.56,96112
01-30-2013,27.51,28.58,27.29,28.29,214490
01-31-2013,27.53,29.67,27.47,28.58,185033
02-01-2013,28.84,30.12,28.84,29.53,223240
02-04-2013,29.37,29.62,28.94,28.99,70443
02-05-2013,29.14,29.14,28.94,28.97,30042
02-06-2013,28.89,29.06,28.31,28.45,176275
02-07-2013,28.45,28.54,28.24,28.45,136575
02-08-2013,28.47,28.93,28.45,28.58,29502
02-11-2013,28.99,30.21,28.94,29.24,203116
02-12-2013,29.28,29.85,29.28,29.65,72412
02-13-2013,29.87,30.09,29.70,29.85,75553
02-14-2013,29.85,30.75,29.32,29.48,147158
02-15-2013,29.72,29.87,29.06,29.18,91239
02-19-2013,29.44,30.31,29.35,30.16,147596
02-20-2013,30.19,30.30,29.06,29.07,100604
02-21-2013,29.06,29.08,27.82,28.45,170825
02-22-2013,28.44,28.87,27.82,28.01,142872
02-25-2013,28.11,28.16,27.77,27.84,73428
02-26-2013,27.90,28.02,27.15,27.52,317679
02-27-2013,27.49,27.68,26.67,27.38,268826
02-28-2013,27.28,27.54,27.03,27.14,209907
03-01-2013,27.22,27.38,27.01,27.30,114660
03-04-2013,27.40,28.13,27.40,27.75,153652
03-05-2013,27.98,28.80,27.82,28.69,496827
03-06-2013,28.78,29.41,28.23,29.31,570875
03-07-2013,29.41,30.44,29.08,30.39,719425
03-08-2013,30.41,31.65,30.29,31.14,352188
03-11-2013,31.05,32.06,30.51,31.47,441245
03-12-2013,31.55,31.55,30.94,31.49,535650
03-13-2013,31.40,31.72,30.66,30.90,283307
03-14-2013,30.82,30.82,30.11,30.41,370957
03-15-2013,30.34,30.34,29.04,30.19,511366
03-18-2013,29.79,30.09,29.16,29.89,240131
03-19-2013,30.07,30.33,29.63,30.01,274891
03-20-2013,30.34,30.85,30.02,30.73,175056
03-21-2013,30.56,31.47,30.36,30.75,270733
03-22-2013,30.76,31.23,30.60,31.22,97836
03-25-2013,31.47,31.47,31.10,31.29,81400
03-26-2013,31.58,31.58,30.93,31.30,125023
03-27-2013,31.14,31.49,30.72,30.94,81249
03-28-2013,31.01,31.15,30.68,31.09,148091
04-01-2013,31.11,31.51,31.06,31.30,72871
04-02-2013,31.52,31.68,31.02,31.31,76561
04-03-2013,31.30,31.30,29.84,30.21,118983
04-04-2013,30.26,30.31,29.87,29.93,130845
04-05-2013,29.85,29.89,28.84,29.14,404311
04-08-2013,29.14,30.29,29.06,30.14,83985
04-09-2013,30.36,30.63,30.25,30.46,84255
04-10-2013,30.57,30.63,30.10,30.16,71723
04-11-2013,30.10,30.61,29.31,30.36,115885
04-12-2013,30.20,30.77,29.83,30.57,99765
04-15-2013,30.34,30.37,28.81,29.38,204429
04-16-2013,29.78,30.26,28.65,29.08,150924
04-17-2013,29.01,29.13,28.65,28.96,116827
04-18-2013,28.94,30.07,28.94,29.68,40812
04-19-2013,29.79,30.24,29.53,29.68,73850
04-22-2013,29.68,30.12,29.59,30.04,11937
04-23-2013,29.93,30.30,29.81,30.21,57101
04-24-2013,30.07,31.93,30.07,31.71,298792
04-25-2013,31.71,32.51,31.71,32.28,139218
04-26-2013,32.05,32.64,32.00,32.13,156314
04-29-2013,32.37,32.56,30.95,32.46,442591
04-30-2013,32.38,32.58,31.26,31.78,199939
05-01-2013,31.66,31.66,30.21,30.71,178116
05-02-2013,30.78,31.60,30.35,30.42,98699
05-03-2013,30.42,31.62,29.16,31.49,211342
05-06-2013,31.39,32.09,30.76,31.81,92693
05-07-2013,31.91,32.01,31.49,31.67,68856
05-08-2013,31.82,31.99,31.09,31.17,216445
05-09-2013,31.07,31.44,30.94,30.96,256448
05-10-2013,30.89,31.01,30.11,30.63,146917
05-13-2013,30.73,30.78,30.32,30.52,142646
05-14-2013,30.67,30.67,30.20,30.52,217437
05-15-2013,30.39,30.67,30.32,30.67,97974
05-16-2013,30.73,31.77,30.73,31.46,56745
05-17-2013,31.62,31.65,30.88,31.17,332957
