Date,Open,High,Low,Close,Volume
02-28-2001,1.47,1.47,1.47,1.47,597
03-01-2001,1.53,1.63,1.34,1.34,47927
03-02-2001,1.39,1.39,1.29,1.29,35390
03-05-2001,1.34,1.34,1.12,1.15,73941
03-06-2001,1.21,1.23,1.00,1.05,382372
03-07-2001,1.147,1.147,0.952,0.952,121274
03-08-2001,0.99,1.07,0.96,1.07,309965
03-09-2001,1.12,1.24,1.08,1.12,251353
03-12-2001,1.12,1.21,1.10,1.10,68302
03-13-2001,1.052,1.072,0.957,0.965,154498
03-14-2001,0.965,0.965,0.877,0.877,129106
03-15-2001,0.892,0.940,0.892,0.925,32884
03-16-2001,0.925,0.927,0.925,0.925,34770
03-19-2001,0.925,0.940,0.907,0.907,45418
03-20-2001,0.925,0.940,0.907,0.907,38525
03-21-2001,0.892,0.892,0.860,0.877,76135
03-22-2001,0.877,0.877,0.867,0.867,9690
03-23-2001,0.867,0.877,0.867,0.867,71438
03-26-2001,0.845,0.860,0.768,0.768,144464
03-27-2001,0.765,0.892,0.765,0.892,184277
03-28-2001,0.892,0.907,0.892,0.892,13450
03-29-2001,0.907,0.987,0.907,0.925,39149
03-30-2001,0.957,0.957,0.765,0.845,124091
04-02-2001,0.845,0.892,0.845,0.860,70494
04-03-2001,0.860,0.867,0.812,0.827,76758
04-04-2001,0.827,0.860,0.827,0.860,11569
04-05-2001,0.892,0.994,0.892,0.994,32884
04-06-2001,0.994,0.994,0.994,0.994,0
04-09-2001,0.987,0.987,0.972,0.972,10306
04-10-2001,0.99,1.07,0.99,1.04,28180
04-11-2001,1.04,1.04,1.02,1.02,3103
04-12-2001,1.00,1.00,0.99,1.00,12821
04-16-2001,1.04,1.07,1.04,1.07,31314
04-17-2001,1.07,1.18,1.07,1.15,36950
04-18-2001,1.18,1.18,1.15,1.15,81472
04-19-2001,1.15,1.18,1.14,1.18,22858
04-20-2001,1.20,1.21,1.18,1.20,7177
04-23-2001,1.21,1.26,1.20,1.20,50120
04-24-2001,1.23,1.23,1.20,1.23,67671
04-25-2001,1.21,1.25,1.21,1.24,20969
04-26-2001,1.24,1.28,1.24,1.24,52942
04-27-2001,1.25,1.26,1.25,1.26,4357
04-30-2001,1.28,1.32,1.28,1.32,9062
05-01-2001,1.32,1.32,1.32,1.32,14076
05-02-2001,1.34,1.39,1.34,1.39,17206
05-03-2001,1.39,1.45,1.39,1.42,113125
05-04-2001,1.42,1.42,1.40,1.42,17520
05-07-2001,1.44,1.44,1.39,1.39,49496
05-08-2001,1.36,1.47,1.36,1.43,57330
05-09-2001,1.40,1.40,1.34,1.34,63284
05-10-2001,1.34,1.34,1.31,1.31,140392
05-11-2001,1.31,1.31,1.31,1.31,7177
05-14-2001,1.31,1.31,1.29,1.29,25673
05-15-2001,1.29,1.31,1.29,1.29,6234
05-16-2001,1.29,1.31,1.29,1.29,8115
05-17-2001,1.32,1.36,1.32,1.32,60784
05-18-2001,1.31,1.36,1.31,1.31,9690
05-21-2001,1.31,1.31,1.31,1.31,5302
05-22-2001,1.31,1.36,1.31,1.35,30057
05-23-2001,1.36,1.37,1.36,1.36,12509
05-24-2001,1.36,1.37,1.36,1.37,1219
05-25-2001,1.37,1.37,1.37,1.37,2167
05-29-2001,1.37,1.37,1.36,1.36,17520
05-30-2001,1.34,1.40,1.34,1.40,46982
05-31-2001,1.37,1.44,1.37,1.40,68615
06-01-2001,1.37,1.43,1.37,1.41,25045
06-04-2001,1.37,1.43,1.37,1.43,32566
06-05-2001,1.42,1.48,1.42,1.48,25673
06-06-2001,1.45,1.47,1.40,1.40,19407
06-07-2001,1.40,1.42,1.39,1.42,35075
06-08-2001,1.42,1.44,1.42,1.44,17840
06-11-2001,1.44,1.44,1.44,1.44,0
06-12-2001,1.42,1.42,1.39,1.39,3726
06-13-2001,1.39,1.39,1.36,1.36,73002
06-14-2001,1.36,1.36,1.36,1.36,9690
06-15-2001,1.36,1.36,1.34,1.36,21281
06-18-2001,1.36,1.37,1.36,1.36,19094
06-19-2001,1.36,1.36,1.36,1.36,8115
06-20-2001,1.36,1.36,1.34,1.34,54197
06-21-2001,1.34,1.36,1.34,1.36,33509
06-22-2001,1.36,1.40,1.36,1.37,83034
06-25-2001,1.37,1.37,1.37,1.37,0
06-26-2001,1.37,1.39,1.36,1.36,4044
06-27-2001,1.36,1.36,1.36,1.36,1219
06-28-2001,1.36,1.36,1.36,1.36,29114
06-29-2001,1.36,1.36,1.36,1.36,45418
07-02-2001,1.36,1.40,1.36,1.40,5610
07-03-2001,1.39,1.39,1.39,1.39,597
07-05-2001,1.39,1.39,1.39,1.39,3726
07-06-2001,1.39,1.42,1.37,1.42,8430
07-09-2001,1.40,1.40,1.40,1.40,907
07-10-2001,1.39,1.39,1.39,1.39,3103
07-11-2001,1.39,1.39,1.39,1.39,0
07-12-2001,1.40,1.40,1.39,1.39,2167
07-13-2001,1.37,1.40,1.37,1.40,15332
07-16-2001,1.42,1.45,1.42,1.45,16581
07-17-2001,1.42,1.44,1.42,1.44,4357
07-18-2001,1.44,1.44,1.44,1.44,0
07-19-2001,1.44,1.44,1.44,1.44,288
07-20-2001,1.44,1.45,1.44,1.45,597
07-23-2001,1.45,1.45,1.45,1.45,1542
07-24-2001,1.44,1.47,1.44,1.47,4044
07-25-2001,1.50,1.52,1.48,1.52,7495
07-26-2001,1.51,1.51,1.51,1.51,597
07-27-2001,1.52,1.52,1.52,1.52,1219
07-30-2001,1.52,1.52,1.52,1.52,0
07-31-2001,1.52,1.55,1.52,1.55,9370
08-01-2001,1.53,1.53,1.53,1.53,597
08-02-2001,1.53,1.56,1.53,1.56,8115
08-03-2001,1.55,1.60,1.55,1.60,6234
08-06-2001,1.60,1.60,1.60,1.60,0
08-07-2001,1.56,1.56,1.56,1.56,3726
08-08-2001,1.55,1.55,1.48,1.50,57019
08-09-2001,1.52,1.52,1.50,1.50,49496
08-10-2001,1.50,1.50,1.50,1.50,0
08-13-2001,1.50,1.50,1.48,1.48,12509
08-14-2001,1.48,1.48,1.48,1.48,0
08-15-2001,1.47,1.48,1.47,1.48,10306
08-16-2001,1.48,1.48,1.48,1.48,0
08-17-2001,1.48,1.48,1.48,1.48,0
08-20-2001,1.45,1.45,1.44,1.45,32884
08-21-2001,1.45,1.45,1.45,1.45,23475
08-22-2001,1.45,1.45,1.45,1.45,3418
08-23-2001,1.45,1.45,1.45,1.45,597
08-24-2001,1.45,1.45,1.45,1.45,5302
08-27-2001,1.48,1.48,1.47,1.47,9062
08-28-2001,1.47,1.47,1.47,1.47,1542
08-29-2001,1.50,1.50,1.47,1.47,6234
08-30-2001,1.47,1.47,1.47,1.47,1542
