Date,Open,High,Low,Close,Volume
05-19-2014,18.99,19.12,18.99,19.10,749768
05-20-2014,19.14,19.18,19.09,19.14,291098
05-21-2014,19.14,19.19,19.12,19.14,130411
05-22-2014,19.14,19.19,19.12,19.12,45547
05-23-2014,19.19,19.19,19.12,19.16,22214
05-27-2014,19.21,19.21,19.10,19.16,48474
05-28-2014,19.15,19.16,19.02,19.06,151883
05-29-2014,19.09,19.11,19.06,19.10,197941
05-30-2014,19.11,19.17,19.10,19.15,68470
06-02-2014,19.08,19.21,19.08,19.18,121366
06-03-2014,19.16,19.22,19.16,19.18,135026
06-04-2014,19.21,19.21,19.08,19.19,136411
06-05-2014,19.18,19.22,19.14,19.22,144007
06-06-2014,19.22,19.22,19.19,19.19,25100
06-09-2014,19.22,19.22,19.15,19.19,34533
06-10-2014,19.20,19.22,19.16,19.16,13784
06-11-2014,19.16,19.18,19.16,19.18,2857
06-12-2014,19.16,19.21,19.16,19.21,13099
06-13-2014,19.22,19.22,19.21,19.21,7403
06-16-2014,19.22,19.22,19.19,19.20,19738
06-17-2014,19.22,19.22,19.16,19.17,62331
06-18-2014,19.22,19.22,19.21,19.22,29264
06-19-2014,19.22,19.23,19.18,19.22,80033
06-20-2014,19.22,19.23,19.21,19.22,26261
06-23-2014,19.22,19.23,19.22,19.23,61097
06-24-2014,19.23,19.33,19.23,19.26,73566
06-25-2014,19.26,19.30,19.23,19.23,51554
06-26-2014,19.26,19.28,19.21,19.25,77941
06-27-2014,19.13,19.19,19.12,19.16,53188
06-30-2014,19.15,19.22,19.14,19.22,35713
07-01-2014,19.22,19.31,19.22,19.25,9829
07-02-2014,19.30,19.33,19.28,19.30,27139
07-03-2014,19.25,19.26,19.22,19.26,14170
07-07-2014,19.26,19.38,19.22,19.22,34467
07-08-2014,19.23,19.23,19.19,19.21,45084
07-09-2014,19.26,19.52,19.21,19.22,28907
07-10-2014,19.26,19.26,19.26,19.26,4503
07-11-2014,19.26,19.26,19.19,19.26,9889
07-14-2014,19.26,19.26,19.22,19.24,2985
07-15-2014,19.24,19.24,19.19,19.23,11208
07-16-2014,19.22,19.23,19.18,19.20,17319
07-17-2014,19.24,19.24,19.22,19.22,6565
07-18-2014,19.22,19.24,19.19,19.24,9814
07-21-2014,19.24,19.24,19.22,19.22,9262
07-22-2014,19.22,19.26,19.22,19.26,22220
07-23-2014,19.22,19.33,19.22,19.33,45354
07-24-2014,19.29,19.38,19.29,19.36,23909
07-25-2014,19.46,19.47,19.35,19.42,23865
07-28-2014,19.33,19.38,19.33,19.37,23930
07-29-2014,19.42,19.50,19.37,19.47,75772
07-30-2014,19.39,19.44,19.32,19.32,19628
07-31-2014,19.32,19.38,19.18,19.30,41231
08-01-2014,19.23,19.42,19.20,19.23,24107
08-04-2014,19.29,19.39,19.10,19.14,36310
08-05-2014,19.16,19.23,19.16,19.23,16187
08-06-2014,19.07,19.23,19.07,19.20,10075
08-07-2014,19.22,19.26,19.22,19.26,7553
08-08-2014,19.26,19.33,19.25,19.26,4566
08-11-2014,19.32,19.35,19.23,19.28,6524
08-12-2014,19.28,19.28,19.24,19.24,4188
08-13-2014,19.27,19.27,19.16,19.23,3818
08-14-2014,19.33,19.35,19.25,19.26,11721
08-15-2014,19.35,19.35,19.24,19.26,2398
08-18-2014,19.24,19.27,19.24,19.24,13256
08-19-2014,19.29,19.32,19.22,19.25,9641
08-20-2014,19.22,19.25,19.22,19.25,3181
08-21-2014,19.27,19.29,19.26,19.26,7974
08-22-2014,19.26,19.29,19.26,19.29,1425
08-25-2014,19.32,19.37,19.22,19.28,25232
08-26-2014,19.36,19.36,19.26,19.28,8903
08-27-2014,19.32,19.32,19.26,19.26,9877
08-28-2014,19.26,19.43,19.24,19.43,43074
08-29-2014,19.43,19.43,19.31,19.33,13650
09-02-2014,19.29,19.39,19.26,19.36,22835
09-03-2014,19.36,19.37,19.23,19.35,4362
