Date,Open,High,Low,Close,Volume
09-22-1997,30.47,30.47,30.03,30.03,5336
09-23-1997,30.03,30.03,28.55,28.99,60886
09-24-1997,30.61,30.61,28.85,28.85,121183
09-25-1997,28.85,29.14,27.96,27.96,58501
09-26-1997,27.96,28.55,27.96,28.48,24958
09-29-1997,28.48,28.48,28.26,28.26,43048
09-30-1997,28.33,28.33,26.05,27.38,2101057
10-01-1997,27.38,27.38,27.38,27.38,0
10-02-1997,28.26,28.41,27.52,27.52,728765
10-03-1997,27.52,27.82,26.64,27.15,1692290
10-06-1997,27.38,28.55,27.30,28.26,1017525
10-07-1997,28.55,29.22,28.48,28.48,534958
10-08-1997,28.55,29.14,28.41,29.14,1509523
10-09-1997,28.85,29.07,28.70,28.99,567403
10-10-1997,28.99,29.14,28.41,28.48,305311
10-13-1997,28.48,28.99,28.41,28.99,578868
10-14-1997,28.70,28.77,28.33,28.55,552963
10-15-1997,28.41,28.48,27.74,28.26,969628
10-16-1997,28.41,28.55,28.26,28.33,568761
10-17-1997,28.33,28.41,27.45,27.67,562561
10-20-1997,27.89,27.89,27.60,27.67,261572
10-21-1997,27.67,28.41,27.67,28.33,146744
10-22-1997,28.33,28.70,28.19,28.48,196430
10-23-1997,27.82,27.96,27.60,27.67,192440
10-24-1997,27.96,28.48,27.89,28.26,256389
10-27-1997,27.89,28.26,26.27,26.27,310065
10-28-1997,24.73,27.08,24.58,26.71,317452
10-29-1997,26.93,27.01,24.95,25.32,418181
10-30-1997,25.39,26.12,24.87,25.46,261996
10-31-1997,25.61,26.27,25.32,26.27,154811
11-03-1997,26.27,26.49,25.24,25.98,402212
11-04-1997,25.90,25.90,24.80,24.87,420134
11-05-1997,24.87,25.61,24.87,25.54,710674
11-06-1997,25.17,25.54,25.17,25.39,522897
11-07-1997,24.73,25.17,24.73,25.02,459286
11-10-1997,24.87,25.24,24.87,25.09,131625
11-11-1997,25.02,25.24,25.02,25.02,207809
11-12-1997,24.73,25.02,24.73,24.73,238129
11-13-1997,24.73,25.39,24.43,25.17,333336
11-14-1997,25.02,25.68,24.80,25.46,149463
11-17-1997,25.76,26.12,25.76,26.05,134348
11-18-1997,25.90,27.08,25.90,26.20,350324
11-19-1997,25.98,26.35,25.90,26.27,164414
11-20-1997,26.12,26.57,26.12,26.42,293930
11-21-1997,26.71,26.71,26.20,26.20,394824
11-24-1997,26.49,26.49,25.90,25.98,88740
11-25-1997,25.76,25.98,25.76,25.90,203565
11-26-1997,25.76,26.64,25.76,26.20,119565
11-28-1997,26.20,26.49,26.20,26.35,45682
12-01-1997,26.05,26.79,26.05,26.49,190316
12-02-1997,26.20,26.35,25.98,26.27,133412
12-03-1997,25.98,26.27,25.61,26.27,234904
12-04-1997,26.27,26.79,25.90,26.71,401366
12-05-1997,26.27,26.93,26.20,26.93,103601
12-08-1997,26.79,26.93,26.71,26.86,57145
12-09-1997,26.79,26.93,26.27,26.49,541412
12-10-1997,26.05,26.12,25.90,25.90,154302
12-11-1997,25.83,26.42,25.61,26.05,766308
12-12-1997,26.35,26.49,26.05,26.05,152178
12-15-1997,26.05,26.35,25.61,25.90,60886
12-16-1997,25.90,26.05,25.83,25.90,723926
12-17-1997,25.90,26.93,25.90,26.79,303438
12-18-1997,26.64,26.86,26.64,26.71,66741
12-19-1997,26.71,26.71,25.46,26.12,147511
12-22-1997,25.61,25.68,25.02,25.61,182077
