Date,Open,High,Low,Close,Volume
08-01-1994,7.29,7.43,7.26,7.32,650890
08-02-1994,7.34,7.52,7.34,7.40,1247785
08-03-1994,7.46,7.72,7.46,7.72,3320372
08-04-1994,7.75,7.77,7.55,7.69,1341458
08-05-1994,7.52,7.72,7.49,7.69,1513991
08-08-1994,7.75,7.89,7.63,7.69,3094684
08-09-1994,7.66,7.86,7.60,7.77,1383719
08-10-1994,7.75,7.86,7.66,7.72,996822
08-11-1994,7.57,7.75,7.57,7.69,973730
08-12-1994,7.69,7.89,7.69,7.86,741071
08-15-1994,7.92,8.00,7.77,7.77,892698
08-16-1994,7.80,7.95,7.75,7.89,1130576
08-17-1994,8.03,8.12,7.83,7.92,2168837
08-18-1994,7.86,7.95,7.75,7.83,1550590
08-19-1994,7.83,8.06,7.80,8.00,2100428
08-22-1994,8.03,8.26,8.00,8.03,3139119
08-23-1994,8.09,8.18,7.72,7.75,2280810
08-24-1994,7.72,7.98,7.60,7.98,1609844
08-25-1994,7.98,8.06,7.77,7.80,1283074
08-26-1994,7.89,7.98,7.75,7.86,915348
08-29-1994,7.95,7.98,7.80,7.80,622562
08-30-1994,7.75,7.89,7.72,7.80,807299
08-31-1994,7.80,7.86,7.60,7.60,1126662
09-01-1994,7.66,7.77,7.63,7.66,977217
09-02-1994,7.77,7.77,7.55,7.60,497959
09-06-1994,7.55,7.66,7.52,7.63,552860
09-07-1994,7.63,7.83,7.60,7.80,523227
09-08-1994,7.86,7.95,7.86,7.89,568112
09-09-1994,7.66,7.89,7.52,7.52,901838
09-12-1994,7.55,7.60,7.29,7.29,1327075
09-13-1994,7.34,7.62,7.32,7.52,1014686
09-14-1994,7.55,7.69,7.46,7.69,743692
09-15-1994,7.77,7.98,7.72,7.98,849559
09-16-1994,7.92,7.92,7.69,7.83,671796
09-19-1994,7.72,7.89,7.72,7.89,488810
09-20-1994,7.83,8.06,7.80,7.98,1426849
09-21-1994,8.00,8.03,7.75,7.80,1460401
09-22-1994,7.80,7.86,7.72,7.83,616029
09-23-1994,7.83,8.06,7.83,7.95,1719204
09-26-1994,7.83,8.06,7.83,7.89,996391
09-27-1994,7.89,7.95,7.80,7.83,412558
09-28-1994,7.89,7.92,7.52,7.72,2316975
09-29-1994,7.72,7.77,7.40,7.46,1458222
09-30-1994,7.46,7.77,7.43,7.63,1050849
10-03-1994,7.66,7.66,7.37,7.40,483146
10-04-1994,7.40,7.49,7.29,7.34,826905
10-05-1994,7.29,7.29,7.06,7.29,1375441
10-06-1994,7.29,7.29,7.17,7.23,521925
10-07-1994,7.17,7.37,7.14,7.26,455263
10-10-1994,7.32,7.40,7.23,7.40,517135
10-11-1994,7.40,7.57,7.40,7.55,557649
10-12-1994,7.49,7.75,7.49,7.75,878312
10-13-1994,7.80,7.83,7.66,7.72,1065225
10-14-1994,7.69,7.75,7.60,7.72,469202
10-17-1994,7.77,7.77,7.60,7.63,260069
10-18-1994,7.60,7.63,7.46,7.52,266602
10-19-1994,7.46,7.66,7.46,7.63,434347
10-20-1994,7.69,7.69,7.52,7.55,193414
10-21-1994,7.52,7.52,7.40,7.46,339366
10-24-1994,7.49,7.52,7.37,7.40,314533
10-25-1994,7.12,7.23,7.03,7.20,1593722
10-26-1994,7.23,7.32,7.06,7.26,879188
10-27-1994,7.26,7.46,7.26,7.34,831696
10-28-1994,7.29,7.40,7.20,7.23,364636
10-31-1994,7.37,7.40,7.17,7.20,546321
11-01-1994,7.17,7.20,7.09,7.09,368558
11-02-1994,7.09,7.26,7.09,7.12,356359
11-03-1994,7.17,7.34,7.17,7.20,565928
11-04-1994,7.34,7.52,7.32,7.43,974600
11-07-1994,7.34,7.52,7.34,7.46,524534
11-08-1994,7.46,7.60,7.46,7.49,486197
11-09-1994,7.55,7.66,7.34,7.34,751529
11-10-1994,7.17,7.26,7.00,7.12,1025579
11-11-1994,7.09,7.29,7.09,7.26,804250
11-14-1994,7.23,7.29,7.14,7.14,536732
11-15-1994,7.12,7.17,7.03,7.06,509284
11-16-1994,7.06,7.20,7.06,7.12,547191
11-17-1994,7.14,7.14,7.00,7.00,694895
11-18-1994,7.00,7.03,6.80,6.83,645221
11-21-1994,6.83,6.86,6.66,6.80,781593
11-22-1994,6.74,6.89,6.63,6.66,858716
11-23-1994,6.54,6.66,6.51,6.66,855661
11-25-1994,6.57,6.74,6.57,6.74,361586
11-28-1994,6.80,7.12,6.80,7.09,960227
11-29-1994,7.29,7.29,7.06,7.23,837364
11-30-1994,7.29,7.40,7.14,7.26,1232529
12-01-1994,7.32,7.32,7.14,7.14,731053
12-02-1994,6.97,7.20,6.94,7.14,725393
12-05-1994,7.20,7.20,6.97,7.03,524972
12-06-1994,6.97,7.17,6.91,7.14,636511
12-07-1994,7.06,7.09,6.89,6.91,654373
12-08-1994,6.89,6.97,6.66,6.68,608185
12-09-1994,6.68,6.86,6.68,6.74,883115
12-12-1994,6.71,6.74,6.68,6.71,405160
12-13-1994,6.71,6.80,6.57,6.63,743692
12-14-1994,6.74,6.83,6.63,6.68,633899
12-15-1994,6.68,6.71,6.60,6.63,734974
12-16-1994,6.60,6.63,6.46,6.51,614722
12-19-1994,6.48,6.51,6.28,6.34,1149751
12-20-1994,6.28,6.34,5.91,5.94,3954742
12-21-1994,5.97,6.00,5.51,5.82,5244381
12-22-1994,5.62,5.62,5.39,5.45,5887024
12-23-1994,5.54,5.59,5.31,5.34,4681034
12-27-1994,5.22,5.22,4.50,4.59,8230177
12-28-1994,4.71,5.11,4.71,5.11,9202207
12-29-1994,5.25,5.31,5.16,5.22,7130930
12-30-1994,5.42,5.42,5.19,5.19,4036217
01-03-1995,5.28,5.34,5.08,5.08,3523404
01-04-1995,5.05,5.08,4.50,4.79,9841803
01-05-1995,4.79,4.96,4.59,4.71,7049459
