Date,Open,High,Low,Close,Volume
03-26-1990,10.44,10.44,10.11,10.11,0
03-27-1990,10.11,10.11,10.11,10.11,0
03-28-1990,10.11,10.11,10.11,10.11,0
03-29-1990,10.11,10.36,10.11,10.27,0
03-30-1990,10.44,10.44,10.11,10.11,0
04-02-1990,10.11,10.11,10.11,10.11,0
04-03-1990,10.27,10.27,10.27,10.27,0
04-04-1990,10.44,10.44,10.44,10.44,0
04-05-1990,10.44,10.44,10.11,10.11,0
04-06-1990,10.11,10.11,10.11,10.11,0
04-09-1990,10.19,10.44,10.19,10.19,0
04-10-1990,10.19,10.19,10.19,10.19,0
04-11-1990,10.36,10.44,10.27,10.27,0
04-12-1990,10.44,10.44,10.44,10.44,0
04-16-1990,10.19,10.19,10.19,10.19,0
04-17-1990,10.19,10.44,10.19,10.44,0
04-18-1990,10.44,10.44,10.19,10.19,0
04-19-1990,10.19,10.19,10.19,10.19,0
04-20-1990,10.52,10.52,10.52,10.52,0
04-23-1990,10.27,10.27,10.27,10.27,0
04-24-1990,10.27,10.27,10.27,10.27,0
04-25-1990,10.27,10.27,10.27,10.27,0
04-26-1990,10.27,10.27,10.27,10.27,0
04-27-1990,10.27,10.27,10.27,10.27,0
04-30-1990,10.27,10.27,10.27,10.27,0
05-01-1990,10.27,10.44,10.27,10.27,0
05-02-1990,10.36,10.44,10.27,10.44,0
05-03-1990,10.31,10.44,10.27,10.27,0
05-04-1990,10.27,10.27,10.27,10.27,0
05-07-1990,10.44,10.44,10.44,10.44,0
05-08-1990,10.27,10.44,10.27,10.44,0
05-09-1990,10.19,10.19,10.19,10.19,0
05-10-1990,10.19,10.19,10.19,10.19,0
05-11-1990,10.19,10.19,10.19,10.19,0
05-14-1990,10.19,10.44,10.19,10.27,0
05-15-1990,10.15,10.19,10.15,10.19,0
05-16-1990,10.19,10.19,10.19,10.19,0
05-17-1990,10.35,10.35,10.11,10.11,0
05-18-1990,10.11,10.35,10.11,10.35,0
05-21-1990,10.19,10.23,10.19,10.23,0
05-22-1990,10.27,10.27,10.27,10.27,0
05-23-1990,10.11,10.11,10.11,10.11,0
05-24-1990,10.35,10.35,10.11,10.11,0
05-25-1990,10.19,10.19,10.03,10.07,0
05-29-1990,10.02,10.35,10.02,10.35,0
05-30-1990,10.27,10.27,10.27,10.27,0
05-31-1990,10.36,10.36,9.98,10.03,0
06-01-1990,10.02,10.35,10.02,10.35,0
06-04-1990,10.19,10.36,10.19,10.19,0
06-05-1990,10.23,10.35,10.23,10.35,0
06-06-1990,10.19,10.36,10.11,10.27,0
06-07-1990,10.35,10.35,10.11,10.11,0
06-08-1990,10.11,10.27,10.11,10.11,0
06-11-1990,10.19,10.19,10.19,10.19,0
06-12-1990,10.35,10.35,10.11,10.11,0
06-13-1990,10.23,10.35,10.11,10.35,0
06-14-1990,10.27,10.60,10.27,10.35,0
06-15-1990,10.27,10.27,10.27,10.27,0
06-18-1990,10.27,10.27,10.27,10.27,0
06-19-1990,10.27,10.27,10.27,10.27,0
06-20-1990,10.27,10.48,10.27,10.27,0
06-21-1990,10.27,10.27,10.27,10.27,0
06-22-1990,10.60,10.60,10.60,10.60,0
06-25-1990,10.60,10.60,10.60,10.60,0
06-26-1990,10.60,10.60,10.60,10.60,0
06-27-1990,10.44,11.10,10.44,11.10,0
06-28-1990,10.85,10.85,10.85,10.85,0
06-29-1990,11.02,11.02,11.02,11.02,0
07-02-1990,10.85,11.02,10.85,11.02,0
07-03-1990,11.02,11.02,11.02,11.02,0
07-05-1990,11.02,11.02,11.02,11.02,0
07-06-1990,11.02,11.02,11.02,11.02,0
07-09-1990,11.02,11.02,11.02,11.02,0
07-10-1990,10.85,11.10,10.85,11.10,0
07-11-1990,10.85,11.10,10.85,11.10,0
07-12-1990,11.18,11.18,11.18,11.18,0
07-13-1990,11.18,11.18,10.94,10.94,0
07-16-1990,10.85,11.02,10.85,10.85,0
07-17-1990,10.85,10.85,10.85,10.85,0
07-18-1990,10.85,10.85,10.85,10.85,0
07-19-1990,10.85,11.18,10.85,11.18,0
07-20-1990,11.18,11.18,10.85,11.18,0
07-23-1990,10.85,10.85,10.85,10.85,0
07-24-1990,10.85,11.18,10.85,11.18,0
07-25-1990,11.18,11.18,10.85,10.85,0
07-26-1990,11.18,11.18,11.18,11.18,0
07-27-1990,10.85,11.18,10.85,11.18,0
07-30-1990,10.85,10.85,10.85,10.85,0
07-31-1990,10.85,11.18,10.85,11.18,0
08-01-1990,10.94,10.94,10.94,10.94,0
08-02-1990,10.85,11.02,10.85,10.94,0
08-03-1990,10.98,10.98,10.98,10.98,0
08-06-1990,10.94,10.94,10.94,10.94,0
08-07-1990,10.94,11.18,10.94,10.94,0
08-08-1990,10.94,10.94,10.94,10.94,0
08-09-1990,10.94,10.94,10.94,10.94,0
08-10-1990,11.18,11.18,11.18,11.18,0
08-13-1990,10.94,10.94,10.94,10.94,0
08-14-1990,10.94,10.94,10.94,10.94,0
08-15-1990,11.18,11.18,10.94,10.94,0
08-16-1990,10.94,11.06,10.94,10.98,0
08-17-1990,10.94,10.94,10.94,10.94,0
08-20-1990,10.94,10.94,10.94,10.94,0
08-21-1990,10.94,11.14,10.94,11.14,0
08-22-1990,10.93,11.06,10.60,10.60,0
08-23-1990,10.52,10.77,10.52,10.52,0
08-24-1990,10.52,10.77,10.52,10.60,0
08-27-1990,10.60,10.60,10.44,10.60,0
08-28-1990,10.44,10.44,10.44,10.44,0
08-29-1990,10.52,10.52,10.52,10.52,0
08-30-1990,10.52,10.52,10.52,10.52,0
08-31-1990,10.31,10.44,10.31,10.44,0
09-04-1990,10.44,10.44,10.44,10.44,0
09-05-1990,10.44,10.44,10.44,10.44,0
09-06-1990,10.27,10.27,10.27,10.27,0
09-07-1990,10.40,10.44,10.40,10.44,0
09-10-1990,10.52,10.52,10.52,10.52,0
09-11-1990,10.27,10.27,10.27,10.27,0
09-12-1990,10.27,10.27,10.27,10.27,0
09-13-1990,10.27,10.27,10.27,10.27,0
09-14-1990,10.19,10.44,10.19,10.44,0
09-17-1990,10.44,10.44,10.44,10.44,0
09-18-1990,10.19,10.19,10.19,10.19,0
09-19-1990,10.03,10.03,10.03,10.03,0
09-20-1990,10.03,10.03,10.03,10.03,0
09-21-1990,10.03,10.03,10.03,10.03,0
09-24-1990,10.02,10.11,9.94,9.94,0
09-25-1990,9.86,10.11,9.77,9.90,0
09-26-1990,9.69,9.77,9.61,9.61,0
09-27-1990,9.53,9.61,9.53,9.61,0
09-28-1990,9.53,9.61,9.40,9.61,0
10-01-1990,9.36,9.36,9.36,9.36,0
10-02-1990,9.44,9.44,9.36,9.36,0
10-03-1990,9.36,9.36,9.36,9.36,0
10-04-1990,9.44,9.44,9.44,9.44,0
10-05-1990,9.44,9.44,9.44,9.44,0
10-08-1990,9.36,9.36,9.36,9.36,0
10-09-1990,9.20,9.20,9.20,9.20,0
10-10-1990,9.20,9.20,9.20,9.20,0
10-11-1990,9.03,9.03,8.78,8.78,0
10-12-1990,8.70,8.70,8.70,8.70,0
10-15-1990,8.70,8.70,8.62,8.70,0
10-16-1990,8.57,8.57,8.45,8.53,0
10-17-1990,8.45,8.45,8.45,8.45,0
10-18-1990,8.45,8.45,8.45,8.45,0
10-19-1990,8.45,8.45,8.45,8.45,0
10-22-1990,8.45,8.45,8.45,8.45,0
10-23-1990,8.45,8.45,8.45,8.45,0
10-24-1990,8.45,8.45,8.45,8.45,0
10-25-1990,8.45,8.45,8.45,8.45,0
10-26-1990,8.45,8.45,8.45,8.45,0
10-29-1990,8.45,8.45,8.45,8.45,0
10-30-1990,8.45,8.45,8.45,8.45,0
10-31-1990,8.29,8.29,8.29,8.29,0
11-01-1990,8.28,8.28,8.20,8.20,0
11-02-1990,8.20,8.20,8.20,8.20,0
11-05-1990,8.20,8.20,8.20,8.20,0
11-06-1990,8.20,8.20,8.20,8.20,0
11-07-1990,8.20,8.20,8.20,8.20,0
11-08-1990,8.20,8.20,8.20,8.20,0
11-09-1990,8.20,8.20,8.20,8.20,0
11-12-1990,8.20,8.20,8.20,8.20,0
11-13-1990,8.37,8.37,8.37,8.37,0
