Date,Open,High,Low,Close,Volume
11-23-2010,13.07,13.07,13.07,13.07,0
11-24-2010,13.07,13.10,13.07,13.07,310453
11-26-2010,13.07,13.07,13.07,13.07,4541
11-29-2010,13.07,13.07,13.07,13.07,33243
11-30-2010,13.07,13.07,13.07,13.07,28569
12-01-2010,13.07,13.07,13.07,13.07,18012
12-02-2010,13.07,13.12,13.07,13.07,101971
12-03-2010,13.07,13.07,13.07,13.07,4691
12-06-2010,13.07,13.07,13.07,13.07,3659
12-07-2010,13.07,13.07,13.07,13.07,11893
12-08-2010,13.07,13.12,13.07,13.07,20692
12-09-2010,13.07,13.07,13.07,13.07,84375
12-10-2010,13.07,13.07,13.05,13.06,79469
12-13-2010,13.07,13.07,13.06,13.06,61420
12-14-2010,13.06,13.07,13.06,13.06,30733
12-15-2010,13.06,13.07,13.06,13.06,239400
12-16-2010,13.06,13.10,13.06,13.07,91568
12-17-2010,13.07,13.08,13.07,13.07,21683
12-20-2010,13.07,13.07,13.07,13.07,18858
12-21-2010,13.07,13.08,13.07,13.07,65946
12-22-2010,13.07,13.07,13.07,13.07,20064
12-23-2010,13.07,13.07,11.96,12.05,545020
12-27-2010,12.12,12.29,12.05,12.26,59423
12-28-2010,12.33,12.33,12.02,12.20,107681
12-29-2010,12.20,12.34,12.12,12.32,88515
12-30-2010,12.25,12.38,11.79,12.24,72836
12-31-2010,12.19,12.24,12.00,12.19,78557
01-03-2011,12.22,12.54,12.06,12.38,48280
01-04-2011,12.36,12.38,12.27,12.28,41071
01-05-2011,12.35,12.71,12.20,12.33,59871
01-06-2011,12.32,12.33,12.24,12.24,18639
01-07-2011,12.34,12.37,12.16,12.27,35623
01-10-2011,12.21,12.35,12.14,12.28,34442
01-11-2011,12.24,12.35,12.10,12.29,77979
01-12-2011,12.40,12.43,11.98,12.32,54607
01-13-2011,12.27,12.38,12.15,12.38,37476
01-14-2011,12.36,12.36,12.04,12.17,31347
01-18-2011,12.19,12.25,12.12,12.23,36201
01-19-2011,12.27,12.31,12.05,12.08,41605
01-20-2011,12.05,12.13,11.97,12.09,50531
01-21-2011,12.11,12.11,11.97,11.97,29942
01-24-2011,12.13,12.13,11.86,11.88,92534
01-25-2011,11.88,11.95,11.85,11.89,60202
01-26-2011,11.88,12.00,11.86,11.94,58713
01-27-2011,11.96,12.08,11.88,12.06,22017
01-28-2011,12.09,12.10,11.98,12.07,15669
01-31-2011,12.13,12.15,12.04,12.11,79851
02-01-2011,12.05,12.14,12.05,12.13,33175
02-02-2011,12.17,12.17,12.10,12.13,62775
02-03-2011,12.09,12.23,12.09,12.20,37880
02-04-2011,12.20,12.20,12.10,12.17,47301
02-07-2011,12.17,12.17,12.10,12.14,21727
02-08-2011,12.14,12.33,12.14,12.33,42986
02-09-2011,12.23,12.34,12.23,12.31,36576
02-10-2011,12.34,12.53,12.33,12.47,48703
02-11-2011,12.54,12.56,12.42,12.42,12985
02-14-2011,12.51,12.65,12.49,12.51,47433
02-15-2011,12.63,12.63,12.43,12.51,49876
02-16-2011,12.45,12.45,12.28,12.34,36045
02-17-2011,12.39,12.43,12.32,12.43,22196
02-18-2011,12.46,12.53,12.41,12.53,29585
02-22-2011,12.43,12.43,12.22,12.22,118564
02-23-2011,12.32,12.33,12.18,12.32,14829
02-24-2011,12.29,12.51,12.24,12.47,51258
02-25-2011,12.52,12.63,12.46,12.59,19827
02-28-2011,12.54,12.65,12.54,12.65,13334
03-01-2011,12.65,12.71,12.59,12.70,16821
03-02-2011,12.81,13.22,12.68,12.71,39082
03-03-2011,12.66,12.75,12.46,12.53,23704
03-04-2011,12.55,12.58,12.49,12.58,12343
03-07-2011,12.58,12.58,12.53,12.56,12341
03-08-2011,12.53,12.64,12.53,12.63,25872
03-09-2011,12.64,12.69,12.53,12.54,43912
03-10-2011,12.55,12.57,12.54,12.54,9084
03-11-2011,12.56,12.56,12.52,12.52,13348
03-14-2011,12.52,12.82,12.52,12.60,20632
03-15-2011,12.57,12.72,12.56,12.68,17196
03-16-2011,12.70,13.12,12.56,12.73,29707
03-17-2011,12.70,12.90,12.61,12.62,21185
03-18-2011,12.62,12.66,12.57,12.57,20764
03-21-2011,12.62,12.64,12.43,12.52,54446
03-22-2011,12.55,12.55,12.41,12.43,14925
03-23-2011,12.45,12.54,12.44,12.52,18196
03-24-2011,12.53,12.60,12.53,12.57,18231
03-25-2011,12.53,12.53,12.26,12.36,61128
03-28-2011,12.40,12.46,12.34,12.43,17082
03-29-2011,12.38,12.51,12.38,12.38,33397
03-30-2011,12.42,12.48,12.37,12.37,18978
03-31-2011,12.32,12.42,12.30,12.42,34218
04-01-2011,12.46,12.74,12.41,12.66,37465
04-04-2011,12.72,12.72,12.56,12.58,41111
04-05-2011,12.62,12.62,12.48,12.57,13845
04-06-2011,12.56,12.62,12.56,12.58,33954
04-07-2011,12.62,12.63,12.56,12.61,13510
04-08-2011,12.71,12.79,12.56,12.63,18083
04-11-2011,12.55,12.55,12.47,12.53,21637
04-12-2011,12.50,12.53,12.46,12.50,16467
04-13-2011,12.52,12.55,12.45,12.51,20942
04-14-2011,12.51,12.52,12.45,12.47,25721
04-15-2011,12.52,12.52,12.42,12.44,29470
04-18-2011,12.45,12.48,12.43,12.45,65828
04-19-2011,12.48,12.48,12.40,12.43,54339
04-20-2011,12.43,12.43,12.37,12.37,67119
04-21-2011,12.37,12.40,12.35,12.36,46672
04-25-2011,12.37,12.42,12.34,12.34,102569
04-26-2011,12.39,12.45,12.35,12.36,46507
04-27-2011,12.36,12.43,12.33,12.41,41986
04-28-2011,12.41,12.49,12.41,12.46,94679
04-29-2011,12.48,12.51,12.46,12.49,51506
05-02-2011,12.54,12.58,12.46,12.56,39371
05-03-2011,12.51,12.64,12.51,12.64,27855
05-04-2011,12.60,12.76,12.58,12.76,23120
05-05-2011,12.80,12.80,12.71,12.75,51552
05-06-2011,12.82,12.82,12.72,12.74,42508
05-09-2011,12.72,12.82,12.71,12.74,71092
05-10-2011,12.75,12.76,12.69,12.72,58568
05-11-2011,12.71,12.84,12.70,12.74,43191
05-12-2011,12.73,12.84,12.69,12.69,71656
05-13-2011,12.74,12.81,12.74,12.78,27206
05-16-2011,12.78,12.88,12.77,12.78,58339
05-17-2011,12.77,12.90,12.76,12.90,37434
05-18-2011,13.03,13.04,12.79,12.85,103667
05-19-2011,12.89,12.89,12.84,12.88,63211
05-20-2011,12.81,12.90,12.81,12.85,38611
05-23-2011,12.84,12.86,12.83,12.84,69972
05-24-2011,12.84,12.88,12.77,12.80,78996
05-25-2011,12.84,13.00,12.81,12.98,101072
05-26-2011,12.92,13.02,12.92,12.98,27039
05-27-2011,13.02,13.06,12.98,13.06,22038
05-31-2011,13.08,13.16,13.06,13.14,49667
06-01-2011,13.08,13.19,13.08,13.10,69396
06-02-2011,13.16,13.17,13.07,13.07,77806
06-03-2011,13.12,13.15,12.92,13.11,71234
06-06-2011,13.11,13.17,13.01,13.17,86014
06-07-2011,13.17,13.22,13.13,13.13,75797
06-08-2011,13.11,13.11,12.98,13.11,57588
06-09-2011,13.08,13.16,13.02,13.03,55499
06-10-2011,13.11,13.17,13.08,13.15,37951
06-13-2011,13.16,13.27,13.03,13.26,76931
06-14-2011,13.13,13.16,13.00,13.14,44858
06-15-2011,13.13,13.16,13.10,13.10,34425
06-16-2011,13.18,13.20,13.05,13.12,32315
06-17-2011,13.12,13.22,13.06,13.09,39958
06-20-2011,13.17,13.17,13.06,13.15,44063
06-21-2011,13.21,13.26,13.11,13.24,47214
06-22-2011,13.23,13.26,13.20,13.26,45324
06-23-2011,13.20,13.26,13.19,13.26,26356
06-24-2011,13.26,13.29,13.20,13.20,25052
06-27-2011,13.93,14.80,13.41,13.54,399746
06-28-2011,13.53,13.58,13.46,13.52,179868
06-29-2011,13.54,13.62,13.52,13.58,127270
06-30-2011,13.68,13.71,13.50,13.67,188218
07-01-2011,13.67,13.68,13.52,13.54,118496
07-05-2011,13.54,13.67,13.54,13.59,86588
07-06-2011,13.67,13.69,13.60,13.63,69143
07-07-2011,13.67,13.67,13.57,13.57,67867
07-08-2011,13.60,13.67,13.58,13.59,79052
07-11-2011,13.65,13.66,13.59,13.60,89660
07-12-2011,13.64,13.69,13.57,13.57,76260
07-13-2011,13.66,13.70,13.62,13.65,55123
07-14-2011,13.74,13.74,13.66,13.66,52870
07-15-2011,13.66,13.68,13.61,13.61,24834
07-18-2011,13.68,13.70,13.59,13.60,29432
07-19-2011,13.65,13.66,13.60,13.64,40834
07-20-2011,13.62,13.68,13.61,13.67,65006
07-21-2011,13.65,13.68,13.59,13.67,27206
07-22-2011,13.60,13.70,13.60,13.69,47746
07-25-2011,13.71,13.71,13.62,13.64,90443
07-26-2011,13.61,13.70,13.48,13.64,96600
07-27-2011,13.68,13.68,13.43,13.47,58206
07-28-2011,13.51,13.65,13.43,13.55,35298
07-29-2011,13.48,13.64,13.45,13.64,44394
08-01-2011,13.70,13.82,13.68,13.73,78049
08-02-2011,13.77,13.92,13.75,13.86,101517
08-03-2011,13.89,13.95,13.80,13.84,106715
08-04-2011,13.87,13.94,13.71,13.71,92569
08-05-2011,13.75,13.92,13.71,13.76,77740
08-08-2011,13.40,13.62,13.22,13.40,132188
08-09-2011,13.53,13.95,13.36,13.92,65663
08-10-2011,13.89,14.03,13.81,13.90,55528
08-11-2011,13.96,14.09,13.81,13.90,41001
08-12-2011,13.86,13.86,13.71,13.71,45352
08-15-2011,13.64,13.75,13.62,13.75,109070
08-16-2011,13.70,13.94,13.67,13.86,93702
08-17-2011,13.92,14.04,13.90,13.91,41544
08-18-2011,13.87,13.98,13.80,13.84,83991
08-19-2011,13.87,13.96,13.73,13.73,73801
08-22-2011,13.73,13.87,13.73,13.78,66141
08-23-2011,13.87,13.87,13.77,13.84,52902
08-24-2011,13.83,13.84,13.76,13.76,69171
08-25-2011,13.81,13.81,13.73,13.74,34760
08-26-2011,13.78,13.85,13.75,13.85,31881
08-29-2011,13.85,13.89,13.74,13.89,49890
08-30-2011,13.90,14.04,13.90,14.04,64853
08-31-2011,14.11,14.11,13.94,13.95,77188
09-01-2011,14.03,14.05,13.95,14.05,52751
09-02-2011,14.05,14.18,14.04,14.16,99821
09-06-2011,14.00,14.34,14.00,14.31,79457
09-07-2011,14.34,14.40,14.04,14.32,130493
09-08-2011,14.44,14.45,14.29,14.38,76973
