Date,Open,High,Low,Close,Volume
10-07-1996,13.33,13.83,13.33,13.50,787800
10-08-1996,13.50,14.00,13.50,13.58,343950
10-09-1996,13.67,14.17,13.67,13.67,583950
10-10-1996,13.67,14.17,13.67,13.83,638850
10-11-1996,13.83,14.17,13.83,13.83,153000
10-14-1996,13.83,14.67,13.83,14.33,409800
10-15-1996,14.33,14.83,14.33,14.83,21000
10-16-1996,14.50,14.83,14.33,14.33,104400
10-17-1996,14.33,14.83,14.33,14.33,87900
10-18-1996,14.33,14.67,14.33,14.33,97200
10-21-1996,14.33,14.67,14.33,14.33,41400
10-22-1996,14.33,14.92,14.33,14.50,47250
10-23-1996,14.50,15.00,14.42,14.42,175500
10-24-1996,14.58,15.00,14.42,14.42,31500
10-25-1996,15.17,15.17,14.58,14.58,48300
10-28-1996,14.58,15.00,14.58,15.00,40200
10-29-1996,14.58,14.83,14.58,14.71,33900
10-30-1996,14.58,15.00,14.58,14.83,82500
10-31-1996,14.58,15.58,14.58,15.54,137550
11-01-1996,15.83,16.58,15.50,16.33,183150
11-04-1996,16.17,16.58,16.08,16.17,236250
11-05-1996,16.00,16.58,16.00,16.17,72150
11-06-1996,16.58,16.58,16.00,16.33,20700
11-07-1996,16.58,16.67,16.00,16.67,306300
11-08-1996,17.08,17.17,16.50,17.08,117000
11-11-1996,16.67,17.17,16.67,16.67,33000
11-12-1996,16.83,16.83,16.50,16.75,45300
11-13-1996,16.50,16.50,16.50,16.50,7050
11-14-1996,16.67,16.67,16.50,16.50,11400
11-15-1996,16.50,16.83,16.50,16.75,26100
11-18-1996,16.83,16.83,16.50,16.50,169650
11-19-1996,16.50,16.67,16.50,16.67,22950
11-20-1996,16.50,16.92,16.50,16.92,15300
11-21-1996,16.58,16.92,16.50,16.50,117600
11-22-1996,16.50,16.67,16.50,16.67,94800
11-25-1996,16.58,17.50,16.58,17.50,74550
11-26-1996,17.33,17.83,17.33,17.67,293700
11-27-1996,17.33,17.83,17.33,17.33,71250
11-29-1996,17.33,17.67,17.33,17.67,9000
12-02-1996,17.33,17.83,17.33,17.33,173250
12-03-1996,17.50,17.83,17.50,17.83,105450
12-04-1996,17.50,17.50,17.33,17.33,32700
12-05-1996,17.50,17.83,17.50,17.83,35100
12-06-1996,17.17,17.92,17.17,17.92,15300
12-09-1996,17.67,17.75,17.33,17.33,11850
12-10-1996,18.00,18.00,17.33,17.67,2100
12-11-1996,17.67,17.67,17.08,17.50,31650
12-12-1996,17.29,17.50,17.08,17.50,47400
12-13-1996,17.50,17.50,17.00,17.00,22800
12-16-1996,16.83,17.50,16.83,17.50,38550
12-17-1996,17.50,17.50,17.50,17.50,2700
12-18-1996,17.08,17.17,17.00,17.08,42150
12-19-1996,17.08,17.17,17.08,17.17,30000
12-20-1996,17.50,17.67,17.17,17.46,39150
12-23-1996,17.75,19.67,17.67,19.67,138900
12-24-1996,19.67,19.67,19.33,19.33,9600
12-26-1996,19.67,21.33,19.67,21.17,65850
12-27-1996,21.33,23.00,21.25,23.00,148500
12-30-1996,23.83,24.50,21.67,22.00,277650
12-31-1996,21.67,21.67,19.67,21.17,137250
01-02-1997,20.50,21.83,19.67,21.83,157200
01-03-1997,21.67,21.67,20.33,20.33,63900
01-06-1997,20.04,20.25,19.67,19.75,111300
01-07-1997,19.17,19.67,19.17,19.42,93150
01-08-1997,19.42,19.67,19.33,19.33,81600
01-09-1997,19.58,19.67,19.38,19.50,18900
01-10-1997,19.00,20.00,18.92,19.33,198000
01-13-1997,19.33,19.67,19.33,19.33,11850
01-14-1997,19.33,19.67,19.33,19.67,26700
01-15-1997,19.33,19.67,18.83,19.42,184050
01-16-1997,19.42,19.42,18.67,18.67,5850
01-17-1997,18.67,19.00,18.67,18.92,55950
01-20-1997,18.67,18.67,18.00,18.33,11550
01-21-1997,19.00,19.00,17.75,17.75,92400
01-22-1997,17.92,18.50,17.92,18.33,21450
01-23-1997,18.83,19.33,18.67,19.33,631500
01-24-1997,19.17,19.50,19.00,19.00,138450
01-27-1997,19.00,19.42,18.83,19.17,10350
01-28-1997,19.50,19.50,19.33,19.42,159750
01-29-1997,19.00,19.00,19.00,19.00,150
01-30-1997,19.25,19.25,19.00,19.00,75150
01-31-1997,19.50,20.67,19.08,20.50,52650
02-03-1997,20.67,22.67,20.67,21.50,110850
02-04-1997,22.17,23.17,21.67,22.33,218850
02-05-1997,23.00,23.00,22.17,22.33,69750
02-06-1997,22.17,22.83,22.17,22.17,5700
02-07-1997,22.25,22.33,22.17,22.33,57750
02-10-1997,22.17,22.75,22.17,22.42,110100
02-11-1997,22.17,22.25,21.33,21.33,234750
02-12-1997,21.33,21.33,20.33,20.67,144600
02-13-1997,21.17,21.17,20.67,21.17,187500
02-14-1997,21.17,21.17,20.67,20.67,8100
02-18-1997,20.75,20.92,20.75,20.92,79500
02-19-1997,20.75,21.17,20.67,21.17,94200
02-20-1997,20.67,21.00,20.67,21.00,2850
02-21-1997,21.00,21.00,21.00,21.00,300
02-24-1997,20.50,20.50,17.33,17.50,255750
02-25-1997,17.33,17.83,17.33,17.75,87900
02-26-1997,18.00,18.17,18.00,18.17,900
02-27-1997,18.08,18.17,17.50,18.17,122250
02-28-1997,17.50,17.50,14.00,16.00,1056300
03-03-1997,15.75,16.42,15.75,16.17,561750
03-04-1997,16.67,17.33,16.33,17.17,292050
03-05-1997,17.83,19.00,17.33,18.25,435300
03-06-1997,18.50,18.83,18.00,18.67,121050
03-07-1997,18.25,18.67,18.00,18.67,113850
03-10-1997,19.00,19.00,18.00,18.08,90150
03-11-1997,19.00,19.00,18.00,18.08,108000
03-12-1997,18.00,18.83,17.83,18.67,123450
03-13-1997,17.67,18.00,14.92,14.92,45750
03-14-1997,15.83,16.33,14.92,16.08,242250
03-17-1997,15.92,16.25,15.92,16.25,36900
03-18-1997,15.17,16.17,15.17,16.17,73500
03-19-1997,15.75,16.67,15.67,16.67,34050
03-20-1997,15.33,16.25,15.33,16.25,5250
03-21-1997,16.08,16.08,16.00,16.00,57300
03-24-1997,16.00,16.00,16.00,16.00,0
03-25-1997,15.92,15.92,14.83,14.83,5400
03-26-1997,14.67,15.50,14.33,14.67,31200
03-27-1997,15.50,15.50,15.50,15.50,2400
03-31-1997,15.33,15.42,15.33,15.42,45750
04-01-1997,15.42,15.42,14.42,14.42,68100
04-02-1997,14.92,15.75,14.92,15.75,9150
04-03-1997,15.75,15.75,15.75,15.75,600
04-04-1997,15.75,15.75,15.08,15.33,14400
04-07-1997,14.42,14.42,14.42,14.42,900
04-08-1997,15.42,15.42,15.08,15.13,7500
04-09-1997,14.46,15.75,14.42,15.75,2250
04-10-1997,15.33,15.33,15.00,15.00,1200
04-11-1997,15.42,15.50,15.33,15.50,48600
04-14-1997,15.25,15.92,15.17,15.92,33600
04-15-1997,15.00,15.00,15.00,15.00,300
04-16-1997,15.33,15.92,15.29,15.38,57000
04-17-1997,16.33,16.33,15.17,15.17,3900
04-18-1997,16.00,16.50,16.00,16.00,3450
04-21-1997,15.33,18.67,15.33,16.83,31950
04-22-1997,17.42,17.42,16.67,17.42,156450
04-23-1997,17.00,17.67,16.92,17.33,88050
04-24-1997,17.08,17.25,16.67,16.67,220950
04-25-1997,16.67,16.67,16.67,16.67,0
04-28-1997,16.67,16.67,16.67,16.67,0
04-29-1997,16.33,16.42,16.33,16.42,15150
04-30-1997,16.92,17.00,16.92,17.00,75000
05-01-1997,17.00,17.17,16.33,17.17,4500
05-02-1997,16.33,17.00,16.33,17.00,1800
05-05-1997,17.42,17.42,16.67,17.33,76950
05-06-1997,16.67,18.00,16.67,17.33,3300
05-07-1997,17.33,17.33,17.33,17.33,150
05-08-1997,17.33,17.67,16.50,17.67,7800
05-09-1997,16.50,17.67,16.50,17.67,3000
05-12-1997,16.17,16.67,16.17,16.67,5850
05-13-1997,16.00,16.00,15.17,15.33,18450
05-14-1997,14.83,14.83,14.17,14.17,176400
05-15-1997,14.33,15.67,14.02,14.02,122700
05-16-1997,14.00,15.33,14.00,14.17,20700
05-19-1997,13.83,14.00,13.83,14.00,150000
05-20-1997,14.00,14.67,13.17,14.00,73800
05-21-1997,13.42,13.83,13.25,13.33,264900
05-22-1997,13.50,13.67,13.42,13.67,100200
05-23-1997,14.17,14.33,13.67,14.00,67200
05-27-1997,14.17,14.83,14.17,14.33,15150
05-28-1997,14.67,15.00,14.67,15.00,32250
05-29-1997,15.00,16.00,15.00,15.42,197700
05-30-1997,15.58,15.67,15.58,15.67,49800
