Date,Open,High,Low,Close,Volume
01-02-1992,3.78,3.78,3.47,3.62,0
01-03-1992,3.67,3.75,3.59,3.71,0
01-06-1992,3.76,3.84,3.60,3.64,0
01-07-1992,3.60,3.72,3.52,3.68,0
01-08-1992,3.59,3.63,3.47,3.51,0
01-09-1992,3.59,3.71,3.31,3.47,0
01-10-1992,3.37,3.40,3.09,3.13,0
01-13-1992,3.06,3.10,2.94,3.02,0
01-14-1992,2.83,2.90,2.75,2.90,0
01-15-1992,3.04,3.08,2.81,2.88,0
01-16-1992,3.03,3.15,2.99,3.11,0
01-17-1992,3.31,3.35,3.11,3.15,0
01-20-1992,3.05,3.17,2.98,3.13,0
01-21-1992,3.04,3.08,2.96,3.08,0
01-22-1992,2.79,2.91,2.79,2.91,0
01-23-1992,2.69,2.73,2.57,2.61,0
01-24-1992,2.63,2.67,2.55,2.67,0
01-27-1992,2.73,2.73,2.57,2.73,0
01-28-1992,2.26,2.30,2.18,2.30,0
01-29-1992,2.14,2.17,2.02,2.06,0
01-30-1992,2.13,2.21,2.09,2.21,0
01-31-1992,2.17,2.17,2.01,2.05,0
02-03-1992,2.33,2.37,2.17,2.25,0
02-04-1992,2.17,2.29,2.13,2.29,0
02-05-1992,2.07,2.11,1.99,1.99,0
02-06-1992,2.29,2.29,2.13,2.17,0
02-07-1992,2.23,2.31,2.19,2.19,0
02-10-1992,2.19,2.39,2.12,2.39,0
02-11-1992,2.42,2.54,2.42,2.54,0
02-12-1992,2.44,2.48,2.32,2.44,0
02-13-1992,2.49,2.49,2.26,2.33,0
02-14-1992,2.29,2.37,2.25,2.37,0
02-18-1992,2.47,2.51,2.40,2.44,0
02-19-1992,2.38,2.42,2.34,2.42,0
02-20-1992,2.27,2.35,2.23,2.23,0
02-21-1992,2.10,2.14,1.94,2.10,0
02-24-1992,1.85,1.93,1.81,1.85,0
02-25-1992,1.92,2.00,1.84,2.00,0
02-26-1992,1.97,2.20,1.93,2.20,0
02-27-1992,2.13,2.13,1.97,2.09,0
02-28-1992,2.07,2.11,1.95,2.03,0
03-02-1992,2.04,2.04,1.92,1.92,0
03-03-1992,1.90,1.90,1.82,1.82,0
03-04-1992,1.84,1.91,1.80,1.80,0
03-05-1992,1.95,1.99,1.91,1.99,0
03-06-1992,2.05,2.12,1.97,2.05,0
03-09-1992,2.08,2.16,2.08,2.16,0
03-10-1992,2.10,2.18,2.00,2.10,0
03-11-1992,2.18,2.22,2.14,2.18,0
03-12-1992,2.25,2.25,2.13,2.17,0
03-13-1992,2.19,2.19,2.07,2.15,0
03-16-1992,2.10,2.26,2.06,2.18,0
03-17-1992,2.10,2.14,2.02,2.06,0
03-18-1992,2.12,2.12,2.05,2.12,0
03-19-1992,2.14,2.14,2.02,2.06,0
03-20-1992,2.01,2.05,1.93,1.97,0
03-23-1992,2.01,2.01,1.93,1.97,0
03-24-1992,1.97,2.01,1.93,1.97,0
03-25-1992,1.92,2.07,1.92,1.92,0
03-26-1992,2.01,2.01,1.93,2.01,0
03-27-1992,2.05,2.09,2.05,2.05,0
03-30-1992,2.08,2.08,1.96,2.00,0
03-31-1992,1.78,1.90,1.78,1.86,0
04-01-1992,1.77,1.81,1.73,1.81,0
04-02-1992,1.90,1.93,1.82,1.82,0
04-03-1992,1.80,1.92,1.80,1.88,0
04-06-1992,1.99,2.03,1.95,2.03,0
04-07-1992,2.24,2.32,2.08,2.16,0
04-08-1992,2.18,2.26,1.90,2.18,0
04-09-1992,2.04,2.20,2.04,2.12,0
04-10-1992,2.07,2.11,2.03,2.07,0
04-13-1992,2.01,2.09,2.01,2.09,0
04-14-1992,1.71,1.83,1.67,1.79,0
04-15-1992,1.79,1.91,1.75,1.91,0
04-16-1992,2.04,2.08,1.96,2.08,0
04-20-1992,2.33,2.44,2.29,2.40,0
04-21-1992,2.32,2.40,2.28,2.40,0
04-22-1992,2.37,2.41,2.33,2.37,0
04-23-1992,2.43,2.47,2.35,2.43,0
04-24-1992,2.23,2.30,2.19,2.30,0
04-27-1992,2.19,2.19,2.15,2.19,0
04-28-1992,2.34,2.37,2.30,2.34,0
04-29-1992,2.43,2.43,2.39,2.43,0
04-30-1992,2.17,2.21,2.17,2.21,0
05-01-1992,2.29,2.37,2.25,2.29,0
05-04-1992,2.22,2.33,2.18,2.33,0
05-05-1992,2.50,2.66,2.46,2.62,0
05-06-1992,2.51,2.58,2.39,2.43,0
05-07-1992,2.35,2.42,2.35,2.38,0
05-08-1992,2.34,2.34,2.18,2.30,0
05-11-1992,2.33,2.41,2.29,2.37,0
05-12-1992,2.49,2.53,2.41,2.45,0
05-13-1992,2.39,2.43,2.39,2.43,0
05-14-1992,2.39,2.39,2.31,2.35,0
05-15-1992,2.30,2.46,2.30,2.38,0
05-18-1992,2.36,2.40,2.05,2.36,0
05-19-1992,2.38,2.46,2.30,2.38,0
05-20-1992,2.43,2.43,2.36,2.43,0
05-21-1992,2.43,2.59,2.36,2.43,0
05-22-1992,2.27,2.31,2.15,2.19,0
05-26-1992,2.22,2.26,2.14,2.22,0
05-27-1992,2.08,2.20,2.04,2.12,0
05-28-1992,2.15,2.27,2.15,2.27,0
05-29-1992,2.33,2.33,2.21,2.29,0
06-01-1992,2.20,2.20,2.12,2.20,0
06-02-1992,2.31,2.31,2.23,2.27,0
06-03-1992,2.20,2.24,2.16,2.20,0
06-04-1992,2.27,2.27,2.15,2.19,0
06-05-1992,2.43,2.51,2.39,2.51,0
06-08-1992,2.35,2.43,2.35,2.39,0
06-09-1992,2.44,2.48,2.44,2.48,0
06-10-1992,2.58,2.58,2.50,2.50,0
06-11-1992,2.50,2.50,2.42,2.50,0
