Date,Open,High,Low,Close,Volume
12-14-2006,18.88,19.38,17.43,17.60,8667171
12-15-2006,17.79,18.88,17.66,18.43,1268480
12-18-2006,18.64,18.64,17.89,18.51,500306
12-19-2006,18.28,18.34,18.04,18.09,215043
12-20-2006,18.05,18.27,17.99,18.05,299465
12-21-2006,18.01,18.08,17.86,17.89,214722
12-22-2006,17.89,18.28,17.89,18.14,90251
12-26-2006,18.14,18.39,18.14,18.26,47473
12-27-2006,18.10,18.33,18.10,18.26,86253
12-28-2006,18.07,18.33,17.90,18.33,99533
12-29-2006,17.95,18.41,17.95,18.34,17422
01-03-2007,18.08,18.25,17.89,17.90,103191
01-04-2007,17.99,18.74,17.79,18.07,184577
01-05-2007,18.13,18.15,17.94,17.99,85023
01-08-2007,18.34,18.34,17.90,18.21,29079
01-09-2007,17.94,18.33,17.94,18.22,277245
01-10-2007,18.05,18.39,18.05,18.22,104729
01-11-2007,17.91,19.01,17.91,18.61,196735
01-12-2007,18.75,19.03,18.75,19.00,119731
01-16-2007,18.91,20.72,18.52,20.71,404371
01-17-2007,20.49,20.57,19.88,20.25,147292
01-18-2007,20.03,20.29,19.89,20.12,98674
01-19-2007,19.87,19.98,19.66,19.79,30685
01-22-2007,19.63,19.88,19.16,19.68,97294
01-23-2007,20.06,20.66,19.35,19.88,576918
01-24-2007,20.13,20.26,19.60,19.97,615707
01-25-2007,19.76,19.98,19.10,19.34,125276
01-26-2007,19.10,19.53,19.10,19.23,56409
01-29-2007,19.15,19.19,18.70,18.83,120928
01-30-2007,18.80,18.80,18.57,18.64,256923
01-31-2007,18.56,19.32,18.51,19.15,196073
02-01-2007,19.03,19.14,18.61,18.88,315606
02-02-2007,18.64,19.07,18.64,19.01,50323
02-05-2007,19.07,19.07,18.91,18.93,23982
02-06-2007,18.89,19.36,18.89,19.30,37149
02-07-2007,19.28,19.38,19.02,19.30,59882
02-08-2007,19.16,19.38,19.13,19.23,19905
02-09-2007,19.11,19.15,18.87,18.94,127498
02-12-2007,18.93,19.01,18.30,18.57,60398
02-13-2007,17.85,18.87,16.53,18.44,162049
02-14-2007,18.27,18.75,18.02,18.70,25262
02-15-2007,18.52,18.79,18.52,18.70,52121
02-16-2007,18.54,19.07,18.44,19.03,112056
02-20-2007,18.88,19.96,18.69,19.83,95454
02-21-2007,19.88,19.88,18.09,18.43,310633
02-22-2007,18.14,18.70,18.14,18.44,258753
02-23-2007,18.54,18.70,17.94,18.35,181673
02-26-2007,18.23,18.59,17.99,18.05,59619
02-27-2007,17.94,17.94,17.52,17.54,136414
02-28-2007,17.64,18.22,17.40,17.95,326071
03-01-2007,17.39,17.63,16.83,16.97,1009739
03-02-2007,16.83,16.91,15.90,16.05,129067
03-05-2007,15.91,15.91,14.66,15.40,1465051
03-06-2007,16.82,16.82,15.82,16.16,373886
03-07-2007,16.19,17.40,16.07,17.30,427386
03-08-2007,17.32,17.89,17.24,17.49,659594
03-09-2007,18.10,18.10,17.33,17.39,185445
03-12-2007,17.41,17.53,17.36,17.39,14568
03-13-2007,17.38,17.39,16.53,16.55,244286
03-14-2007,16.50,16.65,16.14,16.32,208556
03-15-2007,16.36,16.69,16.36,16.50,400513
03-16-2007,16.46,16.59,16.16,16.35,109080
03-19-2007,16.43,16.55,16.17,16.39,145774
03-20-2007,16.41,16.65,16.35,16.40,150017
03-21-2007,16.53,16.93,16.43,16.79,422766
03-22-2007,16.77,17.33,16.55,17.15,66264
03-23-2007,17.03,17.29,16.89,17.29,67543
03-26-2007,17.22,17.29,16.71,16.93,48644
03-27-2007,16.92,16.95,16.71,16.94,17765
