Date,Open,High,Low,Close,Volume
07-24-2012,15.00,15.00,15.00,15.00,0
07-25-2012,18.00,18.77,17.20,17.86,6309397
07-26-2012,18.95,19.25,18.49,19.25,707845
07-27-2012,19.69,20.25,19.20,19.90,369851
07-30-2012,20.15,20.25,19.60,20.00,202508
07-31-2012,20.26,20.36,20.00,20.28,178908
08-01-2012,20.30,20.48,19.00,19.74,92779
08-02-2012,19.55,19.84,19.22,19.37,71618
08-03-2012,19.54,19.96,19.54,19.77,60311
08-06-2012,19.80,20.13,19.80,19.86,110487
08-07-2012,19.88,19.90,19.33,19.69,118155
08-08-2012,19.30,19.46,18.79,19.02,201904
08-09-2012,18.85,18.85,18.40,18.54,237554
08-10-2012,18.32,19.21,18.04,19.05,201500
08-13-2012,19.17,19.45,18.62,18.77,75225
08-14-2012,18.98,19.05,18.53,18.70,44456
08-15-2012,18.63,18.68,18.37,18.45,106024
08-16-2012,18.52,18.75,18.34,18.72,122000
08-17-2012,18.76,18.88,18.57,18.57,120198
08-20-2012,18.54,19.10,18.54,18.69,352988
08-21-2012,18.80,19.07,18.43,18.48,88817
08-22-2012,18.48,18.48,18.05,18.42,175507
08-23-2012,18.38,18.75,18.33,18.70,324533
08-24-2012,18.72,19.82,18.50,19.58,82632
08-27-2012,19.55,21.54,19.44,20.93,500270
08-28-2012,21.59,21.64,20.61,20.71,305631
08-29-2012,20.82,21.81,20.50,20.50,259835
08-30-2012,20.89,22.00,20.60,21.54,102255
08-31-2012,21.59,21.81,21.25,21.48,129439
09-04-2012,21.57,21.73,21.42,21.49,246594
09-05-2012,21.73,21.73,21.25,21.41,89560
09-06-2012,21.44,21.56,21.00,21.15,142709
09-07-2012,21.17,21.35,20.61,20.94,190114
09-10-2012,20.98,21.18,20.53,20.61,90414
09-11-2012,20.65,20.90,20.50,20.60,44415
09-12-2012,20.76,20.94,19.75,19.76,295664
09-13-2012,19.65,20.99,18.59,20.90,305229
09-14-2012,20.82,21.35,20.57,21.11,111748
09-17-2012,21.16,22.57,21.16,22.09,266542
09-18-2012,22.15,22.56,22.00,22.44,123003
09-19-2012,22.50,23.00,22.50,22.70,129586
09-20-2012,22.77,22.93,22.09,22.19,115186
09-21-2012,22.35,23.26,22.00,22.84,85487
09-24-2012,22.77,22.94,22.35,22.74,84859
09-25-2012,22.86,23.30,21.50,22.06,102239
