Date,Open,High,Low,Close,Volume
03-26-1990,0.884,0.932,0.884,0.884,0
03-27-1990,0.885,0.948,0.885,0.948,0
03-28-1990,0.948,0.948,0.948,0.948,0
03-29-1990,0.884,0.884,0.884,0.884,0
03-30-1990,0.916,0.947,0.916,0.932,0
04-02-1990,0.916,0.916,0.916,0.916,0
04-03-1990,0.916,0.948,0.916,0.948,0
04-04-1990,0.948,0.980,0.917,0.980,0
04-05-1990,0.979,0.979,0.948,0.948,0
04-06-1990,0.948,0.948,0.948,0.948,0
04-09-1990,0.948,0.948,0.948,0.948,0
04-10-1990,0.980,0.980,0.980,0.980,0
04-11-1990,0.917,0.980,0.917,0.980,0
04-12-1990,0.917,0.980,0.917,0.980,0
04-16-1990,0.980,0.980,0.980,0.980,0
04-17-1990,0.917,0.980,0.917,0.980,0
04-18-1990,0.885,0.980,0.885,0.980,0
04-19-1990,0.916,0.979,0.916,0.916,0
04-20-1990,0.916,0.916,0.916,0.916,0
04-23-1990,0.95,1.01,0.95,1.01,0
04-24-1990,0.948,0.948,0.948,0.948,0
04-25-1990,0.948,0.948,0.948,0.948,0
04-26-1990,0.947,0.980,0.947,0.980,0
04-27-1990,1.01,1.01,0.95,1.01,0
04-30-1990,1.013,1.013,0.948,0.948,0
05-01-1990,1.01,1.01,1.01,1.01,0
05-02-1990,1.01,1.01,1.01,1.01,0
05-03-1990,0.965,1.013,0.965,0.980,0
05-04-1990,0.980,0.980,0.980,0.980,0
05-07-1990,0.948,0.948,0.948,0.948,0
05-08-1990,0.948,0.948,0.948,0.948,0
05-09-1990,0.95,1.01,0.95,1.01,0
05-10-1990,1.01,1.01,1.01,1.01,0
05-11-1990,1.01,1.01,1.01,1.01,0
05-14-1990,0.948,0.948,0.948,0.948,0
05-15-1990,0.948,0.948,0.948,0.948,0
05-16-1990,0.948,0.948,0.948,0.948,0
05-17-1990,1.01,1.01,1.01,1.01,0
05-18-1990,1.046,1.046,0.980,0.980,0
05-21-1990,0.98,1.04,0.98,1.04,0
05-22-1990,1.046,1.046,0.980,0.980,0
05-23-1990,0.980,0.980,0.980,0.980,0
05-24-1990,0.980,0.980,0.980,0.980,0
05-25-1990,1.00,1.04,1.00,1.04,0
05-29-1990,0.980,0.980,0.980,0.980,0
05-30-1990,1.013,1.030,0.980,0.980,0
05-31-1990,1.04,1.04,1.04,1.04,0
06-01-1990,1.04,1.04,0.98,1.04,0
06-04-1990,1.04,1.08,0.98,1.01,0
06-05-1990,1.08,1.08,1.01,1.01,0
06-06-1990,1.01,1.01,1.01,1.01,0
06-07-1990,1.00,1.04,1.00,1.04,0
06-08-1990,1.04,1.04,1.04,1.04,0
06-11-1990,0.95,1.01,0.95,1.01,0
06-12-1990,0.981,1.046,0.948,0.948,0
06-13-1990,0.947,0.964,0.947,0.964,0
06-14-1990,1.04,1.04,1.04,1.04,0
06-15-1990,0.948,0.948,0.948,0.948,0
06-18-1990,1.04,1.04,1.04,1.04,0
06-19-1990,1.04,1.04,1.04,1.04,0
06-20-1990,0.95,1.04,0.95,1.04,0
06-21-1990,0.948,0.948,0.948,0.948,0
06-22-1990,1.04,1.04,1.04,1.04,0
06-25-1990,1.04,1.04,1.04,1.04,0
06-26-1990,1.04,1.04,1.04,1.04,0
06-27-1990,0.981,0.981,0.948,0.948,0
06-28-1990,1.013,1.013,0.948,0.948,0
06-29-1990,1.046,1.046,0.948,0.948,0
07-02-1990,1.01,1.01,1.01,1.01,0
07-03-1990,1.04,1.04,0.95,1.04,0
07-05-1990,0.964,0.964,0.964,0.964,0
07-06-1990,1.046,1.046,0.948,0.948,0
07-09-1990,1.04,1.04,0.95,1.04,0
07-10-1990,1.04,1.04,1.04,1.04,0
07-11-1990,1.04,1.04,1.04,1.04,0
07-12-1990,1.04,1.04,1.04,1.04,0
07-13-1990,1.04,1.04,1.04,1.04,0
07-16-1990,0.948,0.948,0.948,0.948,0
07-17-1990,0.95,1.04,0.95,1.04,0
07-18-1990,0.948,0.948,0.948,0.948,0
07-19-1990,0.948,0.948,0.948,0.948,0
07-20-1990,0.948,0.948,0.948,0.948,0
07-23-1990,0.98,1.04,0.98,1.01,0
07-24-1990,1.044,1.044,0.979,0.996,0
07-25-1990,0.996,0.996,0.996,0.996,0
07-26-1990,0.98,1.04,0.98,1.04,0
07-27-1990,0.980,0.980,0.980,0.980,0
07-30-1990,0.980,0.980,0.980,0.980,0
07-31-1990,0.980,0.980,0.980,0.980,0
08-01-1990,0.980,0.980,0.980,0.980,0
08-02-1990,1.077,1.077,0.996,0.996,0
08-03-1990,0.996,1.077,0.979,0.996,0
08-06-1990,0.980,0.980,0.980,0.980,0
08-07-1990,0.980,0.980,0.980,0.980,0
08-08-1990,0.980,1.078,0.980,0.980,0
08-09-1990,0.980,0.980,0.980,0.980,0
08-10-1990,0.980,0.980,0.980,0.980,0
08-13-1990,0.980,1.078,0.980,0.980,0
08-14-1990,0.980,1.046,0.980,0.980,0
08-15-1990,1.044,1.044,0.979,0.996,0
08-16-1990,0.980,0.980,0.980,0.980,0
08-17-1990,1.077,1.077,0.979,0.996,0
08-20-1990,1.06,1.06,1.06,1.06,0
08-21-1990,0.98,1.04,0.98,1.04,0
08-22-1990,0.980,0.980,0.980,0.980,0
08-23-1990,0.98,1.08,0.98,1.04,0
08-24-1990,0.98,1.04,0.98,1.04,0
08-27-1990,1.04,1.04,1.04,1.04,0
08-28-1990,1.079,1.079,0.948,0.948,0
08-29-1990,0.947,1.046,0.947,0.980,0
08-30-1990,0.980,0.980,0.980,0.980,0
08-31-1990,1.11,1.11,1.11,1.11,0
09-04-1990,1.11,1.11,1.11,1.11,0
09-05-1990,0.98,1.03,0.98,1.03,0
09-06-1990,0.98,1.04,0.98,1.04,0
09-07-1990,1.04,1.04,1.04,1.04,0
09-10-1990,0.98,1.04,0.98,1.04,0
09-11-1990,1.04,1.04,1.04,1.04,0
09-12-1990,1.04,1.04,1.04,1.04,0
09-13-1990,1.08,1.08,1.08,1.08,0
09-14-1990,1.08,1.08,1.08,1.08,0
09-17-1990,1.078,1.078,0.980,0.980,0
09-18-1990,0.980,0.980,0.980,0.980,0
09-19-1990,1.01,1.01,1.01,1.01,0
09-20-1990,1.01,1.01,1.01,1.01,0
09-21-1990,1.01,1.01,1.01,1.01,0
09-24-1990,0.98,1.04,0.98,1.04,0
09-25-1990,0.980,0.980,0.980,0.980,0
09-26-1990,0.980,0.980,0.980,0.980,0
09-27-1990,0.980,0.980,0.980,0.980,0
09-28-1990,1.01,1.01,1.01,1.01,0
10-01-1990,0.948,0.948,0.948,0.948,0
10-02-1990,1.078,1.078,0.980,0.980,0
10-03-1990,0.980,1.046,0.980,0.980,0
10-04-1990,1.04,1.04,1.04,1.04,0
10-05-1990,0.980,0.980,0.980,0.980,0
10-08-1990,0.980,0.980,0.980,0.980,0
10-09-1990,0.980,0.980,0.980,0.980,0
10-10-1990,0.980,0.980,0.980,0.980,0
10-11-1990,1.08,1.08,1.08,1.08,0
10-12-1990,0.98,1.08,0.98,1.08,0
10-15-1990,0.98,1.08,0.98,1.04,0
10-16-1990,1.04,1.04,1.04,1.04,0
10-17-1990,0.948,0.948,0.948,0.948,0
10-18-1990,0.95,1.01,0.95,1.01,0
10-19-1990,1.01,1.01,1.01,1.01,0
10-22-1990,1.01,1.01,1.01,1.01,0
10-23-1990,1.04,1.08,0.98,1.04,0
10-24-1990,1.11,1.11,1.11,1.11,0
10-25-1990,1.01,1.04,1.01,1.04,0
10-26-1990,1.04,1.04,1.04,1.04,0
10-29-1990,1.01,1.08,1.01,1.04,0
10-30-1990,1.01,1.01,1.01,1.01,0
10-31-1990,1.01,1.01,1.01,1.01,0
11-01-1990,1.01,1.01,1.01,1.01,0
11-02-1990,1.01,1.01,1.01,1.01,0
11-05-1990,1.01,1.01,1.01,1.01,0
11-06-1990,1.01,1.15,1.01,1.01,0
11-07-1990,1.15,1.15,1.01,1.01,0
11-08-1990,1.15,1.15,1.01,1.01,0
11-09-1990,1.01,1.01,1.01,1.01,0
11-12-1990,1.14,1.14,1.11,1.11,0
11-13-1990,1.01,1.01,1.01,1.01,0
11-14-1990,1.14,1.14,1.14,1.14,0
11-15-1990,1.15,1.15,1.01,1.04,0
11-16-1990,1.04,1.04,1.04,1.04,0
11-19-1990,1.01,1.14,1.01,1.14,0
11-20-1990,1.01,1.01,1.01,1.01,0
11-21-1990,1.01,1.01,1.01,1.01,0
11-23-1990,1.07,1.14,1.07,1.14,0
11-26-1990,1.14,1.14,1.06,1.14,0
11-27-1990,1.14,1.14,1.14,1.14,0
11-28-1990,1.04,1.08,1.04,1.08,0
11-29-1990,1.08,1.08,1.08,1.08,0
11-30-1990,1.04,1.04,1.04,1.04,0
