Date,Open,High,Low,Close,Volume
01-02-1990,4.92,5.11,4.92,5.11,0
01-03-1990,5.11,5.14,5.03,5.06,0
01-04-1990,5.03,5.03,4.95,4.95,0
01-05-1990,4.92,4.92,4.87,4.87,0
01-08-1990,4.87,4.87,4.82,4.84,0
01-09-1990,4.82,4.87,4.80,4.87,0
01-10-1990,4.85,4.91,4.83,4.88,0
01-11-1990,4.87,4.87,4.78,4.82,0
01-12-1990,4.78,4.80,4.72,4.74,0
01-15-1990,4.75,4.75,4.69,4.69,0
01-16-1990,4.70,4.70,4.62,4.62,0
01-17-1990,4.65,4.65,4.62,4.62,0
01-18-1990,4.64,4.66,4.64,4.66,0
01-19-1990,4.66,4.66,4.61,4.61,0
01-22-1990,4.64,4.66,4.59,4.59,0
01-23-1990,4.61,4.61,4.56,4.59,0
01-24-1990,4.56,4.58,4.55,4.58,0
01-25-1990,4.56,4.58,4.53,4.58,0
01-26-1990,4.56,4.59,4.56,4.59,0
01-29-1990,4.63,4.63,4.56,4.59,0
01-30-1990,4.59,4.62,4.59,4.61,0
01-31-1990,4.60,4.61,4.56,4.56,0
02-01-1990,4.59,4.62,4.56,4.62,0
02-02-1990,4.64,4.82,4.64,4.82,0
02-05-1990,4.79,4.79,4.73,4.77,0
02-06-1990,4.76,4.79,4.74,4.77,0
02-07-1990,4.78,4.78,4.72,4.74,0
02-08-1990,4.74,4.74,4.72,4.74,0
02-09-1990,4.77,4.77,4.74,4.74,0
02-12-1990,4.74,4.74,4.74,4.74,0
02-13-1990,4.71,4.71,4.68,4.71,0
02-14-1990,4.74,4.79,4.74,4.79,0
02-15-1990,4.75,4.78,4.75,4.75,0
02-16-1990,4.78,4.82,4.77,4.82,0
02-20-1990,4.77,4.78,4.75,4.75,0
02-21-1990,4.72,4.92,4.72,4.92,0
02-22-1990,4.93,5.14,4.93,5.09,0
02-23-1990,5.13,5.13,4.98,5.06,0
02-26-1990,5.33,5.35,5.33,5.35,0
02-27-1990,5.35,5.35,5.32,5.34,0
02-28-1990,5.33,5.33,5.28,5.28,0
03-01-1990,5.32,5.39,5.32,5.37,0
03-02-1990,5.39,5.60,5.39,5.60,0
03-05-1990,5.57,5.75,5.57,5.66,0
03-06-1990,5.70,5.75,5.68,5.71,0
03-07-1990,5.75,5.87,5.73,5.87,0
03-08-1990,5.89,6.09,5.89,6.02,0
03-09-1990,6.09,6.13,6.05,6.05,0
03-12-1990,6.05,6.14,6.02,6.13,0
03-13-1990,6.16,6.20,6.11,6.13,0
03-14-1990,6.15,6.15,6.07,6.07,0
03-15-1990,6.05,6.09,6.00,6.00,0
03-16-1990,5.96,6.05,5.91,6.02,0
03-19-1990,6.06,6.07,6.06,6.07,0
03-20-1990,6.09,6.13,6.04,6.04,0
03-21-1990,6.05,6.05,6.02,6.05,0
03-22-1990,6.02,6.02,6.00,6.02,0
03-23-1990,6.02,6.02,5.97,5.97,0
03-26-1990,6.00,6.02,5.91,5.91,0
03-27-1990,5.89,5.89,5.80,5.82,0
03-28-1990,5.84,5.89,5.82,5.89,0
03-29-1990,5.91,5.93,5.89,5.89,0
03-30-1990,5.91,5.91,5.89,5.91,0
04-02-1990,5.89,5.91,5.87,5.87,0
04-03-1990,5.89,5.93,5.89,5.91,0
04-04-1990,5.93,5.98,5.91,5.97,0
04-05-1990,5.98,5.98,5.97,5.97,0
04-06-1990,5.98,5.98,5.93,5.97,0
04-09-1990,5.97,5.97,5.93,5.93,0
04-10-1990,5.93,5.93,5.91,5.91,0
04-11-1990,5.89,5.89,5.84,5.87,0
04-12-1990,5.87,5.89,5.85,5.87,0
04-16-1990,5.87,5.87,5.84,5.87,0
04-17-1990,5.87,5.87,5.85,5.87,0
04-18-1990,5.84,5.86,5.79,5.79,0
04-19-1990,5.82,5.82,5.73,5.73,0
04-20-1990,5.75,5.75,5.69,5.69,0
04-23-1990,5.73,5.76,5.71,5.73,0
04-24-1990,5.76,5.76,5.69,5.73,0
04-25-1990,5.69,5.73,5.65,5.69,0
04-26-1990,5.67,5.71,5.64,5.69,0
04-27-1990,5.69,5.71,5.66,5.68,0
04-30-1990,5.64,5.64,5.51,5.57,0
05-01-1990,5.60,5.60,5.51,5.58,0
05-02-1990,5.62,5.69,5.62,5.69,0
05-03-1990,5.73,5.75,5.71,5.75,0
05-04-1990,5.73,5.79,5.73,5.79,0
05-07-1990,5.76,5.80,5.75,5.80,0
05-08-1990,5.77,5.82,5.75,5.82,0
05-09-1990,5.78,5.80,5.76,5.80,0
05-10-1990,5.80,5.87,5.80,5.87,0
05-11-1990,5.89,6.00,5.89,6.00,0
05-14-1990,6.00,6.13,6.00,6.09,0
05-15-1990,6.07,6.09,6.06,6.07,0
05-16-1990,6.09,6.09,6.06,6.07,0
05-17-1990,6.08,6.24,6.08,6.22,0
05-18-1990,6.25,6.29,6.23,6.23,0
05-21-1990,6.20,6.25,6.20,6.23,0
05-22-1990,6.23,6.27,6.22,6.27,0
05-23-1990,6.24,6.26,6.24,6.26,0
05-24-1990,6.26,6.28,6.24,6.26,0
05-25-1990,6.26,6.26,6.26,6.26,0
05-29-1990,6.24,6.29,6.22,6.29,0
05-30-1990,6.27,6.27,6.25,6.27,0
05-31-1990,6.27,6.30,6.27,6.27,0
06-01-1990,6.26,6.29,6.26,6.26,0
06-04-1990,6.26,6.29,6.18,6.18,0
06-05-1990,6.20,6.20,6.15,6.15,0
06-06-1990,6.15,6.15,6.13,6.15,0
06-07-1990,6.14,6.14,6.09,6.09,0
06-08-1990,6.09,6.09,5.98,5.98,0
06-11-1990,5.98,6.04,5.98,5.98,0
06-12-1990,6.00,6.02,5.98,5.98,0
06-13-1990,6.00,6.02,5.97,5.97,0
06-14-1990,5.96,6.00,5.94,5.94,0
06-15-1990,5.96,6.03,5.96,6.02,0
06-18-1990,6.05,6.09,6.00,6.00,0
06-19-1990,6.00,6.00,5.98,6.00,0
06-20-1990,5.96,5.98,5.96,5.98,0
06-21-1990,5.98,6.00,5.97,5.97,0
06-22-1990,5.96,5.96,5.93,5.94,0
06-25-1990,5.91,5.93,5.80,5.80,0
06-26-1990,5.77,5.82,5.77,5.82,0
06-27-1990,5.81,5.86,5.81,5.86,0
06-28-1990,5.84,5.85,5.84,5.84,0
