Date,Open,High,Low,Close,Volume
03-26-2002,7.01,7.06,7.01,7.02,544955
03-27-2002,7.01,7.06,7.01,7.01,83096
03-28-2002,7.01,7.05,7.01,7.02,66833
04-01-2002,7.02,7.05,7.02,7.02,79026
04-02-2002,7.05,7.05,7.02,7.02,84797
04-03-2002,7.01,7.03,7.01,7.01,119891
04-04-2002,7.03,7.03,7.01,7.03,93578
04-05-2002,7.03,7.03,7.01,7.01,173369
04-08-2002,7.01,7.02,7.01,7.02,51433
04-09-2002,7.01,7.03,7.01,7.03,88451
04-10-2002,7.01,7.03,7.01,7.01,106414
04-11-2002,7.01,7.02,7.01,7.01,58054
04-12-2002,7.01,7.03,7.01,7.02,48431
04-15-2002,7.03,7.03,7.02,7.02,28330
04-16-2002,7.02,7.03,7.02,7.02,34534
04-17-2002,7.02,7.03,7.01,7.01,49725
04-18-2002,7.01,7.03,7.01,7.02,29822
04-19-2002,7.03,7.03,7.01,7.01,95507
04-22-2002,7.01,7.02,7.01,7.02,17624
04-23-2002,7.01,7.03,7.01,7.01,27903
04-24-2002,7.01,7.03,7.01,7.01,12923
04-25-2002,7.02,7.02,7.01,7.02,15920
04-26-2002,7.01,7.02,7.01,7.02,26405
04-29-2002,7.03,7.03,7.01,7.01,59769
04-30-2002,7.01,7.02,7.01,7.02,429222
05-01-2002,7.01,7.02,7.01,7.01,172508
05-02-2002,7.01,7.02,7.01,7.02,157318
05-03-2002,7.02,7.03,7.01,7.03,37732
05-06-2002,7.02,7.03,7.02,7.03,67695
05-07-2002,7.03,7.05,7.02,7.04,25124
05-08-2002,7.03,7.11,7.03,7.06,99566
05-09-2002,7.05,7.05,7.02,7.05,129083
05-10-2002,7.04,7.05,7.02,7.02,35816
05-13-2002,7.04,7.04,7.02,7.04,80096
05-14-2002,7.05,7.06,7.02,7.05,64912
05-15-2002,7.10,7.10,7.05,7.07,34356
05-16-2002,7.05,7.10,7.05,7.07,108211
05-17-2002,7.09,7.13,7.08,7.08,71382
05-20-2002,7.08,7.08,7.05,7.07,56694
05-21-2002,7.07,7.09,7.05,7.08,75638
05-22-2002,7.09,7.10,7.07,7.10,64996
05-23-2002,7.12,7.19,7.08,7.16,69458
05-24-2002,7.12,7.18,7.10,7.10,115444
05-28-2002,7.10,7.11,7.05,7.11,115864
05-29-2002,7.12,7.14,7.06,7.08,119067
05-30-2002,7.11,7.11,7.08,7.10,68831
05-31-2002,7.11,7.11,7.08,7.10,68614
06-03-2002,7.11,7.11,7.08,7.08,63735
06-04-2002,7.09,7.11,7.08,7.10,126287
06-05-2002,7.11,7.12,7.10,7.10,159069
06-06-2002,7.12,7.13,7.08,7.11,56486
06-07-2002,7.11,7.11,7.06,7.10,85013
06-10-2002,7.10,7.16,7.10,7.16,67127
06-11-2002,7.17,7.18,7.12,7.16,97131
06-12-2002,7.15,7.15,7.12,7.12,44767
06-13-2002,7.15,7.15,7.12,7.12,81819
06-14-2002,7.13,7.24,7.11,7.11,179650
06-17-2002,7.11,7.15,7.08,7.09,104692
