Date,Open,High,Low,Close,Volume
01-02-1990,0.316,0.316,0.315,0.316,0
01-03-1990,0.315,0.315,0.314,0.314,0
01-04-1990,0.315,0.321,0.315,0.319,0
01-05-1990,0.319,0.320,0.319,0.319,0
01-08-1990,0.320,0.325,0.319,0.325,0
01-09-1990,0.326,0.327,0.324,0.327,0
01-10-1990,0.328,0.328,0.326,0.327,0
01-11-1990,0.327,0.328,0.326,0.327,0
01-12-1990,0.324,0.324,0.322,0.323,0
01-15-1990,0.323,0.323,0.323,0.323,0
01-16-1990,0.320,0.321,0.320,0.321,0
01-17-1990,0.319,0.319,0.319,0.319,0
01-18-1990,0.317,0.318,0.316,0.316,0
01-19-1990,0.316,0.316,0.316,0.316,0
01-22-1990,0.314,0.314,0.306,0.306,0
01-23-1990,0.310,0.314,0.310,0.314,0
01-24-1990,0.308,0.308,0.305,0.306,0
01-25-1990,0.310,0.312,0.310,0.310,0
01-26-1990,0.311,0.311,0.308,0.308,0
01-29-1990,0.310,0.310,0.308,0.310,0
01-30-1990,0.310,0.312,0.310,0.312,0
01-31-1990,0.313,0.316,0.313,0.316,0
02-01-1990,0.315,0.317,0.315,0.317,0
02-02-1990,0.320,0.325,0.320,0.321,0
02-05-1990,0.324,0.334,0.324,0.334,0
02-06-1990,0.331,0.333,0.331,0.332,0
02-07-1990,0.328,0.332,0.328,0.332,0
02-08-1990,0.328,0.328,0.327,0.327,0
02-09-1990,0.327,0.327,0.323,0.323,0
02-12-1990,0.324,0.325,0.323,0.323,0
02-13-1990,0.319,0.319,0.315,0.317,0
02-14-1990,0.326,0.326,0.324,0.325,0
02-15-1990,0.322,0.323,0.321,0.323,0
02-16-1990,0.321,0.323,0.321,0.321,0
02-20-1990,0.313,0.314,0.312,0.312,0
02-21-1990,0.310,0.310,0.310,0.310,0
02-22-1990,0.310,0.313,0.310,0.312,0
02-23-1990,0.311,0.311,0.308,0.308,0
02-26-1990,0.308,0.311,0.307,0.308,0
02-27-1990,0.314,0.316,0.314,0.316,0
02-28-1990,0.315,0.315,0.313,0.314,0
03-01-1990,0.310,0.310,0.310,0.310,0
03-02-1990,0.308,0.310,0.308,0.310,0
03-05-1990,0.317,0.317,0.317,0.317,0
03-06-1990,0.320,0.323,0.320,0.323,0
03-07-1990,0.324,0.331,0.324,0.329,0
03-08-1990,0.327,0.327,0.326,0.327,0
03-09-1990,0.325,0.325,0.324,0.325,0
03-12-1990,0.319,0.319,0.317,0.317,0
03-13-1990,0.314,0.317,0.314,0.316,0
03-14-1990,0.313,0.317,0.308,0.308,0
03-15-1990,0.303,0.306,0.303,0.306,0
03-16-1990,0.307,0.307,0.306,0.306,0
03-19-1990,0.303,0.304,0.303,0.303,0
03-20-1990,0.299,0.299,0.295,0.295,0
03-21-1990,0.294,0.294,0.294,0.294,0
03-22-1990,0.296,0.296,0.293,0.294,0
03-23-1990,0.297,0.298,0.296,0.297,0
03-26-1990,0.299,0.299,0.299,0.299,0
03-27-1990,0.299,0.299,0.299,0.299,0
03-28-1990,0.299,0.301,0.299,0.301,0
03-29-1990,0.302,0.303,0.301,0.301,0
03-30-1990,0.305,0.305,0.305,0.305,0
04-02-1990,0.299,0.299,0.295,0.299,0
04-03-1990,0.298,0.300,0.298,0.299,0
04-04-1990,0.297,0.298,0.297,0.297,0
04-05-1990,0.296,0.297,0.295,0.295,0
04-06-1990,0.296,0.296,0.295,0.295,0
04-09-1990,0.289,0.294,0.289,0.294,0
04-10-1990,0.294,0.294,0.292,0.294,0
04-11-1990,0.291,0.291,0.288,0.288,0
04-12-1990,0.290,0.290,0.285,0.288,0
04-16-1990,0.288,0.290,0.288,0.288,0
04-17-1990,0.287,0.290,0.287,0.290,0
04-18-1990,0.286,0.286,0.284,0.284,0
04-19-1990,0.283,0.285,0.283,0.284,0
04-20-1990,0.283,0.284,0.283,0.284,0
04-23-1990,0.294,0.294,0.291,0.292,0
04-24-1990,0.291,0.291,0.288,0.288,0
04-25-1990,0.289,0.292,0.289,0.292,0
04-26-1990,0.290,0.291,0.290,0.290,0
04-27-1990,0.288,0.288,0.288,0.288,0
04-30-1990,0.286,0.288,0.286,0.288,0
05-01-1990,0.288,0.288,0.288,0.288,0
05-02-1990,0.288,0.290,0.288,0.290,0
05-03-1990,0.290,0.291,0.290,0.290,0
05-04-1990,0.293,0.293,0.292,0.292,0
05-07-1990,0.289,0.294,0.289,0.294,0
05-08-1990,0.294,0.294,0.294,0.294,0
05-09-1990,0.294,0.294,0.294,0.294,0
05-10-1990,0.294,0.294,0.292,0.292,0
05-11-1990,0.290,0.292,0.290,0.292,0
05-14-1990,0.291,0.294,0.291,0.294,0
05-15-1990,0.301,0.303,0.301,0.301,0
05-16-1990,0.299,0.299,0.297,0.297,0
05-17-1990,0.300,0.301,0.298,0.299,0
05-18-1990,0.298,0.299,0.297,0.297,0
05-21-1990,0.295,0.297,0.294,0.297,0
05-22-1990,0.294,0.295,0.294,0.295,0
05-23-1990,0.294,0.296,0.294,0.295,0
05-24-1990,0.296,0.299,0.296,0.297,0
05-25-1990,0.298,0.299,0.298,0.299,0
05-29-1990,0.297,0.300,0.297,0.299,0
05-30-1990,0.302,0.303,0.301,0.303,0
05-31-1990,0.307,0.308,0.307,0.308,0
06-01-1990,0.309,0.312,0.308,0.308,0
06-04-1990,0.308,0.312,0.308,0.312,0
06-05-1990,0.310,0.310,0.310,0.310,0
06-06-1990,0.312,0.312,0.310,0.310,0
06-07-1990,0.314,0.314,0.313,0.314,0
06-08-1990,0.317,0.317,0.316,0.316,0
06-11-1990,0.320,0.321,0.320,0.321,0
06-12-1990,0.321,0.321,0.321,0.321,0
06-13-1990,0.323,0.325,0.323,0.325,0
06-14-1990,0.326,0.326,0.325,0.325,0
06-15-1990,0.325,0.325,0.325,0.325,0
06-18-1990,0.326,0.326,0.323,0.323,0
06-19-1990,0.322,0.323,0.322,0.323,0
06-20-1990,0.323,0.323,0.323,0.323,0
06-21-1990,0.322,0.322,0.319,0.319,0
06-22-1990,0.322,0.322,0.317,0.317,0
06-25-1990,0.318,0.321,0.318,0.321,0
06-26-1990,0.321,0.323,0.321,0.323,0
06-27-1990,0.325,0.325,0.325,0.325,0
06-28-1990,0.323,0.323,0.321,0.323,0
06-29-1990,0.322,0.323,0.322,0.323,0
07-02-1990,0.326,0.326,0.325,0.325,0
07-03-1990,0.329,0.332,0.329,0.332,0
07-05-1990,0.329,0.329,0.329,0.329,0
07-06-1990,0.329,0.329,0.327,0.327,0
07-09-1990,0.329,0.329,0.329,0.329,0
07-10-1990,0.330,0.330,0.330,0.330,0
07-11-1990,0.330,0.331,0.330,0.330,0
07-12-1990,0.333,0.335,0.331,0.334,0
07-13-1990,0.334,0.336,0.334,0.336,0
07-16-1990,0.339,0.343,0.339,0.342,0
07-17-1990,0.343,0.347,0.343,0.347,0
07-18-1990,0.349,0.350,0.348,0.349,0
07-19-1990,0.351,0.356,0.351,0.354,0
07-20-1990,0.354,0.356,0.354,0.354,0
07-23-1990,0.351,0.352,0.346,0.349,0
07-24-1990,0.350,0.352,0.350,0.352,0
07-25-1990,0.354,0.354,0.353,0.354,0
07-26-1990,0.354,0.354,0.352,0.352,0
07-27-1990,0.354,0.354,0.352,0.352,0
07-30-1990,0.352,0.353,0.352,0.352,0
07-31-1990,0.353,0.354,0.352,0.352,0
08-01-1990,0.352,0.352,0.351,0.351,0
08-02-1990,0.350,0.351,0.350,0.351,0
08-03-1990,0.346,0.346,0.341,0.342,0
08-06-1990,0.333,0.336,0.329,0.336,0
08-07-1990,0.336,0.336,0.334,0.334,0
08-08-1990,0.333,0.333,0.329,0.329,0
08-09-1990,0.327,0.329,0.327,0.329,0
08-10-1990,0.329,0.329,0.329,0.329,0
08-13-1990,0.329,0.330,0.329,0.329,0
08-14-1990,0.334,0.339,0.334,0.336,0
08-15-1990,0.356,0.358,0.356,0.356,0
08-16-1990,0.356,0.356,0.348,0.351,0
08-17-1990,0.354,0.354,0.347,0.349,0
08-20-1990,0.339,0.342,0.339,0.342,0
08-21-1990,0.332,0.334,0.330,0.332,0
08-22-1990,0.335,0.337,0.335,0.336,0
08-23-1990,0.332,0.334,0.330,0.330,0
08-24-1990,0.336,0.336,0.335,0.336,0
08-27-1990,0.346,0.349,0.346,0.349,0
08-28-1990,0.349,0.349,0.347,0.347,0
08-29-1990,0.346,0.351,0.346,0.351,0
08-30-1990,0.347,0.349,0.347,0.347,0
08-31-1990,0.348,0.350,0.348,0.349,0
09-04-1990,0.349,0.352,0.349,0.351,0
09-05-1990,0.351,0.353,0.351,0.351,0
09-06-1990,0.354,0.356,0.354,0.354,0
09-07-1990,0.357,0.360,0.356,0.356,0
09-10-1990,0.358,0.366,0.358,0.358,0
09-11-1990,0.356,0.358,0.356,0.358,0
09-12-1990,0.354,0.360,0.354,0.358,0
09-13-1990,0.358,0.358,0.356,0.358,0
09-14-1990,0.357,0.357,0.352,0.352,0
09-17-1990,0.349,0.349,0.349,0.349,0
09-18-1990,0.351,0.351,0.349,0.351,0
09-19-1990,0.344,0.347,0.344,0.345,0
09-20-1990,0.336,0.336,0.331,0.332,0
09-21-1990,0.330,0.330,0.329,0.329,0
09-24-1990,0.327,0.327,0.325,0.325,0
09-25-1990,0.326,0.329,0.326,0.329,0
09-26-1990,0.332,0.334,0.330,0.330,0
09-27-1990,0.336,0.336,0.331,0.332,0
09-28-1990,0.331,0.332,0.329,0.332,0
10-01-1990,0.341,0.342,0.341,0.342,0
10-02-1990,0.343,0.345,0.343,0.343,0
10-03-1990,0.343,0.347,0.343,0.343,0
10-04-1990,0.347,0.351,0.347,0.351,0
10-05-1990,0.351,0.354,0.349,0.354,0
10-08-1990,0.357,0.357,0.356,0.356,0
10-09-1990,0.356,0.358,0.356,0.356,0
10-10-1990,0.353,0.355,0.351,0.351,0
10-11-1990,0.347,0.349,0.345,0.345,0
10-12-1990,0.354,0.354,0.352,0.352,0
10-15-1990,0.355,0.358,0.354,0.358,0
10-16-1990,0.360,0.360,0.359,0.360,0
10-17-1990,0.360,0.361,0.357,0.358,0
10-18-1990,0.360,0.378,0.359,0.378,0
10-19-1990,0.376,0.376,0.370,0.371,0
10-22-1990,0.368,0.369,0.366,0.369,0
10-23-1990,0.365,0.365,0.358,0.360,0
10-24-1990,0.361,0.364,0.361,0.364,0
