Date,Open,High,Low,Close,Volume
11-07-1994,1.19,1.21,1.11,1.13,2023940
11-08-1994,1.12,1.14,1.11,1.12,183361
11-09-1994,1.14,1.14,1.08,1.08,1148306
11-10-1994,1.08,1.11,1.03,1.03,1226467
11-11-1994,1.05,1.05,1.02,1.03,283834
11-14-1994,1.05,1.07,1.03,1.07,787852
11-15-1994,1.07,1.07,1.03,1.03,74907
11-16-1994,1.07,1.07,1.02,1.03,738399
11-17-1994,1.07,1.07,1.02,1.02,328507
11-18-1994,1.05,1.05,0.99,1.00,464076
11-21-1994,1.019,1.019,0.987,0.987,181756
11-22-1994,1.003,1.003,0.971,0.971,253529
11-23-1994,0.956,0.987,0.941,0.987,984028
11-25-1994,1.00,1.03,1.00,1.01,44603
11-28-1994,1.03,1.05,1.00,1.03,191332
11-29-1994,1.05,1.05,0.98,1.03,795832
11-30-1994,1.00,1.03,1.00,1.01,176965
12-01-1994,1.034,1.034,0.987,0.987,256735
12-02-1994,1.02,1.02,1.02,1.02,3123
12-05-1994,0.97,1.00,0.97,1.00,339674
12-06-1994,1.00,1.00,1.00,1.00,0
12-07-1994,1.003,1.003,0.971,0.979,178567
12-08-1994,0.971,0.987,0.909,0.941,550195
12-09-1994,0.932,0.956,0.925,0.956,135520
12-12-1994,0.956,0.956,0.925,0.925,299784
12-13-1994,0.956,0.956,0.932,0.941,86070
12-14-1994,0.956,0.956,0.925,0.941,33430
12-15-1994,0.925,0.956,0.925,0.948,430571
12-16-1994,0.964,0.964,0.964,0.964,4722
12-19-1994,0.971,0.987,0.941,0.941,189724
12-20-1994,0.948,0.987,0.941,0.948,567750
12-21-1994,0.941,0.987,0.941,0.987,558177
12-22-1994,0.987,0.987,0.941,0.956,390711
12-23-1994,0.987,0.987,0.941,0.948,267888
12-27-1994,0.941,0.971,0.941,0.971,133914
12-28-1994,0.971,0.987,0.941,0.956,722459
12-29-1994,0.987,0.987,0.925,0.925,242371
12-30-1994,0.956,0.971,0.925,0.941,1306216
01-03-1995,0.971,0.971,0.948,0.948,44603
01-04-1995,0.956,0.956,0.948,0.956,87662
01-05-1995,0.971,0.971,0.948,0.948,143479
01-06-1995,0.971,0.971,0.948,0.948,125940
01-09-1995,0.971,0.971,0.971,0.971,1529
01-10-1995,0.971,0.971,0.971,0.971,0
01-11-1995,0.941,0.971,0.941,0.941,728830
01-12-1995,0.941,0.971,0.941,0.971,465667
01-13-1995,0.956,0.971,0.956,0.956,25460
01-16-1995,0.971,0.971,0.941,0.941,49385
01-17-1995,0.964,0.971,0.964,0.971,41395
01-18-1995,0.971,0.971,0.941,0.964,598047
01-19-1995,0.956,0.956,0.948,0.948,159428
01-20-1995,0.971,0.971,0.956,0.971,44603
01-23-1995,0.971,0.971,0.941,0.964,475235
01-24-1995,0.971,0.971,0.941,0.948,363585
01-25-1995,0.956,0.971,0.941,0.948,354024
01-26-1995,0.971,0.971,0.941,0.944,346048
01-27-1995,0.971,0.971,0.956,0.964,354024
01-30-1995,0.941,0.948,0.941,0.948,12702
01-31-1995,0.941,0.987,0.941,0.971,90845
02-01-1995,0.941,0.987,0.941,0.987,385920
02-02-1995,0.941,0.987,0.941,0.964,50972
02-03-1995,0.979,0.987,0.971,0.971,84468
02-06-1995,0.96,1.00,0.96,1.00,117960
02-07-1995,1.003,1.003,0.971,0.995,74907
02-08-1995,0.97,1.00,0.97,1.00,17493
02-09-1995,1.00,1.00,1.00,1.00,11108
02-10-1995,1.00,1.03,0.99,1.03,145074
02-13-1995,1.01,1.01,1.00,1.00,79687
02-14-1995,1.03,1.03,1.00,1.02,239170
02-15-1995,1.03,1.03,1.03,1.03,50972
02-16-1995,1.02,1.05,1.02,1.05,103606
02-17-1995,1.04,1.07,1.04,1.05,63742
02-21-1995,1.02,1.03,1.02,1.03,969674
02-22-1995,1.07,1.07,1.07,1.07,9513
02-23-1995,1.07,1.07,1.03,1.03,17493
02-24-1995,1.02,1.07,1.02,1.03,438548
02-27-1995,1.03,1.05,1.02,1.03,189724
02-28-1995,1.05,1.05,1.03,1.03,164216
03-01-1995,1.04,1.05,1.02,1.02,207283
03-02-1995,1.02,1.02,1.02,1.02,0
03-03-1995,1.03,1.07,1.03,1.07,12702
03-06-1995,1.03,1.05,1.02,1.05,132315
03-07-1995,1.03,1.05,1.02,1.02,62147
03-08-1995,1.02,1.05,1.00,1.02,175384
03-09-1995,1.02,1.02,1.02,1.02,0
03-10-1995,1.00,1.01,0.99,1.01,577308
03-13-1995,1.00,1.05,1.00,1.00,558177
03-14-1995,1.01,1.05,1.00,1.00,111587
03-15-1995,1.00,1.05,1.00,1.00,159428
03-16-1995,1.034,1.034,0.987,0.987,33430
03-17-1995,1.03,1.07,1.02,1.07,669822
03-20-1995,1.08,1.11,1.07,1.11,738399
03-21-1995,1.07,1.11,1.07,1.07,623559
03-22-1995,1.06,1.10,1.06,1.10,15890
03-23-1995,1.08,1.08,1.06,1.08,154644
03-24-1995,1.08,1.08,1.08,1.08,4722
03-27-1995,1.08,1.08,1.08,1.08,0
03-28-1995,1.08,1.08,1.08,1.08,12702
03-29-1995,1.08,1.08,1.05,1.08,76498
03-30-1995,1.05,1.08,1.05,1.05,409844
03-31-1995,1.08,1.08,1.05,1.08,62147
04-03-1995,1.05,1.08,1.05,1.07,199315
04-04-1995,1.10,1.10,1.07,1.10,320523
04-05-1995,1.07,1.10,1.07,1.10,102011
04-06-1995,1.10,1.10,1.05,1.05,47786
04-07-1995,1.07,1.10,1.07,1.09,172187
04-10-1995,1.10,1.10,1.07,1.07,105213
04-11-1995,1.08,1.10,1.07,1.09,191332
04-12-1995,1.07,1.10,1.07,1.10,143479
04-13-1995,1.10,1.10,1.10,1.10,3123
04-17-1995,1.10,1.10,1.08,1.10,204098
04-18-1995,1.08,1.10,1.08,1.10,184943
04-19-1995,1.08,1.10,1.07,1.07,70125
04-20-1995,1.10,1.10,1.10,1.10,66930
04-21-1995,1.10,1.11,1.09,1.11,137104
04-24-1995,1.08,1.11,1.08,1.10,111587
04-25-1995,1.13,1.13,1.09,1.09,132315
04-26-1995,1.13,1.13,1.10,1.12,328507
04-27-1995,1.10,1.13,1.10,1.13,173792
04-28-1995,1.10,1.11,1.10,1.11,57351
05-01-1995,1.11,1.13,1.09,1.11,263103
05-02-1995,1.11,1.13,1.11,1.11,117960
