Date,Open,High,Low,Close,Volume
11-23-1993,0.475,0.510,0.475,0.506,192537792
11-24-1993,0.506,0.538,0.502,0.528,81237800
11-26-1993,0.530,0.530,0.522,0.522,8689311
11-29-1993,0.532,0.538,0.518,0.522,21088294
11-30-1993,0.518,0.526,0.510,0.510,25455100
12-01-1993,0.510,0.522,0.510,0.516,19192432
12-02-1993,0.514,0.522,0.514,0.518,18124416
12-03-1993,0.514,0.522,0.514,0.514,14244215
12-06-1993,0.510,0.522,0.510,0.522,11583672
12-07-1993,0.514,0.526,0.514,0.524,23571876
12-08-1993,0.520,0.540,0.520,0.538,8379665
12-09-1993,0.536,0.546,0.534,0.538,6540674
12-10-1993,0.546,0.546,0.534,0.542,4935504
12-13-1993,0.538,0.538,0.534,0.538,8126878
12-14-1993,0.538,0.538,0.534,0.538,4979744
12-15-1993,0.538,0.542,0.534,0.536,3551527
12-16-1993,0.534,0.542,0.534,0.540,499183
12-17-1993,0.538,0.546,0.538,0.540,2432968
12-20-1993,0.538,0.542,0.534,0.538,2913250
12-21-1993,0.536,0.542,0.534,0.538,511817
12-22-1993,0.534,0.538,0.534,0.534,259055
12-23-1993,0.542,0.542,0.538,0.542,94731
12-27-1993,0.534,0.542,0.534,0.538,562377
12-28-1993,0.538,0.540,0.534,0.538,998440
12-29-1993,0.534,0.542,0.534,0.538,745643
12-30-1993,0.534,0.542,0.534,0.538,1086902
12-31-1993,0.542,0.542,0.538,0.538,448620
01-03-1994,0.534,0.542,0.534,0.536,1175382
01-04-1994,0.542,0.542,0.534,0.536,3121789
01-05-1994,0.534,0.534,0.526,0.534,5106142
01-06-1994,0.534,0.534,0.526,0.534,9340240
01-07-1994,0.534,0.538,0.526,0.534,4941840
01-10-1994,0.542,0.542,0.530,0.538,4448907
01-11-1994,0.538,0.546,0.534,0.538,3570483
01-12-1994,0.546,0.562,0.538,0.562,7754031
01-13-1994,0.558,0.566,0.558,0.566,2243382
01-14-1994,0.560,0.566,0.560,0.563,1529266
01-17-1994,0.558,0.566,0.558,0.566,808840
01-18-1994,0.558,0.574,0.558,0.574,1668297
01-19-1994,0.574,0.585,0.562,0.577,5422118
01-20-1994,0.577,0.584,0.577,0.584,398066
01-21-1994,0.582,0.590,0.582,0.582,341190
01-24-1994,0.582,0.585,0.582,0.584,575021
01-25-1994,0.577,0.590,0.577,0.577,372790
01-26-1994,0.577,0.585,0.577,0.585,745643
01-27-1994,0.582,0.584,0.577,0.582,417029
01-28-1994,0.577,0.585,0.577,0.585,821485
01-31-1994,0.582,0.593,0.582,0.593,1712529
02-01-1994,0.593,0.593,0.585,0.585,575021
02-02-1994,0.585,0.603,0.585,0.603,2534084
02-03-1994,0.597,0.605,0.593,0.597,2167536
02-04-1994,0.605,0.605,0.593,0.595,8228005
02-07-1994,0.590,0.595,0.590,0.593,360150
02-08-1994,0.593,0.602,0.590,0.602,2230742
02-09-1994,0.593,0.603,0.593,0.603,720358
02-10-1994,0.605,0.609,0.602,0.605,1169050
02-11-1994,0.597,0.602,0.597,0.602,1383914
02-14-1994,0.603,0.617,0.597,0.617,4120287
02-15-1994,0.615,0.617,0.609,0.611,1011059
02-16-1994,0.605,0.617,0.605,0.609,398066
02-17-1994,0.605,0.615,0.605,0.611,1093221
02-18-1994,0.605,0.609,0.605,0.609,2869015
02-22-1994,0.605,0.609,0.605,0.609,2192827
02-23-1994,0.605,0.613,0.605,0.613,164248
02-24-1994,0.609,0.613,0.605,0.607,1004739
02-25-1994,0.605,0.605,0.593,0.602,1131136
02-28-1994,0.593,0.605,0.593,0.605,2312897
03-01-1994,0.602,0.602,0.585,0.593,2218101
03-02-1994,0.587,0.587,0.574,0.584,2489843
03-03-1994,0.577,0.582,0.569,0.576,2237055
03-04-1994,0.577,0.577,0.569,0.574,1244886
03-07-1994,0.569,0.577,0.569,0.572,164248
