Date,Open,High,Low,Close,Volume
07-17-2013,17.00,17.00,17.00,17.00,0
07-18-2013,28.10,31.00,25.05,27.18,4783636
07-19-2013,26.85,27.58,25.67,26.70,537669
07-22-2013,27.46,28.30,26.75,26.99,133165
07-23-2013,27.05,27.95,26.74,26.74,132137
07-24-2013,26.81,27.50,23.21,23.47,377876
07-25-2013,23.35,23.49,20.03,20.13,525399
07-26-2013,20.41,20.41,18.57,19.31,854892
07-29-2013,19.87,21.30,19.70,20.99,165995
07-30-2013,21.24,21.28,19.50,20.14,160356
07-31-2013,20.34,21.00,19.76,20.18,107810
08-01-2013,20.73,20.73,19.20,19.37,125497
08-02-2013,19.20,20.53,19.03,20.53,120770
08-05-2013,20.44,21.86,20.08,21.85,93924
08-06-2013,21.17,21.80,20.04,20.17,108209
08-07-2013,20.50,20.52,19.52,20.01,63362
08-08-2013,20.64,20.64,19.78,19.88,83318
08-09-2013,19.98,19.98,19.13,19.84,73367
08-12-2013,20.13,20.24,19.00,19.36,207893
08-13-2013,19.30,19.73,17.66,18.45,234829
08-14-2013,18.38,19.10,18.38,18.49,97898
08-15-2013,18.41,19.49,18.36,18.89,141181
08-16-2013,19.19,19.43,18.58,18.58,164906
08-19-2013,18.57,18.60,17.54,17.73,119445
08-20-2013,17.50,17.90,16.25,16.69,208863
08-21-2013,16.64,16.67,15.74,16.36,194040
08-22-2013,16.53,17.08,16.53,16.65,67208
08-23-2013,16.65,17.16,16.65,16.85,63772
08-26-2013,16.98,17.75,16.98,17.40,88720
08-27-2013,17.38,17.38,16.60,17.07,81401
08-28-2013,17.27,17.27,16.85,16.94,43912
08-29-2013,17.12,17.23,16.60,17.01,35461
08-30-2013,17.00,17.08,16.23,16.23,44850
09-03-2013,16.55,17.00,16.25,16.41,94733
09-04-2013,16.16,16.40,15.82,15.98,86103
09-05-2013,16.15,16.38,16.09,16.16,57227
09-06-2013,16.31,16.40,16.05,16.05,81021
09-09-2013,16.10,16.64,16.07,16.21,135520
09-10-2013,16.20,16.62,16.01,16.18,104328
09-11-2013,16.21,16.69,16.01,16.60,158973
09-12-2013,16.69,16.99,16.57,16.66,131365
09-13-2013,16.62,17.87,16.62,17.33,127116
09-16-2013,17.66,17.80,16.80,16.91,59627
09-17-2013,16.99,17.10,16.36,16.63,87780
09-18-2013,16.65,16.91,16.27,16.73,89181
09-19-2013,16.83,17.10,16.46,16.71,116884
09-20-2013,16.85,16.85,16.25,16.27,137370
09-23-2013,16.74,16.74,15.69,16.01,143547
09-24-2013,16.05,16.73,15.94,16.30,111653
09-25-2013,16.47,16.61,15.87,16.16,74473
09-26-2013,16.24,16.50,16.24,16.44,70174
09-27-2013,16.43,16.47,15.78,16.29,107645
09-30-2013,16.48,16.48,15.25,15.31,738764
10-01-2013,15.31,15.82,15.00,15.80,180845
10-02-2013,15.74,17.68,15.58,17.47,173430
10-03-2013,17.48,17.93,16.86,17.21,99877
10-04-2013,17.18,17.36,16.22,16.26,78259
10-07-2013,16.18,16.29,15.74,15.81,69995
10-08-2013,15.85,16.33,15.50,15.60,100240
