Date,Open,High,Low,Close,Volume
03-26-1990,4.37,4.45,4.37,4.37,0
03-27-1990,4.45,4.45,4.45,4.45,0
03-28-1990,4.45,4.45,4.45,4.45,0
03-29-1990,4.45,4.45,4.45,4.45,0
03-30-1990,4.37,4.37,4.37,4.37,0
04-02-1990,4.45,4.45,4.37,4.41,0
04-03-1990,4.41,4.41,4.41,4.41,0
04-04-1990,4.37,4.45,4.37,4.37,0
04-05-1990,4.41,4.41,4.41,4.41,0
04-06-1990,4.37,4.41,4.37,4.41,0
04-09-1990,4.37,4.45,4.37,4.37,0
04-10-1990,4.45,4.45,4.45,4.45,0
04-11-1990,4.37,4.37,4.37,4.37,0
04-12-1990,4.37,4.37,4.37,4.37,0
04-16-1990,4.37,4.37,4.37,4.37,0
04-17-1990,4.41,4.41,4.41,4.41,0
04-18-1990,4.37,4.41,4.37,4.41,0
04-19-1990,4.37,4.37,4.37,4.37,0
04-20-1990,4.37,4.37,4.37,4.37,0
04-23-1990,4.39,4.39,4.37,4.37,0
04-24-1990,4.33,4.41,4.33,4.33,0
04-25-1990,4.33,4.37,4.33,4.37,0
04-26-1990,4.39,4.39,4.32,4.39,0
04-27-1990,4.37,4.37,4.33,4.33,0
04-30-1990,4.41,4.41,4.33,4.33,0
05-01-1990,4.33,4.39,4.33,4.35,0
05-02-1990,4.35,4.35,4.35,4.35,0
05-03-1990,4.37,4.37,4.37,4.37,0
05-04-1990,4.39,4.39,4.33,4.33,0
05-07-1990,4.33,4.37,4.33,4.33,0
05-08-1990,4.33,4.33,4.33,4.33,0
05-09-1990,4.33,4.33,4.33,4.33,0
05-10-1990,4.33,4.35,4.33,4.33,0
05-11-1990,4.33,4.33,4.33,4.33,0
05-14-1990,4.33,4.37,4.33,4.33,0
05-15-1990,4.33,4.33,4.33,4.33,0
05-16-1990,4.33,4.35,4.33,4.35,0
05-17-1990,4.33,4.37,4.33,4.37,0
05-18-1990,4.33,4.33,4.33,4.33,0
05-21-1990,4.33,4.37,4.33,4.37,0
05-22-1990,4.37,4.37,4.33,4.33,0
05-23-1990,4.37,4.37,4.33,4.33,0
05-24-1990,4.33,4.41,4.33,4.41,0
05-25-1990,4.40,4.40,4.40,4.40,0
05-29-1990,4.40,4.40,4.40,4.40,0
05-30-1990,4.36,4.36,4.36,4.36,0
05-31-1990,4.43,4.43,4.41,4.43,0
06-01-1990,4.36,4.45,4.36,4.36,0
06-04-1990,4.40,4.40,4.40,4.40,0
06-05-1990,4.36,4.40,4.36,4.36,0
06-06-1990,4.36,4.45,4.36,4.45,0
06-07-1990,4.45,4.45,4.45,4.45,0
06-08-1990,4.36,4.40,4.36,4.40,0
06-11-1990,4.40,4.40,4.36,4.36,0
06-12-1990,4.36,4.36,4.36,4.36,0
06-13-1990,4.40,4.45,4.36,4.36,0
06-14-1990,4.36,4.36,4.36,4.36,0
06-15-1990,4.36,4.36,4.36,4.36,0
06-18-1990,4.36,4.36,4.36,4.36,0
06-19-1990,4.36,4.36,4.32,4.32,0
06-20-1990,4.32,4.36,4.32,4.36,0
06-21-1990,4.32,4.32,4.32,4.32,0
06-22-1990,4.32,4.32,4.32,4.32,0
06-25-1990,4.32,4.32,4.32,4.32,0
06-26-1990,4.32,4.32,4.32,4.32,0
06-27-1990,4.32,4.32,4.32,4.32,0
06-28-1990,4.32,4.36,4.32,4.36,0
06-29-1990,4.36,4.36,4.36,4.36,0
07-02-1990,4.28,4.28,4.28,4.28,0
07-03-1990,4.28,4.28,4.28,4.28,0
07-05-1990,4.23,4.23,4.23,4.23,0
07-06-1990,4.28,4.28,4.28,4.28,0
07-09-1990,4.23,4.23,4.23,4.23,0
07-10-1990,4.23,4.23,4.23,4.23,0
07-11-1990,4.32,4.32,4.32,4.32,0
07-12-1990,4.23,4.23,4.23,4.23,0
07-13-1990,4.32,4.32,4.32,4.32,0
07-16-1990,4.23,4.23,4.23,4.23,0
07-17-1990,4.23,4.23,4.23,4.23,0
07-18-1990,4.23,4.28,4.23,4.23,0
07-19-1990,4.23,4.23,4.23,4.23,0
07-20-1990,4.28,4.28,4.23,4.23,0
07-23-1990,4.23,4.23,4.23,4.23,0
07-24-1990,4.23,4.23,4.23,4.23,0
07-25-1990,4.23,4.23,4.19,4.19,0
07-26-1990,4.28,4.28,4.19,4.19,0
07-27-1990,4.19,4.19,4.19,4.19,0
07-30-1990,4.19,4.19,4.15,4.15,0
07-31-1990,4.15,4.15,4.15,4.15,0
08-01-1990,4.15,4.23,4.15,4.15,0
08-02-1990,4.15,4.15,4.11,4.11,0
08-03-1990,4.15,4.15,4.15,4.15,0
08-06-1990,4.11,4.11,4.11,4.11,0
08-07-1990,4.11,4.11,4.11,4.11,0
08-08-1990,4.11,4.11,4.11,4.11,0
08-09-1990,4.11,4.11,4.11,4.11,0
08-10-1990,4.11,4.15,4.11,4.15,0
08-13-1990,4.11,4.15,4.11,4.11,0
08-14-1990,4.11,4.11,4.11,4.11,0
08-15-1990,4.11,4.11,4.11,4.11,0
08-16-1990,4.11,4.11,4.11,4.11,0
08-17-1990,4.11,4.11,4.06,4.11,0
08-20-1990,4.06,4.06,4.06,4.06,0
08-21-1990,4.06,4.06,4.06,4.06,0
08-22-1990,4.06,4.06,4.06,4.06,0
08-23-1990,4.06,4.06,4.06,4.06,0
08-24-1990,4.06,4.06,4.02,4.06,0
08-27-1990,4.06,4.06,4.06,4.06,0
08-28-1990,4.06,4.06,4.06,4.06,0
08-29-1990,4.06,4.06,4.06,4.06,0
08-30-1990,4.06,4.06,4.06,4.06,0
08-31-1990,4.06,4.06,4.01,4.01,0
09-04-1990,4.06,4.06,4.01,4.06,0
09-05-1990,3.93,3.93,3.93,3.93,0
09-06-1990,4.01,4.01,4.01,4.01,0
09-07-1990,3.93,4.01,3.93,4.01,0
09-10-1990,3.93,3.97,3.93,3.93,0
09-11-1990,3.93,3.93,3.93,3.93,0
09-12-1990,3.97,3.97,3.93,3.93,0
09-13-1990,3.93,3.97,3.93,3.97,0
09-14-1990,3.97,3.97,3.93,3.97,0
09-17-1990,3.93,3.97,3.93,3.97,0
09-18-1990,3.93,3.97,3.93,3.93,0
09-19-1990,3.93,3.95,3.93,3.93,0
09-20-1990,3.97,3.97,3.93,3.97,0
09-21-1990,3.93,3.93,3.93,3.93,0
09-24-1990,3.93,3.93,3.89,3.93,0
09-25-1990,3.89,3.93,3.89,3.93,0
09-26-1990,3.89,3.93,3.89,3.93,0
09-27-1990,3.93,3.93,3.89,3.93,0
09-28-1990,3.89,3.93,3.89,3.93,0
10-01-1990,3.93,3.93,3.89,3.89,0
10-02-1990,3.93,3.93,3.89,3.89,0
10-03-1990,3.89,3.89,3.89,3.89,0
10-04-1990,3.89,3.93,3.89,3.89,0
10-05-1990,3.89,4.01,3.89,3.93,0
10-08-1990,3.97,3.97,3.93,3.93,0
10-09-1990,4.01,4.01,4.01,4.01,0
10-10-1990,3.93,4.02,3.93,4.00,0
10-11-1990,4.00,4.00,4.00,4.00,0
10-12-1990,3.93,4.01,3.93,3.97,0
10-15-1990,3.97,3.97,3.97,3.97,0
10-16-1990,3.93,4.01,3.93,3.97,0
10-17-1990,4.02,4.02,4.00,4.00,0
10-18-1990,3.93,3.93,3.93,3.93,0
10-19-1990,3.93,4.01,3.93,4.01,0
10-22-1990,4.01,4.01,3.97,3.97,0
10-23-1990,3.93,3.97,3.93,3.97,0
10-24-1990,3.93,3.93,3.93,3.93,0
10-25-1990,3.93,3.93,3.93,3.93,0
10-26-1990,3.97,3.97,3.93,3.97,0
10-29-1990,3.97,3.97,3.97,3.97,0
10-30-1990,3.93,3.97,3.93,3.93,0
10-31-1990,3.93,3.93,3.93,3.93,0
11-01-1990,3.93,3.97,3.93,3.97,0
11-02-1990,3.93,3.93,3.93,3.93,0
11-05-1990,3.93,4.00,3.93,4.00,0
11-06-1990,3.98,3.98,3.95,3.95,0
11-07-1990,3.95,3.95,3.95,3.95,0
11-08-1990,3.93,4.00,3.93,4.00,0
11-09-1990,4.00,4.00,4.00,4.00,0
11-12-1990,3.93,4.00,3.93,4.00,0
11-13-1990,4.00,4.00,4.00,4.00,0
11-14-1990,4.00,4.00,4.00,4.00,0
11-15-1990,4.00,4.00,4.00,4.00,0
11-16-1990,3.93,3.93,3.93,3.93,0
11-19-1990,3.93,3.99,3.93,3.97,0
11-20-1990,3.93,3.99,3.93,3.93,0
11-21-1990,3.93,3.99,3.93,3.93,0
11-23-1990,3.93,3.97,3.93,3.97,0
11-26-1990,3.93,3.98,3.93,3.95,0
11-27-1990,3.97,4.01,3.93,3.93,0
11-28-1990,3.97,4.01,3.97,4.01,0
11-29-1990,4.01,4.01,4.01,4.01,0
11-30-1990,3.97,4.01,3.93,4.01,0
12-03-1990,3.93,3.93,3.93,3.93,0
12-04-1990,4.01,4.01,4.01,4.01,0
12-05-1990,3.93,3.93,3.93,3.93,0
12-06-1990,4.02,4.11,3.98,4.11,0
12-07-1990,4.01,4.06,4.01,4.01,0
12-10-1990,4.02,4.19,4.02,4.11,0
12-11-1990,4.01,4.01,4.01,4.01,0
12-12-1990,4.01,4.01,4.01,4.01,0
12-13-1990,4.11,4.19,4.06,4.19,0
12-14-1990,4.06,4.06,4.06,4.06,0
12-17-1990,4.06,4.06,4.06,4.06,0
12-18-1990,4.14,4.14,4.01,4.01,0
12-19-1990,4.11,4.15,4.06,4.11,0
12-20-1990,4.11,4.28,4.06,4.15,0
12-21-1990,4.15,4.15,4.10,4.12,0
12-24-1990,4.11,4.15,4.11,4.15,0
12-26-1990,4.15,4.15,4.15,4.15,0
12-27-1990,4.11,4.11,4.11,4.11,0
12-28-1990,4.11,4.11,4.11,4.11,0
12-31-1990,4.11,4.23,4.11,4.19,0
01-02-1991,4.11,4.15,4.11,4.11,0
01-03-1991,4.11,4.15,4.11,4.15,0
01-04-1991,4.23,4.23,4.15,4.15,0
01-07-1991,4.15,4.19,4.15,4.15,0
01-08-1991,4.15,4.15,4.15,4.15,0
01-09-1991,4.15,4.19,4.15,4.19,0
01-10-1991,4.15,4.15,4.15,4.15,0
01-11-1991,3.96,3.96,3.96,3.96,0
01-14-1991,3.96,3.96,3.96,3.96,0
01-15-1991,4.01,4.06,3.97,4.06,0
01-16-1991,4.06,4.06,4.06,4.06,0
01-17-1991,4.10,4.10,4.01,4.06,0
01-18-1991,3.97,3.99,3.97,3.99,0
01-21-1991,3.96,3.96,3.96,3.96,0
01-22-1991,3.96,3.96,3.96,3.96,0
01-23-1991,3.97,4.08,3.97,4.01,0
01-24-1991,4.06,4.06,4.01,4.01,0
01-25-1991,4.01,4.01,4.01,4.01,0
01-28-1991,4.06,4.14,4.01,4.01,0
01-29-1991,4.01,4.01,4.01,4.01,0
01-30-1991,4.01,4.06,4.01,4.01,0
01-31-1991,4.01,4.01,4.01,4.01,0
02-01-1991,4.01,4.01,4.01,4.01,0
02-04-1991,4.01,4.01,4.01,4.01,0
02-05-1991,4.01,4.10,4.01,4.01,0
02-06-1991,4.10,4.10,4.01,4.01,0
02-07-1991,4.01,4.01,4.01,4.01,0
02-08-1991,4.01,4.01,4.01,4.01,0
02-11-1991,4.01,4.01,4.01,4.01,0
02-12-1991,4.10,4.10,4.01,4.01,0
02-13-1991,4.01,4.03,4.01,4.03,0
02-14-1991,4.01,4.01,4.01,4.01,0
02-15-1991,4.01,4.01,4.01,4.01,0
02-19-1991,4.01,4.01,4.01,4.01,0
02-20-1991,4.01,4.01,4.01,4.01,0
02-21-1991,4.01,4.01,4.01,4.01,0
02-22-1991,4.01,4.01,4.01,4.01,0
02-25-1991,4.09,4.09,4.00,4.00,0
02-26-1991,4.00,4.04,4.00,4.02,0
02-27-1991,4.00,4.09,4.00,4.09,0
02-28-1991,4.09,4.09,4.09,4.09,0
03-01-1991,4.00,4.05,4.00,4.00,0
03-04-1991,4.09,4.09,4.00,4.00,0
03-05-1991,4.05,4.05,4.00,4.00,0
03-06-1991,4.09,4.09,4.00,4.09,0
03-07-1991,4.00,4.09,4.00,4.09,0
03-08-1991,4.09,4.09,4.09,4.09,0
03-11-1991,4.02,4.05,4.00,4.05,0
03-12-1991,4.05,4.05,4.05,4.05,0
03-13-1991,4.05,4.05,4.05,4.05,0
03-14-1991,4.05,4.05,4.05,4.05,0
03-15-1991,4.13,4.13,4.05,4.05,0
03-18-1991,4.05,4.05,4.05,4.05,0
03-19-1991,4.09,4.09,4.06,4.06,0
03-20-1991,4.05,4.09,4.05,4.09,0
03-21-1991,4.05,4.05,4.05,4.05,0
03-22-1991,4.05,4.05,4.05,4.05,0
03-25-1991,4.04,4.06,4.04,4.06,0
03-26-1991,4.05,4.05,4.05,4.05,0
03-27-1991,4.04,4.13,4.04,4.13,0
03-28-1991,4.04,4.13,4.04,4.13,0
04-01-1991,4.13,4.13,4.13,4.13,0
04-02-1991,4.05,4.05,4.05,4.05,0
04-03-1991,4.05,4.05,4.05,4.05,0
04-04-1991,4.05,4.13,4.05,4.05,0
04-05-1991,4.04,4.13,4.04,4.13,0
04-08-1991,4.05,4.05,4.05,4.05,0
04-09-1991,4.05,4.13,4.05,4.05,0
