Date,Open,High,Low,Close,Volume
02-13-2013,7.45,7.45,7.45,7.45,0
02-14-2013,7.25,7.35,7.17,7.35,491932
02-15-2013,7.30,7.36,7.25,7.35,47700
02-19-2013,7.39,7.65,7.29,7.32,21997
02-20-2013,7.35,7.40,7.25,7.35,56956
02-21-2013,7.30,7.32,7.25,7.32,5197
02-22-2013,7.28,7.32,7.25,7.32,10033
02-25-2013,7.30,7.30,7.25,7.28,13938
02-26-2013,7.25,7.30,7.25,7.29,32262
02-27-2013,7.32,7.32,7.25,7.25,13477
02-28-2013,7.30,7.30,7.15,7.20,32450
03-01-2013,7.22,7.22,7.15,7.15,120189
03-04-2013,7.15,7.20,7.06,7.20,22244
03-05-2013,7.10,7.15,7.05,7.15,24723
03-06-2013,7.13,7.18,7.10,7.18,32645
03-07-2013,7.13,7.16,7.13,7.15,8516
03-08-2013,7.19,7.29,7.19,7.29,2066
03-11-2013,7.29,7.29,6.96,7.22,32792
03-12-2013,7.18,7.20,6.95,7.15,37983
03-13-2013,7.20,7.25,7.13,7.20,25507
03-14-2013,7.20,7.25,7.18,7.22,11392
03-15-2013,7.16,7.22,7.00,7.00,44625
03-18-2013,7.03,7.12,6.98,7.08,27550
03-19-2013,7.13,7.13,7.01,7.05,38827
03-20-2013,7.10,7.15,7.01,7.13,17787
03-21-2013,7.10,7.10,6.95,7.05,15718
03-22-2013,7.06,7.08,6.76,6.86,116541
03-25-2013,7.07,7.07,6.81,6.81,3588
03-26-2013,7.02,7.02,6.70,6.95,42160
03-27-2013,6.95,6.95,6.83,6.88,39635
03-28-2013,6.81,6.95,6.71,6.94,25064
04-01-2013,6.93,6.94,6.88,6.92,7353
04-02-2013,6.90,6.95,6.71,6.84,21049
04-03-2013,6.85,6.93,6.83,6.83,10634
04-04-2013,6.85,6.95,6.85,6.86,7613
04-05-2013,6.85,6.94,6.83,6.94,9157
04-08-2013,6.94,6.94,6.75,6.78,15096
04-09-2013,6.78,6.84,6.54,6.82,26439
04-10-2013,6.82,6.95,6.82,6.94,56195
04-11-2013,6.91,6.93,6.87,6.93,38685
04-12-2013,6.87,6.90,6.75,6.77,18560
04-15-2013,6.80,6.90,6.73,6.73,17086
04-16-2013,6.80,6.84,6.71,6.71,14863
04-17-2013,6.71,6.75,6.58,6.62,27558
04-18-2013,6.66,6.88,6.65,6.65,51676
04-19-2013,6.68,6.72,6.55,6.56,35786
04-22-2013,6.60,6.75,6.60,6.65,47237
04-23-2013,6.58,6.60,6.53,6.57,27705
04-24-2013,6.60,6.60,6.47,6.56,42031
04-25-2013,6.55,6.60,6.53,6.55,18692
04-26-2013,6.55,6.65,6.55,6.56,27690
04-29-2013,6.68,6.72,6.65,6.68,9698
04-30-2013,6.65,6.73,6.65,6.65,18088
05-01-2013,6.70,6.70,6.61,6.64,3194
05-02-2013,6.70,6.70,6.60,6.64,19717
05-03-2013,6.70,6.73,6.54,6.71,53860
05-06-2013,6.74,6.75,6.56,6.65,39846
05-07-2013,6.72,6.72,6.54,6.69,26103
05-08-2013,6.63,6.67,6.59,6.66,12465
05-09-2013,6.70,6.74,6.60,6.60,14055
05-10-2013,6.64,6.69,6.62,6.67,20296
05-13-2013,6.73,6.78,6.61,6.61,22750
05-14-2013,6.62,6.65,6.61,6.61,32855
05-15-2013,6.61,6.63,6.53,6.53,28081
05-16-2013,6.58,6.65,6.58,6.60,17699
05-17-2013,6.60,6.70,6.55,6.62,27914
05-20-2013,6.68,6.70,6.65,6.69,16380
05-21-2013,6.71,6.75,6.61,6.64,23987
05-22-2013,6.66,6.85,6.64,6.81,58102
05-23-2013,6.71,6.71,6.51,6.68,23006
05-24-2013,6.68,6.69,6.56,6.67,11225
05-28-2013,6.78,6.78,6.36,6.39,75248
05-29-2013,6.90,6.90,6.12,6.33,81544
05-30-2013,6.28,6.28,6.18,6.19,45958
05-31-2013,6.24,6.26,5.96,5.96,30539
06-03-2013,5.99,6.07,5.91,6.02,36461
06-04-2013,5.98,6.05,5.83,5.86,25477
06-05-2013,5.92,5.92,5.82,5.86,6705
06-06-2013,5.88,6.11,5.86,6.11,22338
06-07-2013,6.11,6.13,6.09,6.09,9507
06-10-2013,6.11,6.17,6.09,6.17,12522
06-11-2013,6.16,6.23,6.15,6.21,19011
06-12-2013,6.26,6.28,6.12,6.15,19094
06-13-2013,6.16,6.25,6.15,6.25,13477
06-14-2013,6.26,6.26,6.08,6.10,38992
06-17-2013,6.16,6.28,6.16,6.20,31483
06-18-2013,6.25,6.25,5.99,6.00,42476
06-19-2013,6.03,6.06,6.01,6.03,21246
06-20-2013,6.01,6.01,5.71,5.78,60793
06-21-2013,5.80,5.95,5.73,5.95,71238
06-24-2013,5.93,5.93,5.32,5.62,103017
06-25-2013,5.63,5.88,5.36,5.59,36045
06-26-2013,5.58,5.76,5.58,5.73,16882
06-27-2013,5.72,5.73,5.58,5.71,24081
06-28-2013,5.72,5.72,5.67,5.67,27329
07-01-2013,5.70,5.81,5.62,5.63,21061
07-02-2013,5.65,5.80,5.63,5.67,27122
07-03-2013,5.67,5.69,5.65,5.68,4053
07-05-2013,5.70,5.70,5.61,5.62,12607
07-08-2013,5.62,5.62,5.43,5.44,33910
07-09-2013,5.43,5.43,5.20,5.20,38544
07-10-2013,5.28,5.48,5.28,5.48,58385
07-11-2013,5.53,5.91,5.49,5.88,41303
07-12-2013,5.91,6.14,5.91,6.02,22003
07-15-2013,6.04,6.36,5.93,6.29,24192
07-16-2013,6.32,6.45,6.24,6.24,45485
07-17-2013,6.29,6.44,6.14,6.14,22036
07-18-2013,6.13,6.50,6.13,6.25,42764
07-19-2013,6.30,6.33,6.15,6.22,21167
07-22-2013,6.22,6.30,6.11,6.22,74700
07-23-2013,6.27,6.32,6.23,6.24,18656
07-24-2013,6.29,6.29,5.92,5.95,37478
