Date,Open,High,Low,Close,Volume
04-25-2007,125.00,125.00,125.00,125.00,0
04-26-2007,125.00,133.30,125.00,130.00,308410
04-27-2007,130.00,135.00,129.50,134.90,36196
04-30-2007,136.00,143.50,131.70,140.50,23877
05-01-2007,141.90,141.90,137.70,138.70,16368
05-02-2007,142.20,142.50,137.50,142.50,15853
05-03-2007,142.50,156.70,138.70,155.00,11360
05-04-2007,155.80,157.10,153.00,153.10,4684
05-07-2007,152.60,154.80,150.00,150.00,4774
05-08-2007,150.70,152.80,147.60,148.10,11469
05-09-2007,149.00,149.50,143.20,147.10,19294
05-10-2007,143.00,146.90,139.40,140.20,3677
05-11-2007,139.10,142.20,125.50,137.50,4204
05-14-2007,129.30,144.00,128.00,142.60,6956
05-15-2007,143.60,147.50,135.20,138.00,6731
05-16-2007,137.00,142.00,136.20,139.00,10337
05-17-2007,142.00,142.80,139.00,141.50,5656
05-18-2007,146.60,158.80,146.60,157.80,8212
05-21-2007,159.30,163.50,156.10,159.70,4659
05-22-2007,162.60,183.90,162.60,181.00,10977
05-23-2007,183.60,191.50,180.00,182.00,5320
05-24-2007,180.90,188.50,166.90,179.50,4343
05-25-2007,177.50,177.50,167.70,175.30,3353
05-29-2007,167.30,170.00,166.70,168.30,1326
05-30-2007,166.60,168.40,165.40,168.40,797
05-31-2007,179.50,180.00,167.70,179.20,18680
06-01-2007,175.20,180.00,166.10,179.40,2136
06-04-2007,179.90,184.60,179.25,181.50,9577
06-05-2007,183.80,184.00,179.80,181.60,4592
06-06-2007,183.50,183.50,178.50,178.50,4306
06-07-2007,177.60,180.00,175.70,176.90,6108
06-08-2007,178.50,178.50,174.01,177.00,3683
06-11-2007,177.50,177.50,175.50,177.40,6158
06-12-2007,175.00,177.00,174.00,174.50,4901
06-13-2007,179.10,179.10,168.70,170.00,19240
06-14-2007,169.90,171.30,169.90,170.00,2848
06-15-2007,168.80,171.00,168.80,170.80,2693
06-18-2007,172.50,173.70,165.10,165.50,2114
06-19-2007,165.50,166.50,160.30,162.80,6315
06-20-2007,165.80,171.60,153.00,162.80,8290
06-21-2007,166.20,166.20,156.70,157.50,4849
06-22-2007,157.50,157.90,142.50,142.80,68744
06-25-2007,160.40,176.60,153.00,154.50,70796
06-26-2007,161.40,161.40,145.20,145.30,14697
06-27-2007,143.40,149.90,138.70,147.00,12933
06-28-2007,147.50,158.00,147.50,150.20,6944
06-29-2007,151.00,155.40,148.00,150.20,7019
07-02-2007,151.70,153.60,146.80,150.40,8985
07-03-2007,153.20,153.20,146.80,147.20,2329
