Date,Open,High,Low,Close,Volume
06-12-1995,4.38,4.38,4.08,4.27,15168
06-13-1995,4.27,4.49,3.94,4.49,86763
06-14-1995,4.49,4.49,4.27,4.49,2832
06-15-1995,4.49,4.60,4.27,4.38,33668
06-16-1995,4.49,4.71,4.49,4.71,16308
06-19-1995,4.71,4.82,4.71,4.82,30582
06-20-1995,4.82,5.15,4.82,5.09,34122
06-21-1995,5.15,5.25,4.82,4.82,62215
06-22-1995,5.15,5.15,4.82,4.93,19394
06-23-1995,5.04,5.04,4.82,4.82,18708
06-26-1995,5.04,5.04,4.82,4.82,39262
06-27-1995,5.04,5.04,4.82,5.04,27273
06-28-1995,5.04,5.04,4.71,4.71,40406
06-29-1995,4.71,4.93,4.71,4.93,18593
06-30-1995,4.93,4.93,4.60,4.93,27497
07-03-1995,4.60,4.93,4.60,4.93,3751
07-05-1995,4.93,5.04,4.71,4.71,16993
07-06-1995,4.71,5.04,4.71,4.82,21219
07-07-1995,4.60,4.93,4.60,4.82,6834
07-10-1995,4.93,4.93,4.71,4.93,10599
07-11-1995,4.71,5.04,4.71,4.90,11287
07-12-1995,4.93,4.93,4.71,4.71,14938
07-13-1995,4.87,4.87,4.60,4.65,20645
07-14-1995,4.87,4.87,4.65,4.82,20194
07-17-1995,5.15,5.25,4.71,5.20,19507
07-18-1995,5.25,5.25,5.09,5.25,17338
07-19-1995,5.25,5.25,4.93,5.04,11969
07-20-1995,5.04,5.15,4.82,4.98,5118
07-21-1995,5.15,5.15,4.82,4.82,10142
07-24-1995,4.82,5.15,4.82,4.93,9345
07-25-1995,5.04,5.04,4.82,5.04,13228
07-26-1995,5.04,5.25,4.82,5.09,33213
07-27-1995,5.04,5.25,5.04,5.09,28983
07-28-1995,5.15,5.15,4.93,5.15,26474
07-31-1995,5.15,5.25,4.93,5.06,14141
08-01-1995,5.25,5.25,4.93,5.04,82082
08-02-1995,5.15,5.25,5.06,5.25,29673
08-03-1995,5.09,5.15,4.93,5.15,27615
08-04-1995,5.15,5.36,4.93,5.36,44512
08-07-1995,5.36,5.36,5.15,5.36,4778
08-08-1995,5.15,5.58,5.15,5.20,15399
08-09-1995,5.58,5.58,5.20,5.58,69864
08-10-1995,5.58,5.58,5.15,5.25,33325
08-11-1995,5.58,5.58,5.25,5.47,12885
08-14-1995,5.47,5.69,5.15,5.69,44512
08-15-1995,5.69,5.69,5.47,5.47,23163
08-16-1995,5.64,5.64,5.36,5.50,150365
08-17-1995,5.36,5.91,5.36,5.83,106630
08-18-1995,5.91,6.02,5.69,6.02,50681
08-21-1995,6.02,6.57,5.91,6.40,123646
08-22-1995,6.46,6.46,6.13,6.46,18821
08-23-1995,6.35,6.35,6.02,6.02,44512
08-24-1995,6.24,6.24,6.02,6.08,31153
08-25-1995,6.24,6.24,6.08,6.16,25104
08-28-1995,6.24,6.29,6.08,6.13,73175
08-29-1995,6.29,6.46,6.13,6.13,56051
08-30-1995,6.13,6.35,5.80,5.80,44400
08-31-1995,5.80,6.02,5.58,5.91,64154
09-01-1995,5.69,6.02,5.58,6.02,66897
09-05-1995,6.02,6.02,5.80,5.91,10031
09-06-1995,6.02,6.24,5.91,6.24,36521
09-07-1995,6.02,6.46,6.02,6.35,80596
09-08-1995,6.46,6.46,6.21,6.24,20881
09-11-1995,6.24,6.57,6.24,6.57,56963
09-12-1995,6.57,6.57,6.35,6.35,36636
09-13-1995,6.57,6.79,6.46,6.49,31269
09-14-1995,6.57,6.68,6.46,6.68,13915
09-15-1995,6.46,6.68,6.24,6.24,33213
09-18-1995,6.46,6.57,6.24,6.57,29442
09-19-1995,6.57,6.57,6.24,6.46,60269
09-20-1995,6.24,6.46,6.13,6.35,42117
09-21-1995,6.13,6.46,6.13,6.46,4093
09-22-1995,6.13,6.35,6.13,6.13,11516
09-25-1995,6.35,6.35,6.13,6.13,12431
09-26-1995,6.02,6.24,6.02,6.24,18479
09-27-1995,6.02,6.13,5.91,6.13,79000
09-28-1995,6.02,6.19,6.02,6.02,8889
09-29-1995,6.02,6.13,6.02,6.02,15628
10-02-1995,6.02,6.24,5.91,5.91,40631
10-03-1995,5.91,6.13,5.80,5.80,43942
10-04-1995,6.02,6.02,5.80,5.80,29326
10-05-1995,5.91,5.91,5.80,5.91,2832
10-06-1995,5.91,5.91,5.80,5.80,22134
10-09-1995,5.91,6.02,5.91,6.02,13115
10-10-1995,6.02,6.02,5.80,5.80,93613
10-11-1995,6.02,6.02,5.75,5.75,17223
10-12-1995,6.02,6.02,5.77,6.02,25787
10-13-1995,6.02,6.02,5.69,6.02,108803
10-16-1995,6.02,6.02,5.80,5.91,10142
