Date,Open,High,Low,Close,Volume
02-24-2006,16.87,16.87,15.46,15.89,36635216
02-27-2006,16.09,16.49,15.75,16.28,5409937
02-28-2006,16.31,16.31,15.75,16.20,3268150
03-01-2006,16.53,17.15,16.39,16.81,2853804
03-02-2006,16.87,17.15,16.81,17.04,1123511
03-03-2006,16.87,16.98,16.58,16.67,1291207
03-06-2006,16.79,16.87,16.31,16.36,848938
03-07-2006,16.31,16.48,16.19,16.34,881840
03-08-2006,16.59,16.59,16.18,16.28,529915
03-09-2006,16.31,16.59,16.31,16.56,1562574
03-10-2006,16.59,16.62,16.34,16.62,628787
03-13-2006,16.62,17.38,16.62,17.15,1191617
03-14-2006,16.90,17.26,16.87,17.26,611177
03-15-2006,17.43,18.28,17.43,18.08,1350779
03-16-2006,18.05,18.50,17.99,18.38,756292
03-17-2006,18.45,18.56,18.03,18.47,101698
03-20-2006,18.50,18.67,18.33,18.64,437792
03-21-2006,18.59,19.12,18.56,19.01,104009
03-22-2006,19.06,19.12,18.78,19.12,454156
03-23-2006,19.18,19.20,18.87,19.12,459312
03-24-2006,19.21,19.21,18.03,18.33,604781
03-27-2006,18.33,18.33,17.36,17.38,917584
03-28-2006,17.38,18.22,17.35,18.21,801991
03-29-2006,18.56,18.56,17.74,18.39,444552
03-30-2006,18.28,18.44,17.88,17.99,218706
03-31-2006,17.85,18.14,17.67,17.97,190788
04-03-2006,18.05,18.29,17.71,17.83,294109
04-04-2006,17.83,17.88,17.49,17.66,294996
04-05-2006,17.66,17.66,17.29,17.43,695648
04-06-2006,17.57,17.69,17.43,17.54,378936
04-07-2006,17.58,17.77,17.55,17.60,584859
04-10-2006,17.52,17.71,17.47,17.49,283263
04-11-2006,17.45,17.49,16.55,16.71,948526
04-12-2006,16.79,16.94,16.31,16.58,1009878
04-13-2006,16.67,16.84,16.20,16.50,597489
04-17-2006,16.51,16.78,16.45,16.57,327187
04-18-2006,16.58,16.97,16.58,16.93,799860
04-19-2006,16.93,17.15,16.93,17.08,809105
04-20-2006,17.08,17.24,17.08,17.24,321671
04-21-2006,17.24,17.46,17.23,17.35,130502
04-24-2006,17.29,17.60,17.29,17.60,405604
04-25-2006,17.69,17.69,17.45,17.57,329852
04-26-2006,17.64,17.88,17.64,17.83,1011297
04-27-2006,17.84,20.10,17.83,19.18,2635070
04-28-2006,19.40,19.40,18.67,18.71,320604
05-01-2006,19.12,19.46,19.12,19.23,352261
05-02-2006,19.32,20.66,19.30,20.29,1925881
05-03-2006,20.77,21.06,20.26,20.61,1184236
05-04-2006,20.77,20.90,20.53,20.59,627737
05-05-2006,20.71,21.12,20.68,21.00,695213
05-08-2006,21.26,22.37,21.12,21.63,969070
05-09-2006,21.79,22.37,21.68,22.14,1327449
05-10-2006,22.14,22.28,21.96,22.25,687121
05-11-2006,22.72,22.86,21.70,21.73,597956
05-12-2006,21.50,21.50,20.40,20.69,671974
05-15-2006,20.68,21.06,20.57,20.73,544081
05-16-2006,21.03,21.09,20.68,20.74,1017096
05-17-2006,20.68,20.79,19.79,20.01,422730
05-18-2006,20.04,20.33,19.61,19.61,507250
05-19-2006,19.69,19.76,18.94,19.72,1468077
05-22-2006,19.64,19.64,18.37,19.03,1203171
05-23-2006,19.17,19.32,18.71,18.94,802621
05-24-2006,19.03,19.08,18.21,18.59,1147229
