Date,Open,High,Low,Close,Volume
10-23-1996,13.96,14.47,13.96,14.32,9737602
10-24-1996,14.32,14.32,13.96,13.96,2175260
10-25-1996,13.96,14.27,13.96,14.11,768581
10-28-1996,14.37,14.37,13.96,13.96,389633
10-29-1996,13.96,14.01,13.96,13.96,607356
10-30-1996,14.01,14.01,13.96,13.96,859176
10-31-1996,13.96,14.17,13.96,14.11,773449
11-01-1996,14.01,14.06,14.01,14.01,624163
11-04-1996,14.01,14.01,13.45,13.50,602243
11-05-1996,13.65,13.65,13.14,13.29,870135
11-06-1996,13.29,13.35,12.73,13.09,644623
11-07-1996,12.88,12.93,12.42,12.68,362120
11-08-1996,12.52,12.57,11.75,11.86,641700
11-11-1996,11.75,12.16,11.50,12.11,481453
11-12-1996,12.22,12.47,12.01,12.11,553297
11-13-1996,12.11,12.11,11.86,11.91,868432
11-14-1996,11.86,11.86,11.39,11.39,55989
11-15-1996,11.39,11.39,10.98,11.09,448570
11-18-1996,11.09,11.09,10.83,10.83,149507
11-19-1996,10.93,11.09,10.83,10.98,337273
11-20-1996,10.98,10.98,10.27,10.32,787091
11-21-1996,10.27,10.27,9.85,9.85,137577
11-22-1996,9.91,10.37,9.85,10.16,130754
11-25-1996,10.11,10.16,9.75,9.75,64754
11-26-1996,9.80,9.96,9.75,9.85,724741
11-27-1996,9.85,9.85,9.65,9.65,291491
11-29-1996,9.65,9.65,9.50,9.50,147316
12-02-1996,9.44,9.44,9.03,9.03,235479
12-03-1996,9.03,9.03,8.83,8.83,153403
12-04-1996,8.78,9.55,8.78,9.55,651928
12-05-1996,9.55,9.85,9.55,9.70,204549
12-06-1996,9.60,9.60,9.50,9.60,49655
12-09-1996,9.60,9.70,9.44,9.44,46001
12-10-1996,9.44,9.44,9.39,9.44,340441
12-11-1996,9.39,9.50,9.24,9.44,989715
12-12-1996,9.55,9.85,9.55,9.85,589582
12-13-1996,9.75,9.75,9.60,9.70,447597
12-16-1996,9.75,9.75,9.65,9.65,24814
12-17-1996,9.70,9.91,9.60,9.75,873544
12-18-1996,9.70,10.16,9.70,10.01,250815
12-19-1996,10.06,10.62,9.96,10.32,611739
12-20-1996,10.37,10.42,10.16,10.27,28711
12-23-1996,10.27,10.27,10.01,10.01,27008
12-24-1996,10.01,10.06,10.01,10.01,49409
12-26-1996,10.01,10.78,9.96,10.62,442972
12-27-1996,10.68,10.73,10.62,10.73,13859
12-30-1996,10.68,10.68,10.57,10.57,59639
12-31-1996,10.57,10.73,10.57,10.57,117111
01-02-1997,10.52,10.73,10.42,10.73,25062
01-03-1997,10.78,11.14,10.78,11.14,291247
01-06-1997,11.14,11.19,11.09,11.14,171913
01-07-1997,11.09,11.14,11.09,11.09,60369
01-08-1997,11.14,11.14,10.88,10.98,92274
01-09-1997,11.09,11.09,10.98,11.09,120036
01-10-1997,11.04,11.09,11.04,11.09,91060
01-13-1997,11.09,11.09,11.04,11.04,8254
01-14-1997,11.04,11.04,10.98,10.98,46490
01-15-1997,11.04,11.09,10.98,11.09,331429
01-16-1997,11.09,11.09,10.88,10.98,56231
01-17-1997,10.88,10.88,10.88,10.88,21649
01-20-1997,10.93,10.98,10.88,10.98,95926
01-21-1997,10.98,11.09,10.98,11.09,21402
01-22-1997,11.04,11.65,11.04,11.55,90814
01-23-1997,11.50,11.60,11.39,11.50,30171
01-24-1997,11.39,11.39,11.24,11.24,11665
01-27-1997,11.29,11.34,10.88,10.88,70112
01-28-1997,10.98,10.98,10.83,10.83,49166
01-29-1997,10.68,10.68,10.52,10.62,280042
01-30-1997,10.68,10.93,10.68,10.93,114679
01-31-1997,10.98,11.39,10.98,11.39,83504
02-03-1997,11.50,11.50,11.39,11.50,107130
02-04-1997,11.50,12.42,11.50,11.81,510676
02-05-1997,11.86,12.01,11.86,12.01,135868
02-06-1997,12.01,12.01,11.86,11.91,81803
02-07-1997,11.86,12.01,11.81,12.01,93251
02-10-1997,11.96,11.96,11.86,11.91,17993
02-11-1997,11.91,11.91,11.81,11.81,9231
02-12-1997,11.86,11.86,11.65,11.75,72790
02-13-1997,11.81,11.81,11.75,11.81,27737
02-14-1997,11.86,11.86,11.86,11.86,7769
02-18-1997,11.91,11.91,11.81,11.86,155836
02-19-1997,11.86,12.52,11.81,12.42,375754
02-20-1997,12.47,12.78,12.47,12.52,687721
02-21-1997,12.52,12.68,12.52,12.57,115901
02-24-1997,12.68,13.04,12.68,12.88,95926
02-25-1997,12.88,12.88,10.16,10.16,1934645
02-26-1997,10.16,10.16,7.90,8.21,2686199
02-27-1997,8.26,8.83,8.06,8.67,520659
02-28-1997,8.78,9.65,8.78,9.50,408627
03-03-1997,9.60,9.75,9.55,9.60,338495
03-04-1997,9.50,9.60,8.62,9.03,287592
03-05-1997,9.03,9.03,8.73,8.73,121499
03-06-1997,8.78,9.34,8.78,9.19,386227
03-07-1997,9.39,9.96,9.39,9.65,496544
03-10-1997,9.65,9.65,9.39,9.44,459773
03-11-1997,9.44,9.44,9.19,9.24,255453
03-12-1997,9.29,9.29,8.93,9.19,199673
03-13-1997,9.14,9.14,8.93,8.93,149752
03-14-1997,8.98,8.98,8.83,8.88,413014
03-17-1997,8.88,8.88,8.26,8.42,396457
03-18-1997,8.31,8.57,8.16,8.57,443211
03-19-1997,8.57,8.57,8.42,8.47,15560
03-20-1997,8.47,8.47,8.42,8.42,111756
03-21-1997,8.47,8.47,8.37,8.37,15075
03-24-1997,8.42,8.42,8.31,8.31,11176
03-25-1997,8.37,8.42,8.26,8.37,30171
03-26-1997,8.31,8.37,8.16,8.16,205280
03-27-1997,8.11,8.16,8.01,8.11,105669
03-31-1997,8.11,8.11,7.96,7.96,42834
04-01-1997,7.96,8.06,7.85,7.85,19704
04-02-1997,7.85,7.85,7.49,7.49,27982
04-03-1997,7.49,7.55,6.93,7.19,184572
04-04-1997,7.19,7.44,7.19,7.34,41134
04-07-1997,7.39,7.55,7.29,7.29,121256
04-08-1997,7.34,7.39,7.34,7.39,15316
04-09-1997,7.44,7.44,7.39,7.39,24328
04-10-1997,7.44,7.44,7.34,7.34,64754
04-11-1997,7.29,7.34,7.19,7.19,10933
04-14-1997,7.13,7.13,6.62,6.67,187500
04-15-1997,6.72,7.08,6.72,6.98,194561
04-16-1997,7.03,7.03,6.93,6.98,60126
04-17-1997,6.98,7.03,6.88,6.93,116868
04-18-1997,6.98,7.03,6.93,7.03,132700
04-21-1997,7.08,7.55,7.08,7.55,161442
04-22-1997,7.55,7.60,7.29,7.29,64273
04-23-1997,7.29,7.29,7.24,7.24,12395
04-24-1997,7.24,7.24,7.13,7.13,154865
04-25-1997,7.19,7.19,7.13,7.19,22376
04-28-1997,7.13,7.13,7.08,7.08,70844
04-29-1997,7.08,7.13,6.98,7.03,15316
04-30-1997,6.93,6.98,6.72,6.83,72301
05-01-1997,6.83,6.88,6.78,6.78,62813
05-02-1997,6.78,6.78,6.57,6.57,16536
05-05-1997,6.67,6.78,6.67,6.72,184332
05-06-1997,6.72,6.98,6.72,6.98,167531
05-07-1997,7.24,7.60,7.13,7.19,124421
05-08-1997,7.19,7.19,7.08,7.13,386227
05-09-1997,7.13,7.13,6.98,7.08,19210
05-12-1997,7.03,7.03,6.98,6.98,66455
05-13-1997,6.98,6.98,6.83,6.93,31147
05-14-1997,6.98,7.03,6.98,6.98,120036
05-15-1997,7.03,7.08,6.98,7.03,27982
05-16-1997,7.08,7.08,7.03,7.08,9471
05-19-1997,7.03,7.03,7.03,7.03,41377
