Date,Open,High,Low,Close,Volume
11-13-1998,4.97,5.02,4.92,4.92,157738
11-16-1998,6.05,6.05,5.50,5.60,315745
11-17-1998,5.65,5.65,4.65,4.80,537766
11-18-1998,4.74,5.40,4.40,5.32,355753
11-19-1998,5.31,5.60,4.75,5.50,191738
11-20-1998,5.40,5.40,5.00,5.00,67982
11-23-1998,4.85,4.97,4.85,4.97,7721
11-24-1998,4.97,4.97,4.85,4.90,26474
11-25-1998,4.95,4.95,4.90,4.90,23976
11-27-1998,4.90,4.90,4.90,4.90,0
11-30-1998,4.90,4.97,4.90,4.90,27224
12-01-1998,4.90,4.95,4.82,4.87,299000
12-02-1998,4.85,4.90,4.80,4.90,46974
12-03-1998,4.90,4.90,4.80,4.80,39477
12-04-1998,4.80,4.85,4.80,4.80,74975
12-07-1998,4.80,4.90,4.80,4.85,5220
12-08-1998,4.80,4.85,4.80,4.80,51976
12-09-1998,4.85,4.87,4.85,4.87,25968
12-10-1998,4.90,5.00,4.87,4.95,51475
12-11-1998,5.00,5.00,4.95,4.95,62476
12-14-1998,4.95,4.95,4.90,4.90,6218
12-15-1998,4.87,4.90,4.87,4.90,11724
12-16-1998,4.87,4.87,4.87,4.87,20223
12-17-1998,4.87,4.87,4.87,4.87,0
12-18-1998,4.87,5.00,4.87,5.00,13222
12-21-1998,5.00,5.00,5.00,5.00,4221
12-22-1998,4.95,5.05,4.80,4.80,136236
12-23-1998,4.80,4.80,4.80,4.80,0
12-24-1998,4.80,4.80,4.80,4.80,0
12-28-1998,5.05,5.05,5.05,5.05,1471
12-29-1998,4.95,5.05,4.95,5.05,37727
12-30-1998,5.05,5.05,5.05,5.05,1471
12-31-1998,5.00,5.00,4.95,4.95,14972
01-04-1999,4.95,4.95,4.95,4.95,213
01-05-1999,5.05,5.05,5.00,5.05,2469
01-06-1999,5.05,5.20,4.95,5.20,384754
01-07-1999,5.20,5.25,5.20,5.25,30475
01-08-1999,5.20,5.20,5.20,5.20,9220
01-11-1999,5.30,5.30,5.25,5.25,1717
01-12-1999,5.25,5.25,5.15,5.15,13977
01-13-1999,5.05,5.05,5.05,5.05,19725
01-14-1999,5.05,5.05,5.05,5.05,0
01-15-1999,5.05,5.05,5.05,5.05,970
01-19-1999,5.05,5.10,5.05,5.05,34973
01-20-1999,5.05,5.05,5.00,5.00,5468
01-21-1999,5.00,5.00,4.95,4.95,11724
01-22-1999,5.00,5.00,4.95,4.95,3720
01-25-1999,4.95,5.00,4.95,4.95,4721
01-26-1999,4.95,4.97,4.95,4.97,10222
01-27-1999,4.97,4.97,4.97,4.97,0
01-28-1999,5.05,5.05,5.05,5.05,213
01-29-1999,5.05,5.05,5.05,5.05,473
02-01-1999,5.00,5.05,4.95,4.95,8474
02-02-1999,4.95,4.95,4.85,4.85,7974
02-03-1999,4.90,4.90,4.90,4.90,4971
02-04-1999,4.95,4.95,4.90,4.90,49973
02-05-1999,4.90,5.00,4.90,5.00,156238
02-08-1999,5.00,5.00,5.00,5.00,1717
02-09-1999,5.00,5.00,5.00,5.00,0
02-10-1999,4.95,4.95,4.95,4.95,2469
02-11-1999,4.95,4.95,4.95,4.95,1471
02-12-1999,5.00,5.00,5.00,5.00,1717
02-16-1999,4.90,4.90,4.85,4.85,4971
02-17-1999,5.00,5.00,5.00,5.00,213
02-18-1999,4.85,4.97,4.80,4.97,16470
02-19-1999,4.90,4.90,4.80,4.85,54229
02-22-1999,4.87,4.95,4.87,4.95,1971
02-23-1999,4.95,4.95,4.85,4.85,31975
02-24-1999,4.85,4.91,4.85,4.91,14224
02-25-1999,4.95,4.95,4.95,4.95,4971
02-26-1999,4.95,4.95,4.95,4.95,970
03-01-1999,4.91,4.92,4.91,4.92,1717
03-02-1999,4.87,4.87,4.87,4.87,7721
03-03-1999,4.87,4.90,4.87,4.90,2469
03-04-1999,4.90,4.90,4.90,4.90,0
03-05-1999,4.85,4.85,4.85,4.85,15474
03-08-1999,4.85,4.85,4.85,4.85,0
03-09-1999,5.00,5.05,5.00,5.05,16725
03-10-1999,5.10,5.10,5.10,5.10,213
03-11-1999,5.10,5.10,5.10,5.10,0
03-12-1999,5.10,5.13,5.07,5.07,25223
03-15-1999,4.95,4.95,4.82,4.82,8224
03-16-1999,4.97,4.97,4.85,4.90,56476
03-17-1999,4.90,4.90,4.90,4.90,0
03-18-1999,4.90,4.90,4.90,4.90,0
03-19-1999,4.85,4.95,4.85,4.95,46478
03-22-1999,4.95,4.95,4.82,4.90,11224
03-23-1999,4.90,4.90,4.90,4.90,0
03-24-1999,4.90,4.90,4.90,4.90,0
03-25-1999,4.90,4.90,4.90,4.90,0
03-26-1999,4.90,4.95,4.90,4.95,10469
03-29-1999,4.95,5.00,4.95,4.95,6218
03-30-1999,5.02,5.02,4.95,5.00,23721
03-31-1999,5.00,5.00,5.00,5.00,0
