Date,Open,High,Low,Close,Volume
02-09-2005,16.00,16.00,16.00,16.00,0
02-10-2005,17.50,18.01,17.00,17.75,12701300
02-11-2005,17.60,18.05,17.60,17.92,1738400
02-14-2005,17.80,18.30,17.70,17.90,1009500
02-15-2005,18.00,18.03,17.60,17.72,867300
02-16-2005,17.62,17.70,17.45,17.58,1585700
02-17-2005,17.58,18.19,17.50,18.00,278400
02-18-2005,17.90,18.80,17.90,18.65,436000
02-22-2005,18.66,18.66,17.77,18.10,230500
02-23-2005,18.00,18.24,17.96,18.00,184100
02-24-2005,17.75,18.15,17.70,18.07,267000
02-25-2005,18.13,18.37,18.01,18.15,366900
02-28-2005,18.12,18.22,17.75,18.00,426000
03-01-2005,18.00,18.20,17.75,17.80,461200
03-02-2005,17.80,17.93,17.78,17.82,120700
03-03-2005,17.88,17.88,17.65,17.75,164200
03-04-2005,17.75,18.10,17.69,18.00,436400
03-07-2005,17.95,18.07,17.82,17.96,242000
03-08-2005,17.90,18.00,17.80,18.00,208700
03-09-2005,17.90,17.90,17.60,17.72,314800
03-10-2005,17.70,17.70,17.55,17.60,175100
03-11-2005,17.50,18.51,17.50,18.50,328700
03-14-2005,18.20,18.25,17.87,18.25,206600
03-15-2005,18.10,18.10,17.63,17.63,150600
03-16-2005,17.55,17.65,17.15,17.28,556500
03-17-2005,17.40,17.68,17.33,17.59,339900
03-18-2005,17.60,18.35,17.59,18.20,370500
03-21-2005,18.00,18.10,17.40,18.00,394500
03-22-2005,17.90,17.95,17.45,17.50,194900
03-23-2005,17.48,17.99,17.48,17.87,115000
03-24-2005,18.00,18.15,17.80,17.99,370500
03-28-2005,17.95,17.98,17.56,17.90,77000
03-29-2005,17.75,18.00,17.57,18.00,545400
03-30-2005,18.00,18.04,17.63,18.00,412900
03-31-2005,17.95,18.28,17.54,17.65,1264900
04-01-2005,17.50,17.64,17.15,17.49,946600
04-04-2005,17.40,17.45,16.80,16.94,602300
04-05-2005,16.90,17.00,16.79,17.00,375200
04-06-2005,17.00,17.14,16.95,17.04,231500
04-07-2005,16.90,17.00,16.50,17.00,313500
04-08-2005,17.00,17.00,16.60,16.75,187000
04-11-2005,16.75,17.30,16.71,17.17,144500
04-12-2005,17.20,17.28,16.97,17.28,96300
04-13-2005,17.28,17.35,17.15,17.35,227200
04-14-2005,17.35,17.93,17.35,17.66,132900
04-15-2005,17.80,18.24,17.80,17.85,619800
04-18-2005,17.90,18.15,17.70,18.02,259500
04-19-2005,18.01,18.23,17.85,17.95,378400
04-20-2005,18.00,18.20,17.80,17.90,145400
04-21-2005,18.05,18.29,17.86,18.10,196300
04-22-2005,18.02,18.02,17.12,17.37,232600
04-25-2005,17.45,17.65,17.21,17.52,169300
04-26-2005,17.45,17.45,17.06,17.31,121500
04-27-2005,17.30,17.35,16.95,17.15,178600
04-28-2005,17.10,17.45,16.95,17.30,88700
04-29-2005,17.40,18.00,17.25,18.00,197400
05-02-2005,18.00,18.00,17.64,17.80,299800
05-03-2005,17.80,17.80,17.64,17.76,312600
05-04-2005,17.79,17.95,17.53,17.54,56300
05-05-2005,17.60,17.98,17.59,17.95,83700
05-06-2005,17.93,17.97,17.80,17.85,38300
05-09-2005,17.80,17.98,17.75,17.98,78400
05-10-2005,17.90,18.05,17.60,17.90,418400
05-11-2005,17.80,17.85,17.50,17.60,210200
05-12-2005,17.55,17.64,17.23,17.30,174700
05-13-2005,17.30,17.31,17.10,17.31,267400
05-16-2005,17.25,17.58,17.21,17.36,350400
05-17-2005,17.26,17.30,17.12,17.20,296300
05-18-2005,17.23,17.25,17.08,17.12,281200
05-19-2005,17.10,17.12,17.00,17.03,303700
05-20-2005,16.99,17.03,16.90,16.92,159300
05-23-2005,16.91,17.00,16.66,16.84,575700
05-24-2005,16.83,16.84,16.20,16.47,685200
05-25-2005,16.40,16.50,15.80,16.49,325000
05-26-2005,16.49,16.51,16.35,16.50,244100
05-27-2005,16.50,17.07,16.50,16.90,40700
05-31-2005,16.90,17.18,16.84,17.00,321300
06-01-2005,17.00,17.98,17.00,17.53,179400
06-02-2005,17.53,17.60,17.37,17.55,101000
06-03-2005,17.65,17.75,17.40,17.50,100300
06-06-2005,17.50,17.61,17.42,17.61,104500
06-07-2005,17.62,17.65,16.98,17.12,71000
06-08-2005,17.10,17.10,16.75,16.90,89300
06-09-2005,16.89,17.20,16.82,17.05,174000
06-10-2005,17.10,17.10,16.88,17.08,93800
06-13-2005,17.00,17.35,17.00,17.20,67400
06-14-2005,17.15,17.94,17.15,17.85,111000
06-15-2005,17.95,18.09,17.69,18.08,180900
06-16-2005,18.07,18.10,17.78,17.95,141400
06-17-2005,17.94,18.00,17.30,17.70,374400
06-20-2005,17.65,18.50,17.59,18.19,65700
06-21-2005,18.21,18.33,18.00,18.28,119100
06-22-2005,18.28,18.39,18.26,18.38,120600
06-23-2005,18.38,18.70,18.31,18.45,237400
06-24-2005,18.45,18.78,18.13,18.75,680800
06-27-2005,18.75,18.75,18.10,18.43,218600
06-28-2005,18.45,19.00,18.45,19.00,159500
06-29-2005,19.00,19.50,19.00,19.50,194700
06-30-2005,19.50,19.67,19.25,19.50,122300
07-01-2005,19.50,19.97,19.41,19.90,95200
07-05-2005,19.91,20.20,19.75,20.20,259600
07-06-2005,20.17,20.32,20.01,20.25,92600
07-07-2005,20.05,20.65,19.75,20.57,154700
07-08-2005,20.60,21.11,20.60,21.03,182200
07-11-2005,21.10,21.15,20.62,20.70,201000
07-12-2005,20.70,20.70,19.99,20.00,193700
07-13-2005,20.05,20.20,19.40,19.42,104100
07-14-2005,19.65,19.77,19.50,19.50,174000
07-15-2005,19.45,19.58,19.35,19.40,33400
07-18-2005,19.40,19.47,19.25,19.44,170500
07-19-2005,19.50,19.88,19.50,19.65,238700
07-20-2005,19.60,20.40,19.60,19.85,91300
07-21-2005,20.00,20.00,19.45,19.66,107100
07-22-2005,19.61,19.64,18.96,19.60,98200
07-25-2005,19.65,19.75,19.57,19.75,71400
07-26-2005,19.70,20.00,19.70,20.00,153200
07-27-2005,20.00,20.04,19.80,20.04,133000
07-28-2005,14.90,14.90,10.10,11.90,14748600
07-29-2005,11.90,11.91,11.02,11.25,2481700
08-01-2005,11.24,11.35,11.15,11.24,1157000
08-02-2005,11.24,11.93,11.19,11.93,1517800
08-03-2005,11.93,13.15,11.90,13.01,2028800
08-04-2005,12.95,13.01,12.50,12.95,1041400
08-05-2005,12.85,13.15,12.77,13.05,672400
08-08-2005,13.25,13.50,13.00,13.08,222200
08-09-2005,13.18,13.25,12.50,12.75,303300
08-10-2005,12.76,12.84,12.43,12.60,228900
08-11-2005,12.61,12.70,12.31,12.55,310500
08-12-2005,12.50,12.75,12.40,12.53,196500
08-15-2005,12.52,12.58,12.43,12.49,160400
08-16-2005,12.47,12.60,12.40,12.60,306800
08-17-2005,12.58,12.95,12.50,12.84,92100
08-18-2005,12.79,12.80,12.50,12.54,118000
08-19-2005,12.54,12.57,12.43,12.49,170800
08-22-2005,12.48,12.65,12.45,12.57,193100
08-23-2005,12.60,13.00,12.60,12.80,113000
08-24-2005,12.82,13.17,12.78,13.01,219800
08-25-2005,13.07,13.08,12.80,12.93,215800
08-26-2005,12.90,13.02,12.74,12.92,224100
08-29-2005,13.00,13.04,12.95,13.00,195100
08-30-2005,13.00,13.02,12.84,12.90,129900
08-31-2005,12.86,12.99,12.83,12.87,172900
09-01-2005,12.83,12.99,12.80,12.89,141200
09-02-2005,12.89,12.98,12.84,12.86,237100
09-06-2005,12.86,12.89,12.73,12.85,149500
09-07-2005,12.80,12.83,12.45,12.50,184300
09-08-2005,12.45,12.50,12.38,12.42,127200
09-09-2005,12.40,12.46,11.99,12.27,181200
09-12-2005,12.21,12.32,12.10,12.26,136600
09-13-2005,12.25,12.35,11.85,12.00,201000
09-14-2005,11.90,12.02,11.80,11.81,241200
09-15-2005,11.86,12.00,11.85,11.97,162500
09-16-2005,12.03,12.04,11.72,11.84,219300
09-19-2005,12.06,12.12,11.92,11.99,178000
09-20-2005,11.95,12.05,11.93,11.93,316500
09-21-2005,11.95,11.95,11.60,11.61,514300
09-22-2005,11.63,11.63,11.50,11.51,107800
09-23-2005,11.80,12.35,11.80,12.28,842000
09-26-2005,12.35,12.75,12.13,12.45,395000
09-27-2005,12.40,12.46,12.21,12.31,434100
09-28-2005,12.25,12.42,12.05,12.30,232800
09-29-2005,12.30,12.40,12.10,12.29,157400
09-30-2005,12.25,12.35,12.15,12.32,148900
10-03-2005,12.35,12.45,12.25,12.31,288900
10-04-2005,12.35,12.42,12.10,12.15,541600
10-05-2005,12.18,12.20,11.89,11.99,275800
10-06-2005,11.98,12.04,11.90,11.95,232500
10-07-2005,11.95,12.10,11.93,12.05,396600
10-10-2005,12.06,12.20,12.06,12.16,85100
10-11-2005,12.18,12.24,11.90,12.01,555200
10-12-2005,12.00,12.13,11.96,12.00,140700
10-13-2005,12.00,12.10,11.95,12.09,64900
10-14-2005,12.09,12.17,11.95,11.96,231900
10-17-2005,11.96,12.00,11.90,12.00,134300
10-18-2005,12.00,12.03,11.85,12.00,279300
10-19-2005,11.95,12.15,11.80,12.09,120000
10-20-2005,12.09,12.10,11.70,11.90,127500
10-21-2005,11.90,12.00,11.56,11.71,160000
10-24-2005,11.71,11.95,11.71,11.93,55000
10-25-2005,11.90,11.99,11.55,11.98,74800
10-26-2005,11.98,12.00,11.71,11.93,59200
10-27-2005,11.87,11.95,11.56,11.65,143700
10-28-2005,11.71,12.01,11.41,11.97,246600
10-31-2005,11.97,12.13,11.85,12.05,705400
11-01-2005,12.05,12.05,11.75,11.87,492200
11-02-2005,11.91,12.00,11.81,11.97,93100
11-03-2005,12.00,12.25,12.00,12.20,167200
11-04-2005,12.20,12.20,11.95,12.16,81600
11-07-2005,12.18,12.20,12.10,12.20,92100
11-08-2005,12.13,12.20,12.00,12.03,272300
11-09-2005,12.03,12.03,11.45,11.80,343400
11-10-2005,11.80,11.80,11.31,11.56,253300
11-11-2005,11.52,11.68,11.42,11.43,127400
11-14-2005,11.33,11.33,10.30,10.42,489200
11-15-2005,10.10,10.11,9.37,9.80,1507900
11-16-2005,9.79,9.85,9.62,9.72,834100
11-17-2005,9.75,10.30,9.62,10.11,1234100
11-18-2005,10.12,10.93,10.10,10.57,818700
11-21-2005,10.55,10.94,10.45,10.60,432300
11-22-2005,10.62,11.20,10.44,11.12,398000
11-23-2005,11.18,12.00,11.18,11.92,817800
11-25-2005,11.82,11.94,11.82,11.90,72200
11-28-2005,11.95,11.99,11.63,11.84,270400
11-29-2005,11.93,11.97,11.63,11.92,187000
11-30-2005,11.94,12.05,11.90,12.02,322600
12-01-2005,12.05,12.30,12.05,12.10,737900
12-02-2005,12.06,12.36,12.03,12.10,198300
12-05-2005,12.09,12.14,11.85,12.12,153600
12-06-2005,12.05,12.10,11.66,11.79,238500
12-07-2005,11.84,11.88,11.56,11.75,162300
12-08-2005,11.70,11.82,11.40,11.59,347600
12-09-2005,11.66,11.69,11.33,11.47,196600
12-12-2005,11.48,11.54,11.30,11.36,196200
12-13-2005,11.35,11.36,11.20,11.30,195000
12-14-2005,11.31,11.45,11.20,11.45,169800
12-15-2005,11.42,11.55,11.22,11.36,235600
12-16-2005,11.39,11.66,11.35,11.57,1406200
12-19-2005,11.58,11.75,11.52,11.70,161200
12-20-2005,11.75,11.85,11.53,11.74,71700
12-21-2005,11.82,11.98,11.70,11.95,146900
12-22-2005,11.95,11.97,11.82,11.97,197800
12-23-2005,11.97,12.00,11.95,11.99,97500
12-27-2005,11.99,12.07,11.58,11.68,101300
12-28-2005,11.68,11.88,11.67,11.83,45600
12-29-2005,11.83,12.20,11.82,12.10,119900
12-30-2005,12.05,12.50,11.89,12.50,295600
01-03-2006,12.58,12.85,12.58,12.75,234700
01-04-2006,12.80,12.92,12.56,12.80,139000
01-05-2006,12.75,12.81,12.46,12.81,109400
01-06-2006,12.80,12.93,12.60,12.80,88600
01-09-2006,12.78,12.78,12.64,12.69,146100
01-10-2006,12.66,12.75,12.58,12.68,203000
01-11-2006,12.69,12.73,12.65,12.70,58300
01-12-2006,12.69,12.88,12.66,12.82,42800
01-13-2006,12.86,12.96,12.61,12.80,49300
01-17-2006,12.79,13.04,12.65,12.99,100900
01-18-2006,12.95,13.04,12.80,12.80,40200
01-19-2006,12.83,12.95,12.78,12.84,53400
01-20-2006,12.85,12.85,12.33,12.38,137400
01-23-2006,12.45,12.70,12.35,12.51,44700
01-24-2006,12.51,12.75,12.46,12.75,75200
01-25-2006,12.80,12.85,12.55,12.61,103800
01-26-2006,12.70,12.70,12.39,12.55,71500
01-27-2006,12.65,12.72,12.44,12.48,50400
01-30-2006,12.44,12.51,12.14,12.49,357600
01-31-2006,12.40,12.70,12.32,12.43,221600
02-01-2006,12.40,13.05,12.27,13.05,910400
02-02-2006,13.05,13.05,12.50,12.75,130400
02-03-2006,12.70,13.04,12.60,12.76,271800
02-06-2006,12.85,13.13,12.75,13.04,295000
02-07-2006,13.04,13.04,10.28,11.01,939400
02-08-2006,11.05,11.29,11.01,11.13,318900
02-09-2006,11.18,11.44,11.10,11.10,272600
02-10-2006,11.10,11.17,10.92,10.97,233600
02-13-2006,10.97,11.03,10.22,10.49,291500
02-14-2006,10.55,10.89,10.27,10.75,172000
02-15-2006,10.75,11.01,10.65,11.01,109300
02-16-2006,10.98,11.45,10.84,11.43,246200
02-17-2006,11.48,11.53,11.25,11.40,272400
02-21-2006,11.31,11.42,11.15,11.36,224400
02-22-2006,11.40,11.40,11.28,11.28,54600
02-23-2006,11.25,11.36,10.89,10.99,289000
02-24-2006,10.95,10.99,10.75,10.90,113200
02-27-2006,11.18,11.45,10.99,11.16,513500
02-28-2006,11.22,11.43,11.16,11.18,279600
03-01-2006,11.27,11.47,11.17,11.21,355600
03-02-2006,11.21,11.43,11.01,11.24,423000
03-03-2006,11.24,11.40,10.97,11.10,625000
03-06-2006,11.02,11.15,10.85,10.91,324700
03-07-2006,10.92,11.05,10.69,10.92,246200
03-08-2006,10.90,11.53,10.78,11.43,198300
03-09-2006,11.43,11.74,11.33,11.60,358000
03-10-2006,11.57,11.97,11.41,11.96,150300
03-13-2006,12.00,12.23,11.97,12.05,145600
03-14-2006,12.05,12.05,11.86,11.95,211500
03-15-2006,11.95,12.14,11.89,12.10,261500
03-16-2006,12.12,12.45,12.10,12.38,227900
03-17-2006,12.30,12.45,12.10,12.41,255700
03-20-2006,12.41,12.41,11.95,11.96,232600
03-21-2006,11.87,11.94,11.56,11.65,179100
03-22-2006,11.70,11.78,11.24,11.70,281600
03-23-2006,11.60,11.95,11.51,11.88,212400
03-24-2006,11.80,11.98,11.55,11.98,140700
03-27-2006,11.90,12.05,11.56,11.63,229200
03-28-2006,11.63,12.02,11.45,11.88,207800
03-29-2006,11.89,12.50,11.81,12.30,176300
03-30-2006,12.31,12.31,11.90,11.96,189300
03-31-2006,11.99,12.23,11.81,12.17,252600
04-03-2006,12.18,12.23,11.90,12.14,206400
04-04-2006,12.14,12.14,11.90,11.97,187200
04-05-2006,11.97,12.37,11.93,12.31,292100
04-06-2006,12.30,12.31,11.92,11.99,189900
04-07-2006,12.01,12.05,11.86,11.90,189000
04-10-2006,11.98,12.01,11.71,12.00,152200
04-11-2006,11.96,12.13,11.87,11.96,339200
04-12-2006,11.95,12.10,11.80,12.10,119300
04-13-2006,12.10,12.43,11.91,12.34,91900
04-17-2006,12.40,12.49,12.20,12.47,107800
04-18-2006,12.50,12.90,12.43,12.68,239800
04-19-2006,12.60,12.63,12.27,12.44,176900
04-20-2006,12.44,12.45,12.18,12.21,139500
04-21-2006,12.46,12.46,11.99,12.06,232800
04-24-2006,12.10,12.32,11.76,11.98,269400
04-25-2006,11.98,12.38,11.97,12.37,197800
04-26-2006,12.37,12.60,12.31,12.45,155000
04-27-2006,12.44,12.46,12.25,12.25,200800
04-28-2006,12.26,12.43,12.12,12.23,90100
05-01-2006,12.20,12.29,12.05,12.20,624300
05-02-2006,12.17,12.26,12.10,12.17,137400
05-03-2006,12.17,12.22,12.05,12.06,213500
05-04-2006,12.06,12.07,11.80,11.80,150500
05-05-2006,11.80,12.00,11.75,11.91,156100
05-08-2006,11.90,11.99,11.81,11.94,120500
05-09-2006,11.60,11.61,10.84,10.96,518700
05-10-2006,10.96,10.99,10.75,10.80,522600
05-11-2006,10.79,10.90,10.78,10.89,371000
05-12-2006,10.85,10.90,10.80,10.82,289700
05-15-2006,10.80,10.84,10.59,10.64,368800
05-16-2006,10.65,10.75,10.27,10.27,518200
05-17-2006,10.05,10.29,9.80,10.11,1233600
05-18-2006,10.11,10.64,10.10,10.56,416200
05-19-2006,10.57,10.58,10.30,10.46,249800
05-22-2006,10.15,10.56,10.10,10.37,419400
05-23-2006,10.45,10.55,10.20,10.24,198200
05-24-2006,10.22,10.42,9.95,10.36,196500
05-25-2006,10.45,10.60,10.37,10.58,234700
05-26-2006,10.65,11.04,10.62,10.76,86800
05-30-2006,10.76,10.76,10.40,10.49,100600
05-31-2006,10.49,10.85,10.49,10.78,260100
06-01-2006,10.78,10.94,10.75,10.91,199600
06-02-2006,10.96,11.00,10.40,10.66,84000
06-05-2006,10.58,10.58,10.13,10.16,213600
06-06-2006,10.20,10.49,10.15,10.39,127200
06-07-2006,10.39,10.65,10.28,10.31,81300
06-08-2006,10.29,10.73,10.08,10.64,123500
06-09-2006,10.64,10.75,10.43,10.58,141500
06-12-2006,10.48,10.49,10.24,10.24,47500
06-13-2006,10.25,10.58,10.14,10.15,151800
06-14-2006,10.15,10.21,9.80,10.00,143100
06-15-2006,10.07,10.25,9.99,10.11,119300
06-16-2006,10.11,10.16,9.98,10.03,444700
06-19-2006,10.03,10.12,9.86,9.91,170600
06-20-2006,9.85,10.00,9.85,9.88,116700
06-21-2006,9.90,10.24,9.90,10.02,163300
06-22-2006,10.00,10.00,9.47,9.61,289300
06-23-2006,9.71,10.18,9.71,10.12,206700
06-26-2006,9.80,9.80,8.25,8.55,1793500
06-27-2006,8.56,9.13,8.51,9.03,1016000
06-28-2006,9.06,9.39,9.02,9.39,221900
06-29-2006,9.46,10.07,9.45,10.01,644000
06-30-2006,10.01,10.19,9.95,9.97,589700
07-03-2006,9.96,10.20,9.85,9.99,358000
07-05-2006,9.89,10.09,9.65,10.08,171900
07-06-2006,10.12,10.20,9.96,10.18,146600
07-07-2006,10.10,10.15,10.00,10.01,121900
