Date,Open,High,Low,Close,Volume
10-23-2001,15.27,15.94,15.20,15.65,43736200
10-24-2001,15.72,16.54,15.65,16.50,7848851
10-25-2001,16.39,16.50,16.13,16.35,2736584
10-26-2001,16.35,16.39,15.94,16.02,4481926
10-29-2001,16.39,16.39,15.65,15.79,2089883
10-30-2001,15.94,16.58,15.65,16.42,2681547
10-31-2001,16.69,17.84,16.35,16.76,6577863
11-01-2001,16.86,16.86,16.17,16.35,3269727
11-02-2001,16.46,16.58,16.35,16.52,1496874
11-05-2001,16.46,16.52,16.20,16.39,1409758
11-06-2001,16.33,16.91,16.28,16.84,863995
11-07-2001,16.87,16.87,16.13,16.28,1287749
11-08-2001,16.35,16.39,16.08,16.26,2114042
11-09-2001,16.02,16.17,16.02,16.09,1965054
11-12-2001,16.10,16.39,15.88,16.38,1353653
11-13-2001,16.39,16.39,16.20,16.28,828157
11-14-2001,16.46,16.46,15.94,16.20,2509876
11-15-2001,16.13,16.38,16.09,16.34,1124664
11-16-2001,16.39,17.05,16.38,16.58,2392966
11-19-2001,16.39,16.94,16.39,16.64,1419288
11-20-2001,16.58,16.95,16.58,16.93,1454052
11-21-2001,16.99,17.06,16.87,17.04,1326540
11-23-2001,17.05,17.05,16.54,16.67,413936
11-26-2001,16.46,16.73,16.39,16.64,3172954
11-27-2001,16.58,16.84,16.58,16.69,1999551
11-28-2001,17.08,17.08,16.75,16.99,1067080
11-29-2001,16.99,17.10,16.76,17.05,658496
11-30-2001,17.06,17.14,16.91,17.10,2443838
12-03-2001,17.12,17.28,16.58,17.10,1351642
12-04-2001,17.10,17.13,16.87,17.10,711782
12-05-2001,17.16,17.36,17.10,17.28,1797806
12-06-2001,17.28,17.74,17.22,17.47,610980
12-07-2001,17.36,17.72,17.28,17.47,1212578
12-10-2001,17.46,17.46,17.28,17.40,1836865
12-11-2001,17.40,17.77,17.40,17.50,1801833
12-12-2001,17.62,17.84,17.51,17.62,2031761
12-13-2001,17.69,17.69,17.40,17.49,2328135
12-14-2001,17.43,18.14,17.43,17.94,2816583
12-17-2001,18.09,18.44,17.52,17.65,1101843
12-18-2001,17.81,17.95,17.51,17.65,1967466
12-19-2001,17.79,17.97,17.14,17.52,2694567
12-20-2001,17.52,17.66,17.14,17.57,3397380
12-21-2001,17.21,17.55,17.19,17.41,2676047
12-24-2001,17.43,17.50,17.36,17.43,1545999
12-26-2001,17.51,17.66,17.32,17.36,1994985
12-27-2001,17.47,17.78,17.28,17.55,1588816
12-28-2001,17.58,17.92,17.43,17.51,1562107
12-31-2001,17.58,17.88,17.55,17.88,1449223
01-02-2002,17.92,18.03,17.47,17.75,2655512
01-03-2002,17.74,17.84,17.55,17.69,1148422
01-04-2002,17.73,18.07,17.69,17.84,3231608
01-07-2002,17.88,17.93,17.43,17.77,2337127
01-08-2002,17.69,17.99,17.52,17.94,2346657
01-09-2002,17.94,17.99,17.67,17.81,2505044
01-10-2002,18.10,18.10,17.88,18.03,1782101
01-11-2002,18.03,18.07,17.69,17.88,1772170
01-14-2002,17.92,17.99,17.73,17.87,1112582
01-15-2002,17.77,17.92,17.62,17.73,1304795
01-16-2002,17.84,17.84,17.54,17.66,1203992
01-17-2002,17.72,18.01,17.71,18.01,2276861
01-18-2002,18.10,18.18,17.84,18.03,1543582
01-22-2002,18.25,18.29,18.05,18.24,1619553
01-23-2002,18.25,18.31,17.69,17.73,1950958
01-24-2002,17.95,18.07,17.87,17.99,2291760
01-25-2002,18.07,19.37,17.94,19.10,2471890
01-28-2002,18.95,19.52,18.66,19.37,1434326
01-29-2002,19.30,20.15,19.18,19.35,2410815
01-30-2002,19.33,19.44,18.63,19.00,1636065
01-31-2002,19.06,19.06,18.63,18.96,1904115
02-01-2002,18.74,18.74,18.18,18.18,3393219
02-04-2002,18.10,18.28,16.54,17.69,3721398
02-05-2002,17.51,17.58,17.06,17.32,4150120
02-06-2002,17.88,18.03,17.71,17.82,3234966
02-07-2002,17.82,18.17,17.77,17.88,1759147
02-08-2002,17.95,18.47,17.90,18.47,1023857
02-11-2002,18.51,18.67,18.04,18.15,1394324
02-12-2002,18.25,18.51,18.19,18.48,888826
02-13-2002,18.55,18.85,18.33,18.44,1623450
02-14-2002,18.44,18.45,17.88,18.15,3297782
02-15-2002,18.25,18.25,17.66,17.92,1292718
02-19-2002,17.87,17.88,17.36,17.57,1685189
02-20-2002,17.67,17.72,17.42,17.55,1129899
02-21-2002,17.62,17.81,17.17,17.28,1621706
02-22-2002,17.43,17.43,16.39,16.76,2547729
02-25-2002,17.06,17.31,17.06,17.28,2863964
02-26-2002,17.43,17.84,17.22,17.66,1228825
02-27-2002,17.73,18.23,17.73,18.21,1948006
02-28-2002,18.44,18.61,17.88,18.15,1354995
03-01-2002,18.10,18.48,17.99,18.48,1408954
03-04-2002,18.48,19.37,18.25,18.83,2340755
03-05-2002,18.80,19.00,18.66,18.66,2915912
03-06-2002,18.77,18.86,18.29,18.63,1024663
03-07-2002,18.63,18.98,18.29,18.77,1933241
03-08-2002,18.74,19.00,18.63,18.66,1136743
03-11-2002,18.70,18.80,18.45,18.63,1548015
03-12-2002,18.68,18.77,18.54,18.63,705073
03-13-2002,18.63,18.71,18.48,18.64,1116344
03-14-2002,18.63,18.98,18.63,18.94,1968677
03-15-2002,18.92,19.18,18.85,19.00,463868
03-18-2002,19.74,19.82,18.85,19.00,3167852
03-19-2002,19.15,19.30,18.92,19.01,3644625
03-20-2002,19.03,19.35,18.98,19.22,1709756
03-21-2002,19.26,19.28,19.05,19.21,1641570
03-22-2002,19.26,19.26,19.10,19.22,1841430
03-25-2002,19.22,19.22,18.68,18.96,2099144
03-26-2002,18.95,19.06,18.81,19.00,2441151
03-27-2002,19.06,19.12,19.00,19.12,1968945
03-28-2002,19.18,19.22,18.77,18.85,2897387
04-01-2002,18.89,18.96,18.63,18.87,1073389
04-02-2002,18.87,19.18,18.85,19.01,1214057
04-03-2002,19.18,19.28,18.90,18.96,659435
04-04-2002,19.18,19.48,19.10,19.44,1529488
04-05-2002,19.63,20.27,19.44,20.13,1529758
04-08-2002,20.14,20.56,19.85,20.44,1970558
04-09-2002,20.45,20.88,20.35,20.58,1708012
04-10-2002,20.75,20.95,20.40,20.70,1028694
04-11-2002,20.67,20.82,20.04,20.12,777288
04-12-2002,20.15,20.34,20.12,20.34,1161307
04-15-2002,20.15,20.26,19.68,19.89,1380225
04-16-2002,20.26,20.86,20.26,20.86,1950958
04-17-2002,20.86,21.38,20.75,21.05,2431486
04-18-2002,21.08,21.27,20.86,21.14,936210
04-19-2002,21.12,21.16,20.75,20.98,633662
04-22-2002,21.08,21.38,21.08,21.23,1253252
04-23-2002,21.34,21.34,20.41,20.67,1691901
04-24-2002,20.82,20.92,20.71,20.71,1078219
04-25-2002,20.52,20.64,20.12,20.19,1289625
04-26-2002,20.41,20.49,20.15,20.34,1183855
04-29-2002,20.49,20.75,20.28,20.47,1318081
04-30-2002,20.34,20.93,20.26,20.71,956880
05-01-2002,20.75,20.85,20.45,20.65,301588
05-02-2002,20.71,20.85,20.58,20.79,458903
05-03-2002,20.67,20.69,20.06,20.15,1522109
05-06-2002,20.31,20.54,20.15,20.30,572460
