Date,Open,High,Low,Close,Volume
09-28-1994,3.61,3.66,3.61,3.66,36416
09-29-1994,3.70,3.70,3.61,3.66,17680
09-30-1994,3.61,3.66,3.61,3.61,50405
10-03-1994,3.66,3.66,3.57,3.57,153887
10-04-1994,3.57,3.57,3.49,3.53,158320
10-05-1994,3.57,3.57,3.49,3.49,18285
10-06-1994,3.45,3.49,3.36,3.36,75676
10-07-1994,3.32,3.41,3.32,3.32,52184
10-10-1994,3.36,3.45,3.36,3.45,70918
10-11-1994,3.45,3.45,3.41,3.45,55149
10-12-1994,3.45,3.45,3.36,3.41,62886
10-13-1994,3.41,3.49,3.41,3.49,49208
10-14-1994,3.45,3.45,3.36,3.41,107780
10-17-1994,3.36,3.36,3.32,3.36,68239
10-18-1994,3.36,3.36,3.28,3.35,74793
10-19-1994,3.36,3.36,3.32,3.36,51593
10-20-1994,3.28,3.36,3.28,3.36,57845
10-21-1994,3.36,3.36,3.28,3.28,56946
10-24-1994,3.28,3.32,3.24,3.28,77755
10-25-1994,3.28,3.28,3.24,3.28,61995
10-26-1994,3.28,3.32,3.24,3.32,86982
10-27-1994,3.24,3.36,3.24,3.36,127409
10-28-1994,3.41,3.49,3.36,3.41,100654
10-31-1994,3.45,3.57,3.41,3.57,95295
11-01-1994,3.57,3.57,3.49,3.53,59025
11-02-1994,3.53,3.57,3.53,3.57,143463
11-03-1994,3.57,3.57,3.53,3.53,66165
11-04-1994,3.53,3.57,3.49,3.49,49510
11-07-1994,3.49,3.49,3.45,3.49,61995
11-08-1994,3.49,3.49,3.41,3.41,114638
11-09-1994,3.45,3.45,3.36,3.36,67345
11-10-1994,3.41,3.41,3.36,3.36,41485
11-11-1994,3.36,3.41,3.36,3.41,49510
11-14-1994,3.36,3.41,3.32,3.32,48929
11-15-1994,3.36,3.36,3.32,3.36,60804
11-16-1994,3.36,3.36,3.28,3.36,64974
11-17-1994,3.41,3.41,3.32,3.41,47433
11-18-1994,3.36,3.38,3.28,3.32,31961
11-21-1994,3.32,3.36,3.28,3.32,53978
11-22-1994,3.28,3.36,3.28,3.36,71817
11-23-1994,3.32,3.41,3.32,3.41,29880
11-25-1994,3.41,3.45,3.36,3.41,30185
11-28-1994,3.41,3.41,3.32,3.36,48319
11-29-1994,3.36,3.41,3.32,3.36,119370
11-30-1994,3.36,3.41,3.32,3.41,26901
12-01-1994,3.41,3.41,3.36,3.41,58722
12-02-1994,3.45,3.53,3.45,3.53,75378
12-05-1994,3.53,3.53,3.49,3.53,90847
12-06-1994,3.53,3.53,3.49,3.49,100058
12-07-1994,3.49,3.53,3.49,3.51,87571
12-08-1994,3.53,3.53,3.45,3.47,70918
12-09-1994,3.45,3.45,3.36,3.36,60804
12-12-1994,3.36,3.36,3.24,3.28,84889
12-13-1994,3.28,3.32,3.24,3.28,57845
12-14-1994,3.28,3.32,3.24,3.24,94108
12-15-1994,3.28,3.36,3.24,3.36,81020
12-16-1994,3.24,3.28,3.20,3.28,119370
12-19-1994,3.28,3.28,3.24,3.28,67936
12-20-1994,3.28,3.32,3.24,3.28,79236
12-21-1994,3.28,3.41,3.24,3.24,92926
12-22-1994,3.24,3.34,3.24,3.28,133954
12-23-1994,3.32,3.32,3.28,3.32,57845
12-27-1994,3.28,3.36,3.28,3.28,45939
12-28-1994,3.28,3.32,3.28,3.32,144646
12-29-1994,3.28,3.32,3.24,3.24,44752
12-30-1994,3.32,3.32,3.24,3.24,67345
01-03-1995,3.24,3.32,3.24,3.32,93511
01-04-1995,3.36,3.49,3.36,3.45,81020
01-05-1995,3.45,3.49,3.45,3.45,48929
01-06-1995,3.49,3.53,3.45,3.53,60509
