Date,Open,High,Low,Close,Volume
03-26-1990,2.75,3.17,2.75,2.96,0
03-27-1990,3.09,3.17,3.00,3.17,0
03-28-1990,3.17,3.17,3.09,3.17,0
03-29-1990,3.25,3.25,3.04,3.04,0
03-30-1990,3.04,3.08,3.00,3.00,0
04-02-1990,3.00,3.13,3.00,3.13,0
04-03-1990,3.13,3.21,3.09,3.21,0
04-04-1990,3.21,3.21,3.13,3.17,0
04-05-1990,3.17,3.17,3.13,3.17,0
04-06-1990,3.16,3.16,3.00,3.04,0
04-09-1990,3.00,3.00,2.96,2.96,0
04-10-1990,2.95,3.00,2.83,2.83,0
04-11-1990,2.87,3.00,2.83,2.87,0
04-12-1990,2.87,3.08,2.87,3.08,0
04-16-1990,3.08,3.08,2.87,2.87,0
04-17-1990,2.87,3.00,2.87,2.87,0
04-18-1990,3.00,3.00,3.00,3.00,0
04-19-1990,2.87,2.91,2.83,2.83,0
04-20-1990,2.83,2.83,2.71,2.71,0
04-23-1990,2.75,2.75,2.58,2.58,0
04-24-1990,2.67,2.84,2.67,2.67,0
04-25-1990,2.79,2.83,2.66,2.83,0
04-26-1990,2.79,2.79,2.71,2.79,0
04-27-1990,2.75,2.75,2.71,2.75,0
04-30-1990,2.79,2.79,2.79,2.79,0
05-01-1990,2.66,2.79,2.66,2.79,0
05-02-1990,2.66,2.79,2.66,2.79,0
05-03-1990,2.79,2.87,2.75,2.75,0
05-04-1990,2.87,2.87,2.75,2.75,0
05-07-1990,2.87,2.87,2.75,2.87,0
05-08-1990,2.80,2.96,2.80,2.92,0
05-09-1990,2.95,3.08,2.83,3.04,0
05-10-1990,3.05,3.09,2.96,2.96,0
05-11-1990,3.08,3.08,2.95,3.08,0
05-14-1990,3.13,3.13,3.13,3.13,0
05-15-1990,3.16,3.16,2.75,2.83,0
05-16-1990,2.79,3.08,2.79,3.04,0
05-17-1990,3.25,3.29,3.08,3.08,0
05-18-1990,3.17,3.17,3.09,3.17,0
05-21-1990,3.17,3.29,3.08,3.25,0
05-22-1990,3.17,3.42,3.17,3.42,0
05-23-1990,3.46,3.91,3.33,3.79,0
05-24-1990,3.75,4.00,3.67,3.75,0
05-25-1990,3.75,3.88,3.59,3.88,0
05-29-1990,3.84,3.84,3.59,3.67,0
05-30-1990,3.84,3.92,3.67,3.92,0
05-31-1990,3.92,3.92,3.75,3.75,0
06-01-1990,3.75,3.92,3.75,3.75,0
06-04-1990,3.92,3.92,3.75,3.92,0
06-05-1990,3.91,4.00,3.75,3.83,0
06-06-1990,3.83,3.92,3.75,3.75,0
06-07-1990,3.84,3.84,3.67,3.67,0
06-08-1990,3.75,3.75,3.58,3.75,0
06-11-1990,3.67,3.75,3.67,3.67,0
06-12-1990,3.75,3.75,3.62,3.75,0
06-13-1990,3.80,3.80,3.67,3.67,0
06-14-1990,3.62,3.66,3.58,3.58,0
06-15-1990,3.58,3.66,3.50,3.58,0
06-18-1990,3.51,3.59,3.26,3.38,0
06-19-1990,3.34,3.50,3.25,3.42,0
06-20-1990,3.50,3.50,3.25,3.50,0
06-21-1990,3.50,3.75,3.42,3.42,0
06-22-1990,3.42,3.42,3.25,3.29,0
06-25-1990,3.29,3.37,3.25,3.25,0
06-26-1990,3.25,3.37,3.08,3.08,0
06-27-1990,3.09,3.17,3.09,3.13,0
06-28-1990,3.17,3.29,3.17,3.25,0
06-29-1990,3.17,3.42,3.17,3.38,0
07-02-1990,3.38,3.38,3.30,3.38,0
07-03-1990,3.37,3.37,3.29,3.29,0
07-05-1990,3.37,3.37,3.21,3.29,0
07-06-1990,3.21,3.33,3.21,3.29,0
07-09-1990,3.25,3.33,3.25,3.29,0
07-10-1990,3.25,3.62,3.25,3.46,0
07-11-1990,3.54,3.79,3.50,3.75,0
07-12-1990,3.75,3.75,3.59,3.67,0
07-13-1990,3.67,3.75,3.67,3.67,0
07-16-1990,3.75,3.75,3.50,3.62,0
07-17-1990,3.50,3.62,3.46,3.46,0
07-18-1990,3.59,3.59,3.42,3.42,0
07-19-1990,3.37,3.50,3.25,3.29,0
07-20-1990,3.29,3.37,3.29,3.29,0
07-23-1990,3.29,3.29,2.92,3.13,0
07-24-1990,3.13,3.17,2.96,2.96,0
07-25-1990,2.95,3.04,2.91,3.04,0
07-26-1990,2.95,3.12,2.95,3.08,0
07-27-1990,3.16,3.16,3.08,3.08,0
