Date,Open,High,Low,Close,Volume
09-19-1997,15.48,15.48,14.52,15.12,3974312
09-22-1997,15.24,15.36,14.76,15.00,583838
09-23-1997,15.24,15.36,14.76,15.00,198741
09-24-1997,15.00,15.24,14.40,14.76,476340
09-25-1997,14.76,15.00,14.64,14.88,286239
09-26-1997,15.00,15.00,14.64,14.76,298633
09-29-1997,14.52,14.52,13.44,13.56,307801
09-30-1997,13.44,13.92,13.44,13.92,256447
10-01-1997,13.92,13.92,13.44,13.44,308530
10-02-1997,13.68,13.68,13.32,13.44,395403
10-03-1997,13.68,13.68,13.44,13.68,382799
10-06-1997,13.56,13.56,13.44,13.56,115721
10-07-1997,13.50,13.62,13.44,13.50,140094
10-08-1997,13.50,13.92,13.50,13.68,79887
10-09-1997,13.62,13.68,13.44,13.56,251447
10-10-1997,13.44,13.56,13.20,13.20,323217
10-13-1997,13.20,13.20,12.36,12.84,226448
10-14-1997,7.68,7.92,7.14,7.23,4583052
10-15-1997,7.26,7.32,6.60,6.72,1124142
10-16-1997,6.72,6.78,6.00,6.36,728939
10-17-1997,6.12,6.30,5.88,6.12,180510
10-20-1997,6.12,6.48,6.12,6.24,254157
10-21-1997,6.36,6.84,6.24,6.36,435405
10-22-1997,6.36,6.48,6.18,6.18,267593
10-23-1997,5.70,6.24,5.70,5.94,141345
10-24-1997,5.94,6.18,5.82,6.12,123430
10-27-1997,5.88,6.12,4.92,4.92,314885
10-28-1997,4.50,5.76,4.32,5.40,356029
10-29-1997,5.52,5.52,5.28,5.34,45406
10-30-1997,5.28,5.94,5.16,5.94,169782
10-31-1997,5.94,6.00,5.73,5.76,61551
11-03-1997,5.94,6.00,5.76,5.88,44471
11-04-1997,5.88,5.94,5.64,5.70,76135
11-05-1997,5.64,6.00,5.64,5.76,49263
11-06-1997,5.88,6.60,5.76,6.36,116241
11-07-1997,6.24,6.36,6.00,6.24,60096
11-10-1997,6.36,6.36,5.76,5.76,64158
11-11-1997,5.88,5.88,5.76,5.88,9056
11-12-1997,5.88,6.00,5.58,5.58,29576
11-13-1997,5.76,5.76,5.52,5.52,24055
11-14-1997,5.52,5.64,5.40,5.40,10096
11-17-1997,5.64,5.64,5.40,5.46,18431
11-18-1997,5.52,5.64,5.40,5.40,28430
11-19-1997,5.28,5.76,5.16,5.28,151970
11-20-1997,5.28,5.58,5.16,5.28,273636
11-21-1997,5.28,5.28,5.04,5.04,144263
11-24-1997,5.04,5.10,4.68,4.74,49783
11-25-1997,4.68,4.80,4.50,4.50,102284
11-26-1997,4.50,4.62,4.50,4.56,107285
11-28-1997,4.56,4.80,4.50,4.80,123220
12-01-1997,4.80,4.80,4.68,4.74,33118
12-02-1997,4.74,4.74,4.62,4.62,178845
12-03-1997,4.62,4.80,4.62,4.65,88950
12-04-1997,4.80,4.80,4.68,4.74,178428
12-05-1997,4.71,5.04,4.65,4.98,201552
12-08-1997,4.98,5.64,4.98,5.40,132385
12-09-1997,5.46,5.46,5.16,5.28,82074
12-10-1997,5.34,5.34,4.92,4.92,94679
12-11-1997,4.92,4.92,4.56,4.74,24367
12-12-1997,4.80,4.92,4.68,4.74,79159
12-15-1997,4.74,4.80,4.62,4.74,13848
12-16-1997,4.74,4.80,4.62,4.68,55512
12-17-1997,4.68,4.80,4.62,4.62,64678
12-18-1997,4.62,4.62,4.32,4.32,33951
12-19-1997,4.32,4.38,4.20,4.26,108848
12-22-1997,4.26,4.98,4.26,4.62,152073
12-23-1997,4.74,4.74,4.44,4.50,111448
12-24-1997,4.56,4.56,4.50,4.50,26658
12-26-1997,4.56,4.62,4.50,4.56,63221
12-29-1997,4.50,4.62,4.50,4.50,129781
12-30-1997,4.50,4.59,4.50,4.56,230927
12-31-1997,4.53,5.04,4.53,4.92,201971
01-02-1998,4.92,4.92,4.74,4.86,18326
01-05-1998,5.04,5.16,4.92,5.16,60929
01-06-1998,5.28,5.46,5.16,5.40,30408
01-07-1998,5.40,5.64,5.40,5.52,35615
01-08-1998,5.64,5.88,5.58,5.88,110200
01-09-1998,6.00,6.12,5.76,6.12,81346
01-12-1998,6.00,6.18,6.00,6.12,53846
01-13-1998,6.24,6.24,5.76,5.76,41659
