Date,Open,High,Low,Close,Volume
03-26-1990,2.95,2.95,2.90,2.92,0
03-27-1990,2.87,2.95,2.84,2.84,0
03-28-1990,2.95,2.95,2.84,2.84,0
03-29-1990,2.83,2.87,2.82,2.82,0
03-30-1990,2.84,2.92,2.84,2.92,0
04-02-1990,2.92,2.92,2.79,2.84,0
04-03-1990,2.79,2.86,2.76,2.86,0
04-04-1990,2.87,2.87,2.71,2.76,0
04-05-1990,2.76,2.76,2.76,2.76,0
04-06-1990,2.68,2.76,2.68,2.73,0
04-09-1990,2.76,2.76,2.68,2.68,0
04-10-1990,2.68,2.95,2.68,2.95,0
04-11-1990,2.95,2.95,2.79,2.92,0
04-12-1990,2.92,2.95,2.81,2.88,0
04-16-1990,2.82,2.84,2.79,2.82,0
04-17-1990,2.87,2.87,2.73,2.73,0
04-18-1990,2.73,2.73,2.73,2.73,0
04-19-1990,2.71,2.79,2.62,2.71,0
04-20-1990,2.73,2.73,2.49,2.55,0
04-23-1990,2.55,2.55,2.44,2.55,0
04-24-1990,2.55,2.55,2.41,2.41,0
04-25-1990,2.54,2.54,2.36,2.36,0
04-26-1990,2.54,2.54,2.36,2.49,0
04-27-1990,2.54,2.54,2.38,2.46,0
04-30-1990,2.55,2.55,2.41,2.55,0
05-01-1990,2.44,2.55,2.44,2.55,0
05-02-1990,2.60,2.60,2.49,2.60,0
05-03-1990,2.60,2.63,2.55,2.60,0
05-04-1990,2.65,2.68,2.52,2.60,0
05-07-1990,2.60,2.60,2.49,2.60,0
05-08-1990,2.49,2.60,2.49,2.49,0
05-09-1990,2.55,2.55,2.41,2.41,0
05-10-1990,2.43,2.43,2.25,2.25,0
05-11-1990,2.27,2.46,2.27,2.44,0
05-14-1990,2.49,2.49,2.44,2.49,0
05-15-1990,2.49,2.54,2.44,2.49,0
05-16-1990,2.49,2.57,2.49,2.52,0
05-17-1990,2.49,2.57,2.38,2.38,0
05-18-1990,2.52,2.52,2.41,2.41,0
05-21-1990,2.41,2.55,2.41,2.41,0
05-22-1990,2.38,2.38,2.38,2.38,0
05-23-1990,2.38,2.38,2.38,2.38,0
05-24-1990,2.41,2.41,2.41,2.41,0
05-25-1990,2.41,2.46,2.41,2.41,0
05-29-1990,2.41,2.52,2.41,2.41,0
05-30-1990,2.41,2.49,2.41,2.44,0
05-31-1990,2.46,2.49,2.41,2.49,0
06-01-1990,2.44,2.45,2.44,2.44,0
06-04-1990,2.44,2.44,2.44,2.44,0
06-05-1990,2.44,2.55,2.44,2.55,0
06-06-1990,2.60,2.60,2.44,2.49,0
06-07-1990,2.60,2.71,2.55,2.64,0
06-08-1990,2.71,2.71,2.62,2.65,0
06-11-1990,2.71,2.87,2.65,2.69,0
06-12-1990,2.65,2.82,2.65,2.82,0
06-13-1990,2.82,2.82,2.71,2.82,0
06-14-1990,2.76,2.95,2.76,2.82,0
06-15-1990,2.81,2.95,2.81,2.84,0
06-18-1990,2.84,2.92,2.84,2.92,0
06-19-1990,2.84,2.92,2.84,2.92,0
06-20-1990,2.84,2.95,2.84,2.92,0
06-21-1990,2.87,2.90,2.87,2.87,0
06-22-1990,2.87,2.95,2.87,2.87,0
06-25-1990,2.87,2.90,2.87,2.90,0
06-26-1990,2.87,2.90,2.87,2.87,0
06-27-1990,2.87,2.92,2.87,2.92,0
06-28-1990,2.92,2.92,2.87,2.87,0
06-29-1990,2.81,2.81,2.76,2.76,0
07-02-1990,2.76,2.76,2.76,2.76,0
07-03-1990,2.79,2.82,2.76,2.82,0
07-05-1990,2.76,2.87,2.76,2.82,0
07-06-1990,2.82,2.82,2.82,2.82,0
07-09-1990,2.87,2.87,2.76,2.87,0
07-10-1990,2.76,2.89,2.76,2.88,0
07-11-1990,2.76,2.92,2.76,2.92,0
