Date,Open,High,Low,Close,Volume
12-12-1997,3.99,4.11,3.81,3.81,4731245
12-15-1997,3.87,3.87,3.76,3.76,1506992
12-16-1997,3.76,3.96,3.76,3.93,700553
12-17-1997,3.81,4.11,3.81,3.93,663282
12-18-1997,3.87,3.99,3.76,3.93,661573
12-19-1997,3.87,4.05,3.87,4.05,247065
12-22-1997,4.05,4.26,3.93,4.17,137370
12-23-1997,4.23,4.23,4.11,4.17,214900
12-24-1997,4.23,4.23,4.17,4.17,6372
12-26-1997,4.17,4.28,4.17,4.28,28309
12-29-1997,4.40,4.40,4.17,4.23,48120
12-30-1997,4.34,4.34,4.17,4.17,9783
12-31-1997,4.17,4.46,4.17,4.34,163359
01-02-1998,4.46,4.46,4.34,4.46,35340
01-05-1998,4.46,4.46,4.20,4.40,94131
01-06-1998,4.40,4.46,4.23,4.40,473917
01-07-1998,4.69,4.75,4.34,4.49,862437
01-08-1998,4.52,4.87,4.46,4.75,279444
01-09-1998,4.87,4.87,4.40,4.55,561249
01-12-1998,4.52,4.58,4.40,4.58,159735
01-13-1998,4.64,4.87,4.64,4.81,224063
01-14-1998,4.81,4.87,4.64,4.75,136091
01-15-1998,4.75,4.81,4.69,4.69,159097
01-16-1998,4.75,4.75,4.58,4.58,707373
01-20-1998,4.67,4.87,4.58,4.81,680320
01-21-1998,4.93,5.69,4.93,5.66,1461834
01-22-1998,5.57,5.57,5.28,5.40,634522
01-23-1998,5.99,6.10,5.19,5.28,1636708
01-26-1998,5.34,5.34,4.87,4.93,981511
01-27-1998,4.93,5.11,4.87,5.05,951689
01-28-1998,5.05,5.46,5.05,5.34,850511
01-29-1998,5.40,6.04,5.34,5.69,956797
01-30-1998,5.69,5.87,5.69,5.75,116283
02-02-1998,5.78,6.10,5.75,5.87,577440
02-03-1998,5.87,5.99,5.63,5.69,280085
02-04-1998,5.69,5.75,5.69,5.69,202763
02-05-1998,5.81,6.28,5.69,6.10,722494
02-06-1998,6.22,6.22,5.93,6.02,322896
02-09-1998,6.10,6.10,5.87,5.93,180613
02-10-1998,5.99,5.99,5.75,5.81,208727
02-11-1998,5.87,6.63,5.81,6.57,916966
02-12-1998,6.48,6.63,6.22,6.57,713764
02-13-1998,6.57,6.81,6.51,6.66,299889
02-17-1998,7.16,7.16,6.69,6.69,1118040
02-18-1998,6.72,6.81,6.37,6.46,412147
02-19-1998,6.51,6.51,6.22,6.40,545062
02-20-1998,6.43,6.54,6.40,6.43,559332
02-23-1998,6.43,6.57,6.34,6.48,415765
02-24-1998,6.48,6.57,6.43,6.46,190199
02-25-1998,6.51,6.51,6.34,6.40,348244
02-26-1998,6.40,6.40,5.93,6.04,688841
02-27-1998,6.04,6.22,6.04,6.13,136091
03-02-1998,6.04,6.13,5.99,6.04,176348
03-03-1998,6.10,6.10,5.93,6.04,102012
03-04-1998,6.04,6.04,5.75,5.93,292438
03-05-1998,5.90,5.90,5.52,5.63,313952
03-06-1998,5.63,5.63,5.16,5.46,267094
03-09-1998,5.46,5.52,5.16,5.28,411080
03-10-1998,5.40,5.72,5.28,5.66,339084
03-11-1998,5.75,5.81,5.46,5.57,146528
03-12-1998,5.69,5.69,5.34,5.57,83905
03-13-1998,5.63,5.72,5.40,5.46,129275
03-16-1998,5.46,5.52,5.05,5.46,259422
03-17-1998,5.40,5.69,5.34,5.69,214473
03-18-1998,5.60,5.93,5.46,5.93,178692
03-19-1998,5.87,6.16,5.84,6.04,111808
03-20-1998,5.99,6.10,5.87,6.07,116708
03-23-1998,6.04,6.04,5.80,5.87,193180
03-24-1998,5.87,5.93,5.81,5.81,102651
03-25-1998,5.87,5.96,5.57,5.57,33212
03-26-1998,5.69,6.34,5.63,6.04,122028
03-27-1998,6.22,6.22,5.93,6.16,105205
03-30-1998,6.04,6.16,5.99,6.10,89233
03-31-1998,6.13,6.46,6.13,6.22,180613
04-01-1998,6.16,6.69,6.16,6.34,258144
04-02-1998,6.28,6.40,6.04,6.16,256652
04-03-1998,6.16,6.46,6.10,6.40,351863
04-06-1998,6.40,6.69,6.40,6.51,302878
04-07-1998,6.51,6.57,6.28,6.34,256013
04-08-1998,6.34,6.46,6.22,6.34,113726
04-09-1998,6.34,6.46,6.34,6.46,128849
04-13-1998,6.40,6.46,6.22,6.46,200206
04-14-1998,6.34,6.66,6.34,6.57,349525
04-15-1998,6.69,6.81,6.57,6.75,313522
04-16-1998,6.63,6.75,6.51,6.57,95835
04-17-1998,6.63,6.69,6.57,6.57,57706
04-20-1998,6.51,6.57,6.28,6.40,147168
04-21-1998,6.46,6.57,6.40,6.40,169748
04-22-1998,6.51,6.57,6.22,6.57,227044
04-23-1998,6.90,7.16,6.04,6.43,732717
04-24-1998,6.46,6.57,6.34,6.46,176773
04-27-1998,6.40,6.46,5.87,6.04,254522
04-28-1998,5.99,6.10,5.63,6.07,226618
04-29-1998,6.16,6.16,5.87,5.87,40452
04-30-1998,5.99,6.40,5.99,6.40,188705
05-01-1998,6.34,6.34,6.22,6.34,56214
05-04-1998,6.34,6.40,6.16,6.16,98179
05-05-1998,6.16,6.28,6.10,6.10,55363
05-06-1998,6.22,6.22,5.99,6.04,37046
05-07-1998,6.10,6.10,5.99,5.99,57064
05-08-1998,5.99,6.22,5.90,5.99,41943
05-11-1998,6.04,6.04,5.63,5.63,132470
05-12-1998,5.81,5.87,5.69,5.81,174434
05-13-1998,5.69,5.81,5.63,5.69,81988
05-14-1998,5.63,5.75,5.57,5.66,64099
05-15-1998,5.75,5.75,5.34,5.52,148021
05-18-1998,5.52,5.57,5.40,5.40,100733
05-19-1998,5.57,5.57,5.37,5.46,165702
05-20-1998,5.46,5.46,4.99,5.11,231307
05-21-1998,5.16,5.28,5.05,5.22,324174
05-22-1998,5.22,5.34,5.19,5.22,123312
05-26-1998,5.22,5.22,4.87,4.87,266877
05-27-1998,4.87,4.93,4.58,4.81,177202
05-28-1998,4.93,4.99,4.81,4.93,26395
05-29-1998,4.99,5.22,4.93,5.22,565083
06-01-1998,5.22,5.22,4.87,4.93,47055
06-02-1998,4.93,5.16,4.87,4.93,127570
06-03-1998,4.93,5.16,4.87,5.05,63245
06-04-1998,4.93,5.05,4.81,4.93,33425
06-05-1998,5.05,5.05,4.93,5.05,76878
06-08-1998,5.05,5.05,4.34,4.34,346970
06-09-1998,4.28,4.31,3.99,4.23,341004
06-10-1998,4.26,4.28,3.99,4.23,187851
06-11-1998,4.28,4.28,3.99,4.11,148233
06-12-1998,4.28,4.28,3.99,4.08,73890
06-15-1998,3.93,4.17,3.87,3.93,279444
06-16-1998,3.93,4.05,3.90,3.93,486911
06-17-1998,3.93,3.99,3.76,3.99,613434
06-18-1998,3.99,4.05,3.87,3.99,303086
06-19-1998,3.93,4.05,3.93,3.99,55578
06-22-1998,3.99,3.99,3.76,3.81,309904
06-23-1998,3.84,3.96,3.79,3.90,568278
06-24-1998,3.99,4.28,3.96,4.08,418747
06-25-1998,4.17,4.23,4.11,4.14,216181
06-26-1998,4.28,4.40,4.17,4.40,58344
06-29-1998,4.46,4.58,4.40,4.40,152921
06-30-1998,4.40,4.43,3.99,4.28,552942
07-01-1998,4.17,4.52,4.08,4.28,591708
07-02-1998,4.26,4.26,3.99,4.11,637078
07-06-1998,4.11,4.23,4.05,4.11,441542
07-07-1998,4.08,4.11,4.05,4.05,408737
07-08-1998,4.11,4.93,4.11,4.61,986406
07-09-1998,4.75,5.16,4.72,5.11,598098
07-10-1998,5.11,5.22,4.96,5.16,410016
07-13-1998,5.22,5.28,4.93,4.93,192538
07-14-1998,4.99,5.22,4.99,5.19,157816
07-15-1998,5.11,5.22,5.05,5.16,130768
07-16-1998,5.16,5.16,4.99,5.11,90725
07-17-1998,5.11,5.22,5.05,5.11,89652
07-20-1998,5.13,5.16,4.87,5.02,176990
07-21-1998,5.02,5.05,4.81,4.93,182527
07-22-1998,4.87,5.05,4.69,4.99,161012
07-23-1998,5.05,5.11,4.40,4.52,481799
07-24-1998,4.46,4.69,4.17,4.46,359538
07-27-1998,4.46,4.81,4.34,4.58,202126
07-28-1998,4.58,4.58,4.17,4.23,300318
07-29-1998,4.23,4.46,4.14,4.46,198499
07-30-1998,4.46,4.58,4.28,4.34,71764
07-31-1998,4.34,4.40,3.84,4.11,558479
08-03-1998,3.99,4.11,3.79,3.99,348034
08-04-1998,4.17,4.34,4.05,4.11,976824
08-05-1998,4.23,4.46,4.17,4.20,765949
08-06-1998,4.28,4.52,4.23,4.49,554007
08-07-1998,4.64,4.99,4.58,4.87,769143
08-10-1998,4.93,5.08,4.87,4.90,332696
08-11-1998,4.75,4.87,4.58,4.69,445587
08-12-1998,4.69,5.22,4.58,5.16,1120391
08-13-1998,5.22,5.49,5.16,5.22,685431
08-14-1998,5.22,5.46,5.16,5.34,312034
08-17-1998,5.28,5.34,4.93,5.25,202552
08-18-1998,5.46,5.57,5.11,5.22,310115
08-19-1998,5.22,5.52,5.22,5.46,1445860
08-20-1998,5.52,5.52,5.28,5.34,297760
08-21-1998,5.34,5.40,4.99,5.22,430465
08-24-1998,5.22,5.46,5.22,5.34,472640
08-25-1998,5.34,5.40,5.11,5.16,421094
08-26-1998,5.16,5.16,4.81,4.87,158881
08-27-1998,4.81,4.87,4.52,4.64,253244
08-28-1998,4.69,4.69,4.58,4.61,101372
08-31-1998,4.61,4.64,4.17,4.28,433659
09-01-1998,4.08,4.11,3.64,3.99,394465
09-02-1998,4.23,4.69,4.11,4.52,1162132
09-03-1998,4.46,4.52,4.34,4.43,445587
09-04-1998,4.46,4.46,4.37,4.46,187639
09-08-1998,4.46,4.69,4.46,4.64,269220
09-09-1998,4.52,4.64,4.34,4.40,192966
09-10-1998,4.23,4.40,4.17,4.34,67929
09-11-1998,4.46,4.58,4.34,4.58,56214
09-14-1998,4.58,4.58,4.40,4.49,90506
09-15-1998,4.75,4.87,4.58,4.69,288392
09-16-1998,4.75,4.99,4.69,4.93,387012
09-17-1998,4.81,4.93,4.81,4.90,99456
09-18-1998,4.81,5.05,4.75,5.05,99238
09-21-1998,4.81,5.28,4.81,5.05,97964
09-22-1998,5.31,5.57,4.99,5.49,448355
09-23-1998,5.52,5.75,5.40,5.63,470511
09-24-1998,5.69,5.81,5.52,5.57,494577
09-25-1998,5.57,5.81,5.16,5.63,1114208
09-28-1998,6.10,6.16,5.93,6.07,1477381
09-29-1998,6.10,6.28,5.99,6.22,1042640
09-30-1998,6.31,6.46,6.16,6.37,771271
10-01-1998,6.31,6.34,6.02,6.13,675843
10-02-1998,6.10,6.16,5.87,5.87,288392
10-05-1998,5.75,5.81,4.99,5.40,540377
10-06-1998,5.52,6.28,5.34,6.10,605340
10-07-1998,5.99,6.10,5.43,5.52,449635
10-08-1998,5.22,5.28,4.93,5.28,413848
10-09-1998,5.43,5.52,5.34,5.40,228323
10-12-1998,5.63,6.22,5.63,6.16,856475
10-13-1998,6.04,6.16,5.81,5.90,400857
10-14-1998,5.87,5.96,5.57,5.60,143121
10-15-1998,5.60,5.99,5.57,5.99,354637
10-16-1998,5.93,6.16,5.72,5.87,471358
10-19-1998,5.87,6.10,5.57,6.10,284133
10-20-1998,6.16,6.60,6.16,6.57,1986253
10-21-1998,6.57,7.04,6.51,6.92,2921131
10-22-1998,7.19,7.25,6.75,7.07,4543163
10-23-1998,7.10,7.28,6.87,7.22,3257039
10-26-1998,7.45,8.22,7.39,8.10,3725648
10-27-1998,8.25,8.27,7.69,7.75,2802908
10-28-1998,7.63,7.63,7.45,7.51,1723829
10-29-1998,7.51,7.86,7.48,7.75,1090566
10-30-1998,7.81,7.83,7.45,7.51,634522
11-02-1998,7.54,7.63,7.39,7.51,1361723
11-03-1998,7.57,7.86,7.51,7.75,1398356
11-04-1998,7.81,8.69,7.81,8.63,1549380
11-05-1998,8.63,8.74,8.33,8.51,1608380
11-06-1998,8.63,8.63,7.92,7.98,471358
11-09-1998,8.16,8.27,7.98,8.16,860734
11-10-1998,8.22,8.27,7.63,7.83,579567
11-11-1998,7.98,8.51,7.92,8.51,1904033
11-12-1998,8.27,9.27,8.27,8.92,2016283
11-13-1998,8.80,9.80,8.74,9.45,1883796
11-16-1998,9.74,10.45,9.62,9.68,1907440
11-17-1998,9.68,10.74,9.45,10.33,1507841
11-18-1998,10.92,10.97,10.33,10.74,611944
11-19-1998,9.86,10.39,9.33,10.03,1240734
11-20-1998,9.86,9.92,9.39,9.80,730378
11-23-1998,9.74,10.68,9.27,10.48,736553
11-24-1998,10.27,11.21,10.27,10.62,1095466
