Date,Open,High,Low,Close,Volume
03-18-2013,19.32,19.37,19.31,19.34,910565
03-19-2013,19.34,19.36,19.28,19.30,699106
03-20-2013,19.31,19.31,19.18,19.31,252900
03-21-2013,19.31,19.33,19.28,19.33,332183
03-22-2013,19.31,19.36,19.31,19.33,238747
03-25-2013,19.32,19.36,19.29,19.36,950829
03-26-2013,19.36,19.40,19.35,19.38,393930
03-27-2013,19.36,19.40,19.35,19.36,398399
03-28-2013,19.38,19.49,19.38,19.49,650294
04-01-2013,19.49,19.49,19.40,19.40,372686
04-02-2013,19.41,19.50,19.41,19.47,408629
04-03-2013,19.47,19.51,19.43,19.46,296701
04-04-2013,19.47,19.54,19.46,19.54,286852
04-05-2013,19.50,19.55,19.47,19.55,289534
04-08-2013,19.58,19.62,19.52,19.59,613452
04-09-2013,19.59,19.69,19.57,19.65,350422
04-10-2013,19.65,19.71,19.61,19.65,187778
04-11-2013,19.67,19.69,19.61,19.62,198113
04-12-2013,19.61,19.73,19.58,19.69,201848
04-15-2013,19.70,19.70,19.60,19.70,250777
04-16-2013,19.72,19.82,19.66,19.67,486885
04-17-2013,19.67,19.78,19.67,19.77,448180
04-18-2013,19.73,19.86,19.71,19.82,926925
04-19-2013,19.84,19.97,19.79,19.92,1006213
04-22-2013,19.82,19.89,19.81,19.89,276935
04-23-2013,19.89,19.97,19.83,19.94,266191
04-24-2013,19.97,20.02,19.91,19.98,442087
04-25-2013,19.98,19.98,19.91,19.94,269152
04-26-2013,19.98,20.02,19.96,20.02,74957
04-29-2013,19.97,20.09,19.97,20.00,276494
04-30-2013,20.04,20.28,19.95,20.28,139039
05-01-2013,20.20,20.47,20.01,20.47,235438
05-02-2013,20.38,20.39,20.15,20.16,139331
05-03-2013,20.17,20.23,20.04,20.07,84755
05-06-2013,20.14,20.14,20.04,20.06,39701
05-07-2013,20.10,20.18,20.04,20.16,151228
05-08-2013,20.10,20.26,20.10,20.17,46775
05-09-2013,20.13,20.26,20.11,20.26,62827
05-10-2013,20.20,20.24,20.10,20.11,86826
05-13-2013,20.13,20.13,19.89,19.92,58214
05-14-2013,19.92,20.00,19.74,19.82,120985
05-15-2013,19.79,19.82,19.72,19.80,82540
05-16-2013,19.85,20.01,19.75,19.96,60343
05-17-2013,20.01,20.14,19.86,19.89,42298
05-20-2013,19.98,20.02,19.88,20.02,31691
05-21-2013,19.99,20.08,19.94,20.06,51118
05-22-2013,20.06,20.13,19.89,20.02,72840
05-23-2013,20.02,20.10,19.90,19.91,44662
05-24-2013,19.91,20.10,19.89,20.06,31163
05-28-2013,20.16,20.16,19.98,20.03,44352
05-29-2013,20.00,20.00,19.62,19.66,253331
05-30-2013,19.63,19.83,19.63,19.71,94242
05-31-2013,19.77,19.77,19.45,19.72,88965
06-03-2013,19.70,19.70,19.29,19.37,147900
06-04-2013,19.35,19.58,19.32,19.38,133627
06-05-2013,19.36,19.41,19.21,19.34,71295
06-06-2013,19.27,19.40,19.27,19.38,148782
06-07-2013,19.37,19.56,19.37,19.42,79718
06-10-2013,19.40,19.48,19.29,19.29,169744
06-11-2013,19.31,19.31,18.80,18.92,193735
06-12-2013,18.93,19.21,18.50,18.86,151561
06-13-2013,18.74,19.27,18.49,19.20,223317
06-14-2013,19.19,19.30,19.11,19.30,79951
06-17-2013,19.30,19.36,19.21,19.35,73609
06-18-2013,19.18,19.36,19.18,19.35,105326
06-19-2013,19.28,19.34,19.20,19.22,72449
06-20-2013,19.09,19.18,18.90,18.97,84407
06-21-2013,19.08,19.08,18.75,18.75,107412
06-24-2013,18.74,18.74,18.09,18.25,89663
06-25-2013,18.38,18.50,18.11,18.13,66065
06-26-2013,18.26,18.71,18.21,18.33,166144
06-27-2013,18.49,18.64,18.46,18.47,207221
06-28-2013,18.47,18.90,18.39,18.61,85659
07-01-2013,18.63,18.94,18.63,18.71,34689
07-02-2013,18.91,18.92,18.70,18.82,53843
07-03-2013,18.82,18.82,18.70,18.78,30279
07-05-2013,18.74,18.74,18.39,18.42,23233
07-08-2013,18.47,18.53,18.18,18.25,47399
07-09-2013,18.39,18.42,18.17,18.28,60557
07-10-2013,18.60,18.63,18.38,18.51,140735
07-11-2013,18.61,18.81,18.47,18.67,117854
07-12-2013,18.64,18.70,18.36,18.53,82377
07-15-2013,18.54,18.67,18.38,18.43,59388
07-16-2013,18.46,18.63,18.42,18.48,97097
07-17-2013,18.63,18.80,18.55,18.65,177206
07-18-2013,18.74,18.81,18.69,18.71,45880
07-19-2013,18.78,18.94,18.66,18.94,42719
07-22-2013,18.97,19.07,18.79,18.97,54074
07-23-2013,19.04,19.19,18.94,19.19,41878
07-24-2013,19.01,19.20,18.90,18.90,31545
07-25-2013,19.12,19.22,18.98,19.02,64309
07-26-2013,19.10,19.22,18.87,18.98,30588
07-29-2013,19.06,19.14,18.58,18.58,57719
07-30-2013,18.68,18.80,18.11,18.20,85997
07-31-2013,18.11,18.19,17.77,18.18,81282
08-01-2013,18.08,18.50,17.99,18.01,79314
08-02-2013,18.16,18.35,18.09,18.21,66520
08-05-2013,18.30,18.38,18.23,18.29,63958
08-06-2013,18.30,18.39,18.07,18.32,209584
08-07-2013,18.31,18.38,18.15,18.28,63570
08-08-2013,18.33,18.35,18.01,18.05,66822
08-09-2013,17.91,18.09,17.83,18.09,43398
