Date,Open,High,Low,Close,Volume
07-27-2004,16.31,16.37,16.31,16.37,1798
07-28-2004,16.31,16.31,16.31,16.31,1191
07-29-2004,16.24,16.24,16.24,16.24,733
07-30-2004,16.24,16.24,16.24,16.24,0
08-02-2004,16.17,16.17,16.17,16.17,733
08-03-2004,16.17,16.17,16.17,16.17,0
08-04-2004,16.02,16.02,15.81,15.81,6050
08-05-2004,15.81,15.81,15.81,15.81,0
08-06-2004,15.81,15.81,15.81,15.81,0
08-09-2004,15.81,15.81,15.81,15.81,0
08-10-2004,15.81,15.81,15.81,15.81,430
08-11-2004,15.81,15.81,15.81,15.81,0
08-12-2004,15.75,15.75,15.75,15.75,279
08-13-2004,15.75,15.75,15.75,15.75,1344
08-16-2004,15.75,15.75,15.75,15.75,0
08-17-2004,15.61,15.61,15.61,15.61,2407
08-18-2004,15.61,15.61,15.61,15.61,0
08-19-2004,15.61,15.61,15.61,15.61,0
08-20-2004,15.55,15.55,14.89,15.15,15306
08-23-2004,15.02,15.02,14.16,14.66,15454
08-24-2004,14.61,14.61,14.60,14.60,6050
08-25-2004,14.82,15.15,14.82,15.15,6960
08-26-2004,15.15,15.15,15.15,15.15,279
08-27-2004,15.15,15.15,15.15,15.15,0
08-30-2004,15.28,15.81,15.28,15.81,23657
08-31-2004,15.75,15.75,15.48,15.48,3768
09-01-2004,15.48,15.65,15.42,15.65,7413
09-02-2004,15.55,15.55,15.55,15.55,733
09-03-2004,15.55,15.55,15.55,15.55,0
09-07-2004,15.65,15.65,15.65,15.65,1498
09-08-2004,15.65,15.65,15.65,15.65,8780
09-09-2004,15.52,15.52,15.28,15.28,3014
09-10-2004,15.38,15.68,15.38,15.65,5593
09-13-2004,15.65,15.65,15.65,15.65,0
09-14-2004,15.48,15.48,15.28,15.48,3315
09-15-2004,15.32,15.32,14.63,14.82,17433
09-16-2004,14.86,14.86,14.86,14.86,279
09-17-2004,14.82,15.09,14.82,15.09,3768
09-20-2004,15.19,15.38,15.19,15.28,4681
09-21-2004,15.32,15.32,15.22,15.22,31549
