Date,Open,High,Low,Close,Volume
10-30-1992,4.13,4.43,4.13,4.29,0
11-02-1992,4.35,4.58,4.35,4.52,0
11-03-1992,4.46,4.52,4.40,4.43,0
11-04-1992,4.43,4.49,4.40,4.43,0
11-05-1992,4.43,4.63,4.43,4.63,0
11-06-1992,4.60,4.63,4.55,4.60,0
11-09-1992,4.61,4.69,4.61,4.69,0
11-10-1992,4.72,4.80,4.63,4.66,0
11-11-1992,4.68,4.77,4.68,4.77,0
11-12-1992,4.77,5.03,4.74,5.00,0
11-13-1992,5.03,5.65,5.03,5.43,0
11-16-1992,5.40,5.74,5.17,5.20,0
11-17-1992,5.23,5.49,5.20,5.26,0
11-18-1992,5.22,5.31,5.16,5.28,0
11-19-1992,5.29,5.29,5.26,5.26,0
11-20-1992,5.23,5.48,5.23,5.40,0
11-23-1992,5.42,5.65,5.31,5.65,0
11-24-1992,5.63,5.63,5.60,5.60,0
11-25-1992,5.59,5.62,5.54,5.54,0
11-27-1992,5.60,5.63,5.57,5.60,0
11-30-1992,5.54,5.60,5.54,5.60,0
12-01-1992,5.57,5.59,5.54,5.54,0
12-02-1992,5.49,5.49,5.26,5.26,0
12-03-1992,5.26,5.26,5.09,5.20,0
12-04-1992,5.20,5.51,5.20,5.40,0
12-07-1992,5.46,5.60,5.43,5.60,0
12-08-1992,5.62,5.65,5.45,5.48,0
12-09-1992,5.42,5.42,5.34,5.34,0
12-10-1992,5.36,5.39,5.25,5.28,0
12-11-1992,5.25,5.28,5.25,5.28,0
12-14-1992,5.29,5.29,5.14,5.20,0
12-15-1992,5.23,5.23,5.09,5.09,0
12-16-1992,5.08,5.08,4.89,4.97,0
12-17-1992,5.03,5.32,5.03,5.26,0
12-18-1992,5.31,5.40,5.20,5.20,0
12-21-1992,5.15,5.15,4.92,4.92,0
12-22-1992,4.97,5.45,4.97,5.45,0
12-23-1992,5.51,5.68,5.48,5.65,0
12-24-1992,5.59,5.76,5.59,5.65,0
12-28-1992,5.65,5.76,5.54,5.54,0
12-29-1992,5.54,5.71,5.54,5.65,0
12-30-1992,5.68,5.90,5.65,5.82,0
12-31-1992,5.88,5.99,5.88,5.94,0
01-04-1993,5.87,5.87,5.70,5.79,0
01-05-1993,5.82,5.85,5.71,5.77,0
01-06-1993,5.71,5.77,5.71,5.77,0
01-07-1993,5.76,5.79,5.48,5.48,0
01-08-1993,5.51,5.51,5.23,5.34,0
01-11-1993,5.31,5.70,5.31,5.62,0
01-12-1993,5.62,5.62,5.48,5.51,0
01-13-1993,5.45,5.71,5.34,5.65,0
01-14-1993,5.71,5.93,5.71,5.88,0
01-15-1993,5.90,6.24,5.90,6.16,0
01-18-1993,6.10,6.52,6.10,6.30,0
01-19-1993,6.30,6.30,6.13,6.28,0
01-20-1993,6.27,6.44,6.21,6.38,0
01-21-1993,6.44,6.58,6.35,6.46,0
01-22-1993,6.44,6.44,6.21,6.30,0
01-25-1993,6.27,6.46,6.27,6.46,0
01-26-1993,6.50,6.61,6.50,6.52,0
01-27-1993,6.56,6.61,6.39,6.41,0
01-28-1993,6.47,6.50,6.22,6.28,0
01-29-1993,6.28,6.28,5.94,6.28,0
02-01-1993,6.22,6.25,6.08,6.08,0
02-02-1993,6.12,6.24,6.06,6.24,0
02-03-1993,6.30,6.44,6.30,6.35,0
02-04-1993,6.38,6.58,6.38,6.55,0
02-05-1993,6.49,6.55,6.41,6.43,0
02-08-1993,6.44,6.44,6.35,6.35,0
02-09-1993,6.30,6.35,6.27,6.30,0
02-10-1993,6.30,6.36,6.27,6.32,0
02-11-1993,6.32,6.46,6.32,6.46,0
02-12-1993,6.58,6.66,6.44,6.46,0
02-16-1993,6.44,6.44,6.21,6.27,0
02-17-1993,6.24,6.24,6.10,6.10,0
02-18-1993,6.12,6.12,6.04,6.07,0
02-19-1993,6.10,6.18,5.96,6.13,0
02-22-1993,6.13,6.19,6.13,6.19,0
02-23-1993,6.18,6.27,6.12,6.27,0
02-24-1993,6.26,6.26,6.18,6.24,0
02-25-1993,6.29,6.29,6.27,6.27,0
02-26-1993,6.26,6.43,6.26,6.43,0
03-01-1993,6.49,6.97,6.49,6.97,0
03-02-1993,6.98,6.98,6.75,6.75,0
03-03-1993,6.77,6.80,6.74,6.77,0
03-04-1993,6.72,6.83,6.72,6.77,0
03-05-1993,6.75,6.92,6.75,6.86,0
03-08-1993,6.92,7.06,6.92,7.06,0
03-09-1993,7.06,7.20,6.98,7.20,0
03-10-1993,7.32,7.52,7.32,7.32,0
03-11-1993,7.34,7.37,7.20,7.20,0
03-12-1993,6.98,7.03,6.89,6.92,0
03-15-1993,6.86,6.86,6.63,6.77,0
03-16-1993,6.83,7.00,6.83,7.00,0
03-17-1993,6.97,6.97,6.77,6.77,0
03-18-1993,6.84,6.95,6.81,6.92,0
03-19-1993,6.98,7.01,6.89,6.92,0
03-22-1993,6.86,6.89,6.83,6.83,0
03-23-1993,6.80,6.80,6.80,6.80,0
03-24-1993,6.81,6.81,6.67,6.69,0
03-25-1993,6.75,6.78,6.72,6.72,0
03-26-1993,6.72,6.72,6.67,6.69,0
03-29-1993,6.69,6.69,6.52,6.55,0
03-30-1993,6.61,6.72,6.61,6.63,0
03-31-1993,6.64,6.64,6.50,6.52,0
04-01-1993,6.52,6.55,6.47,6.49,0
04-02-1993,6.49,6.49,6.30,6.30,0
04-05-1993,6.24,6.26,6.12,6.24,0
04-06-1993,6.29,6.35,6.24,6.27,0
04-07-1993,6.26,6.26,6.21,6.24,0
04-08-1993,6.30,6.30,5.90,6.13,0
04-12-1993,6.12,6.12,6.07,6.07,0
04-13-1993,6.12,6.35,6.12,6.30,0
04-14-1993,6.29,6.29,6.24,6.24,0
04-15-1993,6.19,6.19,6.13,6.19,0
04-16-1993,6.24,6.24,6.13,6.19,0
04-19-1993,6.12,6.15,6.07,6.07,0
04-20-1993,6.13,6.13,5.93,6.02,0
04-21-1993,6.07,6.10,5.84,6.10,0
04-22-1993,6.07,6.18,5.99,5.99,0
04-23-1993,5.92,5.92,5.87,5.87,0
04-26-1993,5.90,5.90,5.62,5.65,0
04-27-1993,5.53,5.56,5.50,5.56,0
04-28-1993,5.50,5.50,5.24,5.47,0
04-29-1993,5.53,5.73,5.45,5.65,0
04-30-1993,5.65,5.68,5.62,5.65,0
05-03-1993,5.64,5.72,5.64,5.67,0
05-04-1993,5.72,5.84,5.72,5.84,0
05-05-1993,5.87,6.10,5.87,5.99,0
05-06-1993,5.99,6.01,5.96,5.96,0
05-07-1993,5.96,5.96,5.96,5.96,0
05-10-1993,5.95,5.98,5.86,5.98,0
05-11-1993,5.98,6.01,5.95,6.01,0
05-12-1993,6.01,6.12,6.01,6.04,0
05-13-1993,5.98,5.98,5.87,5.87,0
05-14-1993,5.81,5.84,5.81,5.81,0
05-17-1993,5.75,5.75,5.64,5.67,0
05-18-1993,5.63,5.66,5.52,5.52,0
05-19-1993,5.53,5.53,5.44,5.47,0
05-20-1993,5.49,5.87,5.49,5.81,0
05-21-1993,5.75,5.75,5.69,5.72,0
05-24-1993,5.72,5.78,5.72,5.78,0
05-25-1993,5.84,5.92,5.81,5.90,0
05-26-1993,6.01,6.09,5.98,6.01,0
05-27-1993,6.03,6.03,5.95,5.95,0
05-28-1993,5.92,5.92,5.86,5.92,0
06-01-1993,5.92,5.92,5.87,5.90,0
06-02-1993,5.89,5.89,5.84,5.87,0
06-03-1993,5.92,5.92,5.78,5.81,0
06-04-1993,5.75,5.75,5.67,5.70,0
06-07-1993,5.67,5.67,5.61,5.64,0
06-08-1993,5.58,5.58,5.41,5.41,0
06-09-1993,5.47,5.53,5.47,5.47,0
06-10-1993,5.47,5.47,5.24,5.27,0
06-11-1993,5.39,5.39,5.30,5.30,0
06-14-1993,5.30,5.33,5.30,5.30,0
06-15-1993,5.36,5.53,5.36,5.47,0
06-16-1993,5.52,5.61,5.46,5.58,0
06-17-1993,5.92,5.92,5.78,5.87,0
06-18-1993,5.87,5.98,5.87,5.90,0
06-21-1993,5.86,5.86,5.69,5.72,0
06-22-1993,5.75,5.92,5.75,5.92,0
06-23-1993,5.92,5.95,5.84,5.87,0
06-24-1993,5.83,6.03,5.83,6.01,0
06-25-1993,5.97,5.97,5.92,5.95,0
06-28-1993,6.01,6.24,6.01,6.24,0
06-29-1993,6.32,6.49,6.18,6.21,0
06-30-1993,6.21,6.43,6.18,6.43,0
07-01-1993,6.38,6.55,6.38,6.46,0
07-02-1993,6.46,6.57,6.46,6.57,0
07-06-1993,6.52,6.54,6.49,6.54,0
07-07-1993,6.55,6.58,6.46,6.46,0
07-08-1993,6.40,6.43,6.09,6.15,0
07-09-1993,6.18,6.24,6.04,6.24,0
07-12-1993,6.20,6.32,6.20,6.32,0
07-13-1993,6.35,6.43,6.35,6.40,0
07-14-1993,6.49,6.52,6.37,6.37,0
07-15-1993,6.40,6.46,6.29,6.34,0
07-16-1993,6.35,6.35,6.21,6.27,0
07-19-1993,6.24,6.29,6.24,6.27,0
07-20-1993,6.32,6.32,6.18,6.21,0
07-21-1993,6.21,6.21,6.07,6.07,0
07-22-1993,6.12,6.26,6.12,6.15,0
07-23-1993,6.15,6.18,5.93,6.10,0
07-26-1993,6.06,6.14,6.06,6.12,0
07-27-1993,6.12,6.14,6.03,6.12,0
07-28-1993,6.12,6.12,6.04,6.10,0
07-29-1993,6.09,6.18,6.09,6.18,0
07-30-1993,6.15,6.24,6.15,6.24,0
08-02-1993,6.24,6.32,6.24,6.30,0
08-03-1993,6.32,6.37,6.29,6.37,0
08-04-1993,6.43,6.57,6.43,6.51,0
08-05-1993,6.55,6.55,6.40,6.40,0
08-06-1993,6.43,6.46,6.38,6.40,0
08-09-1993,6.45,6.68,6.45,6.62,0
08-10-1993,6.69,6.86,6.63,6.80,0
08-11-1993,6.80,6.83,6.77,6.80,0
08-12-1993,6.91,6.91,6.69,6.74,0
08-13-1993,6.71,6.80,6.68,6.68,0
08-16-1993,6.71,6.71,6.62,6.62,0
08-17-1993,6.65,6.65,6.45,6.45,0
08-18-1993,6.51,6.51,6.46,6.51,0
08-19-1993,6.55,6.57,6.55,6.57,0
08-20-1993,6.52,6.52,6.34,6.37,0
08-23-1993,6.40,6.40,6.37,6.37,0
08-24-1993,6.43,6.54,6.40,6.54,0
08-25-1993,6.60,6.62,6.57,6.62,0
08-26-1993,6.60,6.60,6.55,6.57,0
08-27-1993,6.60,6.66,6.54,6.54,0
08-30-1993,6.57,6.57,6.54,6.54,0
08-31-1993,6.57,6.68,6.57,6.68,0
09-01-1993,6.63,6.66,6.58,6.60,0
09-02-1993,6.60,6.62,6.60,6.62,0
09-03-1993,6.63,6.63,6.60,6.60,0
09-07-1993,6.60,6.63,6.60,6.60,0
09-08-1993,6.63,6.63,6.52,6.54,0
09-09-1993,6.60,6.68,6.60,6.68,0
09-10-1993,6.68,6.88,6.68,6.85,0
09-13-1993,7.03,7.17,7.03,7.14,0
09-14-1993,7.20,7.34,7.17,7.20,0
09-15-1993,7.23,7.37,7.20,7.37,0
09-16-1993,7.34,7.37,7.34,7.34,0
09-17-1993,7.31,7.34,7.25,7.28,0
09-20-1993,7.32,7.32,7.23,7.23,0
09-21-1993,7.23,7.23,7.14,7.14,0
09-22-1993,7.23,7.23,7.17,7.23,0
09-23-1993,7.23,7.23,7.14,7.20,0
09-24-1993,7.25,7.31,7.25,7.28,0
09-27-1993,7.26,7.37,7.26,7.37,0
09-28-1993,7.37,7.60,7.37,7.54,0
09-29-1993,7.52,7.52,7.46,7.46,0
09-30-1993,7.43,7.51,7.40,7.51,0
10-01-1993,7.54,7.63,7.51,7.57,0
10-04-1993,7.54,7.57,7.54,7.57,0
10-05-1993,7.57,7.60,7.48,7.51,0
10-06-1993,7.51,7.60,7.51,7.60,0
10-07-1993,7.60,7.66,7.55,7.66,0
10-08-1993,7.66,7.72,7.66,7.69,0
10-11-1993,7.66,7.69,7.60,7.60,0
10-12-1993,7.60,7.60,7.54,7.60,0
10-13-1993,7.60,7.63,7.55,7.63,0
10-14-1993,7.60,7.60,7.60,7.60,0
10-15-1993,7.63,7.66,7.57,7.63,0
10-18-1993,7.63,7.63,7.49,7.49,0
10-19-1993,7.55,7.60,7.40,7.43,0
10-20-1993,7.37,7.37,7.20,7.20,0
10-21-1993,7.55,7.72,7.52,7.66,0
10-22-1993,7.62,8.02,7.62,7.94,0
10-25-1993,7.94,7.94,7.86,7.89,0
10-26-1993,7.89,7.91,7.83,7.86,0
10-27-1993,7.80,7.82,7.71,7.74,0
10-28-1993,7.71,7.74,7.71,7.71,0
10-29-1993,7.71,7.74,7.62,7.74,0
11-01-1993,7.68,7.68,7.51,7.51,0
11-02-1993,7.57,7.60,7.51,7.54,0
11-03-1993,7.53,7.53,7.28,7.45,0
11-04-1993,7.49,7.49,7.11,7.11,0
11-05-1993,7.14,7.14,6.85,7.05,0
11-08-1993,7.11,7.25,7.11,7.25,0
11-09-1993,7.31,7.42,7.31,7.31,0
11-10-1993,7.25,7.31,7.25,7.28,0
11-11-1993,7.28,7.28,7.25,7.25,0
11-12-1993,7.31,7.31,7.25,7.31,0
11-15-1993,7.31,7.31,7.13,7.16,0
11-16-1993,7.17,7.28,7.17,7.28,0
11-17-1993,7.28,7.28,7.16,7.22,0
11-18-1993,7.25,7.28,7.20,7.28,0
11-19-1993,7.19,7.28,7.16,7.22,0
11-22-1993,7.19,7.19,6.99,6.99,0
11-23-1993,6.99,6.99,6.71,6.76,0
11-24-1993,6.82,6.85,6.82,6.82,0
11-26-1993,6.85,6.88,6.85,6.88,0
11-29-1993,6.85,7.05,6.85,7.05,0
11-30-1993,6.99,6.99,6.93,6.96,0
12-01-1993,6.96,7.11,6.96,6.99,0
12-02-1993,7.02,7.05,6.96,6.96,0
12-03-1993,6.96,6.99,6.93,6.96,0
12-06-1993,7.02,7.02,6.91,6.99,0
12-07-1993,6.99,6.99,6.93,6.96,0
12-08-1993,6.99,6.99,6.88,6.96,0
12-09-1993,6.96,6.96,6.85,6.96,0
12-10-1993,6.93,6.93,6.87,6.93,0
12-13-1993,6.94,6.94,6.71,6.82,0
12-14-1993,6.79,6.82,6.79,6.82,0
12-15-1993,6.76,6.76,6.70,6.70,0
12-16-1993,6.71,6.71,6.53,6.53,0
12-17-1993,6.53,6.73,6.53,6.67,0
12-20-1993,6.65,6.68,6.65,6.65,0
12-21-1993,6.62,6.74,6.62,6.65,0
12-22-1993,6.65,6.71,6.53,6.53,0
12-23-1993,6.51,6.62,6.51,6.62,0
12-27-1993,6.56,6.62,6.54,6.56,0
12-28-1993,6.56,6.56,6.47,6.50,0
12-29-1993,6.50,6.50,6.45,6.47,0
12-30-1993,6.48,6.48,6.37,6.42,0
12-31-1993,6.45,6.45,6.28,6.36,0
01-03-1994,6.77,6.77,6.68,6.68,219911
01-04-1994,6.68,6.68,6.62,6.65,115300
01-05-1994,6.65,6.71,6.62,6.65,374366
01-06-1994,6.68,6.68,6.59,6.62,102117
01-07-1994,6.56,6.83,6.53,6.80,825365
01-10-1994,6.74,7.19,6.74,7.19,635899
01-11-1994,7.16,7.41,7.16,7.31,395364
01-12-1994,7.25,7.34,7.22,7.28,89761
01-13-1994,7.31,7.34,7.28,7.28,42398
01-14-1994,7.31,7.41,7.28,7.31,97174
01-17-1994,7.31,7.31,7.19,7.28,52690
01-18-1994,7.28,7.28,7.22,7.22,177078
01-19-1994,7.19,7.19,7.04,7.10,189026
01-20-1994,7.13,7.22,7.10,7.13,57222
01-21-1994,7.07,7.13,7.01,7.13,556408
01-24-1994,7.04,7.04,6.98,7.01,271809
01-25-1994,6.98,7.01,6.95,7.01,186962
01-26-1994,7.01,7.10,7.01,7.10,304756
01-27-1994,7.47,7.47,7.28,7.28,1001643
01-28-1994,7.31,7.44,7.31,7.31,238036
01-31-1994,7.28,7.41,7.28,7.31,309695
02-01-1994,7.28,7.31,7.25,7.28,498337
02-02-1994,7.25,7.41,7.22,7.41,409786
02-03-1994,7.41,7.41,7.31,7.38,208794
02-04-1994,7.38,7.41,7.16,7.22,251628
02-07-1994,7.16,7.25,7.16,7.25,78639
02-08-1994,7.22,7.34,7.22,7.31,79463
02-09-1994,7.31,7.34,7.31,7.34,18916
02-10-1994,7.38,7.41,7.25,7.41,89347
02-11-1994,7.34,7.34,7.28,7.28,24273
02-14-1994,7.25,7.38,7.25,7.34,72046
02-15-1994,7.34,7.41,7.25,7.25,155247
02-16-1994,7.31,7.31,7.28,7.28,426666
02-17-1994,7.25,7.25,7.13,7.13,209616
02-18-1994,7.13,7.13,6.92,7.01,108707
02-22-1994,7.04,7.04,6.92,6.98,15212
02-23-1994,6.98,6.98,6.83,6.86,62576
02-24-1994,6.86,6.86,6.71,6.71,216613
02-25-1994,6.74,6.74,6.68,6.74,267278
02-28-1994,6.74,6.74,6.68,6.74,27570
03-01-1994,6.74,6.74,6.59,6.65,67521
03-02-1994,6.59,6.71,6.59,6.71,67521
03-03-1994,6.71,6.71,6.53,6.53,104589
03-04-1994,6.59,6.74,6.59,6.62,401132
03-07-1994,6.65,6.74,6.65,6.74,77402
03-08-1994,6.68,6.74,6.68,6.74,62164
03-09-1994,6.74,6.74,6.65,6.71,193554
03-10-1994,6.77,6.80,6.68,6.71,519341
03-11-1994,6.71,6.80,6.71,6.74,93468
03-14-1994,6.71,6.74,6.71,6.74,131772
03-15-1994,6.71,6.71,6.71,6.71,123533
03-16-1994,6.74,6.74,6.71,6.71,211262
03-17-1994,6.71,7.16,6.71,7.13,500393
03-18-1994,7.13,7.13,7.04,7.04,45688
03-21-1994,7.07,7.19,7.07,7.19,37865
03-22-1994,7.19,7.50,7.19,7.47,544052
03-23-1994,7.47,7.50,7.28,7.28,426666
03-24-1994,7.22,7.22,6.98,7.16,126004
03-25-1994,7.19,7.31,7.19,7.28,135478
03-28-1994,7.25,7.34,7.25,7.25,854604
03-29-1994,7.22,7.28,7.04,7.07,77402
