Date,Open,High,Low,Close,Volume
09-30-1999,21.25,24.50,13.50,13.75,13119600
10-01-1999,13.75,14.63,12.00,13.25,1942600
10-04-1999,13.88,15.75,12.81,14.66,1477000
10-05-1999,15.50,15.69,13.19,13.31,1812600
10-06-1999,13.88,14.44,12.97,13.34,548600
10-07-1999,13.91,13.94,12.94,13.25,748400
10-08-1999,13.31,15.63,12.63,15.47,1636400
10-11-1999,17.19,21.46,16.63,20.94,5350800
10-12-1999,22.38,24.00,20.50,20.94,4124600
10-13-1999,19.41,22.31,19.00,20.38,1380400
10-14-1999,21.00,21.75,19.13,20.50,1047600
10-15-1999,18.44,19.88,17.50,18.56,1180400
10-18-1999,19.31,20.00,15.81,17.84,1434800
10-19-1999,19.75,19.88,16.56,16.56,1082000
10-20-1999,17.25,18.28,15.81,18.13,1494600
10-21-1999,17.02,19.50,16.75,19.19,1261600
10-22-1999,20.06,22.25,19.47,20.44,1838000
10-25-1999,21.31,22.88,20.41,20.81,2317000
10-26-1999,21.50,22.13,20.31,20.38,1098200
10-27-1999,20.38,20.38,20.38,20.38,0
10-28-1999,20.38,20.38,20.38,20.38,0
10-29-1999,27.48,27.50,25.63,25.72,1170600
11-01-1999,26.22,32.25,26.13,31.50,4390600
11-02-1999,33.63,41.50,30.81,36.69,6741800
11-03-1999,41.38,43.50,37.75,40.00,4246200
11-04-1999,28.78,33.50,27.50,28.06,5994000
11-05-1999,29.16,29.50,23.50,24.56,4102200
11-08-1999,27.09,31.06,25.31,30.63,4289400
11-09-1999,29.88,30.00,26.06,28.53,2177400
11-10-1999,28.53,30.50,27.31,27.66,1336600
11-11-1999,28.69,29.75,27.03,27.13,681400
11-12-1999,27.44,27.94,25.50,25.91,696200
11-15-1999,25.91,26.38,24.69,24.91,716200
11-16-1999,25.25,25.50,24.06,25.06,1084800
11-17-1999,25.28,25.31,23.31,23.75,690800
11-18-1999,23.75,24.00,22.50,22.94,652600
11-19-1999,22.88,24.25,22.78,23.75,669000
11-22-1999,24.38,26.41,24.38,25.44,1152400
11-23-1999,26.69,26.69,24.00,24.56,666400
11-24-1999,24.44,24.44,23.44,23.88,343000
11-26-1999,23.75,24.06,23.41,23.88,163200
11-29-1999,24.03,24.38,23.06,23.59,453000
11-30-1999,23.53,23.59,22.44,22.81,372000
12-01-1999,22.59,22.75,20.94,21.38,408400
12-02-1999,21.31,24.31,20.88,23.69,755200
12-03-1999,24.13,24.88,22.25,22.44,400400
12-06-1999,22.56,22.69,21.50,21.75,255600
12-07-1999,22.50,24.00,22.00,23.50,368000
12-08-1999,23.44,26.75,23.19,26.19,1338400
12-09-1999,27.25,27.75,23.50,25.16,730600
12-10-1999,26.88,27.25,25.22,25.38,902200
12-13-1999,26.25,26.28,23.50,23.97,661400
12-14-1999,24.72,25.31,23.50,24.47,402800
12-15-1999,24.44,25.25,23.25,24.00,309000
12-16-1999,24.19,24.50,22.56,24.00,296400
