Date,Open,High,Low,Close,Volume
05-03-2011,70.00,70.00,70.00,70.00,0
05-04-2011,97.50,120.00,90.00,90.05,18150392
05-05-2011,90.85,93.65,77.50,84.35,5718004
05-06-2011,86.15,87.05,80.55,84.00,1536410
05-09-2011,86.60,87.75,79.40,80.15,1736320
05-10-2011,78.40,78.50,72.55,73.75,3115098
05-11-2011,72.75,72.75,65.20,67.45,4068973
05-12-2011,66.95,69.90,62.75,63.00,2799085
05-13-2011,64.50,66.75,60.00,65.80,2742412
05-16-2011,66.25,67.85,61.50,63.00,1656852
05-17-2011,63.00,64.85,61.80,63.65,811135
05-18-2011,65.90,69.45,65.60,68.50,1870384
05-19-2011,70.00,74.00,68.35,68.75,3443542
05-20-2011,69.40,69.40,64.75,65.00,1244394
05-23-2011,62.40,63.40,61.50,62.00,932150
05-24-2011,63.30,65.23,61.00,61.30,850747
05-25-2011,61.35,63.40,61.00,61.75,786877
05-26-2011,62.45,63.45,61.30,63.45,579917
05-27-2011,64.85,65.75,64.00,65.00,837769
05-31-2011,66.30,66.75,63.10,64.25,960143
06-01-2011,64.25,64.60,61.55,62.00,723611
06-02-2011,62.95,65.90,62.05,65.04,597392
06-03-2011,63.75,66.10,63.00,63.45,809505
06-06-2011,64.50,64.65,60.60,61.70,667128
06-07-2011,62.00,63.50,60.50,60.85,582585
06-08-2011,60.65,61.35,52.00,52.55,2147090
06-09-2011,52.10,53.00,45.50,45.85,2349988
06-10-2011,45.75,48.35,44.00,46.75,1416790
06-13-2011,46.25,47.85,39.55,40.00,2104733
06-14-2011,41.85,44.30,41.10,41.35,1877836
06-15-2011,40.70,41.20,37.25,37.60,1552776
06-16-2011,39.25,40.20,33.85,33.90,2242519
06-17-2011,35.80,36.25,32.75,35.15,1775491
06-20-2011,35.85,40.35,34.75,38.00,2077978
06-21-2011,39.45,39.45,35.50,36.05,2776518
06-22-2011,35.95,37.70,34.30,34.40,1861578
06-23-2011,33.75,34.40,32.15,32.65,2453679
06-24-2011,33.30,33.35,30.65,31.15,1663460
06-27-2011,31.45,35.45,30.75,35.00,2432589
06-28-2011,36.20,39.75,34.55,38.00,3170595
06-29-2011,38.50,43.00,38.25,42.85,3231999
06-30-2011,44.55,46.50,43.50,44.25,3312411
07-01-2011,43.45,46.45,41.20,46.25,1634382
07-05-2011,48.25,50.95,46.75,49.70,1721840
07-06-2011,51.00,55.00,50.45,53.50,1867748
07-07-2011,57.90,59.95,55.70,56.65,2591886
07-08-2011,54.45,56.50,52.50,54.55,1537810
07-11-2011,52.15,53.25,49.00,49.20,1696150
07-12-2011,49.15,49.75,46.15,47.60,1408539
07-13-2011,50.55,52.50,50.00,51.25,1430183
07-14-2011,54.15,54.15,48.75,50.10,1356856
07-15-2011,52.25,52.50,49.50,51.30,932980
07-18-2011,49.55,55.20,48.90,54.75,1101181
07-19-2011,56.60,56.60,51.75,53.15,1376341
07-20-2011,51.90,53.90,51.35,53.35,724972
07-21-2011,53.95,54.00,50.55,51.15,818088
07-22-2011,51.00,52.25,50.50,50.80,434332
07-25-2011,49.00,50.65,48.75,50.10,640018
07-26-2011,51.25,52.80,50.10,50.95,743861
07-27-2011,51.55,52.95,50.55,52.40,841635
07-28-2011,53.00,54.75,52.10,53.90,769722
07-29-2011,51.70,55.50,50.00,54.15,750175
08-01-2011,55.75,56.30,50.90,52.45,633543
08-02-2011,51.35,53.50,51.05,51.25,464836
08-03-2011,51.25,52.80,43.45,47.65,948258
08-04-2011,45.90,46.15,39.30,40.25,1080372
08-05-2011,41.25,42.00,36.60,38.10,1055140
08-08-2011,34.95,35.40,33.05,33.75,1491572
08-09-2011,36.70,37.90,34.25,36.65,1358874
08-10-2011,35.60,37.50,34.30,36.20,693191
08-11-2011,36.80,40.50,36.45,38.90,1281022
08-12-2011,37.40,41.30,36.40,40.20,1448274
08-15-2011,41.75,42.50,40.05,40.50,616429
08-16-2011,39.60,39.75,37.05,37.85,650823
08-17-2011,38.40,39.90,36.00,36.95,587520
08-18-2011,35.40,37.40,33.75,35.40,625859
08-19-2011,35.00,36.70,34.50,34.85,391911
08-22-2011,36.10,36.20,33.30,34.00,509449
08-23-2011,34.50,36.50,33.50,36.50,888417
08-24-2011,40.40,40.60,35.80,36.90,1484222
08-25-2011,37.10,37.75,35.25,36.00,431938
08-26-2011,35.55,36.70,34.65,35.90,358125
08-29-2011,37.05,37.10,35.85,36.70,447931
08-30-2011,36.35,38.70,36.00,38.20,622656
08-31-2011,38.70,39.10,36.50,36.70,481294
09-01-2011,36.70,38.00,36.00,36.05,316116
09-02-2011,35.35,35.95,34.95,35.75,230415
09-06-2011,34.25,35.35,33.75,35.15,341410
09-07-2011,34.90,36.40,34.50,34.90,503278
09-08-2011,34.65,37.10,34.55,36.05,746343
09-09-2011,35.30,36.55,34.55,34.55,467299
09-12-2011,33.75,34.50,33.55,33.95,318651
09-13-2011,34.05,34.75,33.65,34.35,318473
09-14-2011,34.65,34.85,33.15,33.75,438559
09-15-2011,33.70,33.85,32.45,33.30,563038
09-16-2011,32.90,33.55,32.70,33.35,318508
09-19-2011,32.50,32.65,29.75,30.10,861401
09-20-2011,30.00,30.25,27.55,27.55,1015741
09-21-2011,27.80,28.75,27.40,27.60,482300
09-22-2011,26.40,26.75,24.80,25.10,962929
09-23-2011,25.00,27.50,24.95,26.35,466204
09-26-2011,27.30,28.10,25.45,26.75,369999
09-27-2011,29.00,30.90,27.60,27.95,857368
09-28-2011,28.00,29.40,26.80,28.95,714574
09-29-2011,30.55,31.35,27.60,29.25,974490
09-30-2011,28.40,28.50,25.50,25.50,1022113
10-03-2011,25.50,26.00,23.75,23.95,1068261
10-04-2011,23.05,24.85,22.50,24.85,907883
10-05-2011,24.60,25.65,24.00,25.10,565596
10-06-2011,25.75,27.90,25.30,27.45,970206
10-07-2011,28.80,29.10,26.00,27.45,670948
10-10-2011,27.85,28.30,26.60,27.50,605670
10-11-2011,27.30,29.80,26.80,28.40,900998
10-12-2011,29.25,29.90,28.30,29.05,716460
10-13-2011,29.30,30.25,28.10,29.00,690648
10-14-2011,30.00,30.05,27.65,28.75,480294
10-17-2011,28.10,29.03,27.80,28.50,311843
10-18-2011,27.90,28.45,27.10,28.25,280444
10-19-2011,28.25,29.65,27.40,28.30,469867
10-20-2011,28.45,28.85,27.55,28.65,267147
10-21-2011,29.00,29.40,28.45,28.70,252326
10-24-2011,29.00,31.25,28.55,30.80,1018022
10-25-2011,30.90,31.00,29.50,29.85,439587
10-26-2011,30.85,30.85,28.25,29.75,385309
10-27-2011,30.90,31.35,29.75,30.90,814552
10-28-2011,31.65,36.00,31.55,35.10,1295261
10-31-2011,33.95,36.70,33.72,35.20,1156333
11-01-2011,33.10,33.20,30.75,30.80,938750
11-02-2011,32.25,32.45,30.55,30.80,872644
11-03-2011,31.20,31.20,26.55,28.70,1054231
11-04-2011,28.70,28.70,25.90,26.40,1838031
11-07-2011,26.30,27.10,25.05,25.45,1031403
11-08-2011,26.95,27.45,26.00,26.50,1083492
11-09-2011,25.60,26.40,25.05,25.75,725790
11-10-2011,26.90,26.95,25.30,25.40,654145
11-11-2011,23.10,24.90,22.60,24.80,1180365
11-14-2011,24.95,24.95,23.65,23.75,711555
11-15-2011,23.40,23.80,22.75,23.00,786344
11-16-2011,22.75,23.05,22.30,22.60,765766
11-17-2011,22.00,22.27,21.25,21.60,772907
11-18-2011,21.45,21.65,21.25,21.40,404098
11-21-2011,21.45,21.45,19.25,19.50,881828
11-22-2011,20.00,20.35,19.70,19.90,508821
11-23-2011,19.40,19.50,18.00,18.75,1138961
11-25-2011,18.75,19.00,18.25,18.55,203874
11-28-2011,19.60,19.60,17.90,18.00,917654
11-29-2011,17.95,19.35,16.91,18.85,1084280
11-30-2011,19.80,19.80,18.15,18.50,856063
12-01-2011,18.45,18.90,18.05,18.30,401989
12-02-2011,18.90,19.00,18.10,18.95,539082
12-05-2011,19.25,19.45,18.15,18.20,606239
12-06-2011,18.20,18.85,18.10,18.30,578948
12-07-2011,18.15,18.30,17.65,18.00,547246
12-08-2011,17.75,19.25,17.35,18.10,1523415
12-09-2011,18.40,18.65,17.80,18.40,652534
12-12-2011,18.10,18.30,17.11,18.20,389416
12-13-2011,18.35,18.50,17.65,17.95,385835
12-14-2011,17.50,18.00,17.10,18.00,553761
12-15-2011,18.10,18.20,17.05,17.35,484900
12-16-2011,17.20,17.45,17.00,17.25,521439
12-19-2011,17.10,17.30,16.05,16.50,625872
12-20-2011,16.90,17.29,16.25,16.45,756823
12-21-2011,16.45,16.70,16.20,16.40,462944
12-22-2011,16.45,17.10,16.40,17.00,550983
12-23-2011,17.10,17.45,16.70,16.75,421237
12-27-2011,16.75,17.35,16.75,17.15,631569
12-28-2011,17.05,17.25,16.20,16.50,708335
12-29-2011,16.60,16.65,16.25,16.50,326818
12-30-2011,16.35,18.05,16.35,17.75,1888865
01-03-2012,18.45,19.15,17.80,18.35,1118724
01-04-2012,18.15,18.85,17.80,17.90,602061
01-05-2012,18.10,18.35,17.70,17.95,455995
01-06-2012,18.20,18.75,17.05,17.40,838639
01-09-2012,17.35,17.75,16.95,17.00,429204
01-10-2012,17.65,17.85,17.00,17.45,838466
01-11-2012,17.75,19.45,17.75,19.25,1759973
01-12-2012,19.50,20.90,18.85,20.35,1834173
01-13-2012,19.75,20.55,19.00,19.50,979282
01-17-2012,20.30,21.40,19.95,20.60,1275617
01-18-2012,21.00,21.15,20.00,20.50,822946
01-19-2012,20.75,22.00,20.45,21.10,1543670
01-20-2012,20.95,22.60,20.90,21.45,1270636
01-23-2012,21.85,22.35,20.65,21.50,933924
01-24-2012,21.15,21.25,20.50,20.65,465639
01-25-2012,21.00,21.20,20.65,21.00,471911
01-26-2012,21.35,21.50,20.15,20.80,612785
01-27-2012,20.65,26.45,20.21,26.25,3227974
01-30-2012,27.15,33.40,27.10,31.55,10894912
01-31-2012,32.90,34.00,27.35,27.75,7349326
02-01-2012,28.60,28.95,24.75,25.05,4913656
02-02-2012,26.30,28.70,25.80,27.10,4825716
02-03-2012,27.30,28.90,25.70,26.10,4032640
02-06-2012,25.25,26.25,24.00,24.60,2958623
02-07-2012,24.90,26.90,24.10,26.15,3165378
02-08-2012,27.10,27.75,25.65,25.95,2392714
02-09-2012,26.10,26.60,25.30,26.10,1753155
02-10-2012,25.70,27.92,25.30,26.00,3177893
02-13-2012,26.65,27.50,26.35,26.90,2182395
02-14-2012,27.00,28.65,27.00,27.20,2463526
02-15-2012,25.60,27.40,25.30,26.80,2616720
02-16-2012,26.65,27.70,26.05,27.55,1878896
02-17-2012,27.85,28.20,26.60,27.15,1116940
02-21-2012,27.00,27.85,26.55,26.95,1063144
02-22-2012,27.25,27.25,26.05,26.30,762659
02-23-2012,25.70,26.90,25.20,25.95,1399532
02-24-2012,25.20,26.25,25.20,26.20,781032
02-27-2012,26.20,26.45,25.55,25.70,577751
02-28-2012,25.95,28.00,25.75,27.30,1841290
02-29-2012,27.40,27.80,26.40,27.25,1019991
03-01-2012,27.30,28.40,26.90,27.40,1092397
03-02-2012,29.85,30.45,28.05,28.40,3751792
03-05-2012,28.50,28.55,27.00,27.05,834006
03-06-2012,25.90,26.50,25.55,25.80,1041732
03-07-2012,26.20,26.40,25.80,26.00,523807
03-08-2012,26.45,26.80,26.10,26.75,725961
03-09-2012,28.95,29.00,26.90,27.00,1713142
03-12-2012,29.00,29.50,27.60,28.05,1902263
03-13-2012,27.90,28.00,27.25,27.60,1761016
03-14-2012,27.50,27.60,26.50,26.75,875538
03-15-2012,26.80,27.10,26.55,26.85,862693
03-16-2012,26.75,26.90,26.15,26.45,758880
03-19-2012,26.25,27.00,26.25,26.65,1045026
03-20-2012,26.50,27.10,25.90,27.10,1113294
03-21-2012,26.60,27.40,26.40,26.60,815772
03-22-2012,26.20,26.70,26.05,26.50,453393
03-23-2012,26.40,26.90,26.30,26.50,362801
03-26-2012,26.50,27.20,26.25,26.65,803262
03-27-2012,26.50,28.50,26.50,27.50,3399216
03-28-2012,27.40,27.40,26.30,26.75,1442776
03-29-2012,26.40,27.70,26.05,27.60,1185846
03-30-2012,27.40,28.60,27.30,27.60,1654510
04-02-2012,27.40,29.60,26.90,28.20,2681636
04-03-2012,28.15,28.70,26.80,27.40,1320295
04-04-2012,26.80,27.30,26.65,26.75,780111
04-05-2012,26.75,28.15,26.60,27.30,1250574
04-09-2012,26.65,28.50,26.60,27.70,1870987
04-10-2012,28.30,31.00,28.05,28.95,6755367
04-11-2012,30.45,31.20,29.30,30.85,3932976
04-12-2012,31.35,34.80,31.15,34.30,5039330
04-13-2012,33.55,37.25,32.90,36.65,5720366
04-16-2012,37.50,39.35,34.75,35.70,6731372
04-17-2012,35.50,36.55,33.75,34.35,3054057
04-18-2012,34.50,35.20,33.00,34.55,2312327
04-19-2012,35.00,36.10,34.35,35.25,2344653
04-20-2012,35.90,37.29,34.50,35.65,3614340
04-23-2012,35.65,35.65,33.50,33.85,2246846
04-24-2012,33.75,33.85,31.00,31.60,2711991
04-25-2012,31.20,32.40,30.15,32.05,2447059
04-26-2012,31.50,33.00,31.50,32.05,1338897
04-27-2012,32.05,32.20,30.45,31.05,1380539
04-30-2012,31.20,31.25,30.25,30.50,892235
05-01-2012,30.50,32.25,30.20,31.65,1793393
05-02-2012,32.50,33.90,32.15,33.00,2870271
05-03-2012,33.00,33.25,30.95,31.70,1560508
05-04-2012,32.90,34.05,31.25,33.50,2292443
05-07-2012,33.20,33.85,31.50,32.00,1731987
05-08-2012,31.50,31.60,30.05,30.70,1902593
05-09-2012,29.75,29.85,28.55,29.10,2109557
05-10-2012,30.10,30.90,29.75,30.05,2069034
05-11-2012,29.85,29.95,27.85,28.45,1743298
05-14-2012,29.05,29.25,27.05,27.45,2383140
05-15-2012,28.85,30.95,28.70,29.20,3953998
05-16-2012,30.30,31.25,29.70,31.25,2787175
05-17-2012,31.95,32.15,30.15,31.20,2297273
05-18-2012,31.55,31.90,24.10,24.65,6493240
05-21-2012,22.70,24.60,21.00,23.70,3516252
05-22-2012,23.15,24.75,22.30,23.50,1869246
05-23-2012,23.60,24.30,23.05,24.00,1061246
05-24-2012,23.90,24.40,23.30,23.75,888850
05-25-2012,23.80,24.25,23.30,23.70,683303
05-29-2012,23.80,23.80,22.60,23.45,1165363
05-30-2012,22.80,23.25,22.30,22.75,1249358
05-31-2012,22.80,24.65,22.40,23.75,1270501
06-01-2012,23.20,23.45,22.00,22.40,1142171
06-04-2012,22.15,22.40,20.95,21.50,1617452
06-05-2012,21.25,22.15,21.10,21.90,608230
06-06-2012,21.95,23.10,21.60,22.55,963170
06-07-2012,23.20,23.35,21.85,22.05,718433
06-08-2012,22.05,22.75,21.55,22.45,597574
06-11-2012,22.55,22.95,22.45,22.75,528164
06-12-2012,22.85,23.15,22.10,22.95,710665
06-13-2012,22.55,23.25,22.25,22.80,488285
06-14-2012,22.50,22.75,21.80,22.30,653969
06-15-2012,22.05,22.60,21.70,22.55,691439
06-18-2012,22.00,23.95,22.00,23.60,995533
06-19-2012,23.55,23.85,23.10,23.15,662623
06-20-2012,23.05,23.20,22.50,22.75,446393
06-21-2012,22.50,23.00,21.95,22.50,576278
06-22-2012,22.25,23.10,22.15,22.85,510689
06-25-2012,22.45,23.10,22.10,23.00,477663
06-26-2012,22.75,23.55,22.50,23.50,647851
06-27-2012,23.35,23.95,22.88,23.60,535639
06-28-2012,23.20,23.75,22.40,22.60,363321
06-29-2012,22.85,23.10,22.55,22.55,365734
07-02-2012,22.65,23.05,21.60,22.05,631981
07-03-2012,21.85,22.00,21.25,22.00,287526
07-05-2012,21.75,22.40,21.75,22.40,319350
07-06-2012,21.70,22.25,21.55,22.25,249536
07-09-2012,21.60,22.00,21.25,21.65,353893
07-10-2012,21.35,21.65,21.00,21.30,414206
07-11-2012,21.05,21.45,20.95,21.35,237401
07-12-2012,21.25,21.45,20.60,21.25,420817
07-13-2012,21.10,21.70,21.05,21.50,255089
07-16-2012,21.20,21.75,20.90,21.45,181613
07-17-2012,21.30,21.30,19.65,20.70,932717
07-18-2012,20.50,21.25,20.10,21.25,320397
07-19-2012,21.15,21.60,20.40,21.00,512313
07-20-2012,20.80,20.95,20.30,20.90,357372
07-23-2012,20.05,20.65,20.05,20.50,341470
07-24-2012,20.60,20.90,20.20,20.55,405431
07-25-2012,20.30,20.75,20.10,20.55,221983
07-26-2012,19.75,19.95,18.90,19.50,715706
07-27-2012,18.70,19.45,18.50,19.40,762083
07-30-2012,19.15,19.70,18.55,18.60,260739
07-31-2012,18.35,18.75,18.10,18.75,379610
08-01-2012,18.50,18.75,18.15,18.65,312313
08-02-2012,18.35,19.10,18.30,18.50,315226
08-03-2012,18.30,18.90,18.15,18.80,313803
08-06-2012,19.05,21.00,19.05,21.00,1096343
08-07-2012,20.70,21.00,20.25,20.55,404484
08-08-2012,19.50,20.00,18.65,19.90,831286
08-09-2012,19.70,19.90,19.55,19.85,266649
08-10-2012,19.55,19.95,19.55,19.95,162651
08-13-2012,19.90,20.50,19.65,19.85,305890
08-14-2012,20.00,20.20,19.35,19.80,337206
08-15-2012,19.75,19.95,19.40,19.90,213413
08-16-2012,19.85,20.50,19.75,19.90,432357
08-17-2012,19.90,20.25,19.65,20.20,184140
08-20-2012,20.00,20.20,19.70,20.00,180332
08-21-2012,19.80,20.40,19.80,19.95,312521
08-22-2012,19.90,20.20,19.75,19.75,296855
08-23-2012,19.80,19.95,19.55,19.80,148459
08-24-2012,19.60,19.80,19.30,19.60,171826
08-27-2012,19.50,19.75,18.95,19.25,247550
08-28-2012,18.85,19.30,18.55,19.25,267234
08-29-2012,19.00,19.30,19.00,19.25,188338
08-30-2012,19.05,19.30,18.75,19.25,220589
08-31-2012,19.20,19.70,18.90,19.15,282586
09-04-2012,19.20,19.20,17.60,17.80,805013
09-05-2012,17.80,18.15,17.55,17.80,321174
