Date,Open,High,Low,Close,Volume
01-02-1992,0.748,0.748,0.748,0.748,14829
01-03-1992,0.740,0.740,0.740,0.740,8879
01-06-1992,0.740,0.757,0.740,0.757,56445
01-07-1992,0.748,0.757,0.748,0.748,87659
01-08-1992,0.748,0.757,0.740,0.757,40097
01-09-1992,0.757,0.757,0.757,0.757,2937
01-10-1992,0.757,0.757,0.757,0.757,4422
01-13-1992,0.765,0.765,0.765,0.765,297233
01-14-1992,0.774,0.782,0.774,0.782,245208
01-15-1992,0.782,0.782,0.782,0.782,75768
01-16-1992,0.791,0.791,0.782,0.791,47529
01-17-1992,0.799,0.816,0.799,0.808,182781
01-20-1992,0.808,0.816,0.808,0.808,54958
01-21-1992,0.808,0.808,0.808,0.808,78738
01-22-1992,0.808,0.816,0.808,0.816,51983
01-23-1992,0.816,0.841,0.816,0.832,99553
01-24-1992,0.841,0.841,0.824,0.824,173865
01-27-1992,0.824,0.824,0.824,0.824,0
01-28-1992,0.823,0.823,0.823,0.823,0
01-29-1992,0.824,0.824,0.824,0.824,8879
01-30-1992,0.824,0.824,0.824,0.824,0
01-31-1992,0.841,0.841,0.832,0.832,13340
02-03-1992,0.849,0.866,0.849,0.866,108465
02-04-1992,0.866,0.883,0.866,0.883,92114
02-05-1992,0.883,0.908,0.883,0.908,40097
02-06-1992,0.917,0.934,0.917,0.925,156029
02-07-1992,0.934,0.950,0.934,0.942,135225
02-10-1992,0.950,0.959,0.942,0.959,22260
02-11-1992,0.959,0.959,0.950,0.950,37122
02-12-1992,0.967,0.967,0.967,0.967,2937
02-13-1992,0.967,0.967,0.950,0.950,60904
02-14-1992,0.942,0.950,0.942,0.950,78738
02-18-1992,0.950,0.950,0.950,0.950,1450
02-19-1992,0.942,0.942,0.942,0.942,13340
02-20-1992,0.942,0.942,0.942,0.942,7395
02-21-1992,0.942,0.942,0.942,0.942,0
02-24-1992,0.934,0.934,0.934,0.934,5912
02-25-1992,0.934,0.934,0.934,0.934,0
02-26-1992,0.934,0.934,0.934,0.934,2937
02-27-1992,0.934,0.942,0.934,0.942,74281
02-28-1992,0.942,0.942,0.942,0.942,0
03-02-1992,0.934,0.934,0.934,0.934,11856
03-03-1992,0.925,0.925,0.925,0.925,8879
03-04-1992,0.934,0.942,0.934,0.942,14829
03-05-1992,0.934,0.934,0.934,0.934,1450
03-06-1992,0.934,0.934,0.934,0.934,0
03-09-1992,0.934,0.934,0.934,0.934,17799
03-10-1992,0.934,0.934,0.934,0.934,218457
03-11-1992,0.934,0.934,0.934,0.934,0
03-12-1992,0.934,0.934,0.925,0.934,13340
03-13-1992,0.934,0.934,0.934,0.934,0
03-16-1992,0.934,0.934,0.934,0.934,5912
03-17-1992,0.925,0.925,0.925,0.925,32658
03-18-1992,0.925,0.925,0.925,0.925,23749
03-19-1992,0.925,0.925,0.925,0.925,0
03-20-1992,0.934,0.934,0.925,0.925,8879
03-23-1992,0.925,0.925,0.908,0.908,118869
03-24-1992,0.908,0.908,0.908,0.908,1450
03-25-1992,0.900,0.908,0.900,0.908,80228
03-26-1992,0.917,0.917,0.908,0.917,43070
03-27-1992,0.934,0.934,0.925,0.925,80228
03-30-1992,0.925,0.925,0.925,0.925,23749
03-31-1992,0.925,0.934,0.925,0.934,96581
04-01-1992,0.934,0.934,0.917,0.925,89146
04-02-1992,0.925,0.925,0.917,0.917,10372
04-03-1992,0.917,0.917,0.917,0.917,71307
04-06-1992,0.917,0.917,0.917,0.917,31179
04-07-1992,0.908,0.908,0.908,0.908,14829
04-08-1992,0.891,0.891,0.874,0.883,81717
04-09-1992,0.891,0.891,0.891,0.891,5912
04-10-1992,0.883,0.883,0.883,0.883,32658
04-13-1992,0.883,0.891,0.883,0.891,4422
04-14-1992,0.883,0.883,0.883,0.883,7395
04-15-1992,0.883,0.883,0.866,0.866,23749
04-16-1992,0.866,0.866,0.866,0.866,8879
04-20-1992,0.866,0.866,0.866,0.866,51983
04-21-1992,0.866,0.866,0.866,0.866,23749
04-22-1992,0.858,0.858,0.858,0.858,7395
04-23-1992,0.849,0.849,0.849,0.849,20777
04-24-1992,0.849,0.849,0.849,0.849,7395
04-27-1992,0.849,0.849,0.849,0.849,14829
04-28-1992,0.849,0.849,0.849,0.849,1450
04-29-1992,0.849,0.849,0.849,0.849,11856
04-30-1992,0.849,0.849,0.849,0.849,34148
05-01-1992,0.849,0.858,0.849,0.858,19285
05-04-1992,0.849,0.858,0.849,0.858,32658
05-05-1992,0.849,0.849,0.849,0.849,14829
05-06-1992,0.849,0.849,0.841,0.841,40097
05-07-1992,0.849,0.849,0.849,0.849,1450
05-08-1992,0.841,0.841,0.841,0.841,25234
05-11-1992,0.832,0.832,0.832,0.832,2937
05-12-1992,0.832,0.832,0.824,0.824,118869
05-13-1992,0.832,0.832,0.824,0.824,32658
05-14-1992,0.824,0.824,0.824,0.824,0
05-15-1992,0.824,0.824,0.824,0.824,38610
05-18-1992,0.824,0.824,0.816,0.824,46035
05-19-1992,0.824,0.824,0.824,0.824,10372
05-20-1992,0.824,0.824,0.824,0.824,0
05-21-1992,0.832,0.832,0.832,0.832,536530
05-22-1992,0.824,0.824,0.824,0.824,26719
05-26-1992,0.824,0.824,0.824,0.824,20777
05-27-1992,0.824,0.824,0.816,0.816,16310
05-28-1992,0.816,0.816,0.816,0.816,13340
05-29-1992,0.816,0.816,0.816,0.816,2937
06-01-1992,0.816,0.816,0.816,0.816,7395
06-02-1992,0.808,0.808,0.808,0.808,10372
06-03-1992,0.808,0.808,0.808,0.808,26719
06-04-1992,0.808,0.808,0.808,0.808,63875
06-05-1992,0.808,0.808,0.808,0.808,2937
06-08-1992,0.808,0.808,0.808,0.808,17799
06-09-1992,0.808,0.808,0.808,0.808,7395
06-10-1992,0.808,0.808,0.808,0.808,4422
06-11-1992,0.808,0.808,0.808,0.808,0
06-12-1992,0.808,0.808,0.808,0.808,0
06-15-1992,0.808,0.808,0.808,0.808,2937
06-16-1992,0.799,0.799,0.799,0.799,11856
06-17-1992,0.799,0.799,0.799,0.799,1450
06-18-1992,0.799,0.799,0.799,0.799,13340
06-19-1992,0.808,0.808,0.799,0.799,16310
06-22-1992,0.791,0.799,0.791,0.799,13340
06-23-1992,0.791,0.791,0.791,0.791,19285
06-24-1992,0.791,0.799,0.791,0.799,5912
06-25-1992,0.799,0.799,0.791,0.791,28205
06-26-1992,0.791,0.791,0.791,0.791,0
06-29-1992,0.774,0.774,0.774,0.774,68333
06-30-1992,0.774,0.774,0.774,0.774,63875
07-01-1992,0.774,0.774,0.774,0.774,2937
07-02-1992,0.774,0.774,0.774,0.774,0
07-06-1992,0.765,0.782,0.765,0.774,124816
07-07-1992,0.765,0.765,0.765,0.765,17799
07-08-1992,0.765,0.765,0.765,0.765,2937
07-09-1992,0.765,0.765,0.757,0.757,175350
07-10-1992,0.757,0.757,0.748,0.748,54958
07-13-1992,0.748,0.748,0.748,0.748,4422
07-14-1992,0.715,0.740,0.715,0.740,214000
07-15-1992,0.740,0.740,0.740,0.740,22260
07-16-1992,0.740,0.740,0.740,0.740,8879
07-17-1992,0.740,0.740,0.740,0.740,0
07-20-1992,0.740,0.740,0.740,0.740,2937
07-21-1992,0.740,0.740,0.740,0.740,0
07-22-1992,0.732,0.732,0.732,0.732,4422
07-23-1992,0.732,0.732,0.732,0.732,31179
07-24-1992,0.740,0.740,0.732,0.732,2937
07-27-1992,0.723,0.723,0.723,0.723,32658
07-28-1992,0.723,0.723,0.723,0.723,23749
07-29-1992,0.706,0.706,0.706,0.706,99553
07-30-1992,0.706,0.706,0.706,0.706,2937
07-31-1992,0.698,0.706,0.690,0.706,463700
08-03-1992,0.690,0.690,0.690,0.690,230346
08-04-1992,0.706,0.715,0.706,0.706,224401
08-05-1992,0.706,0.723,0.706,0.723,59420
08-06-1992,0.723,0.723,0.723,0.723,59420
08-07-1992,0.715,0.715,0.715,0.715,14829
08-10-1992,0.715,0.715,0.715,0.715,0
08-11-1992,0.715,0.723,0.715,0.723,10372
08-12-1992,0.723,0.723,0.723,0.723,34148
08-13-1992,0.723,0.723,0.723,0.723,0
08-14-1992,0.726,0.726,0.726,0.726,0
08-17-1992,0.740,0.740,0.740,0.740,17799
08-18-1992,0.740,0.757,0.740,0.757,231829
08-19-1992,0.748,0.748,0.748,0.748,32658
08-20-1992,0.748,0.748,0.748,0.748,0
08-21-1992,0.748,0.748,0.748,0.748,4422
08-24-1992,0.748,0.748,0.748,0.748,41585
08-25-1992,0.748,0.748,0.748,0.748,23749
08-26-1992,0.748,0.748,0.748,0.748,34148
08-27-1992,0.748,0.748,0.748,0.748,29694
08-28-1992,0.740,0.740,0.740,0.740,43070
08-31-1992,0.740,0.740,0.740,0.740,29694
09-01-1992,0.740,0.748,0.740,0.748,233320
09-02-1992,0.732,0.740,0.732,0.740,96581
09-03-1992,0.740,0.740,0.740,0.740,32658
09-04-1992,0.740,0.740,0.740,0.740,29694
09-08-1992,0.748,0.748,0.748,0.748,29694
09-09-1992,0.740,0.740,0.740,0.740,40097
09-10-1992,0.740,0.740,0.740,0.740,8879
09-11-1992,0.740,0.740,0.740,0.740,1450
09-14-1992,0.740,0.740,0.740,0.740,973517
09-15-1992,0.748,0.757,0.748,0.757,89146
09-16-1992,0.757,0.757,0.757,0.757,38610
09-17-1992,0.757,0.757,0.757,0.757,23749
09-18-1992,0.765,0.765,0.765,0.765,5912
09-21-1992,0.765,0.765,0.765,0.765,0
09-22-1992,0.767,0.767,0.767,0.767,0
09-23-1992,0.765,0.774,0.765,0.774,166436
09-24-1992,0.774,0.774,0.774,0.774,4422
09-25-1992,0.774,0.774,0.774,0.774,10372
09-28-1992,0.782,0.782,0.765,0.765,57936
09-29-1992,0.774,0.774,0.774,0.774,31179
09-30-1992,0.774,0.791,0.774,0.782,109953
10-01-1992,0.791,0.799,0.782,0.799,32658
10-02-1992,0.799,0.816,0.799,0.816,233320
10-05-1992,0.816,0.816,0.816,0.816,32658
10-06-1992,0.816,0.816,0.816,0.816,19285
10-07-1992,0.808,0.808,0.808,0.808,16310
10-08-1992,0.808,0.824,0.808,0.824,163463
10-09-1992,0.824,0.824,0.824,0.824,35638
10-12-1992,0.824,0.824,0.824,0.824,22260
10-13-1992,0.824,0.824,0.824,0.824,14829
10-14-1992,0.841,0.858,0.841,0.858,74281
10-15-1992,0.858,0.858,0.858,0.858,14829
10-16-1992,0.874,0.900,0.874,0.874,711921
10-19-1992,0.874,0.874,0.874,0.874,29694
10-20-1992,0.866,0.874,0.866,0.874,77255
10-21-1992,0.874,0.874,0.866,0.874,920005
10-22-1992,0.874,0.874,0.874,0.874,99553
10-23-1992,0.874,0.874,0.874,0.874,118869
10-26-1992,0.874,0.891,0.874,0.891,35638
10-27-1992,0.908,0.908,0.900,0.900,90632
10-28-1992,0.900,0.908,0.900,0.908,31179
10-29-1992,0.908,0.908,0.908,0.908,0
10-30-1992,0.917,0.917,0.917,0.917,92114
11-02-1992,0.908,0.925,0.908,0.925,150084
11-03-1992,0.925,0.934,0.925,0.934,160489
11-04-1992,0.925,0.942,0.925,0.942,236294
11-05-1992,0.942,0.950,0.942,0.942,176837
11-06-1992,0.942,0.959,0.942,0.959,225889
11-09-1992,0.959,0.959,0.942,0.942,104008
11-10-1992,0.950,0.976,0.950,0.976,50502
11-11-1992,0.976,0.976,0.967,0.967,19285
11-12-1992,0.967,0.967,0.967,0.967,29694
11-13-1992,0.967,0.967,0.967,0.967,0
11-16-1992,0.959,0.959,0.950,0.950,51983
11-17-1992,0.942,0.950,0.934,0.934,106979
11-18-1992,0.934,0.934,0.934,0.934,0
11-19-1992,0.934,0.934,0.934,0.934,19285
11-20-1992,0.934,0.934,0.934,0.934,7395
11-23-1992,0.936,0.936,0.936,0.936,0
11-24-1992,0.942,0.942,0.942,0.942,14829
11-25-1992,0.934,0.942,0.934,0.942,4422
11-27-1992,0.942,0.942,0.942,0.942,0
11-30-1992,0.945,0.945,0.945,0.945,0
12-01-1992,0.934,0.934,0.934,0.934,2937
12-02-1992,0.925,0.925,0.917,0.917,77255
12-03-1992,0.917,0.917,0.917,0.917,14829
12-04-1992,0.917,0.917,0.917,0.917,29694
12-07-1992,0.917,0.917,0.917,0.917,4422
12-08-1992,0.917,0.917,0.917,0.917,2937
12-09-1992,0.917,0.917,0.917,0.917,7395
12-10-1992,0.917,0.917,0.917,0.917,1450
12-11-1992,0.917,0.917,0.917,0.917,0
12-14-1992,0.908,0.908,0.908,0.908,102522
12-15-1992,0.908,0.908,0.908,0.908,16310
12-16-1992,0.917,0.917,0.908,0.908,29694
12-17-1992,0.908,0.908,0.908,0.908,17799
12-18-1992,0.891,0.900,0.883,0.883,3665263
12-21-1992,0.874,0.874,0.866,0.866,93604
12-22-1992,0.874,0.874,0.874,0.874,29694
12-23-1992,0.874,0.874,0.866,0.866,1379283
12-24-1992,0.866,0.866,0.866,0.866,74281
12-28-1992,0.858,0.858,0.858,0.858,4422
12-29-1992,0.858,0.858,0.858,0.858,126302
12-30-1992,0.849,0.866,0.849,0.866,431002
12-31-1992,0.874,0.891,0.874,0.891,254127
01-04-1993,0.883,0.891,0.883,0.891,197651
01-05-1993,0.900,0.900,0.891,0.891,13340
01-06-1993,0.891,0.891,0.891,0.891,169407
01-07-1993,0.883,0.891,0.849,0.849,575177
01-08-1993,0.849,0.874,0.849,0.874,236294
01-11-1993,0.874,0.883,0.874,0.883,170889
01-12-1993,0.891,0.891,0.874,0.874,380469
01-13-1993,0.874,0.874,0.874,0.874,74281
01-14-1993,0.883,0.883,0.883,0.883,14829
01-15-1993,0.891,0.900,0.874,0.874,63875
01-18-1993,0.883,0.883,0.874,0.874,31179
01-19-1993,0.883,0.883,0.883,0.883,14829
01-20-1993,0.883,0.883,0.874,0.874,49011
01-21-1993,0.874,0.874,0.874,0.874,488965
01-22-1993,0.874,0.874,0.874,0.874,19285
01-25-1993,0.883,0.883,0.883,0.883,63875
01-26-1993,0.883,0.883,0.883,0.883,127784
01-27-1993,0.883,0.883,0.874,0.883,1551694
01-28-1993,0.883,0.883,0.883,0.883,909599
01-29-1993,0.883,0.883,0.874,0.883,108465
02-01-1993,0.883,0.883,0.883,0.883,17799
02-02-1993,0.90,1.03,0.90,1.02,1247001
02-03-1993,1.03,1.07,1.03,1.06,539507
02-04-1993,1.08,1.08,1.06,1.08,254127
02-05-1993,1.07,1.14,1.07,1.10,824879
02-08-1993,1.12,1.12,1.09,1.10,121846
02-09-1993,1.10,1.10,1.08,1.08,227374
02-10-1993,1.07,1.07,1.05,1.05,62391
02-11-1993,1.06,1.06,1.06,1.06,915550
02-12-1993,1.06,1.06,1.05,1.06,992835
02-16-1993,1.06,1.06,1.03,1.03,57936
02-17-1993,1.03,1.03,1.03,1.03,19285
02-18-1993,1.03,1.03,1.03,1.03,57936
02-19-1993,1.018,1.018,0.984,0.992,135225
02-22-1993,0.992,0.992,0.984,0.984,69817
02-23-1993,0.976,0.976,0.950,0.967,106979
02-24-1993,0.976,0.984,0.967,0.976,153061
02-25-1993,0.976,0.976,0.976,0.976,0
02-26-1993,0.967,0.967,0.967,0.967,5912
03-01-1993,0.959,0.959,0.959,0.959,17799
03-02-1993,0.950,0.967,0.950,0.967,53473
03-03-1993,0.959,0.976,0.959,0.976,209533
03-04-1993,0.976,0.976,0.976,0.976,32658
03-05-1993,0.99,1.07,0.99,1.07,1260372
03-08-1993,1.11,1.13,1.11,1.12,2049618
03-09-1993,1.13,1.14,1.12,1.13,2052591
03-10-1993,1.13,1.14,1.13,1.14,34148
