Date,Open,High,Low,Close,Volume
05-28-1993,7.94,7.98,7.89,7.98,0
06-01-1993,7.98,8.38,7.98,8.38,0
06-02-1993,8.48,8.48,8.20,8.29,0
06-03-1993,8.30,8.30,8.07,8.12,0
06-04-1993,8.12,8.16,7.98,8.16,0
06-07-1993,8.16,8.16,7.84,7.84,0
06-08-1993,7.84,7.93,7.84,7.93,0
06-09-1993,7.84,7.93,7.84,7.88,0
06-10-1993,7.93,7.93,7.89,7.93,0
06-11-1993,7.89,7.93,7.80,7.84,0
06-14-1993,7.85,7.85,7.53,7.53,0
06-15-1993,7.52,7.52,7.43,7.43,0
06-16-1993,7.39,7.39,7.21,7.26,0
06-17-1993,7.30,7.48,7.30,7.39,0
06-18-1993,7.49,7.71,7.49,7.67,0
06-21-1993,7.71,7.76,7.62,7.67,0
06-22-1993,7.66,7.80,7.62,7.80,0
06-23-1993,7.75,7.75,7.71,7.71,0
06-24-1993,7.62,7.62,7.39,7.48,0
06-25-1993,7.44,7.44,7.35,7.35,0
06-28-1993,7.35,7.53,7.35,7.39,0
06-29-1993,7.39,7.39,7.17,7.26,0
06-30-1993,7.17,7.35,7.17,7.35,0
07-01-1993,7.31,7.31,7.17,7.17,0
07-02-1993,7.08,7.12,6.94,6.94,0
07-06-1993,6.90,6.90,6.63,6.72,0
07-07-1993,6.76,6.95,6.76,6.85,0
07-08-1993,6.89,6.89,6.67,6.67,0
07-09-1993,6.67,6.67,6.53,6.62,0
07-12-1993,6.63,6.90,6.63,6.85,0
07-13-1993,6.89,6.94,6.85,6.89,0
07-14-1993,6.85,6.90,6.85,6.85,0
07-15-1993,6.85,6.85,6.67,6.67,0
07-16-1993,6.72,6.77,6.68,6.77,0
07-19-1993,6.71,6.76,6.67,6.67,0
07-20-1993,6.67,6.71,6.62,6.67,0
07-21-1993,6.67,6.71,6.62,6.62,0
07-22-1993,6.67,6.67,6.58,6.58,0
07-23-1993,6.58,6.72,6.58,6.72,0
07-26-1993,6.76,6.85,6.67,6.85,0
07-27-1993,6.94,7.12,6.89,7.12,0
07-28-1993,7.12,7.16,7.12,7.12,0
07-29-1993,7.17,7.31,7.17,7.31,0
07-30-1993,7.30,7.30,7.26,7.26,0
08-02-1993,7.31,7.35,7.31,7.31,0
08-03-1993,7.35,7.35,7.26,7.31,0
08-04-1993,7.31,7.31,7.17,7.17,0
08-05-1993,7.22,7.22,7.17,7.17,0
08-06-1993,7.22,7.26,7.22,7.22,0
08-09-1993,7.26,7.26,7.13,7.17,0
08-10-1993,7.12,7.16,7.07,7.12,0
08-11-1993,7.13,7.13,6.85,6.85,0
08-12-1993,6.85,6.94,6.85,6.94,0
08-13-1993,6.95,6.95,6.85,6.85,0
08-16-1993,6.89,6.89,6.85,6.89,0
08-17-1993,6.89,6.98,6.89,6.98,0
08-18-1993,7.03,7.12,7.03,7.12,0
08-19-1993,7.12,7.39,7.12,7.39,0
08-20-1993,7.39,7.43,7.34,7.43,0
08-23-1993,7.48,7.88,7.48,7.88,0
08-24-1993,7.89,7.89,7.66,7.84,0
08-25-1993,7.84,7.93,7.80,7.80,0
08-26-1993,7.85,7.85,7.58,7.62,0
08-27-1993,7.62,7.71,7.62,7.71,0
08-30-1993,7.71,7.76,7.62,7.76,0
08-31-1993,7.80,7.93,7.80,7.93,0
09-01-1993,7.88,7.88,7.79,7.88,0
09-02-1993,7.89,7.89,7.80,7.84,0
09-03-1993,7.84,7.84,7.84,7.84,0
09-07-1993,7.84,7.89,7.84,7.84,0
09-08-1993,7.75,7.80,7.71,7.71,0
09-09-1993,7.58,7.58,7.53,7.53,0
09-10-1993,7.48,7.48,6.89,7.03,0
09-13-1993,6.94,6.94,6.80,6.89,0
09-14-1993,6.81,6.86,6.72,6.77,0
09-15-1993,6.72,6.81,6.72,6.77,0
09-16-1993,6.80,6.89,6.76,6.89,0
09-17-1993,6.85,6.94,6.85,6.89,0
09-20-1993,6.98,6.98,6.89,6.98,0
09-21-1993,6.95,6.95,6.77,6.77,0
09-22-1993,6.81,6.94,6.81,6.94,0
09-23-1993,6.94,6.98,6.94,6.98,0
09-24-1993,7.03,7.03,6.89,6.98,0
09-27-1993,6.99,6.99,6.94,6.94,0
09-28-1993,6.99,6.99,6.94,6.94,0
09-29-1993,6.76,7.16,6.62,7.12,0
09-30-1993,7.26,7.62,7.26,7.62,0
10-01-1993,7.67,8.03,7.67,7.98,0
10-04-1993,7.98,8.29,7.98,8.29,0
10-05-1993,8.29,8.39,8.25,8.29,0
10-06-1993,8.38,8.43,8.29,8.38,0
10-07-1993,8.38,8.38,8.29,8.34,0
10-08-1993,8.29,8.29,7.84,8.02,0
10-11-1993,8.07,8.12,8.07,8.12,0
10-12-1993,8.11,8.11,8.02,8.02,0
10-13-1993,7.98,8.16,7.98,8.12,0
10-14-1993,8.11,8.11,8.02,8.02,0
10-15-1993,8.02,8.06,8.02,8.02,0
10-18-1993,8.02,8.11,8.02,8.02,0
10-19-1993,8.03,8.03,7.67,7.67,0
10-20-1993,7.57,7.57,7.43,7.43,0
10-21-1993,7.40,7.40,7.26,7.31,0
10-22-1993,7.30,7.44,7.30,7.35,0
10-25-1993,7.30,7.35,7.21,7.26,0
10-26-1993,7.26,7.30,7.26,7.26,0
10-27-1993,7.35,7.48,7.35,7.48,0
10-28-1993,7.44,7.48,7.39,7.39,0
10-29-1993,7.43,7.48,7.39,7.43,0
11-01-1993,7.39,7.53,7.39,7.48,0
11-02-1993,7.48,7.48,7.35,7.39,0
11-03-1993,7.39,7.39,7.30,7.35,0
11-04-1993,7.35,7.35,7.26,7.26,0
11-05-1993,7.23,7.32,7.23,7.32,0
11-08-1993,7.28,7.28,7.23,7.23,0
11-09-1993,7.23,7.28,7.14,7.14,0
11-10-1993,7.14,7.14,7.01,7.14,0
11-11-1993,7.14,7.23,7.14,7.23,0
11-12-1993,7.23,7.60,7.23,7.60,0
11-15-1993,7.60,7.69,7.60,7.60,0
11-16-1993,7.55,7.55,7.51,7.51,0
11-17-1993,7.55,7.55,7.37,7.42,0
11-18-1993,7.32,7.32,7.23,7.23,0
11-19-1993,7.24,7.24,7.01,7.01,0
11-22-1993,7.01,7.10,7.01,7.01,0
11-23-1993,7.01,7.14,7.01,7.14,0
11-24-1993,7.10,7.14,7.10,7.14,0
11-26-1993,7.14,7.14,6.96,6.96,0
11-29-1993,6.92,6.92,6.61,6.61,0
11-30-1993,6.60,6.73,6.60,6.73,0
12-01-1993,6.65,6.65,6.33,6.33,0
12-02-1993,6.33,6.33,6.01,6.20,0
12-03-1993,6.19,6.33,6.19,6.28,0
12-06-1993,6.28,6.28,6.19,6.28,0
12-07-1993,6.24,6.29,6.20,6.24,0
12-08-1993,6.24,6.28,6.10,6.15,0
12-09-1993,6.19,6.19,6.10,6.10,0
12-10-1993,6.15,6.19,6.10,6.15,0
12-13-1993,6.15,6.15,6.01,6.10,0
12-14-1993,6.01,6.01,5.83,5.83,0
12-15-1993,5.83,5.92,5.83,5.88,0
12-16-1993,5.88,5.97,5.88,5.88,0
12-17-1993,5.88,5.88,5.83,5.88,0
12-20-1993,5.92,5.92,5.78,5.78,0
