Date,Open,High,Low,Close,Volume
08-04-2015,14.00,14.00,14.00,14.00,0
08-05-2015,13.06,13.31,10.40,10.77,14096975
08-06-2015,11.00,11.20,8.23,8.77,3570430
08-07-2015,9.19,10.20,8.77,10.14,1624299
08-10-2015,10.73,10.73,10.00,10.12,435917
08-11-2015,10.00,10.03,9.50,9.79,349732
08-12-2015,9.68,10.40,9.65,10.35,498848
08-13-2015,10.07,10.34,10.05,10.12,397532
08-14-2015,10.01,10.17,9.73,10.04,410627
08-17-2015,10.04,10.26,9.96,10.13,345981
08-18-2015,10.00,10.34,10.00,10.24,277660
08-19-2015,10.30,11.03,10.17,10.73,573974
08-20-2015,10.55,10.74,10.00,10.52,322202
08-21-2015,10.20,10.56,9.81,9.90,394905
08-24-2015,9.39,9.70,8.50,9.16,1052358
08-25-2015,9.68,10.21,9.65,9.90,834045
08-26-2015,10.03,10.80,9.99,10.78,791030
08-27-2015,10.91,11.14,10.83,11.00,569437
08-28-2015,11.18,11.85,10.95,11.62,450552
08-31-2015,11.86,12.24,11.40,11.88,617224
09-01-2015,11.49,12.00,11.25,11.86,745718
09-02-2015,12.00,12.15,10.50,11.59,510192
09-03-2015,11.48,11.90,11.10,11.64,219773
09-04-2015,11.56,11.63,11.03,11.56,171540
09-08-2015,12.00,12.00,10.91,11.55,708979
09-09-2015,11.75,11.90,11.15,11.39,334751
09-10-2015,11.44,11.87,11.44,11.69,369136
09-11-2015,11.50,11.69,11.25,11.50,427336
09-14-2015,11.41,11.51,10.94,11.25,405633
09-15-2015,11.18,11.49,11.00,11.49,346668
09-16-2015,11.40,11.50,11.00,11.31,323084
09-17-2015,11.24,11.64,11.24,11.40,314387
09-18-2015,11.30,11.90,11.11,11.58,1343311
09-21-2015,11.69,11.90,11.33,11.74,299565
09-22-2015,11.60,11.90,11.25,11.39,431990
09-23-2015,11.75,11.75,10.97,11.01,286986
09-24-2015,10.88,11.00,10.74,10.81,268558
09-25-2015,10.88,11.32,10.79,11.13,351627
09-28-2015,11.04,11.34,10.01,10.06,590291
09-29-2015,10.14,10.43,9.53,9.81,1040805
09-30-2015,9.90,10.74,9.71,10.37,3454469
10-01-2015,10.38,11.08,9.98,10.30,491872
10-02-2015,10.13,10.69,9.94,10.51,288250
10-05-2015,10.71,10.97,10.51,10.66,290295
10-06-2015,10.65,11.23,10.64,11.05,338887
10-07-2015,11.08,11.47,10.57,11.19,448457
10-08-2015,11.29,11.41,11.00,11.39,137893
10-09-2015,11.42,11.60,11.22,11.26,184033
10-12-2015,11.31,11.31,10.75,10.78,144290
10-13-2015,10.67,10.93,10.58,10.69,156660
10-14-2015,10.65,10.96,10.54,10.74,196271
10-15-2015,10.85,11.00,10.36,10.60,266287
10-16-2015,10.68,10.70,10.31,10.34,158423
10-19-2015,10.28,10.34,9.65,9.81,338741
10-20-2015,9.81,9.85,9.48,9.50,220248
10-21-2015,9.50,9.57,8.52,8.94,597257
10-22-2015,9.03,9.19,8.81,8.90,605372
10-23-2015,8.84,9.34,8.83,9.08,398649
10-26-2015,9.03,9.23,8.90,9.21,169614
10-27-2015,9.13,9.40,8.89,9.04,260302
10-28-2015,9.05,9.44,9.05,9.42,208079
10-29-2015,9.22,9.39,8.88,8.91,214253
10-30-2015,8.81,8.83,7.00,7.41,2015630
11-02-2015,7.37,7.58,7.11,7.36,603557
11-03-2015,7.37,7.70,7.19,7.52,852449
11-04-2015,7.68,7.92,7.50,7.71,754345
11-05-2015,7.80,8.11,7.72,8.07,307754
11-06-2015,8.02,8.10,7.57,7.82,293593
11-09-2015,8.29,8.29,7.55,7.73,199048
11-10-2015,7.67,7.93,7.25,7.27,395512
11-11-2015,7.24,7.45,6.87,6.99,536585
11-12-2015,6.99,6.99,6.36,6.58,506418
11-13-2015,6.39,7.93,6.39,7.31,989280
11-16-2015,7.40,7.40,6.84,7.00,624134
11-17-2015,7.04,7.25,6.51,6.72,1087697
11-18-2015,6.80,7.01,6.36,6.55,561593
11-19-2015,6.51,6.78,6.45,6.50,364738
11-20-2015,6.59,6.74,6.51,6.67,366586
11-23-2015,6.77,6.96,6.56,6.60,384623
11-24-2015,6.59,6.82,6.59,6.74,476357
11-25-2015,6.70,6.84,6.60,6.75,476005
11-27-2015,6.81,7.41,6.81,7.22,445734
11-30-2015,7.23,7.28,6.61,6.65,557335
12-01-2015,6.70,7.14,6.53,7.05,351898
