Date,Open,High,Low,Close,Volume
03-28-2012,18.00,18.00,18.00,18.00,0
03-29-2012,19.05,21.49,19.00,20.00,16530926
03-30-2012,20.20,21.50,20.20,21.10,1110962
04-02-2012,21.30,22.40,21.00,21.73,788180
04-03-2012,21.93,22.40,21.39,21.55,258621
04-04-2012,21.07,21.68,21.00,21.53,452543
04-05-2012,21.65,21.84,21.52,21.56,603151
04-09-2012,21.35,22.12,21.15,21.46,199140
04-10-2012,21.40,22.16,21.30,21.45,255332
04-11-2012,21.31,21.99,21.31,21.60,334594
04-12-2012,22.57,22.83,21.48,21.79,345264
04-13-2012,21.71,21.85,21.35,21.54,333015
04-16-2012,21.49,22.10,21.32,21.55,326856
04-17-2012,21.75,21.85,21.48,21.64,291553
04-18-2012,21.64,21.95,21.49,21.86,397582
04-19-2012,21.71,21.75,21.42,21.60,227130
04-20-2012,21.65,21.73,21.31,21.45,392726
04-23-2012,21.32,21.60,21.06,21.40,186941
04-24-2012,21.54,21.75,21.46,21.54,71063
04-25-2012,21.80,21.80,21.20,21.54,113903
04-26-2012,21.46,21.58,21.38,21.53,190632
04-27-2012,20.46,21.93,20.46,21.61,344586
04-30-2012,21.60,22.60,21.51,22.08,216088
05-01-2012,22.19,22.30,21.97,22.00,488924
05-02-2012,21.89,22.45,21.89,22.03,191915
05-03-2012,21.97,22.10,21.55,21.80,92081
05-04-2012,21.57,21.80,21.55,21.63,76994
05-07-2012,21.55,22.14,21.51,22.02,317839
05-08-2012,21.80,22.02,21.51,21.71,315133
05-09-2012,21.46,21.74,21.20,21.46,551106
05-10-2012,21.61,21.95,21.43,21.74,523123
05-11-2012,21.56,22.06,21.50,22.03,398778
05-14-2012,21.78,21.80,21.37,21.51,329478
05-15-2012,21.51,21.55,20.25,20.31,315973
05-16-2012,20.53,20.55,19.70,19.98,457505
05-17-2012,20.00,20.13,19.71,19.94,435787
05-18-2012,19.94,19.94,19.00,19.35,735426
05-21-2012,19.35,19.98,19.30,19.69,360408
05-22-2012,19.72,19.89,19.64,19.79,286190
05-23-2012,19.65,19.73,19.33,19.73,250858
05-24-2012,19.71,19.84,19.49,19.84,119632
05-25-2012,19.88,20.97,19.77,20.61,289273
05-29-2012,20.70,21.00,20.45,20.54,259837
05-30-2012,20.38,20.74,20.21,20.40,245799
05-31-2012,20.39,20.63,19.51,19.80,328019
06-01-2012,19.46,19.54,18.92,19.01,569171
06-04-2012,19.07,19.27,19.01,19.20,358904
06-05-2012,19.11,19.27,19.08,19.10,240960
06-06-2012,19.21,19.84,19.21,19.67,68421
06-07-2012,19.92,20.00,19.39,20.00,142842
06-08-2012,19.93,21.34,19.81,20.31,539548
06-11-2012,20.69,20.91,19.86,19.92,346810
06-12-2012,20.01,20.29,19.83,19.95,209734
06-13-2012,19.91,19.91,19.19,19.44,126313
06-14-2012,19.43,19.77,19.39,19.63,213124
06-15-2012,19.54,19.69,19.24,19.50,468820
06-18-2012,19.40,20.74,19.35,20.42,221543
06-19-2012,20.46,20.99,19.65,19.98,374494
06-20-2012,20.03,20.29,19.47,20.00,114637
06-21-2012,20.04,20.10,19.67,20.09,418256
06-22-2012,20.07,20.45,19.50,19.85,3592524
