Date,Open,High,Low,Close,Volume
05-25-2011,12.00,12.00,12.00,12.00,0
05-26-2011,11.35,11.68,11.11,11.55,6394749
05-27-2011,11.50,11.60,11.35,11.48,728574
05-31-2011,11.57,11.90,11.45,11.80,824333
06-01-2011,11.68,11.79,11.57,11.59,521608
06-02-2011,11.52,12.00,11.48,11.90,496963
06-03-2011,11.76,12.00,11.55,11.96,427060
06-06-2011,11.82,12.10,11.76,11.99,851870
06-07-2011,12.09,12.20,11.73,12.02,347930
06-08-2011,12.13,12.20,11.90,12.09,412497
06-09-2011,12.16,12.20,11.95,12.17,186423
06-10-2011,12.20,12.20,11.66,12.04,371260
06-13-2011,11.96,12.17,11.85,12.03,259065
06-14-2011,12.10,12.17,11.94,12.00,136424
06-15-2011,11.97,12.08,11.61,12.00,197656
06-16-2011,11.92,12.00,11.75,11.89,210797
06-17-2011,12.00,12.00,11.77,11.90,371378
06-20-2011,11.93,12.00,11.75,12.00,181171
06-21-2011,12.00,12.11,11.90,12.05,269704
06-22-2011,12.13,12.13,11.92,12.03,399234
06-23-2011,11.93,12.05,11.80,12.05,352657
06-24-2011,12.01,12.10,11.54,12.00,3031153
06-27-2011,11.87,12.00,11.74,12.00,408498
06-28-2011,11.74,12.31,11.74,12.30,622330
06-29-2011,12.27,12.33,11.95,12.26,428815
06-30-2011,12.21,12.21,11.77,11.99,244470
07-01-2011,12.08,12.47,12.04,12.40,314656
07-05-2011,12.56,12.69,12.05,12.15,331423
07-06-2011,12.26,13.36,12.26,13.17,1137933
07-07-2011,13.21,13.31,12.71,12.90,475917
07-08-2011,12.70,13.90,12.56,13.71,402579
07-11-2011,13.64,13.64,13.01,13.41,324326
07-12-2011,13.29,14.23,13.29,13.54,379806
07-13-2011,13.57,14.14,13.48,14.09,243139
07-14-2011,14.06,14.43,13.90,14.29,275715
07-15-2011,14.28,14.43,13.88,14.23,151221
07-18-2011,14.17,14.17,13.54,13.66,119787
07-19-2011,13.67,14.07,13.67,14.00,347372
07-20-2011,14.00,14.00,13.26,13.39,114201
07-21-2011,13.39,13.89,13.06,13.80,140292
07-22-2011,13.83,13.83,12.82,13.52,167537
07-25-2011,13.47,13.47,12.80,13.14,107744
07-26-2011,12.99,13.10,12.33,12.77,226499
07-27-2011,12.75,12.76,12.01,12.64,186816
07-28-2011,14.00,14.00,13.05,13.24,602390
07-29-2011,13.04,13.27,12.51,13.10,144610
08-01-2011,13.34,13.37,13.00,13.03,154476
08-02-2011,12.86,13.30,12.75,12.94,214051
08-03-2011,12.90,13.30,12.60,13.24,307582
08-04-2011,12.65,13.65,12.39,12.61,236052
08-05-2011,12.72,13.35,12.02,12.61,231829
08-08-2011,12.22,12.40,11.24,11.31,338741
08-09-2011,11.58,11.90,11.06,11.61,250747
08-10-2011,11.45,12.00,10.81,10.98,220345
08-11-2011,11.24,12.05,11.08,11.92,193707
08-12-2011,11.98,12.41,11.32,11.62,131879
08-15-2011,11.74,12.18,11.48,12.09,68166
08-16-2011,12.00,12.51,11.51,12.13,105672
08-17-2011,12.21,12.40,11.18,12.11,100222
08-18-2011,11.85,11.85,10.87,11.01,268504
08-19-2011,10.85,11.09,10.25,10.55,318356
08-22-2011,10.76,10.96,10.18,10.44,408533
08-23-2011,10.50,11.66,10.50,11.64,253056
08-24-2011,11.57,11.95,10.84,11.91,159916
08-25-2011,11.94,11.97,11.27,11.57,102510
08-26-2011,11.54,12.15,11.40,12.14,94895
08-29-2011,12.24,12.67,12.24,12.44,82986
08-30-2011,12.33,12.88,12.00,12.07,92261
08-31-2011,12.15,12.23,11.73,12.08,104907
09-01-2011,12.12,12.55,11.90,11.95,138396
09-02-2011,11.73,11.81,11.39,11.74,94523
09-06-2011,11.39,12.16,11.39,11.67,90053
09-07-2011,11.85,12.16,11.73,11.88,89037
09-08-2011,11.80,11.83,11.47,11.49,52527
09-09-2011,11.40,11.56,11.23,11.37,69453
09-12-2011,11.21,11.57,11.07,11.16,80107
09-13-2011,11.21,11.58,11.08,11.46,143366
