Date,Open,High,Low,Close,Volume
01-02-1990,0.0422,0.0422,0.0416,0.0416,0
01-03-1990,0.0416,0.0416,0.0411,0.0416,0
01-04-1990,0.0416,0.0422,0.0416,0.0416,0
01-05-1990,0.0411,0.0422,0.0411,0.0416,0
01-08-1990,0.0422,0.0426,0.0416,0.0416,0
01-09-1990,0.0416,0.0416,0.0416,0.0416,0
01-10-1990,0.0427,0.0427,0.0416,0.0416,0
01-11-1990,0.0424,0.0424,0.0416,0.0416,0
01-12-1990,0.0416,0.0424,0.0416,0.0416,0
01-15-1990,0.0422,0.0422,0.0411,0.0416,0
01-16-1990,0.0408,0.0416,0.0408,0.0416,0
01-17-1990,0.0426,0.0426,0.0416,0.0416,0
01-18-1990,0.0422,0.0422,0.0411,0.0416,0
01-19-1990,0.0416,0.0422,0.0411,0.0416,0
01-22-1990,0.0416,0.0422,0.0416,0.0416,0
01-23-1990,0.0424,0.0424,0.0416,0.0416,0
01-24-1990,0.0422,0.0422,0.0411,0.0416,0
01-25-1990,0.0424,0.0424,0.0416,0.0416,0
01-26-1990,0.0411,0.0416,0.0411,0.0416,0
01-29-1990,0.0416,0.0424,0.0416,0.0416,0
01-30-1990,0.0411,0.0416,0.0411,0.0416,0
01-31-1990,0.0408,0.0416,0.0408,0.0416,0
02-01-1990,0.0416,0.0416,0.0408,0.0416,0
02-02-1990,0.0416,0.0426,0.0416,0.0416,0
02-05-1990,0.0409,0.0416,0.0409,0.0416,0
02-06-1990,0.0412,0.0416,0.0412,0.0416,0
02-07-1990,0.0405,0.0416,0.0405,0.0416,0
02-08-1990,0.0404,0.0416,0.0404,0.0416,0
02-09-1990,0.0427,0.0431,0.0416,0.0416,0
02-12-1990,0.0427,0.0427,0.0416,0.0416,0
02-13-1990,0.0421,0.0421,0.0416,0.0416,0
02-14-1990,0.0477,0.0484,0.0471,0.0484,0
02-15-1990,0.0421,0.0421,0.0416,0.0416,0
02-16-1990,0.0421,0.0421,0.0416,0.0416,0
02-20-1990,0.0422,0.0422,0.0416,0.0416,0
02-21-1990,0.0427,0.0427,0.0416,0.0416,0
02-22-1990,0.0422,0.0422,0.0416,0.0416,0
02-23-1990,0.0422,0.0422,0.0416,0.0416,0
02-26-1990,0.0416,0.0416,0.0411,0.0416,0
02-27-1990,0.0416,0.0416,0.0416,0.0416,0
02-28-1990,0.0424,0.0424,0.0416,0.0416,0
03-01-1990,0.0416,0.0416,0.0416,0.0416,0
03-02-1990,0.0408,0.0416,0.0408,0.0416,0
03-05-1990,0.0412,0.0421,0.0412,0.0416,0
03-06-1990,0.0426,0.0426,0.0416,0.0416,0
03-07-1990,0.0422,0.0422,0.0416,0.0416,0
03-08-1990,0.0412,0.0416,0.0412,0.0416,0
03-09-1990,0.0422,0.0422,0.0411,0.0416,0
03-12-1990,0.0427,0.0432,0.0416,0.0416,0
03-13-1990,0.0424,0.0424,0.0416,0.0416,0
03-14-1990,0.0416,0.0422,0.0416,0.0416,0
03-15-1990,0.0416,0.0422,0.0411,0.0416,0
03-16-1990,0.0416,0.0416,0.0411,0.0416,0
03-19-1990,0.0416,0.0416,0.0416,0.0416,0
03-20-1990,0.0408,0.0416,0.0408,0.0416,0
03-21-1990,0.0411,0.0422,0.0411,0.0416,0
03-22-1990,0.0411,0.0416,0.0411,0.0416,0
03-23-1990,0.0416,0.0422,0.0416,0.0416,0
03-26-1990,0.0416,0.0416,0.0416,0.0416,0
03-27-1990,0.0416,0.0416,0.0416,0.0416,0
03-28-1990,0.0428,0.0428,0.0416,0.0416,0
03-29-1990,0.0411,0.0416,0.0411,0.0416,0
03-30-1990,0.0411,0.0416,0.0411,0.0416,0
04-02-1990,0.0416,0.0422,0.0416,0.0416,0
04-03-1990,0.0416,0.0424,0.0416,0.0416,0
04-04-1990,0.0424,0.0424,0.0416,0.0416,0
04-05-1990,0.0411,0.0416,0.0411,0.0416,0
04-06-1990,0.0424,0.0424,0.0416,0.0416,0
04-09-1990,0.0479,0.0484,0.0479,0.0484,0
04-10-1990,0.0484,0.0484,0.0479,0.0484,0
04-11-1990,0.0484,0.0488,0.0479,0.0484,0
04-12-1990,0.0479,0.0484,0.0479,0.0484,0
04-16-1990,0.0484,0.0484,0.0484,0.0484,0
04-17-1990,0.0416,0.0416,0.0416,0.0416,0
04-18-1990,0.0416,0.0416,0.0416,0.0416,0
04-19-1990,0.0416,0.0416,0.0411,0.0416,0
04-20-1990,0.0424,0.0424,0.0411,0.0416,0
04-23-1990,0.0422,0.0422,0.0416,0.0416,0
04-24-1990,0.0424,0.0424,0.0416,0.0416,0
04-25-1990,0.0416,0.0424,0.0416,0.0416,0
04-26-1990,0.0422,0.0427,0.0411,0.0416,0
04-27-1990,0.0416,0.0422,0.0411,0.0416,0
04-30-1990,0.0411,0.0428,0.0408,0.0416,0
05-01-1990,0.0422,0.0422,0.0416,0.0416,0
05-02-1990,0.0424,0.0424,0.0416,0.0416,0
