Date,Open,High,Low,Close,Volume
05-13-1998,3.16,3.24,3.13,3.13,0
05-14-1998,3.28,3.28,3.28,3.28,0
05-15-1998,3.28,3.28,3.19,3.19,0
05-18-1998,3.19,3.19,3.19,3.19,0
05-19-1998,3.83,3.91,3.75,3.83,0
05-20-1998,3.75,3.75,3.75,3.75,2
05-21-1998,3.98,4.13,3.88,3.88,1329
05-22-1998,3.98,4.16,3.98,4.13,175
05-26-1998,3.91,4.13,3.91,4.13,210
05-27-1998,3.98,3.98,3.98,3.98,2
05-28-1998,4.13,4.13,4.13,4.13,123
05-29-1998,4.13,4.13,4.02,4.13,123
06-01-1998,4.02,4.13,4.02,4.13,32
06-02-1998,3.88,4.13,3.88,4.13,248
06-03-1998,4.09,4.13,4.09,4.13,32
06-04-1998,4.13,4.13,3.88,3.88,36
06-05-1998,3.95,4.02,3.88,3.95,0
06-08-1998,3.88,3.88,3.88,3.88,14
06-09-1998,3.98,3.98,3.98,3.98,43
06-10-1998,3.98,4.02,3.98,4.02,112
06-11-1998,3.88,3.98,3.88,3.98,112
06-12-1998,3.91,3.98,3.91,3.98,112
06-15-1998,3.95,3.95,3.88,3.88,112
06-16-1998,3.80,3.88,3.73,3.80,0
06-17-1998,3.73,3.80,3.73,3.80,267
06-18-1998,3.73,3.77,3.73,3.75,10386
06-19-1998,3.75,3.75,3.75,3.75,0
06-22-1998,3.77,3.77,3.70,3.70,6902
06-23-1998,3.70,3.70,3.70,3.70,0
06-24-1998,3.70,3.70,3.59,3.59,22226
06-25-1998,3.59,3.59,3.59,3.59,27092
06-26-1998,3.52,3.55,3.37,3.37,47309
06-29-1998,3.45,3.45,3.43,3.45,36861
06-30-1998,3.46,3.46,3.46,3.46,1329
07-01-1998,3.46,3.46,3.46,3.46,0
07-02-1998,3.48,3.48,3.48,3.48,635
07-06-1998,3.52,3.52,3.52,3.52,3419
07-07-1998,3.48,3.48,3.41,3.47,25011
07-08-1998,3.39,3.45,3.39,3.45,2719
07-09-1998,3.46,3.48,3.46,3.48,22926
07-10-1998,3.46,3.48,3.45,3.48,6206
07-13-1998,3.59,3.66,3.59,3.66,13164
07-14-1998,3.59,3.70,3.59,3.70,29191
07-15-1998,3.66,3.80,3.66,3.80,43825
07-16-1998,3.68,3.73,3.59,3.73,23618
07-17-1998,3.84,3.88,3.82,3.88,45215
07-20-1998,3.80,3.80,3.80,3.80,10386
07-21-1998,3.77,3.77,3.77,3.77,7596
07-22-1998,3.73,3.73,3.70,3.70,15264
07-23-1998,3.66,3.66,3.66,3.66,3419
07-24-1998,3.64,3.73,3.64,3.73,9682
07-27-1998,3.64,3.73,3.64,3.73,8300
07-28-1998,3.66,3.73,3.66,3.73,15264
07-29-1998,3.73,3.73,3.73,3.73,0
07-30-1998,3.73,3.73,3.73,3.73,6902
07-31-1998,3.73,3.73,3.73,3.73,1329
08-03-1998,3.73,3.73,3.73,3.73,0
08-04-1998,3.64,3.64,3.27,3.27,27092
08-05-1998,3.59,3.59,3.59,3.59,1329
08-06-1998,3.59,3.59,3.59,3.59,0
08-07-1998,3.45,3.45,3.45,3.45,1329
08-10-1998,3.45,3.45,3.45,3.45,0
08-11-1998,3.45,3.45,3.45,3.45,6206
08-12-1998,3.19,3.34,3.19,3.30,11085
08-13-1998,3.30,3.30,3.16,3.16,15959
08-14-1998,3.12,3.12,3.12,3.12,3419
08-17-1998,3.16,3.45,3.16,3.39,27092
08-18-1998,3.39,3.39,3.39,3.39,18046
08-19-1998,3.30,3.41,3.30,3.30,50095
08-20-1998,3.37,3.37,3.30,3.37,20825
08-21-1998,3.34,3.34,3.34,3.34,13881
08-24-1998,3.30,3.30,3.09,3.30,13881
08-25-1998,3.30,3.30,3.30,3.30,0
08-26-1998,3.28,3.34,3.23,3.34,75169
08-27-1998,3.09,3.09,3.09,3.09,3419
08-28-1998,3.12,3.12,3.09,3.09,6206
08-31-1998,3.05,3.09,2.94,3.09,26405
09-01-1998,3.12,3.12,3.01,3.01,23618
09-02-1998,2.92,2.92,2.76,2.82,92586
09-03-1998,2.87,2.87,2.87,2.87,55673
09-04-1998,2.66,2.87,2.66,2.87,5509
09-08-1998,2.87,2.87,2.87,2.87,0
09-09-1998,2.73,2.87,2.73,2.87,1329
09-10-1998,3.01,3.01,3.01,3.01,0
09-11-1998,3.01,3.01,3.01,3.01,0
09-14-1998,2.88,2.88,2.56,2.58,19175
09-15-1998,2.58,2.58,2.58,2.58,9892
09-16-1998,2.64,2.71,2.58,2.66,35771
09-17-1998,2.71,2.71,2.71,2.71,19837
09-18-1998,2.64,2.64,2.64,2.64,26477
09-21-1998,2.56,2.56,2.56,2.56,5253
09-22-1998,2.86,2.86,2.86,2.86,3248
09-23-1998,2.56,2.56,2.56,2.56,605
09-24-1998,2.79,2.86,2.79,2.86,14529
09-25-1998,2.71,2.86,2.71,2.75,136611
09-28-1998,2.75,2.75,2.75,2.75,0
09-29-1998,2.71,2.79,2.71,2.79,7899
09-30-1998,2.81,2.81,2.81,2.81,16525
10-01-1998,2.77,2.81,2.77,2.77,48361
10-02-1998,2.77,2.77,2.77,2.77,0
10-05-1998,2.77,2.81,2.77,2.81,53673
10-06-1998,2.81,2.81,2.71,2.77,20500
10-07-1998,2.79,2.79,2.71,2.71,35771
10-08-1998,2.71,2.71,2.71,2.71,0
10-09-1998,2.71,2.71,2.71,2.71,41735
10-12-1998,2.79,2.79,2.79,2.79,13203
10-13-1998,2.79,2.79,2.79,2.79,0
10-14-1998,2.79,2.79,2.75,2.75,6564
10-15-1998,2.75,2.75,2.75,2.75,0
10-16-1998,2.79,2.79,2.79,2.79,3916
10-19-1998,2.75,2.75,2.75,2.75,13203
10-20-1998,2.75,2.75,2.75,2.75,0
10-21-1998,2.75,2.75,2.75,2.75,0
10-22-1998,2.60,2.64,2.60,2.64,8564
10-23-1998,2.64,2.64,2.64,2.64,0
10-26-1998,2.73,2.73,2.71,2.71,4584
10-27-1998,2.58,2.58,2.58,2.58,1923
10-28-1998,2.64,2.64,2.56,2.56,29133
10-29-1998,2.60,2.60,2.60,2.60,6564
10-30-1998,2.60,2.60,2.60,2.60,0
11-02-1998,2.68,2.68,2.68,2.68,605
11-03-1998,2.71,2.77,2.71,2.77,141249
11-04-1998,2.83,2.86,2.83,2.83,26477
11-05-1998,2.79,2.90,2.79,2.84,15857
11-06-1998,2.86,2.90,2.84,2.90,13881
11-09-1998,2.86,2.86,2.86,2.86,15857
11-10-1998,2.86,2.88,2.86,2.88,4584
11-11-1998,2.86,2.86,2.86,2.86,3248
11-12-1998,2.83,2.83,2.83,2.83,2593
11-13-1998,2.88,2.88,2.86,2.86,10553
11-16-1998,2.86,2.86,2.86,2.86,0
11-17-1998,2.84,2.84,2.84,2.84,3916
11-18-1998,2.86,2.86,2.83,2.83,15194
11-19-1998,2.83,2.83,2.83,2.83,0
11-20-1998,2.86,2.94,2.86,2.88,95472
11-23-1998,2.98,2.98,2.94,2.94,11873
11-24-1998,2.90,2.98,2.90,2.98,107425
11-25-1998,2.98,2.98,2.98,2.98,0
11-27-1998,2.98,2.98,2.98,2.98,0
11-30-1998,2.92,2.94,2.92,2.94,4584
12-01-1998,2.88,2.88,2.88,2.88,1923
12-02-1998,2.92,2.92,2.92,2.92,1923
12-03-1998,2.96,2.96,2.96,2.96,5913
12-04-1998,2.94,2.94,2.94,2.94,52343
12-07-1998,2.94,2.95,2.94,2.95,13203
12-08-1998,2.94,3.01,2.94,2.98,17182
12-09-1998,2.98,2.98,2.94,2.98,23154
12-10-1998,2.98,2.98,2.98,2.98,0
12-11-1998,2.94,2.94,2.94,2.94,19837
12-14-1998,2.92,2.94,2.92,2.94,5253
12-15-1998,2.94,2.94,2.94,2.94,0
12-16-1998,2.94,3.01,2.94,3.01,77570
12-17-1998,2.94,3.01,2.94,3.01,1923
12-18-1998,3.01,3.01,2.86,2.86,74252
12-21-1998,2.94,2.94,2.94,2.94,2593
12-22-1998,2.86,2.86,2.86,2.86,5253
12-23-1998,2.83,3.00,2.83,2.83,39741
12-24-1998,2.94,2.94,2.94,2.94,2593
12-28-1998,2.94,2.94,2.94,2.94,49690
12-29-1998,3.00,3.00,2.86,2.86,83523
12-30-1998,2.94,3.01,2.94,2.94,19837
12-31-1998,2.94,2.94,2.94,2.94,2593
01-04-1999,3.01,3.01,3.01,3.01,1923
01-05-1999,3.01,3.03,3.00,3.01,115387
01-06-1999,2.98,3.01,2.98,3.01,3248
01-07-1999,3.01,3.03,2.98,2.98,16525
01-08-1999,3.01,3.03,3.01,3.03,5913
01-11-1999,3.01,3.01,3.01,3.01,41072
01-12-1999,2.98,2.98,2.94,2.94,5253
01-13-1999,2.98,2.98,2.94,2.98,12541
01-14-1999,2.98,2.98,2.98,2.98,0
