Date,Open,High,Low,Close,Volume
04-18-2013,23.65,23.65,23.65,23.65,0
04-19-2013,26.77,30.37,26.51,29.37,24739408
04-22-2013,29.51,29.73,28.69,28.84,1839577
04-23-2013,28.84,29.31,28.52,28.78,938096
04-24-2013,28.60,29.09,27.83,28.45,802287
04-25-2013,28.46,29.89,28.06,29.09,821380
04-26-2013,28.85,29.08,28.04,28.31,1019794
04-29-2013,28.07,29.12,28.07,29.05,420057
04-30-2013,28.87,29.66,28.86,29.44,394071
05-01-2013,29.09,29.36,28.59,28.95,172712
05-02-2013,29.02,29.59,29.02,29.52,246095
05-03-2013,29.79,29.79,28.78,29.02,242978
05-06-2013,28.91,29.02,28.59,28.91,418517
05-07-2013,28.81,29.65,28.73,29.54,811989
05-08-2013,29.15,31.49,29.14,29.80,941144
05-09-2013,29.57,30.51,29.44,30.09,338390
05-10-2013,30.22,30.83,30.22,30.80,252098
05-13-2013,30.83,32.41,30.76,32.29,677716
05-14-2013,32.38,32.47,31.85,32.35,195092
05-15-2013,32.33,32.92,32.33,32.72,577755
05-16-2013,32.77,32.85,32.70,32.72,235674
05-17-2013,32.95,34.19,32.77,34.06,1202269
05-20-2013,33.77,34.74,33.45,34.04,516494
05-21-2013,33.97,34.37,33.14,33.39,893895
05-22-2013,33.39,33.89,32.56,33.05,514688
05-23-2013,32.41,32.84,30.33,32.82,1095503
05-24-2013,32.77,33.76,32.57,33.28,176960
05-28-2013,33.92,33.97,32.86,33.04,387657
05-29-2013,31.77,32.53,31.19,31.67,653314
05-30-2013,31.57,31.74,30.97,31.19,515205
05-31-2013,31.25,31.88,30.52,31.00,519257
06-03-2013,30.68,31.22,29.94,31.22,922114
06-04-2013,31.55,32.65,31.35,32.06,326356
06-05-2013,32.06,32.55,31.86,31.88,148563
06-06-2013,31.95,32.84,31.85,32.81,288851
06-07-2013,32.84,33.09,32.55,32.91,120955
06-10-2013,32.88,33.16,32.42,33.05,292062
06-11-2013,32.61,32.69,32.20,32.43,223484
06-12-2013,32.57,32.63,31.88,32.09,235026
06-13-2013,31.97,32.53,31.22,32.53,265125
06-14-2013,32.28,33.36,32.03,33.25,309932
06-17-2013,33.59,34.22,32.84,33.20,343743
06-18-2013,33.20,33.89,33.15,33.46,538069
06-19-2013,33.44,33.90,33.22,33.71,463258
06-20-2013,33.45,33.79,33.22,33.47,659486
06-21-2013,33.46,33.74,33.19,33.23,1362508
06-24-2013,32.97,33.19,31.97,32.97,250683
06-25-2013,33.16,33.20,31.78,31.97,308340
06-26-2013,32.14,32.19,30.72,31.31,950424
06-27-2013,31.35,31.62,30.66,30.91,448719
06-28-2013,30.94,31.68,30.86,30.91,1891507
07-01-2013,30.91,32.35,30.70,32.07,426443
07-02-2013,32.06,32.16,31.15,31.44,281590
07-03-2013,31.31,31.33,30.72,30.98,257015
07-05-2013,31.07,31.88,31.00,31.22,214464
07-08-2013,31.25,32.24,31.25,32.14,432000
07-09-2013,32.36,33.91,32.14,33.88,1274779
07-10-2013,33.91,34.30,33.34,33.93,325244
07-11-2013,34.30,34.35,33.64,34.28,403448
07-12-2013,34.30,34.34,33.46,33.75,226029
07-15-2013,33.78,34.52,33.75,34.24,220651
07-16-2013,34.24,34.28,33.38,34.09,194272
07-17-2013,33.95,34.10,33.60,33.73,77457
07-18-2013,33.73,33.89,33.23,33.63,121489
07-19-2013,33.52,34.06,33.46,33.73,146249
07-22-2013,33.67,33.67,33.37,33.51,86839
07-23-2013,33.52,34.30,33.47,33.76,530094
07-24-2013,33.72,33.98,33.03,33.30,961259
07-25-2013,33.20,33.38,32.71,33.00,146106
07-26-2013,32.82,33.18,32.40,33.14,123073
07-29-2013,33.05,33.39,32.85,33.06,115064
07-30-2013,32.95,33.42,32.22,32.42,418659
07-31-2013,32.38,32.82,31.84,32.30,284657
08-01-2013,32.38,32.70,32.30,32.60,119951
08-02-2013,32.62,33.01,32.11,32.24,387209
08-05-2013,32.23,32.74,31.94,32.59,363673
08-06-2013,32.59,32.59,32.20,32.48,296111
08-07-2013,32.32,32.54,32.08,32.16,174373
08-08-2013,32.31,32.33,31.48,31.48,243777
08-09-2013,31.49,31.72,30.98,31.66,220874
08-12-2013,31.45,32.16,31.10,32.11,221733
08-13-2013,32.12,32.30,31.60,31.98,395786
08-14-2013,29.06,31.18,28.91,30.77,2542615
08-15-2013,30.61,30.61,29.43,29.50,354726
08-16-2013,29.61,30.15,29.40,29.84,151048
08-19-2013,29.73,29.87,29.39,29.51,119746
08-20-2013,29.57,29.78,29.44,29.48,103433
08-21-2013,29.49,29.80,29.07,29.40,89155
08-22-2013,29.39,29.60,29.06,29.54,257764
08-23-2013,29.63,29.65,29.06,29.32,214836
08-26-2013,29.38,29.69,29.06,29.13,90269
08-27-2013,28.98,29.12,27.88,27.97,1305942
08-28-2013,27.91,28.10,26.07,26.16,1089292
08-29-2013,26.42,27.92,25.97,26.06,2114801
08-30-2013,26.27,26.63,26.07,26.36,449601
09-03-2013,26.69,27.20,26.01,26.25,753344
09-04-2013,26.15,26.22,25.51,25.84,1135152
09-05-2013,25.92,26.48,25.41,26.47,550919
09-06-2013,26.43,26.68,25.85,26.42,962113
09-09-2013,26.44,26.53,25.40,25.77,673045
09-10-2013,25.79,26.57,25.76,26.23,597555
09-11-2013,26.14,26.27,25.00,25.23,691379
09-12-2013,26.86,27.60,26.03,27.16,1374603
09-13-2013,27.22,27.68,26.52,27.68,395339
09-16-2013,27.79,28.00,27.06,27.27,417056
09-17-2013,27.21,27.55,27.17,27.49,269551
09-18-2013,27.43,28.05,27.35,27.74,182809
09-19-2013,27.75,28.13,27.57,27.98,301538
09-20-2013,28.04,28.29,27.93,28.13,445515
09-23-2013,28.06,28.37,27.80,28.13,660451
09-24-2013,28.16,28.26,27.81,28.06,246057
09-25-2013,28.05,28.22,27.08,27.28,1336500
09-26-2013,27.27,27.45,26.77,27.06,197235
09-27-2013,26.96,27.21,26.67,26.78,87611
09-30-2013,26.59,26.81,26.05,26.26,350479
10-01-2013,26.34,27.20,26.28,26.86,404050
10-02-2013,26.78,26.88,26.50,26.66,87530
10-03-2013,26.59,26.75,26.11,26.28,240430
10-04-2013,26.31,26.31,25.47,25.97,996044
10-07-2013,25.77,26.01,25.77,25.82,96070
10-08-2013,25.76,25.83,24.74,24.99,292209
10-09-2013,24.99,25.12,24.36,24.52,504607
10-10-2013,24.74,25.00,24.66,24.86,564766
10-11-2013,24.78,25.61,24.73,25.37,322307
10-14-2013,25.37,25.49,24.75,25.48,553964
10-15-2013,25.37,25.86,25.17,25.32,305583
10-16-2013,25.53,26.07,25.53,25.89,304789
10-17-2013,25.87,26.38,25.79,26.21,322508
10-18-2013,26.34,26.78,26.24,26.57,324542
10-21-2013,26.56,26.56,26.09,26.38,284628
10-22-2013,26.39,26.71,25.90,26.09,262552
10-23-2013,25.86,26.05,25.43,25.45,221885
10-24-2013,25.45,26.42,25.42,26.38,293825
10-25-2013,26.38,26.72,26.13,26.58,140242
10-28-2013,26.54,27.09,26.24,26.88,370277
10-29-2013,26.94,27.14,26.51,26.62,259488
10-30-2013,26.70,27.03,26.13,26.46,199164
10-31-2013,26.40,26.76,26.34,26.62,222599
11-01-2013,26.56,26.56,26.06,26.35,288897
11-04-2013,26.37,26.56,25.70,26.30,129612
11-05-2013,26.17,26.34,25.82,26.00,165283
11-06-2013,26.03,27.28,25.88,27.02,352493
11-07-2013,27.03,27.49,26.90,27.36,605443
11-08-2013,27.35,27.54,26.93,27.19,186706
11-11-2013,27.12,28.12,27.04,27.66,567114
11-12-2013,28.97,29.27,28.17,28.29,864409
11-13-2013,28.28,29.14,28.19,29.09,632611
11-14-2013,29.01,30.14,26.92,27.20,2903350
11-15-2013,27.29,28.59,27.29,27.92,1715664
11-18-2013,27.88,28.60,27.88,28.41,578183
11-19-2013,28.28,28.72,28.06,28.20,436353
11-20-2013,27.69,28.62,26.35,27.65,642047
11-21-2013,27.58,28.00,27.06,27.12,304605
11-22-2013,27.16,27.42,26.92,27.05,229494
11-25-2013,27.17,27.23,26.25,26.47,354703
11-26-2013,26.47,26.82,26.10,26.24,667728
11-27-2013,26.01,26.84,25.98,26.28,360732
11-29-2013,26.28,26.43,26.09,26.43,139720
12-02-2013,26.35,26.90,26.11,26.60,469515
12-03-2013,26.58,26.81,26.05,26.28,969709
12-04-2013,26.29,26.77,26.05,26.19,315920
12-05-2013,26.25,26.81,26.12,26.31,401648
12-06-2013,26.44,26.77,26.21,26.29,226377
12-09-2013,26.13,26.60,25.93,26.46,324532
12-10-2013,26.02,26.71,25.94,26.26,1722077
12-11-2013,26.24,26.81,26.10,26.66,1754965
12-12-2013,26.41,26.72,25.80,26.07,8458883
12-13-2013,26.06,26.25,25.49,25.98,3551972
12-16-2013,26.02,26.54,25.90,26.14,1628748
12-17-2013,26.15,26.40,25.93,26.00,727195
12-18-2013,25.95,26.66,25.86,26.52,691783
12-19-2013,26.36,26.66,26.07,26.12,610893
12-20-2013,26.11,26.42,25.96,26.19,1034548
12-23-2013,26.18,26.32,25.59,25.69,3682948
12-24-2013,25.68,25.96,25.37,25.94,966042
12-26-2013,25.91,26.01,25.38,25.47,899492
12-27-2013,25.60,25.60,25.21,25.55,1583585
12-30-2013,25.61,25.61,25.01,25.10,1450088
12-31-2013,25.08,25.86,24.99,25.68,2558098
01-02-2014,25.71,26.19,25.53,25.90,1452401
01-03-2014,25.88,26.11,25.73,25.79,1443336
01-06-2014,25.76,25.83,24.99,25.18,1584536
01-07-2014,25.19,25.28,24.99,25.09,1287467
01-08-2014,25.14,25.14,24.53,24.80,2473202
01-09-2014,24.88,25.03,24.68,24.96,1432479
01-10-2014,24.99,26.41,24.99,26.28,3614404
01-13-2014,26.27,27.64,26.27,26.86,3669758
01-14-2014,27.02,27.73,27.02,27.47,2966708
01-15-2014,27.42,27.94,27.15,27.66,1394606
01-16-2014,27.79,30.02,27.77,29.98,3008651
01-17-2014,29.52,29.84,29.01,29.68,1485718
01-21-2014,29.66,29.87,29.01,29.44,817886
01-22-2014,29.46,29.69,29.32,29.40,213336
01-23-2014,29.27,29.92,28.94,29.84,770473
01-24-2014,29.51,29.84,29.19,29.61,1008485
01-27-2014,29.68,29.77,29.03,29.59,607582
01-28-2014,29.48,30.12,29.37,29.66,727799
01-29-2014,29.54,29.59,28.97,29.11,1182370
01-30-2014,29.26,29.47,28.53,28.60,1281720
01-31-2014,28.43,29.04,27.88,28.93,561776
02-03-2014,28.80,29.01,27.31,27.76,1016329
02-04-2014,27.87,28.21,27.70,28.12,255185
02-05-2014,28.01,28.22,27.78,27.86,511730
02-06-2014,27.89,28.72,27.72,28.47,741261
02-07-2014,28.58,29.12,28.26,29.10,613835
02-10-2014,28.98,29.24,28.89,29.02,600181
02-11-2014,29.03,29.31,28.78,29.04,435368
02-12-2014,29.01,29.21,28.92,29.02,640444
02-13-2014,28.93,29.36,28.78,29.28,286389
02-14-2014,29.23,30.09,29.13,29.68,340953
02-18-2014,29.68,30.13,29.68,29.81,792451
02-19-2014,29.84,30.19,29.53,30.11,348359
02-20-2014,30.14,30.30,29.92,30.13,332082
02-21-2014,30.13,30.13,29.74,29.90,346414
02-24-2014,29.88,30.44,29.86,30.34,407503
02-25-2014,30.40,31.01,30.34,30.84,501635
02-26-2014,30.92,31.50,30.46,30.60,601307
02-27-2014,30.67,30.84,30.34,30.57,287325
02-28-2014,30.45,30.77,29.95,30.47,475294
03-03-2014,30.12,30.29,29.55,30.14,806190
03-04-2014,30.30,31.24,30.22,30.70,522134
03-05-2014,30.67,31.27,30.54,31.17,668120
03-06-2014,31.24,31.41,31.02,31.34,297848
03-07-2014,31.43,31.43,29.02,29.56,3382352
03-10-2014,29.52,30.34,29.26,30.23,1031713
03-11-2014,30.18,30.89,29.84,29.99,587900
03-12-2014,29.81,30.01,28.73,28.89,2075314
03-13-2014,28.86,28.93,27.92,28.12,1391197
03-14-2014,27.76,29.52,27.22,29.06,2695333
03-17-2014,29.08,29.11,27.49,28.27,1457132
03-18-2014,27.89,28.77,27.89,28.71,696989
03-19-2014,28.70,29.02,28.67,29.01,546172
03-20-2014,28.80,29.63,28.76,29.46,720258
03-21-2014,29.46,29.94,29.36,29.79,1507967
03-24-2014,29.06,29.16,28.27,28.72,1237022
03-25-2014,28.65,28.66,28.04,28.62,1233060
03-26-2014,28.52,28.79,27.80,27.90,1140264
03-27-2014,27.84,28.20,27.22,27.27,1566729
03-28-2014,27.47,27.88,27.01,27.07,1284749
03-31-2014,27.24,27.53,26.77,27.15,1430845
04-01-2014,27.19,27.46,26.77,26.95,993631
04-02-2014,27.07,27.63,26.68,27.34,2872332
04-03-2014,26.63,27.20,26.42,26.95,3118804
04-04-2014,27.73,27.75,26.72,26.92,10325223
04-07-2014,26.77,27.11,26.32,26.34,3376818
04-08-2014,26.41,28.00,26.05,27.75,7080450
04-09-2014,27.75,28.58,27.60,28.52,2581502
04-10-2014,28.62,28.67,27.36,27.36,2000949
04-11-2014,27.11,27.30,26.52,26.94,1398239
04-14-2014,27.22,27.22,26.27,26.66,1051170
04-15-2014,26.61,26.81,26.12,26.77,1238088
04-16-2014,26.96,27.17,26.58,26.70,666880
