Date,Open,High,Low,Close,Volume
03-25-2015,18.00,18.00,18.00,18.00,0
03-26-2015,20.00,21.89,19.49,20.70,6553575
03-27-2015,20.70,21.59,20.29,21.07,932372
03-30-2015,21.50,22.49,21.00,22.07,443342
03-31-2015,22.30,22.50,21.61,21.93,274250
04-01-2015,21.93,22.39,21.71,22.24,207162
04-02-2015,22.25,23.43,22.08,23.07,248814
04-06-2015,23.64,23.85,22.24,22.48,161846
04-07-2015,22.38,23.66,22.21,23.21,144837
04-08-2015,23.50,24.10,23.11,23.72,176268
04-09-2015,24.25,24.74,24.00,24.28,322656
04-10-2015,24.46,24.70,23.89,24.13,169116
04-13-2015,24.25,24.48,23.93,24.33,246290
04-14-2015,24.48,24.67,24.29,24.51,169265
04-15-2015,24.26,24.70,24.00,24.23,168017
04-16-2015,24.25,25.67,24.02,25.45,494773
04-17-2015,25.34,25.57,24.07,24.75,252733
04-20-2015,25.53,25.78,24.33,24.61,313028
04-21-2015,24.97,24.98,23.55,23.68,255504
04-22-2015,23.92,24.24,23.61,23.81,270825
04-23-2015,23.98,24.81,23.98,24.79,237844
04-24-2015,24.94,25.24,24.80,24.89,266411
04-27-2015,25.14,25.73,25.14,25.44,388018
04-28-2015,25.60,27.31,25.29,26.60,395558
04-29-2015,26.75,26.95,25.51,25.74,239504
04-30-2015,26.23,26.23,24.93,25.00,173546
05-01-2015,27.00,27.67,26.18,26.77,382821
05-04-2015,27.50,30.00,27.16,28.61,648958
05-05-2015,28.61,29.00,26.65,27.53,295216
05-06-2015,27.53,27.80,25.84,26.08,303821
05-07-2015,26.09,26.72,25.22,26.39,636728
05-08-2015,31.87,32.00,29.22,31.10,1611437
05-11-2015,31.65,35.88,31.11,33.96,1227557
05-12-2015,34.29,35.64,33.26,34.14,748984
05-13-2015,34.91,35.13,32.08,32.22,750263
05-14-2015,32.68,34.42,32.65,34.21,496156
05-15-2015,34.72,37.85,34.06,37.35,863493
05-18-2015,38.09,38.13,36.28,37.23,422449
05-19-2015,37.24,37.87,35.41,35.69,360876
05-20-2015,35.78,36.82,35.50,35.85,321730
05-21-2015,36.01,36.40,34.08,35.42,365594
05-22-2015,35.09,35.57,33.54,34.22,317613
05-26-2015,33.84,36.16,33.35,35.98,422003
05-27-2015,36.04,37.50,35.15,36.69,352364
05-28-2015,37.29,39.37,36.80,37.92,699720
05-29-2015,38.34,39.54,36.57,37.44,649893
06-01-2015,39.29,40.15,38.02,40.00,606514
06-02-2015,40.00,41.42,37.18,37.45,1034887
06-03-2015,37.57,38.94,37.45,38.51,530652
06-04-2015,39.25,41.20,39.00,40.81,684077
06-05-2015,40.92,41.25,39.11,39.38,409748
06-08-2015,39.73,40.16,37.71,38.67,598218
06-09-2015,38.66,39.32,36.88,38.80,385365
06-10-2015,39.01,40.50,38.05,38.35,451995
06-11-2015,38.37,39.40,38.15,38.60,282864
06-12-2015,38.22,38.63,36.90,37.10,475813
06-15-2015,37.10,37.70,35.20,37.53,449888
06-16-2015,37.40,39.38,36.62,38.91,593944
06-17-2015,38.96,39.79,37.74,39.51,482321
06-18-2015,39.51,40.38,38.71,39.20,415771
06-19-2015,39.30,42.70,39.06,42.20,1357157
06-22-2015,42.86,43.00,39.13,39.51,1270989
06-23-2015,39.38,40.01,38.28,39.43,529794
06-24-2015,39.12,40.63,39.12,39.56,521190
06-25-2015,39.94,40.28,39.00,39.02,401873
06-26-2015,39.00,39.36,37.55,38.18,487422
06-29-2015,37.29,37.50,35.28,35.67,1201196
06-30-2015,36.08,36.79,35.77,36.35,414695
07-01-2015,36.90,38.11,36.12,36.68,462584
07-02-2015,36.99,37.72,35.80,36.09,347734
07-06-2015,35.52,35.52,32.52,32.79,1152725
07-07-2015,33.00,33.20,28.26,30.72,1945829
07-08-2015,30.20,30.80,27.27,27.48,1084576
07-09-2015,29.00,30.08,27.62,27.91,1230191
07-10-2015,29.19,32.44,28.75,31.89,1166983
07-13-2015,31.59,34.49,30.75,33.44,936083
07-14-2015,33.58,34.11,32.20,32.50,737722
07-15-2015,32.40,33.44,31.40,32.08,435447
07-16-2015,32.24,32.76,31.17,31.90,557300
07-17-2015,32.29,32.39,30.90,31.35,736658
07-20-2015,32.66,34.20,31.76,32.05,875506
07-21-2015,31.88,32.15,29.50,30.18,1241772
07-22-2015,29.95,30.27,29.12,29.27,744943
07-23-2015,29.15,30.88,29.06,29.11,753194
07-24-2015,29.25,29.63,28.27,29.44,607052
07-27-2015,29.26,29.98,27.85,27.99,542377
07-28-2015,28.12,30.76,27.30,30.14,595201
07-29-2015,30.09,30.99,29.20,30.80,353139
07-30-2015,30.81,31.46,30.31,31.33,288237
07-31-2015,31.42,32.19,30.75,30.87,268461
08-03-2015,30.72,32.07,30.21,31.30,342916
08-04-2015,31.12,32.08,29.21,29.72,479804
08-05-2015,30.22,31.55,30.15,30.75,513087
08-06-2015,30.75,31.21,27.09,27.40,993417
08-07-2015,27.50,28.89,27.40,28.59,526259
08-10-2015,28.56,29.00,26.57,27.83,797320
08-11-2015,26.77,28.48,26.74,28.00,660690
08-12-2015,28.00,30.88,26.13,30.30,1699222
08-13-2015,32.52,33.70,26.13,27.26,3060768
08-14-2015,27.05,28.93,26.64,27.28,871437
08-17-2015,27.54,27.98,26.74,27.88,573833
08-18-2015,27.89,28.39,26.72,26.88,429734
08-19-2015,26.61,27.00,23.43,25.09,1567520
08-20-2015,24.60,25.55,24.01,24.60,549406
08-21-2015,24.00,25.09,21.98,22.44,1201461
08-24-2015,16.40,24.87,15.60,23.20,1680633
08-25-2015,25.25,25.40,24.00,24.00,603612
08-26-2015,24.81,24.92,23.00,23.89,453430
08-27-2015,24.59,25.84,24.25,25.52,504507
08-28-2015,25.25,26.48,25.11,25.41,368022
08-31-2015,25.29,25.93,24.75,25.12,345661
09-01-2015,24.50,25.60,24.25,24.86,387337
09-02-2015,25.31,25.56,24.63,25.41,253294
09-03-2015,26.01,27.74,25.73,27.12,723942
09-04-2015,26.66,27.21,26.13,26.54,547458
09-08-2015,27.68,27.68,26.29,27.05,268045
09-09-2015,26.91,27.74,26.06,26.84,460539
09-10-2015,26.80,29.02,26.70,27.95,947590
09-11-2015,28.23,29.00,27.77,28.79,966469
09-14-2015,29.03,29.03,27.15,27.56,491601
09-15-2015,27.79,28.57,27.36,28.42,397586
09-16-2015,28.38,29.26,27.83,27.87,402622
09-17-2015,28.02,28.24,26.65,27.09,650240
09-18-2015,26.60,27.77,26.05,27.60,647074
09-21-2015,27.59,27.65,24.81,25.90,1026965
09-22-2015,24.71,26.03,24.71,25.19,597541
09-23-2015,25.09,25.90,24.25,24.30,327481
09-24-2015,24.25,24.37,23.18,23.89,550256
09-25-2015,24.36,25.65,24.36,24.54,419961
09-28-2015,24.14,24.61,21.35,21.57,645422
09-29-2015,22.00,22.69,21.58,22.58,760473
09-30-2015,23.36,23.76,22.21,22.92,578172
10-01-2015,22.06,22.25,20.64,21.76,721733
10-02-2015,21.45,22.72,21.16,22.70,591801
10-05-2015,22.83,24.83,22.83,24.51,1175153
