Date,Open,High,Low,Close,Volume
07-26-1993,10.37,10.37,10.25,10.37,8859770
07-27-1993,10.25,10.25,10.18,10.18,1989115
07-28-1993,10.18,10.18,9.68,9.68,2791804
07-29-1993,9.61,9.68,9.24,9.30,763748
07-30-1993,9.30,9.68,9.30,9.61,845161
08-02-1993,9.55,9.68,9.49,9.61,864924
08-03-1993,9.61,10.25,9.61,10.25,1222595
08-04-1993,10.25,10.25,10.06,10.06,442240
08-05-1993,10.37,10.44,10.25,10.25,336321
08-06-1993,10.31,10.31,10.12,10.31,256094
08-09-1993,10.31,10.63,10.31,10.63,1092768
08-10-1993,10.88,11.07,10.82,11.07,962543
08-11-1993,11.13,11.51,11.13,11.26,926181
08-12-1993,12.65,13.03,12.21,13.03,1666818
08-13-1993,12.65,12.65,12.15,12.40,367546
08-16-1993,12.71,12.78,12.59,12.65,593806
08-17-1993,12.46,12.52,12.34,12.46,134362
08-18-1993,12.34,12.40,11.83,12.02,417339
08-19-1993,11.83,11.83,11.45,11.83,515550
08-20-1993,11.89,12.27,11.89,12.27,134362
08-23-1993,12.15,12.15,11.96,12.15,179814
08-24-1993,12.15,12.59,12.08,12.59,294030
08-25-1993,12.46,12.46,12.15,12.27,81008
08-26-1993,12.40,12.52,12.27,12.40,499741
08-27-1993,12.65,12.84,12.59,12.78,307666
08-30-1993,12.78,13.16,12.65,13.03,115000
08-31-1993,13.16,13.35,13.09,13.35,354896
09-01-1993,13.03,13.16,12.65,12.78,75675
09-02-1993,12.90,12.90,12.65,12.78,39316
09-03-1993,12.78,12.78,12.52,12.71,15603
09-07-1993,12.34,12.40,12.27,12.27,39708
09-08-1993,12.40,12.40,12.15,12.27,149581
09-09-1993,12.27,12.27,12.08,12.27,18962
09-10-1993,12.27,12.65,12.21,12.52,78837
09-13-1993,12.27,12.40,12.15,12.40,111047
09-14-1993,12.52,12.65,12.21,12.59,175468
09-15-1993,12.46,12.65,12.27,12.65,294822
09-16-1993,12.40,12.52,12.02,12.52,146817
09-17-1993,12.40,12.52,12.40,12.46,132388
09-20-1993,12.46,12.46,12.08,12.08,211826
09-21-1993,12.40,12.52,12.15,12.40,196413
09-22-1993,12.52,12.52,12.40,12.46,125669
09-23-1993,12.59,12.78,12.02,12.15,162027
09-24-1993,12.21,12.40,12.02,12.02,242260
09-27-1993,12.02,12.15,11.96,12.08,280200
09-28-1993,12.02,12.46,11.96,12.46,192460
09-29-1993,12.65,13.09,12.65,13.03,325847
09-30-1993,12.90,13.16,12.90,13.09,710197
10-01-1993,13.09,13.16,12.90,12.90,144051
10-04-1993,12.84,12.90,12.52,12.65,118356
10-05-1993,12.65,12.65,12.65,12.65,96821
10-06-1993,12.78,12.97,12.78,12.84,333750
10-07-1993,13.41,13.41,13.03,13.03,302331
10-08-1993,12.97,13.09,12.90,13.03,130811
10-11-1993,13.16,13.22,13.03,13.16,97016
10-12-1993,13.60,13.60,13.41,13.60,397975
10-13-1993,13.98,13.98,13.85,13.85,250757
10-14-1993,14.36,15.06,14.36,14.68,576218
10-15-1993,14.80,14.80,14.30,14.42,261627
10-18-1993,14.55,14.61,14.42,14.55,144246
10-19-1993,13.92,13.98,13.66,13.66,141477
10-20-1993,14.30,14.42,14.04,14.11,255301
10-21-1993,14.68,14.80,14.30,14.36,208667
10-22-1993,14.23,14.30,14.04,14.23,127843
