Date,Open,High,Low,Close,Volume
07-11-2005,87.48,87.48,87.48,87.48,1136
07-12-2005,87.48,87.48,87.48,87.48,0
07-13-2005,87.48,87.48,87.48,87.48,0
07-14-2005,87.48,87.48,87.48,87.48,0
07-15-2005,87.48,87.48,87.48,87.48,0
07-18-2005,87.48,87.48,87.48,87.48,44488
07-19-2005,87.48,87.48,87.48,87.48,0
07-20-2005,87.48,87.48,87.48,87.48,0
07-21-2005,87.70,87.70,87.70,87.70,1136
07-22-2005,87.70,87.70,87.70,87.70,0
07-25-2005,88.31,88.31,87.74,87.87,58179
07-26-2005,87.87,87.87,87.87,87.87,0
07-27-2005,87.87,87.87,87.87,87.87,0
07-28-2005,87.87,87.87,87.87,87.87,0
07-29-2005,87.87,87.87,87.87,87.87,0
08-01-2005,87.65,87.65,87.65,87.65,57035
08-02-2005,87.65,87.65,87.65,87.65,0
08-03-2005,87.79,87.83,87.79,87.83,68899
08-04-2005,87.83,87.83,87.83,87.83,0
08-05-2005,88.00,88.00,88.00,88.00,334
08-08-2005,88.00,88.00,88.00,88.00,0
08-09-2005,87.92,87.92,87.92,87.92,57035
08-10-2005,87.92,87.92,87.92,87.92,0
08-11-2005,87.92,87.92,87.92,87.92,0
08-12-2005,87.92,87.92,87.92,87.92,0
08-15-2005,88.40,88.53,88.36,88.53,798815
08-16-2005,88.53,88.53,88.53,88.53,0
08-17-2005,88.53,88.53,88.53,88.53,0
08-18-2005,88.53,88.53,88.53,88.53,0
08-19-2005,88.53,88.53,88.53,88.53,0
08-22-2005,88.53,88.53,88.53,88.53,171121
08-23-2005,88.53,88.53,88.53,88.53,0
08-24-2005,88.64,88.64,88.64,88.64,114078
08-25-2005,88.64,88.64,88.64,88.64,0
08-26-2005,88.56,88.75,88.56,88.75,1248
08-29-2005,88.75,88.75,88.75,88.75,0
08-30-2005,88.75,88.75,88.75,88.75,0
08-31-2005,88.31,88.53,88.09,88.32,114078
09-01-2005,88.41,88.48,88.41,88.48,68444
09-02-2005,88.48,88.48,88.48,88.48,0
09-06-2005,88.48,88.48,88.48,88.48,0
09-07-2005,88.76,88.76,88.76,88.76,334
09-08-2005,88.76,88.76,88.76,88.76,0
09-09-2005,88.76,88.76,88.76,88.76,0
09-12-2005,88.76,88.76,88.76,88.76,0
09-13-2005,88.53,88.53,88.53,88.53,334
09-14-2005,88.53,88.53,88.49,88.49,1476
09-15-2005,88.49,88.49,88.49,88.49,0
09-16-2005,88.49,88.80,88.49,88.79,7978
09-19-2005,88.79,88.79,88.79,88.79,0
09-20-2005,88.79,88.79,88.79,88.79,0
09-21-2005,88.79,88.79,88.79,88.79,0
09-22-2005,89.23,89.23,89.23,89.23,222
09-23-2005,89.23,89.23,89.23,89.23,0
09-26-2005,89.23,89.23,89.23,89.23,0
09-27-2005,89.23,89.23,89.23,89.23,0
09-28-2005,89.23,89.23,89.23,89.23,0
09-29-2005,89.23,89.23,89.23,89.23,0
09-30-2005,89.23,89.23,89.23,89.23,0
10-03-2005,89.23,89.23,89.23,89.23,108
10-04-2005,89.23,89.23,89.23,89.23,0
10-05-2005,88.97,88.97,88.97,88.97,676
10-06-2005,88.97,88.97,88.97,88.97,0
10-07-2005,88.97,88.97,88.97,88.97,0
10-10-2005,88.97,88.97,88.97,88.97,0
10-11-2005,88.97,88.97,88.97,88.97,0
10-12-2005,88.97,88.97,88.97,88.97,0
10-13-2005,88.97,88.97,88.97,88.97,0
10-14-2005,89.19,89.19,88.97,88.97,1136
10-17-2005,88.97,88.97,88.97,88.97,0
10-18-2005,88.97,88.97,88.97,88.97,0
10-19-2005,88.97,88.97,88.97,88.97,0
10-20-2005,88.97,88.97,88.97,88.97,0
10-21-2005,88.66,88.66,88.66,88.66,39012
10-24-2005,89.19,89.19,89.19,89.19,791
10-25-2005,89.63,90.72,89.63,90.72,1361
10-26-2005,90.28,90.28,90.06,90.06,1136
10-27-2005,90.06,90.06,90.06,90.06,0
10-28-2005,90.06,90.06,90.06,90.06,0
10-31-2005,90.06,90.06,90.06,90.06,0
11-01-2005,90.06,90.06,90.06,90.06,0
11-02-2005,90.06,90.06,90.06,90.06,0
11-03-2005,90.06,90.06,90.06,90.06,0
11-04-2005,90.06,90.06,90.06,90.06,0
11-07-2005,90.06,90.06,90.06,90.06,0
11-08-2005,90.06,90.06,90.06,90.06,0
11-09-2005,90.06,90.06,90.06,90.06,0
11-10-2005,90.06,90.06,90.06,90.06,0
