Date,Open,High,Low,Close,Volume
12-13-2011,22.00,22.00,22.00,22.00,0
12-14-2011,20.00,20.74,18.25,18.25,5343304
12-15-2011,18.42,18.46,18.24,18.31,923986
12-16-2011,18.38,18.50,18.36,18.42,165350
12-19-2011,18.45,18.45,17.90,17.97,199414
12-20-2011,18.12,18.25,17.78,18.01,416352
12-21-2011,17.99,17.99,17.24,17.47,251861
12-22-2011,17.45,17.55,17.07,17.19,388125
12-23-2011,17.20,17.27,17.06,17.14,56407
12-27-2011,17.27,17.38,17.10,17.28,179800
12-28-2011,17.52,17.76,17.10,17.20,123897
12-29-2011,17.25,17.36,17.21,17.29,50325
12-30-2011,17.39,17.39,16.99,17.26,118805
01-03-2012,17.48,17.48,17.26,17.42,69204
01-04-2012,17.40,17.56,17.37,17.55,56888
01-05-2012,17.55,17.60,17.25,17.49,105234
01-06-2012,17.57,17.69,17.32,17.57,58658
01-09-2012,17.53,17.61,17.49,17.51,88856
01-10-2012,17.59,17.59,17.43,17.46,75202
01-11-2012,17.49,17.62,17.30,17.53,98298
01-12-2012,17.60,17.65,17.02,17.36,134590
01-13-2012,17.27,17.47,16.96,17.01,93800
01-17-2012,17.21,17.40,17.00,17.39,128126
01-18-2012,17.38,18.75,17.38,18.30,232485
01-19-2012,18.46,19.20,18.22,18.87,130309
01-20-2012,18.75,19.22,18.70,18.71,254862
01-23-2012,19.39,19.50,18.49,18.75,219182
01-24-2012,18.65,18.80,18.36,18.38,123621
01-25-2012,18.35,18.50,17.55,17.98,263262
01-26-2012,18.04,18.13,17.49,17.69,169565
01-27-2012,17.77,18.15,17.45,17.78,128909
01-30-2012,18.00,18.10,17.52,18.10,247652
01-31-2012,18.24,18.37,17.82,17.94,300919
02-01-2012,18.03,18.03,17.48,17.50,294467
02-02-2012,17.60,17.67,17.45,17.65,86605
02-03-2012,17.70,17.95,17.66,17.72,82328
02-06-2012,17.67,18.19,17.46,17.55,167541
02-07-2012,17.58,17.82,17.45,17.79,152688
02-08-2012,17.80,18.01,17.56,17.75,82578
02-09-2012,17.81,18.90,17.75,18.05,157897
02-10-2012,17.85,18.53,17.72,18.17,96552
02-13-2012,18.34,18.34,17.89,18.01,50822
02-14-2012,18.10,19.30,18.03,18.74,80734
02-15-2012,18.85,18.99,18.50,18.54,59867
02-16-2012,18.51,19.83,18.50,19.62,49313
02-17-2012,19.67,21.99,19.67,21.61,230237
02-21-2012,21.94,22.97,21.68,22.55,474849
02-22-2012,22.63,23.23,22.39,23.03,252262
02-23-2012,23.04,23.66,22.67,23.65,111922
02-24-2012,23.68,25.23,23.61,23.77,278219
02-27-2012,23.77,24.92,23.30,24.65,163956
02-28-2012,24.74,25.20,24.25,24.57,130557
02-29-2012,24.53,24.55,23.84,23.93,436195
03-01-2012,24.01,24.45,23.35,23.44,115264
03-02-2012,23.33,23.43,21.20,22.99,220862
03-05-2012,22.81,22.96,21.95,22.25,131919
03-06-2012,21.93,22.18,21.51,22.05,120807
03-07-2012,22.06,22.78,21.71,22.62,128127
03-08-2012,22.66,23.03,22.55,22.63,116376
03-09-2012,22.76,23.29,22.70,23.03,72494
03-12-2012,22.96,23.20,22.51,22.66,95907
03-13-2012,22.83,22.95,22.54,22.81,68325
03-14-2012,22.71,23.01,22.57,22.64,60344
03-15-2012,22.57,23.06,22.48,22.86,79030
03-16-2012,23.00,23.17,22.75,22.79,156776
03-19-2012,22.78,23.30,22.68,22.74,151047
03-20-2012,22.72,22.82,22.58,22.79,155868
03-21-2012,22.85,22.99,22.34,22.86,47142
03-22-2012,22.67,23.18,22.62,23.00,164479
03-23-2012,22.95,23.39,22.80,23.04,176496
03-26-2012,23.17,23.18,22.79,23.00,58228
03-27-2012,22.96,23.11,22.71,22.89,53632
03-28-2012,22.80,22.80,22.02,22.58,236587
03-29-2012,22.47,22.62,21.55,22.06,160989
03-30-2012,22.21,23.14,22.19,22.45,854327
04-02-2012,22.57,23.06,21.82,22.99,330224
04-03-2012,23.00,23.06,22.48,22.62,103058
04-04-2012,22.39,23.00,22.30,22.32,138713
04-05-2012,22.19,22.30,21.85,21.96,62299
04-09-2012,21.58,21.60,21.00,21.03,81880
04-10-2012,20.93,21.22,20.70,21.12,114534
04-11-2012,21.32,21.38,21.00,21.13,44995
04-12-2012,21.09,22.16,21.09,22.08,51100
04-13-2012,21.94,22.05,21.40,22.00,120111
04-16-2012,22.06,22.06,21.02,21.17,146696
04-17-2012,21.39,22.39,21.39,22.23,74883
04-18-2012,22.16,22.21,21.80,22.09,149846
04-19-2012,22.08,22.45,22.00,22.01,46935
04-20-2012,22.26,22.41,22.01,22.18,83259
04-23-2012,21.90,21.97,21.61,21.88,155414
04-24-2012,21.91,22.24,21.79,22.20,52534
04-25-2012,22.60,24.09,22.60,23.77,314969
04-26-2012,23.70,24.40,23.70,24.26,101297
04-27-2012,24.30,24.43,23.88,24.23,91900
04-30-2012,24.17,24.24,23.63,24.24,132738
05-01-2012,24.25,24.80,24.19,24.36,153904
05-02-2012,24.26,24.42,24.02,24.34,185752
05-03-2012,24.43,24.76,24.16,24.22,89820
05-04-2012,24.04,24.25,22.29,22.52,182646
05-07-2012,22.40,23.21,22.08,23.16,154328
05-08-2012,22.98,23.35,22.73,23.24,150426
05-09-2012,22.99,23.32,22.75,22.79,125661
05-10-2012,22.80,23.52,22.80,22.97,332501
05-11-2012,23.53,24.79,23.44,24.75,311851
05-14-2012,24.55,24.55,22.77,23.96,280046
05-15-2012,23.95,24.36,23.74,23.96,123308
05-16-2012,24.06,24.75,23.91,24.32,241343
05-17-2012,24.39,24.45,23.38,23.44,327536
05-18-2012,23.40,23.96,22.75,23.00,357036
05-21-2012,23.08,24.23,22.91,23.98,332362
05-22-2012,24.00,24.50,23.55,23.76,256255
05-23-2012,23.59,24.02,23.01,23.91,117416
05-24-2012,24.01,24.53,23.58,24.35,176665
05-25-2012,24.32,24.82,23.88,24.37,137868
05-29-2012,24.59,25.37,24.30,24.84,266231
05-30-2012,24.57,25.00,24.06,24.28,250282
05-31-2012,24.39,25.29,23.39,24.15,1183472
06-01-2012,23.65,23.65,22.00,22.57,333311
06-04-2012,22.76,23.04,22.16,22.26,285662
06-05-2012,22.21,22.46,21.05,21.82,255721
06-06-2012,22.10,23.11,21.84,22.61,149654
06-07-2012,22.86,22.98,21.49,21.51,134701
06-08-2012,21.46,21.54,20.22,20.85,551274
06-11-2012,21.05,21.05,19.50,19.53,470299
06-12-2012,19.58,19.85,19.05,19.68,341630
06-13-2012,19.57,19.86,18.94,19.04,147933
06-14-2012,19.04,19.90,19.04,19.64,165107
06-15-2012,19.89,20.57,19.72,20.28,148843
06-18-2012,20.07,20.07,19.50,19.93,136025
06-19-2012,19.95,20.38,19.81,20.19,272853
06-20-2012,20.13,20.50,19.66,19.81,204564
06-21-2012,19.74,20.00,18.95,19.45,203428
06-22-2012,19.64,19.88,19.32,19.67,536305
06-25-2012,19.33,19.33,18.82,19.00,184528
06-26-2012,18.90,19.17,18.43,18.78,195347
06-27-2012,18.93,19.30,18.48,18.65,232365
06-28-2012,18.68,19.03,18.61,18.87,152905
06-29-2012,19.32,21.10,19.06,20.80,277828
07-02-2012,20.76,20.97,20.58,20.85,232364
07-03-2012,20.70,21.62,20.51,21.10,293500
07-05-2012,21.00,21.39,20.74,21.11,209722
07-06-2012,20.84,21.08,20.79,20.85,199872
07-09-2012,20.71,20.85,20.57,20.77,253914
07-10-2012,20.89,20.89,20.25,20.57,75676
07-11-2012,20.60,20.78,20.36,20.61,243180
07-12-2012,20.40,20.64,20.03,20.55,176111
07-13-2012,20.68,21.40,20.61,21.08,281374
07-16-2012,20.95,21.00,20.60,20.93,116006
07-17-2012,20.96,20.98,20.58,20.82,183183
07-18-2012,20.76,21.06,18.33,18.54,685203
07-19-2012,19.49,19.79,18.13,18.60,324285
07-20-2012,18.48,18.75,18.35,18.62,212506
07-23-2012,18.21,18.71,18.16,18.69,141916
07-24-2012,19.06,19.61,17.11,17.17,263491
07-25-2012,17.22,17.70,16.38,17.38,341062
07-26-2012,17.72,17.81,16.68,16.71,189306
07-27-2012,16.83,17.55,16.69,17.37,231561
07-30-2012,17.41,17.50,16.53,16.78,81756
07-31-2012,16.76,16.92,16.37,16.64,166176
08-01-2012,17.17,17.17,16.59,16.73,139855
08-02-2012,16.54,16.67,16.37,16.43,76554
08-03-2012,16.62,17.49,16.62,17.44,199028
08-06-2012,17.49,18.96,17.36,18.49,591865
08-07-2012,18.59,18.98,18.23,18.37,229493
08-08-2012,18.28,18.83,18.25,18.35,173945
08-09-2012,18.01,18.98,17.64,18.81,410760
