Date,Open,High,Low,Close,Volume
10-27-2014,13.99,15.16,13.99,14.81,67745
10-28-2014,14.85,14.95,14.78,14.81,74223
10-29-2014,14.79,14.79,14.16,14.48,83105
10-30-2014,14.50,14.76,14.46,14.57,126950
10-31-2014,14.59,15.00,14.53,14.85,94058
11-03-2014,14.77,14.81,14.46,14.69,73447
11-04-2014,14.53,14.62,14.13,14.60,105677
11-05-2014,14.92,15.43,14.81,15.43,1135326
11-06-2014,15.30,15.70,15.01,15.01,1395913
11-07-2014,15.04,15.35,14.77,15.00,10455662
11-10-2014,14.92,15.07,13.67,13.77,4176868
11-11-2014,13.76,14.22,13.68,13.98,2167854
11-12-2014,13.89,14.02,13.58,13.64,1545797
11-13-2014,14.02,14.02,13.45,13.57,1482335
11-14-2014,13.47,13.80,13.41,13.48,834535
11-17-2014,13.30,13.84,13.29,13.65,1326829
11-18-2014,13.94,14.00,13.70,13.78,1658899
11-19-2014,13.68,13.99,13.41,13.49,1413740
11-20-2014,13.41,13.68,13.41,13.48,814686
11-21-2014,13.60,13.63,13.23,13.38,1032321
11-24-2014,13.33,13.68,13.31,13.60,809111
11-25-2014,13.51,13.73,13.50,13.73,1127327
11-26-2014,13.73,13.98,13.65,13.73,342561
11-28-2014,13.73,13.80,13.58,13.71,217763
12-01-2014,13.65,13.80,13.41,13.66,762333
12-02-2014,13.41,13.87,13.41,13.80,549603
12-03-2014,13.71,13.91,13.64,13.75,471240
12-04-2014,13.63,13.99,13.61,13.94,406660
12-05-2014,13.80,13.83,13.58,13.74,506947
12-08-2014,13.62,13.80,13.51,13.61,803293
12-09-2014,13.45,13.57,13.29,13.46,854404
12-10-2014,13.41,13.44,13.21,13.41,482237
12-11-2014,13.26,13.44,13.26,13.35,412988
12-12-2014,13.24,13.35,13.06,13.15,922988
12-15-2014,13.16,13.20,12.77,12.87,1238095
12-16-2014,12.86,12.87,12.67,12.79,824379
12-17-2014,12.65,12.97,12.54,12.93,718533
12-18-2014,12.93,13.01,12.65,12.79,698028
12-19-2014,12.75,13.41,12.72,13.34,2028342
12-22-2014,13.34,13.35,13.06,13.32,902208
12-23-2014,13.26,13.36,13.14,13.23,594595
12-24-2014,13.21,13.24,13.10,13.21,142400
12-26-2014,13.22,13.33,13.15,13.29,294874
12-29-2014,13.23,13.32,13.12,13.17,651815
12-30-2014,13.17,13.20,12.99,13.00,1192566
12-31-2014,13.00,13.02,12.91,12.96,1775024
01-02-2015,12.95,13.28,12.84,13.22,490762
01-05-2015,13.08,13.39,12.95,13.32,550383
01-06-2015,13.39,13.44,13.06,13.27,556104
01-07-2015,13.26,13.39,12.97,13.38,529409
01-08-2015,13.39,13.40,13.19,13.24,604765
01-09-2015,13.24,13.40,13.19,13.39,1406121
01-12-2015,13.39,13.41,13.21,13.35,1029443
01-13-2015,13.39,13.39,13.08,13.36,754203
01-14-2015,13.21,13.49,13.10,13.47,405441
01-15-2015,13.41,13.51,13.10,13.17,438555
01-16-2015,13.13,13.21,13.09,13.15,372745
01-20-2015,13.13,13.14,12.99,13.03,744395
01-21-2015,13.04,13.13,12.93,12.95,390038
01-22-2015,12.99,13.05,12.94,12.99,430314
01-23-2015,12.97,13.01,12.91,12.95,373200
01-26-2015,12.92,13.35,12.90,13.28,1289239
01-27-2015,13.18,13.37,13.06,13.36,556489
01-28-2015,13.36,13.37,13.20,13.28,384671
01-29-2015,13.23,13.31,13.00,13.21,300537
01-30-2015,13.10,13.27,12.98,13.03,236507
02-02-2015,13.07,13.24,12.96,13.23,706477
02-03-2015,13.21,13.60,13.18,13.60,765407
02-04-2015,13.50,13.58,13.26,13.42,511353
02-05-2015,13.40,13.68,13.36,13.66,403072
02-06-2015,13.62,13.72,13.32,13.38,790634
02-09-2015,13.28,13.39,13.14,13.22,246159
02-10-2015,13.21,13.27,13.04,13.21,460516
02-11-2015,13.21,13.23,13.01,13.12,329827
02-12-2015,13.10,13.33,13.04,13.33,497988
02-13-2015,13.30,13.49,13.19,13.47,521200
02-17-2015,13.39,13.52,13.37,13.43,273015
02-18-2015,13.39,13.83,13.36,13.72,459479
02-19-2015,13.68,13.78,13.54,13.67,611097
02-20-2015,13.72,13.81,13.39,13.75,479948
02-23-2015,13.77,13.98,13.61,13.91,454863
02-24-2015,13.82,13.91,13.66,13.80,493440
02-25-2015,13.89,13.91,13.70,13.88,391595
02-26-2015,13.81,13.98,13.44,13.51,732244
02-27-2015,13.43,13.69,13.17,13.27,1696306
03-02-2015,13.27,13.46,13.24,13.39,529630
03-03-2015,13.32,13.39,13.14,13.19,501556
03-04-2015,13.11,13.22,12.95,13.21,915498
03-05-2015,13.18,13.22,12.95,13.05,3070278
03-06-2015,12.93,13.10,12.80,12.99,552130
03-09-2015,12.94,13.09,12.92,13.06,417235
03-10-2015,12.95,13.08,12.89,12.98,329466
03-11-2015,12.94,12.96,12.80,12.80,323916
03-12-2015,12.82,13.16,12.82,13.00,687227
03-13-2015,13.04,13.10,12.87,12.87,282519
03-16-2015,12.95,13.08,12.84,12.91,774075
03-17-2015,12.92,13.09,12.89,13.03,463815
03-18-2015,13.07,13.17,12.86,13.14,390345
03-19-2015,13.06,13.28,13.03,13.10,242553
03-20-2015,13.12,13.49,13.00,13.43,778243
03-23-2015,13.49,13.66,13.43,13.45,396628
03-24-2015,13.47,13.47,13.31,13.42,279829
03-25-2015,13.39,13.40,13.05,13.16,244722
03-26-2015,13.11,13.33,13.02,13.05,285463
03-27-2015,13.08,13.18,13.01,13.15,208743
03-30-2015,13.12,13.33,13.12,13.25,284946
03-31-2015,13.17,13.28,13.07,13.10,213336
04-01-2015,13.14,13.24,13.02,13.10,176284
04-02-2015,13.09,13.20,12.96,13.17,559018
04-06-2015,13.20,13.24,13.06,13.08,282171
04-07-2015,13.05,13.13,12.96,12.99,290683
04-08-2015,12.92,13.15,12.92,13.13,484186
04-09-2015,13.13,13.15,12.99,13.04,222129
04-10-2015,13.03,13.20,13.03,13.10,347397
04-13-2015,13.12,13.12,12.96,13.03,395524
04-14-2015,12.99,13.15,12.94,13.06,339934
04-15-2015,13.14,13.31,13.02,13.27,444594
04-16-2015,13.21,13.22,13.06,13.18,252410
04-17-2015,13.18,13.18,13.05,13.10,262103
04-20-2015,13.16,13.25,13.08,13.20,422266
04-21-2015,13.22,13.30,13.19,13.30,409045
04-22-2015,13.28,13.32,13.19,13.26,799845
04-23-2015,13.23,13.33,13.18,13.26,370867
04-24-2015,13.24,13.29,13.18,13.23,135968
04-27-2015,13.22,13.29,13.21,13.26,237032
