Date,Open,High,Low,Close,Volume
01-12-1990,4.39,4.39,4.26,4.36,0
01-15-1990,4.26,4.26,4.23,4.23,0
01-16-1990,4.23,4.23,4.13,4.23,0
01-17-1990,4.20,4.29,4.20,4.29,0
01-18-1990,4.26,4.29,4.23,4.29,0
01-19-1990,4.29,4.36,4.22,4.36,0
01-22-1990,4.39,4.39,4.32,4.36,0
01-23-1990,4.36,4.36,4.23,4.23,0
01-24-1990,4.23,4.23,4.16,4.16,0
01-25-1990,4.20,4.20,4.16,4.16,0
01-26-1990,4.17,4.17,4.10,4.10,0
01-29-1990,4.06,4.16,4.06,4.16,0
01-30-1990,4.20,4.23,4.16,4.16,0
01-31-1990,4.17,4.17,4.10,4.10,0
02-01-1990,4.10,4.17,4.07,4.10,0
02-02-1990,4.10,4.10,4.03,4.10,0
02-05-1990,4.14,4.17,4.00,4.03,0
02-06-1990,4.10,4.14,4.10,4.10,0
02-07-1990,4.06,4.16,4.06,4.16,0
02-08-1990,4.23,4.29,4.09,4.16,0
02-09-1990,4.13,4.23,4.09,4.23,0
02-12-1990,4.26,4.26,4.16,4.16,0
02-13-1990,4.10,4.14,4.10,4.10,0
02-14-1990,4.07,4.13,4.07,4.10,0
02-15-1990,4.07,4.07,4.03,4.03,0
02-16-1990,4.10,4.10,4.03,4.03,0
02-20-1990,4.03,4.13,4.03,4.03,0
02-21-1990,4.03,4.10,4.03,4.10,0
02-22-1990,4.07,4.07,4.00,4.03,0
02-23-1990,4.03,4.10,4.03,4.10,0
02-26-1990,4.10,4.10,3.97,3.97,0
02-27-1990,4.10,4.10,4.00,4.03,0
02-28-1990,4.00,4.10,4.00,4.10,0
03-01-1990,4.10,4.10,4.10,4.10,0
03-02-1990,4.13,4.26,4.13,4.23,0
03-05-1990,4.22,4.46,4.19,4.42,0
03-06-1990,4.55,4.88,4.51,4.88,0
03-07-1990,4.95,4.98,4.75,4.75,0
03-08-1990,4.72,4.72,4.55,4.55,0
03-09-1990,4.68,4.72,4.55,4.55,0
03-12-1990,4.62,4.65,4.59,4.62,0
03-13-1990,4.55,4.55,4.45,4.55,0
03-14-1990,4.58,4.68,4.48,4.68,0
03-15-1990,4.68,4.78,4.65,4.75,0
03-16-1990,4.82,4.82,4.68,4.68,0
03-19-1990,4.65,4.68,4.61,4.68,0
03-20-1990,4.58,4.62,4.55,4.62,0
03-21-1990,4.62,4.62,4.58,4.62,0
03-22-1990,4.65,4.78,4.65,4.75,0
03-23-1990,4.71,4.88,4.71,4.88,0
03-26-1990,4.98,5.07,4.91,5.07,0
03-27-1990,5.08,5.08,4.94,4.94,0
03-28-1990,4.94,5.01,4.94,4.94,0
03-29-1990,4.94,5.04,4.94,5.01,0
03-30-1990,5.04,5.07,4.91,5.07,0
04-02-1990,5.04,5.04,4.81,4.94,0
04-03-1990,4.91,4.94,4.81,4.94,0
04-04-1990,4.88,4.91,4.81,4.81,0
04-05-1990,4.82,4.82,4.55,4.55,0
04-06-1990,4.60,4.60,4.29,4.29,0
04-09-1990,4.36,4.49,4.36,4.49,0
04-10-1990,4.46,4.49,4.42,4.42,0
04-11-1990,4.46,4.59,4.39,4.42,0
04-12-1990,4.49,4.63,4.39,4.42,0
04-16-1990,4.39,4.55,4.39,4.55,0
04-17-1990,4.46,4.46,4.32,4.36,0
04-18-1990,4.29,4.42,4.29,4.36,0
04-19-1990,4.42,4.46,4.36,4.36,0
04-20-1990,4.36,4.36,4.23,4.29,0
04-23-1990,4.36,4.36,4.23,4.23,0
04-24-1990,4.26,4.29,4.26,4.29,0
04-25-1990,4.20,4.20,4.10,4.16,0
04-26-1990,4.13,4.16,4.10,4.16,0
04-27-1990,4.07,4.07,4.03,4.03,0
04-30-1990,4.07,4.07,3.97,3.97,0
05-01-1990,4.03,4.27,4.03,4.16,0
05-02-1990,4.26,4.26,4.19,4.23,0
05-03-1990,4.16,4.16,4.03,4.10,0
05-04-1990,4.03,4.07,4.03,4.03,0
05-07-1990,4.03,4.16,4.03,4.10,0
05-08-1990,4.10,4.13,4.06,4.10,0
05-09-1990,4.09,4.26,4.09,4.23,0
05-10-1990,4.26,4.29,4.20,4.29,0
05-11-1990,4.39,4.39,4.36,4.36,0
05-14-1990,4.29,4.29,4.23,4.29,0
05-15-1990,4.16,4.23,4.13,4.23,0
