Date,Open,High,Low,Close,Volume
07-12-2000,13.03,13.78,12.63,13.00,2562800
07-13-2000,13.13,13.13,13.00,13.13,629400
07-14-2000,13.19,13.50,13.00,13.06,419900
07-17-2000,13.13,13.13,12.00,12.06,503400
07-18-2000,12.38,13.00,9.75,9.88,1726200
07-19-2000,10.47,10.50,8.63,9.13,1153500
07-20-2000,9.13,9.13,8.88,9.00,287100
07-21-2000,9.03,9.13,8.31,8.36,263900
07-24-2000,8.38,8.50,7.50,7.69,356700
07-25-2000,7.88,7.88,7.00,7.25,164700
07-26-2000,7.09,7.13,6.63,6.69,200700
07-27-2000,6.56,6.75,5.63,5.75,272200
07-28-2000,5.94,6.00,4.75,5.50,1127300
07-31-2000,5.50,7.25,5.44,6.38,618200
08-01-2000,6.75,7.13,6.63,6.69,630600
08-02-2000,6.84,7.00,6.38,6.50,200500
08-03-2000,6.50,6.55,6.00,6.13,240100
08-04-2000,6.84,6.88,6.13,6.50,231600
08-07-2000,6.38,6.75,6.25,6.38,108100
08-08-2000,6.28,6.50,6.25,6.25,211500
08-09-2000,6.50,6.50,5.63,5.69,81100
08-10-2000,5.75,6.31,5.72,6.16,174200
08-11-2000,6.03,6.13,5.81,5.88,56800
08-14-2000,5.91,6.00,5.38,5.75,223000
08-15-2000,5.75,5.75,5.00,5.13,241400
08-16-2000,5.38,5.50,5.25,5.38,86200
08-17-2000,5.41,5.88,5.25,5.88,85800
08-18-2000,5.88,6.56,5.63,6.25,145400
08-21-2000,6.47,6.50,6.38,6.38,217400
08-22-2000,6.44,6.88,6.38,6.38,134600
08-23-2000,6.53,6.69,6.25,6.38,140100
08-24-2000,6.63,6.88,6.38,6.63,576800
08-25-2000,6.84,7.00,6.38,6.38,145700
08-28-2000,6.69,6.75,6.38,6.44,39600
08-29-2000,6.52,6.63,6.38,6.41,86800
08-30-2000,6.44,6.50,6.38,6.44,34900
08-31-2000,6.63,8.13,6.50,7.63,266400
09-01-2000,7.81,8.06,7.13,7.50,168600
09-05-2000,7.50,7.63,6.88,6.88,91100
09-06-2000,7.38,7.38,6.88,6.94,111300
09-07-2000,7.69,7.88,6.94,7.31,36000
09-08-2000,7.27,7.41,6.50,7.13,83600
09-11-2000,7.00,7.00,6.75,6.75,83300
09-12-2000,7.03,7.06,6.75,6.88,58900
09-13-2000,6.94,7.13,6.88,7.00,45200
09-14-2000,7.23,8.13,7.23,7.63,176300
09-15-2000,7.69,8.00,7.25,7.63,91400
09-18-2000,7.72,7.75,7.00,7.31,116900
09-19-2000,7.31,7.81,7.06,7.81,142800
09-20-2000,7.59,7.88,7.25,7.50,84000
09-21-2000,7.22,7.22,7.00,7.13,71100
09-22-2000,6.75,7.00,6.56,6.69,56300
09-25-2000,6.75,6.88,6.44,6.50,41000
09-26-2000,6.50,6.88,6.38,6.38,96800
09-27-2000,6.41,6.44,5.88,6.03,252400
09-28-2000,5.94,5.94,5.25,5.50,151400
09-29-2000,5.34,5.88,5.25,5.81,25200
10-02-2000,5.50,5.75,5.33,5.44,12200
10-03-2000,5.38,5.50,5.31,5.38,19900
10-04-2000,5.38,5.44,5.25,5.44,18200
10-05-2000,5.25,5.44,4.81,4.88,68600
10-06-2000,4.94,5.00,3.63,4.00,212000
10-09-2000,4.27,5.50,4.13,4.38,156000
10-10-2000,4.36,4.50,4.13,4.28,45400
10-11-2000,4.08,4.25,3.75,4.00,104300
10-12-2000,4.36,4.38,4.00,4.05,49300
10-13-2000,4.14,5.38,4.03,5.38,100200
10-16-2000,5.25,5.38,4.75,5.00,37000
10-17-2000,4.88,4.88,4.38,4.38,21900
10-18-2000,4.63,4.63,4.13,4.31,21300
10-19-2000,4.44,4.63,4.13,4.56,52300
10-20-2000,4.63,4.63,4.44,4.56,61800
10-23-2000,4.61,4.63,4.50,4.63,32700
10-24-2000,4.63,4.63,4.31,4.38,16300
10-25-2000,4.27,4.38,4.03,4.25,10700
10-26-2000,4.38,4.38,4.03,4.25,16400
10-27-2000,4.23,4.38,4.00,4.31,49400
10-30-2000,4.47,4.47,4.13,4.25,51900
10-31-2000,4.16,4.38,3.00,3.03,382600
11-01-2000,3.03,3.19,2.56,3.13,393600
11-02-2000,3.16,3.44,3.00,3.13,596300
11-03-2000,3.25,3.25,3.00,3.06,327800
11-06-2000,3.11,3.25,2.94,3.00,307400
11-07-2000,3.00,3.13,3.00,3.00,146300
11-08-2000,3.03,3.06,3.00,3.06,34800
11-09-2000,3.05,3.06,2.81,2.81,125700
11-10-2000,2.86,3.00,2.75,2.94,122100
11-13-2000,2.88,3.00,2.69,2.88,75500
11-14-2000,2.95,3.13,2.94,3.00,133100
11-15-2000,3.06,3.06,2.94,3.06,144700
11-16-2000,2.88,3.00,2.88,2.88,5500
11-17-2000,3.00,3.00,2.75,2.88,25400
11-20-2000,2.88,2.94,2.75,2.81,32200
11-21-2000,2.81,3.00,2.63,2.63,38100
11-22-2000,2.63,2.81,2.34,2.44,118900
11-24-2000,2.92,2.94,2.44,2.59,21200
11-27-2000,2.61,2.94,2.38,2.38,39900
11-28-2000,2.38,2.63,2.19,2.25,36300
11-29-2000,2.50,2.50,2.25,2.25,25400
11-30-2000,2.19,2.31,2.00,2.19,38800
12-01-2000,2.36,2.50,2.19,2.44,52300
12-04-2000,2.48,2.48,2.06,2.25,26900
12-05-2000,2.31,3.50,2.31,3.50,219300
12-06-2000,3.38,3.38,2.63,2.63,57700
12-07-2000,2.63,2.88,2.63,2.88,29100
12-08-2000,3.00,3.16,2.91,3.00,61000
12-11-2000,2.95,3.22,2.94,3.03,32400
12-12-2000,3.05,3.06,2.75,2.75,15800
12-13-2000,2.94,3.00,2.63,2.75,10100
12-14-2000,2.75,2.75,2.63,2.63,5200
12-15-2000,2.69,2.81,2.56,2.81,26300
12-18-2000,2.89,3.00,2.63,2.63,40700
