Date,Open,High,Low,Close,Volume
09-02-2009,14.00,19.61,11.67,19.61,224286
09-03-2009,20.07,23.34,20.07,22.41,163388
09-04-2009,21.47,21.47,15.87,21.47,7918
09-08-2009,20.54,20.54,19.61,20.07,7109
09-09-2009,19.98,22.41,19.61,19.61,16824
09-10-2009,20.03,21.47,20.03,20.54,7319
09-11-2009,20.54,20.55,20.54,20.54,8322
09-14-2009,20.54,21.47,20.54,21.01,78926
09-15-2009,21.47,21.47,21.01,21.47,11240
09-16-2009,21.01,21.47,21.01,21.47,204760
09-17-2009,21.47,21.94,21.01,21.01,385515
09-18-2009,20.54,21.52,20.54,21.01,26116
09-21-2009,21.47,21.52,21.24,21.24,49849
09-22-2009,21.24,21.47,20.07,21.47,325732
09-23-2009,21.47,21.67,21.47,21.48,8162
09-24-2009,21.57,21.94,21.57,21.57,29638
09-25-2009,21.71,21.71,21.71,21.71,4529
09-28-2009,21.71,21.71,21.71,21.71,2369
09-29-2009,21.71,21.94,21.47,21.47,26817
09-30-2009,21.52,21.57,21.47,21.47,133332
10-01-2009,21.52,21.52,20.57,20.77,126122
10-02-2009,21.24,21.47,20.54,20.63,58996
10-05-2009,21.01,21.94,21.01,21.05,31033
10-06-2009,21.71,21.71,21.01,21.01,31038
10-07-2009,21.47,21.94,20.77,21.47,10857
10-08-2009,21.71,21.89,21.01,21.80,26497
10-09-2009,21.47,21.47,21.47,21.47,3020
10-12-2009,21.47,21.75,21.29,21.29,28194
10-13-2009,21.19,21.57,21.19,21.47,39901
10-14-2009,21.47,21.66,21.33,21.47,128339
10-15-2009,21.47,21.52,21.24,21.24,31089
10-16-2009,21.29,21.29,21.29,21.29,1756
10-19-2009,21.38,21.52,21.38,21.49,89748
10-20-2009,21.33,21.47,21.33,21.33,7479
10-21-2009,21.52,21.80,21.52,21.71,14513
10-22-2009,21.57,21.71,21.47,21.66,11576
10-23-2009,21.57,21.66,21.57,21.57,8286
10-26-2009,21.66,21.71,21.52,21.71,47968
10-27-2009,21.52,21.94,21.52,21.72,11025
10-28-2009,21.61,21.61,21.57,21.57,3002
10-29-2009,21.57,21.57,21.57,21.57,2743
10-30-2009,21.57,21.71,21.57,21.61,2993
11-02-2009,21.85,21.94,21.75,21.75,7259
11-03-2009,21.71,21.71,21.24,21.24,34708
11-04-2009,21.24,21.24,20.77,20.87,83446
11-05-2009,21.01,21.01,21.01,21.01,2133
11-06-2009,21.43,21.43,21.43,21.43,265
11-09-2009,21.47,21.61,21.10,21.61,1819
11-10-2009,21.61,21.61,21.24,21.24,6218
11-11-2009,21.01,21.24,20.77,21.24,15530
11-12-2009,20.82,21.24,20.82,21.24,67098
11-13-2009,21.01,21.24,21.01,21.24,1991
11-16-2009,21.24,21.24,21.01,21.01,9155
11-17-2009,21.05,21.05,20.81,20.81,7886
11-18-2009,21.01,21.01,20.77,20.77,5607
11-19-2009,20.77,21.01,20.77,20.77,7249
11-20-2009,20.77,21.01,20.77,21.01,4351
11-23-2009,21.01,21.01,20.77,21.01,16896
11-24-2009,20.77,20.77,20.77,20.77,1614
11-25-2009,20.77,20.77,20.77,20.77,4757
11-27-2009,20.73,20.73,20.54,20.54,1063
11-30-2009,20.07,20.54,20.07,20.54,15294
12-01-2009,20.59,20.59,20.54,20.54,8580
12-02-2009,20.77,20.77,20.31,20.54,11649
12-03-2009,20.35,20.35,20.12,20.12,13596
12-04-2009,20.12,20.31,20.12,20.31,4245
12-07-2009,20.07,20.54,20.07,20.54,1810
12-08-2009,19.65,20.07,19.65,19.84,29791
12-09-2009,20.07,20.07,20.07,20.07,687
12-10-2009,20.31,20.35,20.07,20.07,4835
12-11-2009,20.21,20.21,20.07,20.07,6025
12-14-2009,20.49,20.49,20.07,20.07,10676
12-15-2009,20.07,20.07,19.84,19.84,4744
12-16-2009,20.07,20.07,19.98,20.07,28299
12-17-2009,20.03,20.03,20.03,20.03,2133
