Date,Open,High,Low,Close,Volume
04-19-2011,15.60,15.60,15.35,15.60,201
04-20-2011,15.35,15.35,15.35,15.35,1151
04-21-2011,15.35,15.35,15.35,15.35,0
04-25-2011,15.85,15.85,15.85,15.85,100
04-26-2011,15.85,15.85,15.85,15.85,0
04-27-2011,15.85,15.85,15.85,15.85,0
04-28-2011,15.85,15.85,15.85,15.85,0
04-29-2011,15.85,15.85,15.85,15.85,0
05-02-2011,15.85,15.85,15.85,15.85,0
05-03-2011,15.85,15.85,15.85,15.85,0
05-04-2011,15.85,15.85,15.85,15.85,0
05-05-2011,15.85,15.85,15.85,15.85,0
05-06-2011,15.85,15.85,15.85,15.85,0
05-09-2011,15.85,15.85,15.85,15.85,0
05-10-2011,15.85,15.85,15.85,15.85,0
05-11-2011,15.85,15.85,15.85,15.85,8717
05-12-2011,15.85,15.85,15.85,15.85,0
05-13-2011,15.85,15.85,15.85,15.85,0
05-16-2011,15.85,15.85,15.85,15.85,0
05-17-2011,15.85,15.85,15.85,15.85,0
05-18-2011,15.85,15.85,15.85,15.85,0
05-19-2011,15.85,15.85,15.85,15.85,0
05-20-2011,15.85,15.85,15.85,15.85,0
05-23-2011,15.85,15.85,15.85,15.85,0
05-24-2011,15.86,15.86,15.86,15.86,126
05-25-2011,15.86,15.86,15.86,15.86,0
05-26-2011,15.86,15.86,15.86,15.86,0
05-27-2011,15.86,15.86,15.86,15.86,0
05-31-2011,16.09,16.09,16.09,16.09,100
06-01-2011,15.85,15.85,15.85,15.85,225
06-02-2011,15.85,15.85,15.85,15.85,0
06-03-2011,16.04,16.34,16.04,16.34,5048
06-06-2011,16.34,16.34,16.34,16.34,0
06-07-2011,16.34,16.34,16.34,16.34,0
06-08-2011,16.34,16.34,16.34,16.34,0
06-09-2011,16.34,16.34,16.34,16.34,0
06-10-2011,16.34,16.34,16.34,16.34,963
06-13-2011,16.10,16.10,16.10,16.10,176
06-14-2011,16.10,16.10,16.10,16.10,0
06-15-2011,16.09,16.09,15.85,15.85,3533
06-16-2011,16.34,16.34,16.34,16.34,2524
06-17-2011,16.59,16.59,16.59,16.59,504
06-20-2011,16.59,16.59,16.59,16.59,0
06-21-2011,16.34,16.34,16.34,16.34,2524
06-22-2011,16.44,16.44,16.44,16.44,1211
06-23-2011,16.54,16.54,16.49,16.49,1413
06-24-2011,16.49,16.49,16.49,16.49,0
06-27-2011,16.49,16.49,16.49,16.49,0
06-28-2011,16.59,16.59,16.59,16.59,504
06-29-2011,16.59,16.59,16.59,16.59,634
06-30-2011,16.59,16.59,16.59,16.59,0
07-01-2011,16.59,16.59,16.59,16.59,201
07-05-2011,16.59,16.59,16.59,16.59,0
07-06-2011,16.59,16.59,16.59,16.59,0
07-07-2011,16.59,16.59,16.59,16.59,0
07-08-2011,16.59,16.59,16.59,16.59,0
07-11-2011,16.59,16.59,16.59,16.59,0
07-12-2011,16.59,16.59,16.59,16.59,667
07-13-2011,16.59,16.59,16.59,16.59,0
07-14-2011,16.59,16.59,16.59,16.59,0
07-15-2011,16.59,16.59,16.59,16.59,751
07-18-2011,16.59,16.59,16.59,16.59,0
07-19-2011,16.59,16.59,16.59,16.59,1271
07-20-2011,16.59,16.59,16.59,16.59,0
07-21-2011,16.59,16.59,16.59,16.59,0
07-22-2011,16.59,16.59,16.59,16.59,0
07-25-2011,16.59,16.59,16.59,16.59,0
07-26-2011,16.59,16.59,16.59,16.59,0
07-27-2011,16.59,16.59,16.59,16.59,0
07-28-2011,16.59,16.59,16.59,16.59,0
07-29-2011,16.59,16.59,16.59,16.59,0
08-01-2011,16.59,16.59,16.59,16.59,0
08-02-2011,16.59,16.59,16.59,16.59,3452
08-03-2011,16.59,16.59,16.59,16.59,0
08-04-2011,16.34,16.34,16.34,16.34,201
08-05-2011,16.34,16.34,16.34,16.34,0
08-08-2011,16.34,16.34,16.34,16.34,0
08-09-2011,16.34,16.34,16.34,16.34,0
08-10-2011,16.34,16.34,16.24,16.24,605
08-11-2011,16.24,16.24,16.24,16.24,0
08-12-2011,15.85,15.85,15.85,15.85,1615
08-15-2011,15.85,15.85,15.85,15.85,0
08-16-2011,15.85,15.85,15.85,15.85,0
