Date,Open,High,Low,Close,Volume
01-28-1997,9.93,10.39,9.93,10.32,15437
01-29-1997,10.39,10.39,10.39,10.39,610
01-30-1997,10.47,11.79,10.47,11.60,14147
01-31-1997,11.67,11.67,11.60,11.63,2224
02-03-1997,11.63,11.63,11.63,11.63,0
02-04-1997,11.48,11.48,11.48,11.48,610
02-05-1997,11.63,11.63,11.63,11.63,610
02-06-1997,11.48,11.48,11.48,11.48,610
02-07-1997,11.48,11.48,11.48,11.48,1258
02-10-1997,11.32,11.63,11.32,11.32,5444
02-11-1997,11.40,11.56,11.40,11.52,6737
02-12-1997,11.52,11.63,11.52,11.63,5766
02-13-1997,11.79,11.94,11.79,11.94,19304
02-14-1997,12.26,12.26,11.94,12.06,7385
02-18-1997,12.06,12.26,11.79,12.26,35424
02-19-1997,12.10,12.10,12.10,12.10,936
02-20-1997,12.41,12.57,12.41,12.49,6411
02-21-1997,12.64,12.64,12.26,12.26,13182
02-24-1997,12.57,12.68,12.57,12.68,610
02-25-1997,12.49,12.49,12.33,12.41,5127
02-26-1997,12.41,12.41,12.33,12.33,3507
02-27-1997,12.29,12.41,12.26,12.41,2224
02-28-1997,12.26,12.26,12.10,12.10,2546
03-03-1997,12.26,12.41,12.26,12.41,1574
03-04-1997,12.41,12.41,12.26,12.26,1258
03-05-1997,12.41,12.57,12.41,12.57,4157
03-06-1997,12.41,12.41,12.26,12.26,1574
03-07-1997,12.41,13.03,12.41,12.88,5444
03-10-1997,12.64,12.64,12.26,12.26,5127
03-11-1997,12.41,12.68,12.41,12.53,3836
03-12-1997,12.45,12.45,12.33,12.33,936
03-13-1997,12.49,12.80,12.49,12.49,4157
03-14-1997,12.60,12.64,12.60,12.64,610
03-17-1997,12.53,12.72,12.53,12.72,7055
03-18-1997,12.57,12.57,12.57,12.57,610
03-19-1997,13.03,13.03,13.03,13.03,3187
03-20-1997,13.03,13.03,12.41,12.41,9636
03-21-1997,12.99,13.03,12.99,13.03,6737
03-24-1997,13.03,13.03,13.03,13.03,0
03-25-1997,13.19,13.30,13.19,13.19,6089
03-26-1997,13.34,13.34,13.34,13.34,610
03-27-1997,13.42,13.42,13.34,13.34,4157
03-31-1997,13.30,13.30,13.30,13.30,3187
04-01-1997,13.30,13.96,13.30,13.57,15754
04-02-1997,13.73,13.88,13.73,13.88,936
04-03-1997,13.73,14.74,13.73,14.58,18016
04-04-1997,14.43,14.43,14.43,14.43,294
04-07-1997,14.27,14.27,14.04,14.04,2546
04-08-1997,14.19,14.58,14.19,14.58,19631
04-09-1997,14.58,14.58,14.58,14.58,0
04-10-1997,14.43,14.50,14.35,14.43,3187
04-11-1997,14.43,14.66,14.35,14.50,5127
04-14-1997,14.58,14.58,14.58,14.58,2546
04-15-1997,14.43,14.43,14.43,14.43,936
04-16-1997,14.43,14.43,13.96,13.96,8351
04-17-1997,14.12,14.12,14.12,14.12,294
04-18-1997,14.27,14.27,14.27,14.27,610
04-21-1997,14.27,14.43,14.27,14.43,1258
04-22-1997,14.27,14.27,14.12,14.12,1574
04-23-1997,14.19,14.19,14.19,14.19,294
04-24-1997,14.04,14.04,13.96,13.96,1574
04-25-1997,13.96,13.96,13.96,13.96,0
04-28-1997,13.97,13.97,13.97,13.97,0
04-29-1997,13.88,13.96,13.88,13.96,1905
04-30-1997,14.12,14.12,14.12,14.12,294
05-01-1997,14.12,14.12,14.12,14.12,936
05-02-1997,14.00,14.00,14.00,14.00,294
05-05-1997,14.00,14.00,14.00,14.00,0
05-06-1997,13.50,13.50,13.50,13.50,3187
05-07-1997,13.50,13.50,13.34,13.50,1258
05-08-1997,13.34,13.34,13.34,13.34,294
05-09-1997,13.50,14.27,13.50,14.04,4157
05-12-1997,14.43,14.74,14.43,14.74,19631
05-13-1997,14.89,14.89,14.66,14.85,5127
05-14-1997,14.70,14.97,14.70,14.74,1905
05-15-1997,14.89,14.89,14.89,14.89,936
05-16-1997,15.16,15.16,14.89,15.05,3507
05-19-1997,15.20,15.20,15.20,15.20,294
05-20-1997,15.47,15.47,15.20,15.47,3187
05-21-1997,15.63,16.02,15.63,16.02,2546
05-22-1997,15.98,15.98,15.67,15.67,1574
05-23-1997,15.67,15.67,15.67,15.67,610
05-27-1997,15.67,15.67,15.44,15.67,5444
05-28-1997,15.67,15.67,15.36,15.51,1905
05-29-1997,15.51,15.51,15.51,15.51,294
05-30-1997,15.75,15.78,15.63,15.63,7700
06-02-1997,15.75,16.29,15.75,16.06,5766
06-03-1997,16.29,17.30,15.82,17.30,11404
06-04-1997,16.75,16.75,16.13,16.13,3995
06-05-1997,16.13,16.91,16.13,16.91,10599
06-06-1997,16.62,16.62,16.62,16.62,447
06-09-1997,16.71,16.71,15.98,15.98,1905
06-10-1997,15.90,16.13,15.90,16.13,773
06-11-1997,16.13,16.68,16.13,16.68,11249
06-12-1997,16.68,16.75,16.37,16.37,1905
06-13-1997,16.68,17.30,16.68,17.30,12857
06-16-1997,17.30,17.34,17.06,17.06,5444
06-17-1997,17.34,17.34,17.06,17.22,3022
06-18-1997,17.30,17.30,17.06,17.06,610
06-19-1997,17.06,17.06,17.06,17.06,610
06-20-1997,16.60,16.99,16.60,16.99,1258
06-23-1997,16.99,16.99,16.75,16.99,773
06-24-1997,17.06,17.22,16.60,16.60,1736
06-25-1997,16.91,17.03,16.75,16.75,936
06-26-1997,16.75,16.75,16.75,16.75,0
06-27-1997,16.76,16.76,16.76,16.76,0
06-30-1997,16.75,16.75,16.75,16.75,120
07-01-1997,16.44,16.44,16.44,16.44,120
07-02-1997,16.44,16.44,16.44,16.44,0
07-03-1997,16.44,16.44,16.44,16.44,773
07-07-1997,16.68,16.68,16.06,16.06,2385
07-08-1997,16.37,16.68,16.37,16.68,1095
07-09-1997,16.68,16.68,16.68,16.68,0
07-10-1997,16.67,16.67,16.67,16.67,0
07-11-1997,16.68,16.68,16.60,16.60,294
07-14-1997,16.29,16.29,15.98,16.29,610
07-15-1997,16.60,16.60,16.60,16.60,3507
07-16-1997,16.75,16.75,16.13,16.13,4314
07-17-1997,16.13,16.13,16.13,16.13,0
07-18-1997,16.13,16.44,16.13,16.13,1574
07-21-1997,16.44,16.44,16.44,16.44,120
07-22-1997,16.68,16.75,16.44,16.44,2059
07-23-1997,16.13,16.13,16.13,16.13,936
07-24-1997,16.13,16.77,15.82,15.82,7700
07-25-1997,15.75,15.75,15.75,15.75,1574
07-28-1997,15.75,16.06,15.75,16.06,1736
07-29-1997,16.06,16.06,16.06,16.06,294
07-30-1997,16.06,16.06,15.75,15.75,773
07-31-1997,15.98,15.98,15.98,15.98,120
08-01-1997,16.06,16.06,16.00,16.00,447
08-04-1997,16.15,16.44,16.15,16.44,936
08-05-1997,16.13,16.13,15.98,15.98,1095
08-06-1997,15.98,16.44,15.98,16.44,773
08-07-1997,16.60,16.75,16.60,16.60,3507
08-08-1997,16.68,16.68,16.68,16.68,4639
08-11-1997,16.37,16.37,16.06,16.06,1095
08-12-1997,15.98,16.13,15.98,16.13,2224
08-13-1997,16.13,16.13,16.13,16.13,0
08-14-1997,16.37,16.44,16.37,16.44,1574
08-15-1997,16.44,16.44,16.44,16.44,0
08-18-1997,16.13,16.13,16.13,16.13,120
08-19-1997,16.44,16.44,15.98,15.98,3836
08-20-1997,15.98,15.98,15.98,15.98,0
