Date,Open,High,Low,Close,Volume
04-14-2011,-28.02,-28.02,-28.02,-28.02,0
04-15-2011,-29.63,-29.22,-29.63,-29.43,0
04-18-2011,-29.30,-28.99,-29.34,-29.26,0
04-19-2011,-29.34,-29.26,-29.36,-29.27,0
04-20-2011,-29.84,-29.84,-29.96,-29.88,0
04-21-2011,-29.93,-29.83,-30.02,-29.95,0
04-25-2011,-30.33,-30.22,-31.52,-30.38,0
04-26-2011,-31.09,-30.66,-31.12,-30.71,0
04-27-2011,-31.36,-31.22,-31.36,-31.23,0
04-28-2011,-30.96,-30.94,-31.04,-31.00,0
04-29-2011,-30.67,-30.53,-30.71,-30.59,0
05-02-2011,-30.14,-30.03,-30.27,-30.07,0
05-03-2011,-30.66,-30.66,-30.81,-30.75,0
05-04-2011,-29.53,-29.45,-29.75,-29.49,0
05-05-2011,-29.13,-28.97,-29.17,-29.02,0
05-06-2011,-28.91,-28.74,-28.93,-28.76,0
05-09-2011,-28.92,-28.81,-28.92,-28.85,0
05-10-2011,-29.49,-29.41,-29.50,-29.41,0
05-11-2011,-28.85,-28.81,-28.92,-28.84,0
05-12-2011,-29.06,-29.03,-29.23,-29.03,0
05-13-2011,-28.36,-28.36,-28.56,-28.41,0
05-16-2011,-29.01,-28.89,-29.10,-28.91,0
05-17-2011,-29.30,-29.26,-29.50,-29.29,0
05-18-2011,-29.23,-29.09,-29.26,-29.09,0
05-19-2011,-29.33,-29.29,-29.47,-29.29,0
05-20-2011,-28.80,-28.62,-28.86,-28.81,0
05-23-2011,-28.24,-28.01,-28.35,-28.32,0
05-24-2011,-28.03,-27.82,-28.16,-27.83,0
05-25-2011,-28.32,-27.97,-28.32,-28.05,0
05-26-2011,-28.10,-28.09,-28.29,-28.16,0
05-27-2011,-28.41,-28.35,-28.53,-28.39,0
05-31-2011,-28.67,-28.62,-28.77,-28.74,0
06-01-2011,-27.37,-27.33,-27.88,-27.67,0
06-02-2011,-27.20,-27.19,-27.66,-27.58,0
06-03-2011,-27.14,-26.95,-27.14,-27.03,0
06-06-2011,-26.89,-26.83,-27.05,-26.85,0
06-07-2011,-27.18,-27.00,-27.24,-27.12,0
06-08-2011,-27.37,-27.32,-27.43,-27.39,0
06-09-2011,-27.45,-27.45,-27.62,-27.52,0
06-10-2011,-27.43,-27.35,-27.50,-27.36,0
06-13-2011,-27.46,-27.46,-27.77,-27.46,0
06-14-2011,-28.28,-28.28,-28.48,-28.43,0
06-15-2011,-27.99,-27.72,-28.18,-27.77,0
06-16-2011,-28.30,-28.17,-28.30,-28.24,0
06-17-2011,-28.61,-28.61,-28.78,-28.67,0
