Date,Open,High,Low,Close,Volume
01-02-1990,2.94,2.97,2.91,2.96,0
01-03-1990,2.99,3.03,2.99,3.00,0
01-04-1990,3.00,3.00,2.94,2.97,0
01-05-1990,2.98,2.99,2.97,2.98,0
01-08-1990,2.98,3.01,2.97,3.00,0
01-09-1990,3.02,3.02,3.00,3.00,0
01-10-1990,3.01,3.02,2.91,2.93,0
01-11-1990,2.94,3.02,2.94,3.02,0
01-12-1990,3.00,3.02,2.98,3.00,0
01-15-1990,3.00,3.01,2.98,2.98,0
01-16-1990,2.98,3.00,2.97,3.00,0
01-17-1990,3.00,3.00,2.98,2.99,0
01-18-1990,2.99,2.99,2.97,2.97,0
01-19-1990,2.97,2.97,2.90,2.91,0
01-22-1990,2.92,2.92,2.84,2.84,0
01-23-1990,2.84,2.88,2.82,2.84,0
01-24-1990,2.81,2.81,2.70,2.73,0
01-25-1990,2.75,2.75,2.72,2.73,0
01-26-1990,2.72,2.73,2.69,2.70,0
01-29-1990,2.70,2.70,2.62,2.67,0
01-30-1990,2.67,2.67,2.57,2.59,0
01-31-1990,2.59,2.62,2.58,2.61,0
02-01-1990,2.62,2.62,2.60,2.62,0
02-02-1990,2.63,2.73,2.63,2.69,0
02-05-1990,2.70,2.74,2.69,2.72,0
02-06-1990,2.75,2.77,2.73,2.76,0
02-07-1990,2.74,2.80,2.74,2.80,0
02-08-1990,2.82,2.83,2.79,2.80,0
02-09-1990,2.81,2.85,2.80,2.84,0
02-12-1990,2.84,2.84,2.81,2.82,0
02-13-1990,2.82,2.83,2.78,2.79,0
02-14-1990,2.79,2.80,2.77,2.77,0
02-15-1990,2.79,2.81,2.77,2.81,0
02-16-1990,2.81,2.82,2.78,2.78,0
02-20-1990,2.77,2.78,2.68,2.69,0
02-21-1990,2.66,2.67,2.64,2.65,0
02-22-1990,2.68,2.68,2.64,2.64,0
02-23-1990,2.64,2.65,2.62,2.63,0
02-26-1990,2.64,2.64,2.59,2.60,0
02-27-1990,2.61,2.61,2.60,2.61,0
02-28-1990,2.60,2.66,2.60,2.65,0
03-01-1990,2.63,2.72,2.63,2.70,0
03-02-1990,2.70,2.76,2.69,2.74,0
03-05-1990,2.73,2.73,2.70,2.71,0
03-06-1990,2.70,2.71,2.70,2.71,0
03-07-1990,2.71,2.73,2.70,2.72,0
03-08-1990,2.72,2.73,2.72,2.73,0
03-09-1990,2.74,2.74,2.72,2.74,0
03-12-1990,2.74,2.74,2.72,2.73,0
03-13-1990,2.72,2.74,2.72,2.74,0
03-14-1990,2.74,2.74,2.72,2.74,0
03-15-1990,2.74,2.81,2.74,2.80,0
03-16-1990,2.80,2.84,2.80,2.82,0
03-19-1990,2.82,2.85,2.80,2.85,0
03-20-1990,2.84,2.86,2.82,2.82,0
03-21-1990,2.82,2.85,2.81,2.85,0
03-22-1990,2.83,2.85,2.82,2.83,0
03-23-1990,2.83,2.86,2.82,2.84,0
03-26-1990,2.85,2.85,2.83,2.85,0
03-27-1990,2.87,2.87,2.85,2.85,0
03-28-1990,2.85,2.89,2.82,2.83,0
03-29-1990,2.82,2.84,2.81,2.83,0
03-30-1990,2.83,2.84,2.81,2.84,0
04-02-1990,2.82,2.83,2.81,2.82,0
04-03-1990,2.82,2.87,2.82,2.86,0
04-04-1990,2.87,2.87,2.83,2.84,0
04-05-1990,2.84,2.85,2.81,2.81,0
04-06-1990,2.81,2.82,2.73,2.74,0
04-09-1990,2.73,2.75,2.73,2.75,0
04-10-1990,2.74,2.75,2.74,2.74,0
04-11-1990,2.75,2.77,2.74,2.74,0
04-12-1990,2.75,2.75,2.72,2.74,0
04-16-1990,2.74,2.78,2.73,2.78,0
04-17-1990,2.78,2.81,2.76,2.80,0
04-18-1990,2.81,2.83,2.75,2.76,0
04-19-1990,2.77,2.77,2.75,2.76,0
04-20-1990,2.75,2.76,2.73,2.75,0
04-23-1990,2.74,2.76,2.69,2.71,0
04-24-1990,2.72,2.76,2.70,2.73,0
04-25-1990,2.74,2.74,2.72,2.74,0
04-26-1990,2.73,2.75,2.70,2.71,0
