Date,Open,High,Low,Close,Volume
05-05-2000,49.03,49.25,46.00,47.25,1412900
05-08-2000,46.50,46.69,42.38,43.31,151400
05-09-2000,43.25,44.31,39.50,40.38,120700
05-10-2000,39.63,39.81,35.38,36.00,144800
05-11-2000,37.00,37.69,35.50,35.50,65200
05-12-2000,35.88,36.63,35.38,35.63,75100
05-15-2000,35.56,35.56,32.13,33.88,24600
05-16-2000,34.38,37.75,33.75,37.63,72500
05-17-2000,35.38,36.38,32.00,36.13,51900
05-18-2000,36.00,39.75,35.88,39.75,45600
05-19-2000,39.88,39.88,36.25,36.25,43800
05-22-2000,36.13,36.63,28.00,30.50,36800
05-23-2000,31.75,35.56,31.75,31.88,95400
05-24-2000,32.00,32.63,27.25,30.00,94200
05-25-2000,31.00,31.50,28.75,28.88,43700
05-26-2000,28.13,28.75,26.50,27.81,61100
05-30-2000,28.00,28.25,27.25,27.81,25700
05-31-2000,28.00,30.75,27.38,30.19,165100
06-01-2000,31.13,38.25,31.13,37.75,88100
06-02-2000,42.00,48.50,41.00,44.00,176600
06-05-2000,43.00,49.00,43.00,46.50,78800
06-06-2000,46.50,47.13,43.50,43.50,36600
06-07-2000,44.00,45.00,41.00,44.06,47500
06-08-2000,44.50,46.19,44.00,44.88,20100
06-09-2000,46.06,46.94,44.56,45.19,5700
06-12-2000,45.25,45.56,44.38,44.50,38200
06-13-2000,44.00,45.00,43.56,44.94,75800
06-14-2000,45.00,45.06,44.00,44.00,42100
06-15-2000,44.50,44.50,42.75,43.19,9800
06-16-2000,43.00,43.00,42.50,42.50,6500
06-19-2000,42.44,42.44,39.25,41.00,7800
06-20-2000,42.00,44.00,41.50,43.31,41500
06-21-2000,44.00,47.25,41.75,47.25,25500
06-22-2000,48.25,52.25,48.00,50.88,152400
06-23-2000,53.59,57.00,52.00,54.63,244800
06-26-2000,56.00,56.38,54.50,55.31,75900
06-27-2000,56.50,60.00,56.50,57.00,157200
06-28-2000,58.13,58.25,55.63,55.63,29300
06-29-2000,55.00,55.94,53.69,54.63,62000
06-30-2000,55.00,55.06,53.81,53.81,133900
07-03-2000,53.00,54.00,52.50,53.00,4700
07-05-2000,55.38,55.38,54.63,54.69,23300
07-06-2000,54.97,55.00,53.19,54.13,23300
07-07-2000,54.50,56.44,54.50,55.50,28000
07-10-2000,55.00,57.00,55.00,55.88,14100
07-11-2000,55.22,58.75,55.22,57.44,14400
07-12-2000,57.75,64.56,57.75,64.56,54500
07-13-2000,63.25,74.00,63.00,74.00,62900
07-14-2000,71.59,82.00,71.19,78.75,118500
07-17-2000,78.16,79.19,72.31,76.25,60700
07-18-2000,73.56,75.25,68.50,71.00,40500
07-19-2000,68.88,70.56,66.56,70.56,31400
07-20-2000,68.75,77.25,68.75,74.13,29600
07-21-2000,74.00,74.00,69.00,70.19,48200
07-24-2000,70.41,72.25,70.00,70.25,10000
07-25-2000,72.25,72.50,68.00,68.00,15100
07-26-2000,69.00,69.00,63.31,66.25,17600
07-27-2000,63.50,64.81,60.00,60.00,34200
07-28-2000,58.50,59.44,54.88,58.00,26300
07-31-2000,58.25,63.00,58.00,58.00,24300
08-01-2000,60.00,60.00,57.50,59.25,8900
08-02-2000,57.50,60.38,56.00,57.19,11800
08-03-2000,56.75,57.13,56.13,56.88,48400
08-04-2000,58.00,61.69,58.00,60.19,12800
08-07-2000,63.50,64.38,62.25,63.00,9600
08-08-2000,63.00,65.75,62.38,64.75,13600
08-09-2000,66.44,67.50,64.25,64.34,13200
08-10-2000,64.41,64.41,62.50,62.69,25200
08-11-2000,61.75,62.13,60.88,61.81,38300
08-14-2000,63.47,63.47,62.44,62.88,8000
08-15-2000,63.00,63.00,61.19,61.63,2700
08-16-2000,61.63,62.88,60.31,60.31,28300
08-17-2000,59.03,60.94,59.00,60.25,28700
08-18-2000,59.75,60.50,59.56,59.75,79300
08-21-2000,59.09,61.88,59.06,60.81,17600
08-22-2000,61.00,63.00,61.00,61.25,17100
08-23-2000,60.50,61.00,59.63,60.81,10900
08-24-2000,61.00,62.00,60.06,60.06,12100
08-25-2000,59.63,61.00,59.63,60.81,4400
08-28-2000,60.63,62.25,60.63,61.13,16900
08-29-2000,60.97,61.75,60.50,61.44,7600
08-30-2000,61.88,65.69,61.88,65.06,82300
08-31-2000,66.94,68.25,64.31,64.63,46000
09-01-2000,65.22,69.00,65.22,67.56,45900
09-05-2000,67.97,69.75,67.50,69.44,55000
09-06-2000,69.75,70.00,66.63,67.31,25000
09-07-2000,67.44,68.88,63.00,64.38,29400
09-08-2000,63.63,63.63,60.81,63.00,17300
09-11-2000,61.09,64.13,61.00,62.25,10500
09-12-2000,62.75,63.00,61.81,62.69,2500
09-13-2000,61.00,66.56,61.00,66.56,46300
09-14-2000,66.75,68.88,65.81,67.13,39300
09-15-2000,67.78,67.78,64.13,64.13,11000
09-18-2000,64.00,64.25,61.94,64.25,7300
09-19-2000,62.69,62.75,61.44,61.63,3200
09-20-2000,61.63,62.00,60.00,60.56,39700
09-21-2000,59.69,59.75,58.44,59.00,42100
09-22-2000,51.53,57.81,51.53,57.69,78700
09-25-2000,58.50,61.75,58.50,60.00,7700
09-26-2000,59.50,59.50,57.44,58.50,3000
09-27-2000,62.00,63.88,60.38,62.56,16600
09-28-2000,61.94,63.63,61.25,63.00,17800
09-29-2000,62.00,62.31,61.00,61.50,7100
10-02-2000,60.56,62.13,59.94,59.94,4500
10-03-2000,62.50,63.00,61.31,61.69,9300
10-04-2000,61.01,62.50,61.01,62.06,5600
10-05-2000,63.00,68.00,63.00,68.00,10000
10-06-2000,67.13,74.00,67.13,72.63,26200
10-09-2000,70.28,72.00,69.50,71.38,5400
10-10-2000,72.00,72.75,66.88,68.81,23900
10-11-2000,63.06,70.00,63.00,69.00,45400
10-12-2000,71.98,73.94,69.25,70.50,105700
10-13-2000,70.81,71.81,69.00,71.75,174200
10-16-2000,71.25,75.44,69.25,75.25,183300
10-17-2000,75.88,80.63,75.38,80.00,108500
10-18-2000,74.38,78.00,73.00,76.50,89900
10-19-2000,79.38,79.38,76.00,77.63,135900
10-20-2000,78.00,78.00,75.94,76.63,46600
10-23-2000,76.73,76.94,75.06,75.25,6300
10-24-2000,75.00,77.13,74.56,74.56,19400
10-25-2000,71.98,72.38,57.19,70.63,25600
10-26-2000,67.01,69.00,64.75,68.81,34300
10-27-2000,72.23,72.75,68.75,68.75,9400
10-30-2000,68.06,68.06,64.25,64.25,16000
10-31-2000,64.01,67.75,63.69,65.75,70800
11-01-2000,67.67,69.25,66.50,67.63,14100
11-02-2000,70.50,72.19,69.88,70.75,53700
11-03-2000,71.13,73.88,71.00,73.88,129400
11-06-2000,73.69,73.75,72.00,72.38,80500
11-07-2000,71.75,72.13,71.00,71.31,12900
11-08-2000,72.00,72.00,66.50,66.50,11100
11-09-2000,66.00,68.06,63.25,64.50,13300
11-10-2000,63.00,63.63,60.06,62.00,17600
11-13-2000,55.00,61.50,55.00,59.69,12800
11-14-2000,61.13,63.00,59.88,61.13,173200
11-15-2000,60.92,62.00,57.75,58.81,70300
11-16-2000,58.73,61.50,55.00,58.44,123900
11-17-2000,58.00,59.88,56.63,58.38,17300
11-20-2000,55.50,57.50,53.75,54.88,49000
