Date,Open,High,Low,Close,Volume
01-15-2015,46.77,48.18,45.21,47.02,9271897
01-16-2015,47.02,49.05,47.02,49.05,1352024
01-20-2015,47.93,48.38,46.79,47.25,884850
01-21-2015,47.92,50.64,47.92,49.69,555277
01-22-2015,49.72,50.64,48.60,49.69,1994689
01-23-2015,50.19,50.81,49.85,49.88,827438
01-26-2015,50.22,50.81,50.09,50.28,215388
01-27-2015,50.43,51.14,49.94,50.04,103686
01-28-2015,49.66,50.56,48.38,48.86,1612146
01-29-2015,49.10,53.57,47.30,48.11,1292170
01-30-2015,47.67,49.50,47.25,49.05,1189962
02-02-2015,49.09,50.78,49.09,50.58,863915
02-03-2015,51.28,52.09,50.79,51.83,1168581
02-04-2015,50.75,51.12,49.75,50.65,451844
02-05-2015,51.21,51.47,50.66,51.09,709609
02-06-2015,51.45,52.08,51.41,51.51,420821
02-09-2015,51.87,52.22,50.56,50.64,396048
02-10-2015,51.07,52.21,50.11,52.21,297267
02-11-2015,51.81,53.08,51.15,52.26,955162
02-12-2015,52.92,53.01,51.83,51.89,538383
02-13-2015,52.74,52.74,51.99,52.57,558244
02-17-2015,52.58,52.73,51.72,52.72,474032
02-18-2015,52.39,53.35,52.08,52.45,410392
02-19-2015,52.40,53.10,51.23,52.81,3144477
02-20-2015,52.74,53.26,52.51,52.85,1144814
02-23-2015,52.46,52.93,51.99,52.53,843322
02-24-2015,52.99,53.28,52.37,53.08,1496709
02-25-2015,53.50,53.56,52.93,53.54,415900
02-26-2015,53.52,53.52,51.10,51.27,325425
02-27-2015,50.66,51.88,48.96,49.33,670442
03-02-2015,49.42,50.36,49.03,49.23,472083
03-03-2015,49.21,49.21,48.26,48.97,931785
03-04-2015,49.00,49.23,48.42,48.96,291641
03-05-2015,48.96,48.96,47.62,48.33,458698
03-06-2015,48.39,48.39,46.70,46.92,317083
03-09-2015,46.70,46.70,44.64,44.86,838691
03-10-2015,44.58,44.75,42.89,43.46,1025156
03-11-2015,43.82,44.93,43.42,44.88,1225344
03-12-2015,44.76,45.15,44.56,44.62,809528
03-13-2015,44.49,44.95,44.05,44.82,214514
03-16-2015,44.80,45.26,44.33,45.26,391023
03-17-2015,45.25,45.82,44.90,45.30,599101
03-18-2015,44.90,47.05,44.87,46.87,873148
03-19-2015,45.89,46.13,44.65,44.82,627685
03-20-2015,45.25,45.45,44.94,45.28,816094
03-23-2015,45.25,46.11,45.25,45.64,131610
03-24-2015,45.27,45.91,45.26,45.79,1550432
03-25-2015,45.63,46.43,45.51,46.31,253616
03-26-2015,46.81,46.81,45.11,45.12,139456
03-27-2015,44.95,45.44,44.59,44.75,1175885
03-30-2015,45.45,46.10,44.95,46.09,781455
03-31-2015,45.69,46.48,45.49,46.25,453482
04-01-2015,46.88,46.92,45.82,45.87,793833
04-02-2015,45.81,47.84,45.41,47.75,352905
04-06-2015,47.69,48.65,47.41,48.54,552661
04-07-2015,48.54,49.69,48.47,49.28,1194117
04-08-2015,49.43,49.43,47.71,47.93,1096400
04-09-2015,48.29,48.88,48.29,48.75,339032
04-10-2015,48.84,49.80,48.00,48.62,1144476
04-13-2015,48.90,48.92,48.19,48.75,223139
04-14-2015,49.17,50.13,48.88,50.09,275661
04-15-2015,50.40,52.58,50.28,52.20,532252
04-16-2015,52.20,53.04,51.70,51.88,696279
04-17-2015,51.72,53.67,51.18,53.15,4047918
04-20-2015,53.09,53.24,52.47,52.85,630692
04-21-2015,53.13,53.13,51.29,51.36,1091844
04-22-2015,51.73,52.33,51.43,51.95,467835
04-23-2015,51.94,53.01,51.83,51.98,322597
04-24-2015,52.46,52.46,50.08,51.04,290246
04-27-2015,51.09,51.36,50.68,51.30,341930
04-28-2015,51.13,52.52,51.13,52.36,339887
04-29-2015,51.98,53.00,51.79,52.70,166989
04-30-2015,52.76,55.07,52.29,54.44,504399
05-01-2015,54.24,56.44,54.22,55.80,759286
05-04-2015,55.75,56.80,55.51,56.21,1291907
05-05-2015,56.41,56.58,54.64,54.68,498227
05-06-2015,55.41,55.41,54.38,54.43,735320
05-07-2015,54.63,54.63,53.06,53.40,130526
05-08-2015,53.94,56.49,53.22,56.08,1497744
05-11-2015,56.08,56.08,54.70,55.85,800039
