Date,Open,High,Low,Close,Volume
01-02-1990,0.345,0.357,0.331,0.357,0
01-03-1990,0.357,0.357,0.345,0.357,0
01-04-1990,0.355,0.380,0.355,0.367,0
01-05-1990,0.367,0.380,0.367,0.367,0
01-08-1990,0.385,0.397,0.385,0.397,0
01-09-1990,0.400,0.400,0.387,0.387,0
01-10-1990,0.380,0.392,0.367,0.367,0
01-11-1990,0.370,0.370,0.357,0.357,0
01-12-1990,0.370,0.370,0.357,0.357,0
01-15-1990,0.357,0.370,0.357,0.357,0
01-16-1990,0.355,0.367,0.355,0.367,0
01-17-1990,0.372,0.372,0.333,0.347,0
01-18-1990,0.347,0.347,0.333,0.347,0
01-19-1990,0.327,0.327,0.327,0.327,0
01-22-1990,0.363,0.376,0.347,0.347,0
01-23-1990,0.363,0.363,0.347,0.347,0
01-24-1990,0.351,0.351,0.322,0.338,0
01-25-1990,0.338,0.351,0.338,0.338,0
01-26-1990,0.338,0.338,0.338,0.338,0
01-29-1990,0.334,0.347,0.334,0.347,0
01-30-1990,0.351,0.351,0.338,0.338,0
01-31-1990,0.333,0.333,0.292,0.318,0
02-01-1990,0.318,0.318,0.305,0.318,0
02-02-1990,0.336,0.377,0.336,0.377,0
02-05-1990,0.351,0.351,0.338,0.338,0
02-06-1990,0.339,0.367,0.339,0.367,0
02-07-1990,0.352,0.367,0.339,0.367,0
02-08-1990,0.351,0.351,0.338,0.338,0
02-09-1990,0.334,0.347,0.334,0.347,0
02-12-1990,0.334,0.347,0.334,0.347,0
02-13-1990,0.338,0.338,0.338,0.338,0
02-14-1990,0.336,0.336,0.308,0.308,0
02-15-1990,0.308,0.321,0.308,0.308,0
02-16-1990,0.311,0.311,0.298,0.298,0
02-20-1990,0.308,0.321,0.295,0.308,0
02-21-1990,0.308,0.308,0.295,0.308,0
02-22-1990,0.293,0.347,0.293,0.347,0
02-23-1990,0.347,0.363,0.334,0.347,0
02-26-1990,0.363,0.363,0.347,0.347,0
02-27-1990,0.352,0.380,0.352,0.367,0
02-28-1990,0.367,0.380,0.367,0.367,0
03-01-1990,0.347,0.376,0.347,0.347,0
03-02-1990,0.363,0.363,0.347,0.347,0
03-05-1990,0.351,0.351,0.338,0.338,0
03-06-1990,0.338,0.338,0.322,0.338,0
03-07-1990,0.338,0.351,0.322,0.338,0
03-08-1990,0.338,0.351,0.338,0.338,0
03-09-1990,0.338,0.338,0.338,0.338,0
03-12-1990,0.338,0.338,0.322,0.338,0
03-13-1990,0.322,0.338,0.322,0.338,0
03-14-1990,0.322,0.338,0.322,0.338,0
03-15-1990,0.334,0.347,0.334,0.347,0
03-16-1990,0.338,0.366,0.338,0.338,0
03-19-1990,0.318,0.333,0.318,0.318,0
03-20-1990,0.321,0.321,0.308,0.308,0
03-21-1990,0.318,0.318,0.318,0.318,0
03-22-1990,0.321,0.336,0.308,0.308,0
03-23-1990,0.308,0.321,0.308,0.308,0
03-26-1990,0.318,0.333,0.318,0.318,0
03-27-1990,0.322,0.338,0.322,0.338,0
03-28-1990,0.318,0.333,0.318,0.318,0
03-29-1990,0.322,0.338,0.322,0.338,0
03-30-1990,0.318,0.333,0.318,0.318,0
04-02-1990,0.333,0.333,0.318,0.318,0
04-03-1990,0.333,0.333,0.318,0.318,0
04-04-1990,0.333,0.333,0.318,0.318,0
04-05-1990,0.322,0.338,0.322,0.338,0
04-06-1990,0.318,0.333,0.318,0.318,0
04-09-1990,0.318,0.333,0.318,0.318,0
04-10-1990,0.322,0.338,0.322,0.338,0
04-11-1990,0.318,0.333,0.318,0.318,0
04-12-1990,0.318,0.333,0.318,0.318,0
04-16-1990,0.318,0.333,0.318,0.318,0
04-17-1990,0.318,0.333,0.318,0.318,0
04-18-1990,0.322,0.338,0.322,0.338,0
04-19-1990,0.322,0.338,0.322,0.338,0
04-20-1990,0.322,0.338,0.322,0.338,0
04-23-1990,0.318,0.333,0.318,0.318,0
04-24-1990,0.322,0.338,0.322,0.338,0
04-25-1990,0.353,0.387,0.353,0.387,0
04-26-1990,0.387,0.404,0.387,0.387,0
04-27-1990,0.387,0.387,0.387,0.387,0
04-30-1990,0.394,0.427,0.394,0.427,0
05-01-1990,0.407,0.422,0.390,0.407,0
05-02-1990,0.387,0.387,0.370,0.387,0
05-03-1990,0.387,0.387,0.370,0.387,0
05-04-1990,0.387,0.387,0.370,0.387,0
05-07-1990,0.404,0.404,0.387,0.387,0
05-08-1990,0.387,0.387,0.387,0.387,0
05-09-1990,0.390,0.407,0.390,0.407,0
05-10-1990,0.390,0.407,0.390,0.407,0
05-11-1990,0.390,0.407,0.390,0.407,0
05-14-1990,0.390,0.422,0.390,0.407,0
05-15-1990,0.387,0.387,0.387,0.387,0
05-16-1990,0.384,0.384,0.367,0.367,0
05-17-1990,0.367,0.384,0.367,0.367,0
05-18-1990,0.367,0.384,0.367,0.367,0
05-21-1990,0.367,0.367,0.367,0.367,0
05-22-1990,0.367,0.384,0.367,0.367,0
05-23-1990,0.370,0.387,0.370,0.387,0
05-24-1990,0.387,0.387,0.387,0.387,0
05-25-1990,0.370,0.404,0.370,0.387,0
05-29-1990,0.387,0.387,0.387,0.387,0
05-30-1990,0.387,0.404,0.387,0.387,0
05-31-1990,0.390,0.422,0.390,0.407,0
06-01-1990,0.387,0.387,0.387,0.387,0
06-04-1990,0.404,0.404,0.387,0.387,0
06-05-1990,0.387,0.404,0.387,0.387,0
06-06-1990,0.387,0.387,0.387,0.387,0
06-07-1990,0.407,0.422,0.407,0.407,0
06-08-1990,0.407,0.422,0.407,0.407,0
06-11-1990,0.412,0.427,0.412,0.427,0
06-12-1990,0.407,0.407,0.407,0.407,0
06-13-1990,0.422,0.422,0.407,0.407,0
06-14-1990,0.422,0.422,0.407,0.407,0
06-15-1990,0.407,0.407,0.407,0.407,0
06-18-1990,0.387,0.404,0.387,0.387,0
06-19-1990,0.387,0.387,0.387,0.387,0
06-20-1990,0.387,0.387,0.387,0.387,0
06-21-1990,0.387,0.387,0.387,0.387,0
06-22-1990,0.387,0.387,0.387,0.387,0
06-25-1990,0.390,0.407,0.372,0.407,0
06-26-1990,0.387,0.387,0.387,0.387,0
06-27-1990,0.367,0.384,0.367,0.367,0
06-28-1990,0.367,0.384,0.367,0.367,0
06-29-1990,0.367,0.401,0.367,0.367,0
07-02-1990,0.375,0.375,0.357,0.357,0
07-03-1990,0.367,0.367,0.367,0.367,0
07-05-1990,0.357,0.357,0.357,0.357,0
07-06-1990,0.375,0.375,0.357,0.357,0
07-09-1990,0.357,0.375,0.340,0.357,0
07-10-1990,0.357,0.357,0.357,0.357,0
07-11-1990,0.357,0.357,0.340,0.357,0
07-12-1990,0.375,0.375,0.340,0.357,0
07-13-1990,0.355,0.355,0.338,0.338,0
07-16-1990,0.355,0.355,0.338,0.338,0
07-17-1990,0.338,0.338,0.338,0.338,0
07-18-1990,0.318,0.318,0.318,0.318,0
07-19-1990,0.318,0.335,0.303,0.318,0
07-20-1990,0.318,0.318,0.318,0.318,0
07-23-1990,0.308,0.323,0.308,0.308,0
07-24-1990,0.305,0.305,0.288,0.288,0
07-25-1990,0.305,0.320,0.288,0.288,0
07-26-1990,0.288,0.305,0.288,0.288,0
07-27-1990,0.288,0.305,0.288,0.288,0
07-30-1990,0.290,0.308,0.290,0.308,0
07-31-1990,0.288,0.288,0.288,0.288,0
08-01-1990,0.285,0.285,0.268,0.268,0
08-02-1990,0.268,0.268,0.251,0.268,0
08-03-1990,0.256,0.256,0.238,0.238,0
08-06-1990,0.238,0.238,0.238,0.238,0
08-07-1990,0.233,0.233,0.218,0.218,0
08-08-1990,0.218,0.233,0.218,0.218,0
08-09-1990,0.219,0.268,0.219,0.268,0
08-10-1990,0.253,0.288,0.253,0.288,0
08-13-1990,0.268,0.285,0.268,0.268,0
08-14-1990,0.268,0.268,0.268,0.268,0
08-15-1990,0.271,0.288,0.271,0.288,0
08-16-1990,0.285,0.285,0.268,0.268,0
08-17-1990,0.268,0.285,0.268,0.268,0
09-10-1990,0.983,0.983,0.983,0.983,0
09-11-1990,0.975,0.993,0.975,0.993,0
09-12-1990,0.983,0.983,0.983,0.983,0
09-13-1990,0.963,0.980,0.963,0.963,0
09-14-1990,0.963,0.963,0.948,0.963,0
09-17-1990,0.980,0.980,0.963,0.963,0
09-18-1990,0.963,0.963,0.963,0.963,0
09-19-1990,0.945,0.945,0.893,0.893,0
09-20-1990,0.874,0.874,0.874,0.874,0
09-21-1990,0.878,0.878,0.864,0.864,0
09-24-1990,0.866,0.866,0.814,0.814,0
09-25-1990,0.811,0.811,0.794,0.794,0
09-26-1990,0.794,0.794,0.744,0.744,0
09-27-1990,0.744,0.744,0.744,0.744,0
09-28-1990,0.722,0.722,0.688,0.705,0
10-01-1990,0.707,0.707,0.675,0.675,0
10-02-1990,0.672,0.687,0.638,0.655,0
10-03-1990,0.643,0.643,0.625,0.625,0
10-04-1990,0.611,0.628,0.596,0.596,0
10-05-1990,0.591,0.605,0.591,0.605,0
10-08-1990,0.593,0.593,0.576,0.576,0
10-09-1990,0.593,0.593,0.576,0.576,0
10-10-1990,0.536,0.536,0.536,0.536,0
10-11-1990,0.536,0.536,0.536,0.536,0
10-12-1990,0.536,0.536,0.519,0.536,0
10-16-1990,0.536,0.536,0.536,0.536,0
10-17-1990,0.541,0.541,0.506,0.506,0
10-18-1990,0.524,0.524,0.491,0.506,0
10-19-1990,0.506,0.524,0.457,0.457,0
10-22-1990,0.457,0.457,0.457,0.457,0
10-23-1990,0.457,0.457,0.439,0.457,0
10-24-1990,0.439,0.491,0.439,0.457,0
10-25-1990,0.459,0.477,0.459,0.477,0
10-26-1990,0.474,0.474,0.457,0.457,0
10-29-1990,0.437,0.437,0.437,0.437,0
10-30-1990,0.437,0.437,0.437,0.437,0
10-31-1990,0.462,0.462,0.427,0.427,0
11-01-1990,0.427,0.427,0.427,0.427,0
11-02-1990,0.404,0.419,0.387,0.387,0
11-05-1990,0.367,0.367,0.333,0.367,0
11-06-1990,0.370,0.404,0.370,0.387,0
11-07-1990,0.407,0.407,0.407,0.407,0
11-08-1990,0.412,0.444,0.412,0.427,0
11-09-1990,0.419,0.437,0.419,0.437,0
11-12-1990,0.427,0.427,0.427,0.427,0
11-13-1990,0.419,0.419,0.387,0.387,0
11-14-1990,0.407,0.422,0.407,0.407,0
11-15-1990,0.407,0.407,0.407,0.407,0
11-16-1990,0.427,0.427,0.427,0.427,0
11-19-1990,0.407,0.407,0.407,0.407,0
11-20-1990,0.407,0.407,0.390,0.407,0
11-21-1990,0.407,0.407,0.407,0.407,0
11-23-1990,0.407,0.407,0.407,0.407,0
11-26-1990,0.412,0.427,0.394,0.427,0
11-27-1990,0.444,0.444,0.427,0.427,0
