Date,Open,High,Low,Close,Volume
12-04-2012,18.62,18.75,18.57,18.58,283676
12-05-2012,18.61,18.61,18.55,18.55,103855
12-06-2012,18.54,18.61,18.53,18.61,68544
12-07-2012,18.58,18.61,18.55,18.58,80162
12-10-2012,18.58,18.60,18.55,18.57,64891
12-11-2012,18.55,18.61,18.54,18.54,88682
12-12-2012,18.61,18.61,18.46,18.46,66376
12-13-2012,18.47,18.53,18.33,18.33,104598
12-14-2012,18.40,18.41,18.29,18.39,73374
12-17-2012,18.53,18.53,18.37,18.49,76812
12-18-2012,18.52,18.52,18.42,18.46,61079
12-19-2012,18.40,18.54,18.37,18.51,69373
12-20-2012,18.51,18.58,18.51,18.51,49592
12-21-2012,18.60,18.60,18.41,18.54,37877
12-24-2012,18.54,18.58,18.46,18.52,13538
12-26-2012,18.58,18.58,18.40,18.40,54219
12-27-2012,18.49,18.51,18.36,18.43,32147
12-28-2012,18.48,18.54,18.28,18.36,59033
12-31-2012,18.35,18.39,18.28,18.33,117007
01-02-2013,18.36,18.57,18.36,18.50,71350
01-03-2013,18.43,18.65,18.43,18.61,103931
01-04-2013,18.64,18.77,18.62,18.70,211029
01-07-2013,18.77,18.77,18.72,18.74,325542
01-08-2013,18.75,18.87,18.72,18.85,278354
01-09-2013,18.84,18.96,18.81,18.96,234056
01-10-2013,18.96,19.07,18.96,19.04,317778
01-11-2013,19.03,19.07,18.99,19.01,158789
01-14-2013,19.02,19.03,18.90,18.95,193060
01-15-2013,18.96,18.96,18.85,18.90,106609
01-16-2013,18.88,18.92,18.78,18.92,277468
01-17-2013,18.93,18.97,18.88,18.93,193862
01-18-2013,18.96,18.99,18.84,18.89,259388
01-22-2013,18.88,18.88,18.64,18.72,122129
01-23-2013,18.75,18.75,18.66,18.66,50886
01-24-2013,18.69,18.77,18.63,18.69,100470
01-25-2013,18.71,18.77,18.63,18.65,47584
01-28-2013,18.66,18.68,18.58,18.60,70833
01-29-2013,18.62,18.73,18.59,18.61,148671
01-30-2013,18.79,18.79,18.65,18.69,89488
01-31-2013,18.77,18.77,18.66,18.71,59363
02-01-2013,18.73,18.82,18.67,18.82,123053
02-04-2013,18.72,18.81,18.72,18.78,90804
02-05-2013,18.81,18.90,18.70,18.82,128266
02-06-2013,18.84,18.92,18.77,18.84,136582
02-07-2013,18.84,18.92,18.76,18.77,81966
02-08-2013,18.75,18.96,18.75,18.92,85362
02-11-2013,18.95,18.95,18.75,18.82,101337
02-12-2013,18.81,18.84,18.74,18.81,86605
02-13-2013,18.81,18.84,18.81,18.83,43329
02-14-2013,18.84,18.92,18.75,18.88,91489
02-15-2013,18.90,18.90,18.83,18.83,33713
02-19-2013,18.89,18.91,18.79,18.87,117794
02-20-2013,18.93,18.93,18.80,18.86,43276
02-21-2013,18.89,19.02,18.81,18.87,125564
02-22-2013,18.89,18.96,18.88,18.92,59820
02-25-2013,18.93,18.97,18.86,18.93,89370
02-26-2013,18.88,18.95,18.84,18.92,135986
02-27-2013,18.92,18.92,18.84,18.86,74083
02-28-2013,18.88,18.90,18.81,18.90,70689
03-01-2013,18.89,18.90,18.86,18.86,38070
03-04-2013,18.89,18.90,18.83,18.84,66387
03-05-2013,18.89,18.91,18.85,18.89,54907
03-06-2013,18.92,18.95,18.89,18.95,51202
03-07-2013,18.95,18.96,18.86,18.96,35244
03-08-2013,18.95,18.96,18.86,18.90,49793
03-11-2013,18.90,18.90,18.85,18.86,24758
03-12-2013,18.88,19.19,18.82,19.19,85123
03-13-2013,18.98,19.08,18.88,18.96,41751
03-14-2013,19.00,19.08,18.90,19.04,60699
03-15-2013,19.04,19.04,18.92,18.93,57650
03-18-2013,19.00,19.00,18.88,18.90,27510
03-19-2013,18.92,18.97,18.87,18.96,62723
03-20-2013,18.96,19.02,18.92,18.98,384807
03-21-2013,18.98,19.11,18.92,19.11,102988
03-22-2013,19.02,19.08,19.02,19.08,22453
03-25-2013,19.08,19.08,18.95,18.99,54645
03-26-2013,19.00,19.07,18.94,18.95,69656
03-27-2013,18.96,19.08,18.95,19.04,107159
