Date,Open,High,Low,Close,Volume
05-13-2013,17.13,17.13,17.13,17.13,0
05-14-2013,17.53,18.05,17.13,17.13,12930687
05-15-2013,17.21,18.01,17.17,17.65,841505
05-16-2013,17.69,17.74,17.54,17.70,428081
05-17-2013,17.73,17.91,17.71,17.72,323916
05-20-2013,17.70,18.08,17.65,17.74,274003
05-21-2013,17.77,18.10,17.77,17.98,334725
05-22-2013,17.87,18.26,17.73,17.79,201122
05-23-2013,17.54,17.91,17.53,17.57,223898
05-24-2013,17.53,17.75,17.53,17.65,69989
05-28-2013,17.91,17.92,17.73,17.77,248885
05-29-2013,17.69,17.95,17.56,17.73,538226
05-30-2013,17.80,17.87,17.62,17.68,205275
05-31-2013,17.59,17.73,16.83,17.22,340950
06-03-2013,17.33,17.40,16.93,17.09,133666
06-04-2013,17.00,17.13,16.75,16.76,181433
06-05-2013,17.29,17.29,16.42,16.55,296582
06-06-2013,16.58,16.89,16.58,16.81,255761
06-07-2013,16.85,17.24,16.85,16.97,157539
06-10-2013,17.29,17.30,17.05,17.05,437812
06-11-2013,17.13,17.21,16.78,16.90,204381
06-12-2013,16.93,17.10,16.89,16.97,203258
06-13-2013,16.90,17.05,16.90,17.05,140401
06-14-2013,16.97,17.32,16.97,17.24,167267
06-17-2013,17.24,17.33,17.13,17.33,139296
06-18-2013,17.24,17.86,17.14,17.40,428825
06-19-2013,17.48,17.77,17.25,17.65,95513
06-20-2013,17.60,17.60,17.14,17.22,108205
06-21-2013,17.52,17.54,16.91,16.93,172202
06-24-2013,16.77,16.92,16.36,16.49,163032
06-25-2013,16.54,16.66,16.36,16.42,165499
06-26-2013,16.73,17.17,16.58,16.79,169597
06-27-2013,16.77,17.08,16.58,16.85,137777
06-28-2013,16.85,17.07,16.66,16.73,201646
07-01-2013,16.86,17.44,16.86,16.99,101687
07-02-2013,16.97,17.54,16.97,17.37,99127
07-03-2013,17.29,17.37,17.01,17.06,26118
07-05-2013,17.24,17.24,16.83,17.09,13430
07-08-2013,17.13,17.47,16.95,17.40,28910
07-09-2013,17.38,17.73,17.17,17.34,61244
07-10-2013,17.33,17.36,17.03,17.32,38667
